Key,CommentCount,CommentLength,CommentPeopleCount
CB-1,2,59,1
CB-1000,10,2046,3
CB-10000,2,209,2
CB-10006,1,0,1
CB-10008,2,435,2
CB-10011,3,974,3
CB-10013,5,1507,2
CB-10015,6,1595,3
CB-10016,2,669,2
CB-10017,6,2349,2
CB-10019,1,0,1
CB-1002,1,312,1
CB-10021,1,0,1
CB-10022,1,0,1
CB-10023,10,6170,2
CB-10024,5,1360,2
CB-10026,7,2137,4
CB-10027,1,0,1
CB-10028,5,1401,2
CB-1003,1,59,1
CB-10031,2,163,2
CB-10034,19,25941,4
CB-10036,12,2113,5
CB-10039,11,4112,2
CB-1004,2,256,2
CB-10040,20,4270,7
CB-10042,1,0,1
CB-10043,1,74,1
CB-10047,14,7591,3
CB-10048,2,593,1
CB-1005,7,1096,2
CB-10050,11,3705,5
CB-10054,4,1270,3
CB-10055,2,358,2
CB-10057,3,780,2
CB-1006,2,113,2
CB-10061,1,0,1
CB-10062,10,5028,5
CB-10063,9,7476,3
CB-10065,5,1482,3
CB-10071,12,11712,2
CB-10072,1,266,1
CB-10073,1,285,1
CB-10075,2,336,1
CB-10076,7,390,3
CB-10077,1,0,1
CB-10078,13,6682,5
CB-10079,6,5228,3
CB-1008,2,534,2
CB-10080,16,6964,4
CB-10082,10,5141,2
CB-10083,1,253,1
CB-10084,1,262,1
CB-10088,3,538,2
CB-10089,1,68,1
CB-10091,6,1203,3
CB-10094,4,1369,2
CB-10098,3,1214,2
CB-10099,1,231,1
CB-101,3,1007,1
CB-1010,2,203,1
CB-10100,5,1091,2
CB-10101,4,1220,2
CB-10102,4,1355,3
CB-10103,1,234,1
CB-10105,7,916,4
CB-10106,7,3526,2
CB-10107,1,272,1
CB-10108,11,3585,5
CB-10112,4,1494,2
CB-10113,5,1150,2
CB-10114,1,243,1
CB-10116,1,58,1
CB-10119,5,3393,3
CB-1012,2,385,2
CB-10122,2,554,1
CB-10124,1,87,1
CB-10125,7,2363,2
CB-10126,1,0,1
CB-10128,10,3291,4
CB-10129,1,0,1
CB-10131,4,1307,2
CB-10133,2,357,2
CB-10134,1,107,1
CB-10135,4,418,3
CB-10136,1,230,1
CB-10137,2,38,2
CB-10138,22,6157,7
CB-10139,2,1444,2
CB-1014,1,136,1
CB-10141,8,1533,4
CB-10142,6,2575,4
CB-10143,14,4804,7
CB-10144,6,894,5
CB-10145,2,747,2
CB-10146,1,309,1
CB-10148,7,2925,4
CB-1015,5,422,2
CB-10150,1,0,1
CB-10151,2,206,1
CB-10153,9,1877,4
CB-10155,2,441,1
CB-10156,10,2721,4
CB-10157,7,1713,5
CB-10158,19,15292,5
CB-10159,8,2479,2
CB-1016,1,95,1
CB-10160,11,3647,8
CB-10161,3,336,2
CB-10162,13,4935,2
CB-10165,1,246,1
CB-10166,2,275,2
CB-10168,3,1246,2
CB-1017,2,217,2
CB-10172,1,62,1
CB-10173,2,194,2
CB-10175,1,0,1
CB-10179,14,2965,6
CB-1018,3,666,2
CB-10181,1,92,1
CB-10183,1,216,1
CB-10184,12,3661,6
CB-10185,2,509,1
CB-10186,2,504,2
CB-10188,1,148,1
CB-1019,5,937,2
CB-10190,1,284,1
CB-10192,8,2241,3
CB-10194,1,259,1
CB-10195,1,75,1
CB-10196,2,372,2
CB-10197,1,0,1
CB-10198,2,562,2
CB-10199,6,1832,2
CB-1020,1,328,1
CB-10200,6,783,4
CB-10201,7,2435,3
CB-10202,3,509,2
CB-10203,1,238,1
CB-10207,3,280,3
CB-10208,3,1310,2
CB-10209,2,84,1
CB-1021,1,159,1
CB-10211,1,459,1
CB-10214,1,0,1
CB-10215,4,637,2
CB-10219,2,1865,1
CB-1022,8,1281,2
CB-10220,1,228,1
CB-10221,1,65,1
CB-10224,1,247,1
CB-10225,1,138,1
CB-10226,1,79,1
CB-10227,13,3070,3
CB-10228,11,3655,4
CB-1023,6,1594,3
CB-10231,4,1270,3
CB-10236,8,6299,2
CB-10237,5,992,4
CB-1024,4,419,3
CB-10241,2,416,2
CB-10242,3,497,3
CB-10243,9,2355,2
CB-10244,3,1010,3
CB-10245,3,862,2
CB-10246,4,589,3
CB-10248,1,165,1
CB-1025,12,3140,2
CB-10253,2,146,2
CB-10256,1,57,1
CB-10257,1,201,1
CB-10258,3,484,3
CB-10262,1,75,1
CB-10263,13,7122,4
CB-10264,2,163,1
CB-10268,5,6472,3
CB-10269,27,7356,8
CB-10271,1,336,1
CB-10272,1,247,1
CB-10273,4,2692,2
CB-10277,6,3717,3
CB-10278,9,4716,4
CB-10279,1,279,1
CB-1028,4,445,2
CB-10280,3,402,3
CB-10283,10,3048,2
CB-10287,3,942,2
CB-10288,29,17706,6
CB-10293,1,50,1
CB-10295,1,239,1
CB-10297,1,16,1
CB-10298,3,829,2
CB-1030,2,178,1
CB-10303,9,3289,2
CB-10304,3,292,3
CB-10305,13,5491,4
CB-10307,1,298,1
CB-10308,4,966,3
CB-1031,2,283,1
CB-10310,10,4504,4
CB-10311,1,207,1
CB-10312,1,173,1
CB-10313,6,1094,4
CB-10314,18,14723,2
CB-10315,7,1359,4
CB-10318,3,1199,2
CB-10319,32,12031,2
CB-10320,3,524,2
CB-10321,2,475,2
CB-10322,2,30,1
CB-10325,2,457,2
CB-10326,10,5548,5
CB-10327,5,500,2
CB-10328,11,5416,3
CB-10337,9,3793,3
CB-10341,6,5211,3
CB-10342,3,375,2
CB-10345,1,694,1
CB-10346,1,19,1
CB-10356,5,1497,3
CB-10357,2,362,2
CB-10359,2,187,2
CB-10360,6,1586,4
CB-10361,4,755,3
CB-10362,2,142,1
CB-10366,1,138,1
CB-10371,2,453,1
CB-10372,7,596,3
CB-10374,3,472,2
CB-10376,26,11388,8
CB-10377,1,93,1
CB-10378,1,954,1
CB-10379,2,4,2
CB-10380,4,782,2
CB-10381,15,4054,4
CB-10382,3,1228,2
CB-10383,2,220,2
CB-10385,2,517,2
CB-10386,16,3757,7
CB-10388,10,4168,3
CB-10390,8,3491,3
CB-10392,2,157,2
CB-10393,8,2592,4
CB-10394,13,3936,4
CB-10395,9,3141,3
CB-104,1,0,1
CB-1040,1,118,1
CB-10402,2,291,2
CB-10406,3,1243,2
CB-10407,11,2669,7
CB-1041,1,0,1
CB-10412,13,3190,5
CB-10413,1,53,1
CB-10416,7,908,5
CB-10417,1,443,1
CB-10419,12,2538,6
CB-1042,1,0,1
CB-10421,6,1634,3
CB-10422,8,2892,4
CB-10423,3,1620,2
CB-10425,2,640,2
CB-10428,9,2199,4
CB-10429,2,47,1
CB-10430,23,9278,2
CB-10431,5,906,3
CB-10434,2,142,1
CB-10435,2,536,2
CB-10436,1,500,1
CB-10438,19,15804,4
CB-10439,6,1925,2
CB-1044,6,1500,2
CB-10443,2,946,1
CB-10445,10,2946,2
CB-10446,21,5371,7
CB-10449,1,443,1
CB-10450,2,1047,1
CB-10451,9,4278,2
CB-10452,2,1047,1
CB-10454,2,1047,1
CB-10455,9,2348,4
CB-10456,6,2275,3
CB-10457,1,72,1
CB-10458,1,72,1
CB-10459,12,4108,2
CB-1046,2,172,1
CB-10460,8,3142,5
CB-10462,6,1702,3
CB-10464,1,1290,1
CB-10465,6,2010,3
CB-10466,12,8148,2
CB-10467,16,14327,6
CB-10468,8,1220,4
CB-10469,1,428,1
CB-10470,2,154,1
CB-10472,8,3101,6
CB-10473,5,586,3
CB-10476,19,6178,2
