Key,CommentCount,CommentLength,CommentPeopleCount
CLOUDSTACK-1002,4,606,3
CLOUDSTACK-1003,6,2870,3
CLOUDSTACK-10049,1,0,1
CLOUDSTACK-1013,5,1420,4
CLOUDSTACK-10130,1,0,1
CLOUDSTACK-10188,32,102677,2
CLOUDSTACK-1024,4,717,3
CLOUDSTACK-10245,3,574,3
CLOUDSTACK-10280,6,1541,2
CLOUDSTACK-10317,34,30337,2
CLOUDSTACK-10381,18,18168,2
CLOUDSTACK-10403,1,412,1
CLOUDSTACK-10434,2,2002,1
CLOUDSTACK-1078,14,9001,5
CLOUDSTACK-1114,4,426,3
CLOUDSTACK-1142,10,2754,5
CLOUDSTACK-1173,18,9835,7
CLOUDSTACK-118,19,10403,5
CLOUDSTACK-119,2,96,2
CLOUDSTACK-1206,12,3029,6
CLOUDSTACK-121,6,4486,4
CLOUDSTACK-1216,7,5828,3
CLOUDSTACK-1223,11,2207,5
CLOUDSTACK-1224,10,3512,4
CLOUDSTACK-1228,57,41823,14
CLOUDSTACK-1234,16,5670,6
CLOUDSTACK-1235,6,608,3
CLOUDSTACK-1236,3,130,3
CLOUDSTACK-1237,9,12694,6
CLOUDSTACK-1244,20,8769,7
CLOUDSTACK-1252,62,14257,18
CLOUDSTACK-1262,15,21399,8
CLOUDSTACK-1267,20,2923,6
CLOUDSTACK-1276,9,8015,4
CLOUDSTACK-1316,6,1455,4
CLOUDSTACK-1328,12,13112,4
CLOUDSTACK-1338,2,150,2
CLOUDSTACK-1347,8,2212,4
CLOUDSTACK-1348,5,694,4
CLOUDSTACK-1350,5,755,4
CLOUDSTACK-1352,7,3042,5
CLOUDSTACK-1364,9,2470,3
CLOUDSTACK-1365,14,5263,5
CLOUDSTACK-1366,4,1906,3
CLOUDSTACK-1368,11,4622,8
CLOUDSTACK-1370,3,299,2
CLOUDSTACK-1389,20,4912,13
CLOUDSTACK-1392,8,8639,5
CLOUDSTACK-1393,2,96,2
CLOUDSTACK-1399,4,669,3
CLOUDSTACK-1402,4,2345,3
CLOUDSTACK-1403,7,26268,5
CLOUDSTACK-1404,2,67,2
CLOUDSTACK-1407,3,498,2
CLOUDSTACK-1411,8,2185,7
CLOUDSTACK-1424,2,311,2
CLOUDSTACK-1426,6,1061,5
CLOUDSTACK-1427,8,2286,4
CLOUDSTACK-1435,1,884,1
CLOUDSTACK-1440,4,852,3
CLOUDSTACK-1446,5,589,4
CLOUDSTACK-1451,11,2636,5
CLOUDSTACK-1473,9,8394,4
CLOUDSTACK-1482,2,9690,2
CLOUDSTACK-1499,9,1948,3
CLOUDSTACK-1511,6,699,4
CLOUDSTACK-1520,7,706,4
CLOUDSTACK-1526,5,2246,4
CLOUDSTACK-1531,11,1296,5
CLOUDSTACK-1536,18,13821,6
CLOUDSTACK-1542,3,162,3
CLOUDSTACK-1548,2,69,2
CLOUDSTACK-1550,3,304,3
CLOUDSTACK-1553,3,271,2
CLOUDSTACK-1557,37,28566,7
CLOUDSTACK-1558,3,578,3
CLOUDSTACK-1569,7,1452,4
CLOUDSTACK-1571,4,752,2
