Key,CommentCount,CommentLength,CommentPeopleCount
DRILL-1015,4,485,4
DRILL-1026,2,159,2
DRILL-1051,8,6488,5
DRILL-1063,4,226,4
DRILL-1072,4,755,2
DRILL-1075,9,8853,6
DRILL-1082,2,2267,2
DRILL-1084,3,535,2
DRILL-1089,9,5538,4
DRILL-1112,2,447,1
DRILL-1114,2,256,2
DRILL-1115,3,503,2
DRILL-1139,2,375,2
DRILL-1148,4,352,2
DRILL-1151,3,2468,3
DRILL-1158,4,71884,3
DRILL-1159,6,10113,4
DRILL-1160,3,6857,3
DRILL-1162,31,65632,9
DRILL-1185,4,191,3
DRILL-1196,2,3036,2
DRILL-1200,2,18757,1
DRILL-1242,1,80,1
DRILL-1243,3,496,3
DRILL-1249,4,376,3
DRILL-1266,1,0,1
DRILL-1286,1,379,1
DRILL-1300,4,813,2
DRILL-1301,6,4766,4
DRILL-1319,6,478,2
DRILL-1325,8,1799,4
DRILL-1338,2,145,2
DRILL-1339,5,424,4
DRILL-1343,13,3192,6
DRILL-1375,1,0,1
DRILL-1377,1,0,1
DRILL-1378,7,993,2
DRILL-1384,2,110,1
DRILL-1388,4,2172,2
DRILL-1394,4,1603,4
DRILL-1395,3,487,3
DRILL-1396,1,200,1
DRILL-1397,9,5351,3
DRILL-1406,1,0,1
DRILL-1410,9,1625,3
DRILL-1421,7,2874,3
DRILL-1431,3,402,3
DRILL-1435,12,14189,4
DRILL-1436,7,701,3
DRILL-1441,2,501,1
DRILL-1446,1,0,1
DRILL-1449,1,0,1
DRILL-1457,27,28475,4
DRILL-1460,13,5821,6
DRILL-1462,2,1418,1
DRILL-1463,1,0,1
DRILL-1464,1,0,1
DRILL-1467,1,0,1
DRILL-1479,1,90,1
DRILL-148,1,0,1
DRILL-1480,5,2865,2
DRILL-1482,4,255,3
DRILL-1483,2,46,2
DRILL-1487,11,7519,4
DRILL-1488,8,3167,4
DRILL-1500,8,3491,3
DRILL-1501,2,112,2
DRILL-1507,3,924,2
DRILL-1509,1,299,1
DRILL-1510,7,5421,3
DRILL-1515,9,665,3
DRILL-1523,1,0,1
DRILL-1538,1,19,1
DRILL-1542,3,775,2
DRILL-1545,12,1990,5
DRILL-1555,6,5217,3
DRILL-1556,1,75,1
DRILL-1572,23,11481,6
DRILL-1576,1,0,1
DRILL-1597,4,223,2
DRILL-1605,13,3226,6
DRILL-1621,1,0,1
DRILL-1625,1,85,1
DRILL-1626,1,0,1
DRILL-1629,3,18280,2
DRILL-1649,6,4383,4
DRILL-1651,10,4919,6
DRILL-1672,3,995,2
DRILL-1673,7,705,3
DRILL-1681,3,308,3
DRILL-1685,1,175,1
DRILL-1686,1,307,1
DRILL-1690,3,241,1
DRILL-1692,9,1213,5
DRILL-1708,2,210,1
DRILL-1728,5,9966,4
DRILL-1735,12,981,3
DRILL-1736,5,3334,4
DRILL-1744,1,535,1
DRILL-1750,8,2827,5
DRILL-1752,4,843,3
DRILL-1754,1,37,1
DRILL-1758,5,464,5
DRILL-1766,2,153,2
DRILL-1770,2,252,2
DRILL-1777,5,404,1
DRILL-1778,4,4442,3
DRILL-1781,4,306,3
DRILL-1801,12,4493,5
DRILL-1802,2,125,2
DRILL-1804,7,1399,3
DRILL-1805,1,42,1
DRILL-1808,2,189,2
DRILL-1810,4,841,2
DRILL-1820,3,587,2
DRILL-1823,1,44,1
DRILL-1831,3,649,2
DRILL-1834,2,991,2
DRILL-1847,2,365,1
DRILL-1857,1,0,1
DRILL-1866,6,2337,4
DRILL-1872,9,1878,4
DRILL-1877,9,1434,3
DRILL-1889,8,2587,4
DRILL-1890,1,0,1
DRILL-1895,1,388,1
DRILL-1897,7,1056,3
DRILL-1899,3,135,2
DRILL-1903,1,162,1
DRILL-1909,4,1745,3
DRILL-1915,1,0,1
DRILL-1924,1,0,1
DRILL-1938,4,979,4
DRILL-1944,7,5741,3
DRILL-1956,1,0,1
DRILL-1957,3,276,2
DRILL-1958,2,117,2
DRILL-1962,2,401,2
DRILL-1963,4,1315,2
DRILL-1977,4,636,2
DRILL-1980,6,7158,3
DRILL-1982,3,199,2
DRILL-1983,2,279,2
DRILL-1988,6,2554,4
DRILL-1989,1,321,1
DRILL-2005,8,15247,4
DRILL-2010,7,2155,5
DRILL-2016,4,536,2
DRILL-2018,1,36,1
DRILL-2024,10,3124,3
DRILL-2031,7,737,3
DRILL-2038,3,728,1
DRILL-2049,8,733,4
DRILL-2053,15,8037,4
DRILL-2064,4,2434,1
DRILL-2069,8,950,3
DRILL-2084,2,531,1
DRILL-2085,2,435,1
DRILL-2092,6,1672,2
DRILL-2095,5,7386,4
DRILL-2101,4,544,4
DRILL-2103,9,1263,4
DRILL-2108,1,78,1
DRILL-2121,7,1408,2
DRILL-2122,3,218,2
DRILL-2123,3,440,3
DRILL-2124,1,19,1
DRILL-2128,7,524,3
DRILL-2130,11,2426,4
DRILL-2134,1,58,1
DRILL-2139,7,1906,4
DRILL-2158,7,3970,5
DRILL-2161,9,31948,2
DRILL-2180,9,426,3
DRILL-2181,2,136,1
DRILL-2182,1,181,1
DRILL-2183,1,428,1
DRILL-2191,8,856,2
DRILL-2197,4,1819,3
DRILL-2206,1,412,1
DRILL-2208,3,638,3
DRILL-2211,3,211,2
DRILL-2217,7,1795,3
DRILL-2221,6,1477,2
DRILL-2228,2,163,2
DRILL-2255,1,33,1
DRILL-2256,2,84,2
DRILL-2284,2,1532,2
DRILL-2291,1,32,1
DRILL-2292,13,1227,3
DRILL-2311,3,4373,3
DRILL-2314,4,359,3
DRILL-2326,1,0,1
DRILL-2340,4,2946,2
DRILL-2342,9,1335,3
DRILL-2349,1,0,1
DRILL-2355,3,980,3
DRILL-2359,6,220,3
DRILL-2365,1,0,1
DRILL-2366,3,680,3
DRILL-2371,1,0,1
DRILL-2375,2,913,2
