Key,CommentCount,CommentLength,CommentPeopleCount
DRILL-1000,1,28,1
DRILL-1002,2,186,2
DRILL-1006,1,27,1
DRILL-1007,2,100,2
DRILL-1008,3,191,2
DRILL-1009,2,46,2
DRILL-101,1,0,1
DRILL-1010,1,130,1
DRILL-1011,2,215,2
DRILL-1012,2,73,1
DRILL-1013,2,62,2
DRILL-1014,3,616,2
DRILL-1016,2,100,2
DRILL-1017,2,237,2
DRILL-1018,3,172,3
DRILL-1019,2,109,2
DRILL-102,1,103,1
DRILL-1020,1,27,1
DRILL-1021,7,308,3
DRILL-1023,1,27,1
DRILL-1027,2,153,2
DRILL-1028,3,191,2
DRILL-1029,1,190,1
DRILL-1030,4,271,4
DRILL-1031,4,701,2
DRILL-1032,2,66,2
DRILL-1033,2,737,1
DRILL-1035,3,1172,2
DRILL-1036,3,713,2
DRILL-1037,3,424,2
DRILL-1038,3,91,2
DRILL-1039,8,4827,4
DRILL-104,1,0,1
DRILL-1040,1,154,1
DRILL-1041,4,662,3
DRILL-1042,4,84,1
DRILL-1043,2,152,2
DRILL-1045,4,469,3
DRILL-1047,4,548,2
DRILL-1048,1,9,1
DRILL-1049,1,29,1
DRILL-1050,1,9,1
DRILL-1052,2,80,2
DRILL-1053,1,30,1
DRILL-1054,2,285,1
DRILL-1055,1,27,1
DRILL-1056,5,861,2
DRILL-1057,2,65,2
DRILL-1058,3,5555,2
DRILL-1060,6,1589,4
DRILL-1061,2,158,2
DRILL-1062,12,5258,6
DRILL-1064,2,347,2
DRILL-1066,1,210,1
DRILL-1070,1,27,1
DRILL-1071,1,27,1
DRILL-1073,1,27,1
DRILL-1074,3,4969,2
DRILL-1080,1,27,1
DRILL-1081,1,27,1
DRILL-1083,1,17,1
DRILL-1085,2,94,2
DRILL-1086,2,114,2
DRILL-1087,1,75,1
DRILL-1088,4,204,3
DRILL-109,1,76,1
DRILL-1090,2,94,2
DRILL-1091,5,1784,2
DRILL-1092,5,4239,4
DRILL-1093,1,171,1
DRILL-1095,4,1720,3
DRILL-1096,4,356,4
DRILL-1097,2,194,2
DRILL-1098,5,5172,4
DRILL-1099,6,3035,4
DRILL-11,4,243,2
DRILL-110,1,0,1
DRILL-1100,2,278,2
DRILL-1101,10,43190,5
DRILL-1102,4,417,4
DRILL-1105,3,234,3
DRILL-1106,2,198,2
DRILL-1107,2,198,2
DRILL-1108,2,199,2
DRILL-1109,1,28,1
DRILL-111,1,0,1
DRILL-1110,3,31074,2
DRILL-1111,2,648,2
DRILL-1116,1,27,1
