Key,CommentCount,CommentLength,CommentPeopleCount
FLINK-10030,9,1282,5
FLINK-10072,12,18756,2
FLINK-10130,3,479,3
FLINK-10134,90,246091,5
FLINK-10135,75,163933,4
FLINK-10138,4,4766,3
FLINK-10150,9,58115,2
FLINK-10166,50,111992,5
FLINK-10175,13,86661,2
FLINK-10211,11,2347,6
FLINK-10220,6,8735,3
FLINK-10255,34,106880,2
FLINK-10269,6,32743,2
FLINK-10297,7,1693,4
FLINK-10309,40,154261,4
FLINK-10342,4,2332,4
FLINK-10364,9,3854,4
FLINK-10368,22,31178,4
FLINK-1037,2,293,1
FLINK-10421,5,3873,2
FLINK-10443,5,691,3
FLINK-10454,6,7124,3
FLINK-10455,41,40225,8
FLINK-10469,16,18844,6
FLINK-10475,7,1070,2
FLINK-10516,20,20563,4
FLINK-10519,7,4190,5
FLINK-10521,4,1875,3
FLINK-10524,4,4270,2
FLINK-10530,3,23098,2
FLINK-10538,5,1501,3
FLINK-10581,4,3713,2
FLINK-10615,5,792,4
FLINK-10617,7,5181,3
FLINK-10657,5,3835,2
FLINK-10658,13,1807,6
FLINK-1067,3,917,2
FLINK-10694,3,534,2
FLINK-10714,6,1546,3
FLINK-10734,7,1981,5
FLINK-10737,8,2587,7
FLINK-10738,1,98,1
FLINK-10747,8,7746,3
FLINK-10756,6,2066,2
FLINK-10761,4,1095,2
FLINK-10811,6,3628,2
FLINK-10812,3,2322,2
FLINK-10819,21,9205,10
FLINK-10825,4,6558,2
FLINK-10826,10,5850,5
FLINK-10834,7,3390,4
FLINK-10837,7,1374,5
FLINK-10874,14,20939,2
FLINK-10881,1,186,1
FLINK-10885,3,373,2
FLINK-10895,1,358,1
FLINK-10911,12,8308,6
FLINK-10941,36,32439,7
FLINK-10954,19,19209,7
FLINK-1096,14,4092,4
FLINK-10960,7,6142,3
FLINK-10999,14,4264,5
FLINK-11003,5,4361,2
FLINK-11011,11,13363,4
FLINK-11027,1,0,1
FLINK-11036,1,60,1
FLINK-11059,2,1735,2
FLINK-11060,7,3652,3
FLINK-11061,1,332,1
FLINK-11072,7,3022,5
FLINK-11085,9,4807,5
FLINK-11087,10,20212,4
FLINK-11107,10,8795,5
FLINK-11143,23,18797,10
FLINK-1116,3,187,3
FLINK-11183,4,1202,2
FLINK-11193,3,379,2
FLINK-11205,10,8184,6
FLINK-11228,2,359,2
FLINK-11230,9,2493,2
FLINK-11250,8,3411,5
FLINK-11263,3,955,3
FLINK-1134,5,1538,4
FLINK-11345,1,0,1
FLINK-11375,3,143,3
FLINK-11380,8,542,4
FLINK-11389,1,289,1
FLINK-11419,8,4442,2
FLINK-11420,13,9682,3
FLINK-11426,1,125,1
FLINK-11428,5,2198,3
FLINK-11429,5,959,2
FLINK-11436,1,135,1
FLINK-11437,2,598,2
FLINK-11470,5,1898,1
FLINK-11524,6,786,4
FLINK-11537,8,4267,3
FLINK-11552,9,78530,3
FLINK-11569,5,1370,3
FLINK-11640,3,1179,2
FLINK-11654,45,15797,12
FLINK-11662,6,1218,6
FLINK-11665,12,6407,5
FLINK-11699,1,50,1
FLINK-11720,17,40347,4
FLINK-11727,1,115,1
FLINK-11743,1,55,1
FLINK-11774,15,12767,7
FLINK-11784,3,874,2
FLINK-11835,14,10092,6
FLINK-11865,3,207,2
FLINK-11950,1,121,1
