Key,CommentCount,CommentLength,CommentPeopleCount
FLINK-10,1,254,1
FLINK-1000,7,1169,2
FLINK-10004,1,0,1
FLINK-10005,16,25230,4
FLINK-10009,21,18081,4
FLINK-1001,5,1224,2
FLINK-10011,25,471737,4
FLINK-10013,1,65,1
FLINK-10019,4,1151,3
FLINK-10021,3,2653,2
FLINK-10032,5,2143,4
FLINK-10033,4,10315,2
FLINK-10035,2,538,2
FLINK-10047,3,477,3
FLINK-10051,7,6838,3
FLINK-10061,16,20680,2
FLINK-10062,1,67,1
FLINK-10063,10,26756,2
FLINK-10064,3,3040,2
FLINK-10065,15,12260,2
FLINK-10070,5,5349,2
FLINK-1008,16,4562,6
FLINK-10088,5,895,5
FLINK-1009,4,326,4
FLINK-10096,4,928,2
FLINK-1010,4,235,2
FLINK-10100,1,54,1
FLINK-10101,8,10921,2
FLINK-10104,4,2735,4
FLINK-10105,2,95,2
FLINK-10107,22,38277,3
FLINK-10108,1,158,1
FLINK-1011,9,2394,6
FLINK-10111,1,45,1
FLINK-10112,2,317,1
FLINK-10115,17,29096,4
FLINK-10116,7,10479,2
FLINK-10125,3,936,3
FLINK-10128,1,200,1
FLINK-10129,3,316,3
FLINK-1013,3,987,2
FLINK-10133,5,792,3
FLINK-1014,2,115,1
FLINK-10140,5,700,3
FLINK-10141,5,11315,2
FLINK-10143,8,2016,4
FLINK-10147,1,0,1
FLINK-10149,15,26192,2
FLINK-1015,5,1158,3
FLINK-10151,5,7564,2
FLINK-10154,5,4731,2
FLINK-10157,35,131616,4
FLINK-10159,4,13618,2
FLINK-10160,2,190,2
FLINK-10169,1,114,1
FLINK-10172,20,19596,3
FLINK-10174,8,10876,2
FLINK-10178,2,673,2
FLINK-1018,19,14804,3
FLINK-10182,1,33,1
FLINK-10184,23,12836,5
FLINK-10187,4,195858,2
FLINK-10188,2,517,2
FLINK-10189,4,4909,2
FLINK-10190,1,116,1
FLINK-10191,1,102,1
FLINK-10192,4,12047,2
FLINK-10193,12,18390,3
FLINK-10195,12,8802,5
FLINK-10197,1,90,1
FLINK-102,1,117,1
FLINK-10204,15,24071,2
FLINK-1021,5,2785,3
FLINK-10213,14,13107,5
FLINK-1022,3,276,2
FLINK-10221,1,0,1
FLINK-10222,24,23347,5
FLINK-10225,8,2279,2
FLINK-10258,21,15696,3
FLINK-10259,12,40404,2
FLINK-1026,9,1132,3
FLINK-10261,14,21975,3
FLINK-10263,5,13239,2
FLINK-10267,8,13671,2
FLINK-10271,4,324,3
FLINK-10278,2,104,1
FLINK-1028,2,200,2
FLINK-10281,18,47127,2
FLINK-10283,4,2885,2
FLINK-10284,7,1874,2
FLINK-10286,1,268,1
FLINK-10287,2,129,2
FLINK-10290,20,15582,3
FLINK-10293,5,7220,2
FLINK-10295,35,154334,3
FLINK-10299,4,4062,3
FLINK-103,1,0,1
FLINK-10300,4,478,2
FLINK-1031,1,52,1
FLINK-10313,1,0,1
FLINK-10314,3,44733,2
FLINK-10316,6,14003,2
FLINK-10317,12,4889,6
