Key,CommentCount,CommentLength,CommentPeopleCount
GEODE-10035,3,559,2
GEODE-10143,1,0,1
GEODE-10189,2,714,2
GEODE-103,5,2813,3
GEODE-1068,3,355,2
GEODE-1137,4,1180,3
GEODE-1138,3,274,2
GEODE-1263,2,447,1
GEODE-1264,2,443,1
GEODE-1265,2,457,1
GEODE-1266,1,337,1
GEODE-138,2,2200,2
GEODE-140,1,442,1
GEODE-147,1,0,1
GEODE-1602,3,1624,2
GEODE-1657,2,526,2
GEODE-1703,15,6825,7
GEODE-1770,2,472,2
GEODE-1783,1,13,1
GEODE-1790,1,44,1
GEODE-1799,6,1408,2
GEODE-1842,7,3033,4
GEODE-1901,1,0,1
GEODE-1906,1,326,1
GEODE-1933,3,332,2
GEODE-1957,5,1012,4
GEODE-2049,5,1617,3
GEODE-2237,1,0,1
GEODE-2247,4,2251,2
GEODE-2275,9,19282,6
GEODE-2295,10,3523,2
GEODE-2358,1,0,1
GEODE-2364,1,0,1
GEODE-245,4,1198,2
GEODE-2509,9,2776,6
GEODE-2554,15,4882,4
GEODE-2599,5,1565,2
GEODE-26,1,230,1
GEODE-2600,2,829,2
GEODE-2601,24,14608,2
GEODE-2676,12,28562,3
GEODE-2733,4,518,3
GEODE-2815,5,1878,3
GEODE-2832,8,10197,1
GEODE-2986,9,3225,2
GEODE-2991,7,1769,4
GEODE-3003,13,6312,5
GEODE-3022,10,7644,4
GEODE-3088,3,1208,2
GEODE-3209,2,510,1
GEODE-3281,2,206,2
GEODE-3335,10,9643,4
GEODE-3563,14,5354,4
GEODE-3588,13,18410,4
GEODE-369,9,6358,5
GEODE-3760,2,819,1
GEODE-3773,2,369,2
GEODE-3863,1,0,1
GEODE-3940,34,344307,3
GEODE-3949,1,350,1
GEODE-4267,14,10157,10
GEODE-4378,4,3474,4
GEODE-438,21,24698,8
GEODE-4420,3,456,3
GEODE-447,3,298,2
GEODE-4641,1,162,1
GEODE-4687,1,0,1
GEODE-4709,5,1376,2
GEODE-4721,17,4770,5
GEODE-4748,11,4705,5
GEODE-4820,1,303,1
GEODE-4821,1,357,1
GEODE-4846,1,227,1
GEODE-4874,5,2024,3
GEODE-4913,6,2436,2
GEODE-4929,8,3800,2
GEODE-4935,2,687,1
GEODE-4979,2,284,2
GEODE-500,6,6789,5
GEODE-5148,1,162,1
GEODE-5547,10,18749,3
GEODE-555,3,260,2
GEODE-5776,2,476,1
GEODE-583,3,293,2
GEODE-5875,2,555,1
GEODE-6032,20,24931,6
GEODE-6043,5,1433,1
GEODE-6099,4,3846,2
GEODE-6286,2,567,2
GEODE-633,3,7199,3
GEODE-6337,10,15422,5
GEODE-635,2,206,2
GEODE-6567,1,336,1
GEODE-6616,15,13284,8
GEODE-6654,1,235,1
GEODE-67,4,1651,2
GEODE-6701,1,227,1
GEODE-671,7,7335,6
GEODE-6778,9,2723,2
GEODE-686,4,5969,4
GEODE-7033,3,814,1
GEODE-704,2,1288,2
GEODE-7048,2,311,2
GEODE-7157,16,4576,4
GEODE-7174,3,899,2
GEODE-7203,3,942,1
GEODE-7220,5,1724,3
GEODE-7254,7,17409,6
GEODE-7371,1,226,1
GEODE-7376,1,0,1
GEODE-7432,1,226,1
GEODE-7506,1,0,1
GEODE-7748,2,433,1
GEODE-7763,36,229784,8
GEODE-7797,1,0,1
GEODE-7821,4,879,3
GEODE-7894,45,33681,2
GEODE-7898,2,518,1
GEODE-7907,4,1298,2
GEODE-805,7,2057,2
GEODE-8255,1,0,1
GEODE-8256,1,0,1
GEODE-8257,1,0,1
GEODE-8258,1,0,1
GEODE-8286,1,344,1
GEODE-8339,13,15393,2
GEODE-8498,11,8890,2
GEODE-8587,11,3581,2
GEODE-8591,1,0,1
GEODE-8592,1,0,1
GEODE-8618,1,59,1
GEODE-8627,16,21821,2
GEODE-8632,3,1144,2
GEODE-8697,27,26028,2
GEODE-8845,6,9721,1
GEODE-89,6,2920,2
GEODE-8983,6,3273,3
GEODE-9043,3,2486,2
GEODE-9075,1,940,1
GEODE-9317,1,317,1
GEODE-932,4,539,3
GEODE-9354,4,1791,1
GEODE-9394,1,361,1
GEODE-9420,1,0,1
GEODE-9478,1,0,1
GEODE-96,8,13901,5
GEODE-9634,4,1105,3
GEODE-976,4,392,3
GEODE-987,2,324,2
GEODE-9982,6,2294,2
