Key,CommentCount,CommentLength,CommentPeopleCount
GEODE-100,1,362,1
GEODE-1000,1,0,1
GEODE-10000,1,253,1
GEODE-10001,2,872,2
GEODE-10002,1,408,1
GEODE-10004,23,20774,4
GEODE-10008,5,2288,2
GEODE-10009,4,1047,1
GEODE-1001,1,131,1
GEODE-10010,13,6860,4
GEODE-10011,3,1631,1
GEODE-10012,3,35913,1
GEODE-10015,4,2316,2
GEODE-10017,3,3993,2
GEODE-1002,1,26,1
GEODE-10022,4,1059,1
GEODE-10023,2,1923,1
GEODE-10029,2,1510,2
GEODE-10030,9,2805,2
GEODE-10031,1,0,1
GEODE-10038,1,0,1
GEODE-10039,4,2574,2
GEODE-10041,2,532,2
GEODE-10042,2,1174,1
GEODE-10043,1,425,1
GEODE-10047,2,1269,1
GEODE-1005,1,369,1
GEODE-10052,4,2056,2
GEODE-10053,1,389,1
GEODE-10054,2,603,2
GEODE-10055,1,335,1
GEODE-10056,1,0,1
GEODE-10057,6,1471,2
GEODE-10059,3,684,2
GEODE-1006,2,591,2
GEODE-10061,3,995,2
GEODE-10063,2,1527,1
GEODE-10065,3,1132,2
GEODE-10066,16,4639,4
GEODE-1007,2,906,1
GEODE-10075,1,882,1
GEODE-10077,1,900,1
GEODE-1008,3,136,2
GEODE-10081,1,0,1
GEODE-10082,4,1692,2
GEODE-10083,1,387,1
GEODE-10084,3,1551,2
GEODE-10085,8,5057,2
GEODE-10086,1,264,1
GEODE-1009,4,549,4
GEODE-10090,3,1275,2
GEODE-10091,18,2991,4
GEODE-10092,8,2296,3
GEODE-10093,8,2410,2
GEODE-10094,1,398,1
GEODE-10095,1,0,1
GEODE-1010,1,435,1
GEODE-10103,5,2667,1
GEODE-10104,1,266,1
GEODE-10105,1,397,1
GEODE-10106,6,3104,4
GEODE-10107,2,619,2
GEODE-10108,2,1187,1
GEODE-10109,2,639,2
GEODE-1011,4,747,4
GEODE-10110,1,447,1
GEODE-10113,3,1413,1
GEODE-10114,1,637,1
GEODE-10115,1,202,1
GEODE-10117,1,511,1
GEODE-10119,4,4449,3
GEODE-1012,2,593,2
GEODE-10121,2,1092,1
GEODE-10122,7,2654,2
GEODE-10123,1,948,1
GEODE-10127,19,8794,3
GEODE-1013,1,131,1
GEODE-10130,1,426,1
GEODE-10132,2,740,2
GEODE-1014,1,294,1
GEODE-10144,9,34720,4
GEODE-10147,9,1235,3
GEODE-10148,4,3940,3
GEODE-1015,2,240,2
GEODE-10153,3,488,1
GEODE-10154,5,748,2
GEODE-10155,1,584,1
GEODE-10156,1,468,1
GEODE-10157,2,397,2
GEODE-10158,1,867,1
GEODE-1016,2,1915,2
GEODE-10160,2,755,2
GEODE-10162,1,539,1
GEODE-10163,2,830,2
GEODE-10164,4,2395,1
GEODE-10166,1,1046,1
GEODE-10167,3,1565,2
GEODE-10168,4,1947,2
GEODE-10169,2,985,2
GEODE-1017,3,1130,1
GEODE-10170,1,501,1
GEODE-10171,2,1028,1
GEODE-10173,2,299,1
GEODE-10174,2,1024,2
GEODE-10175,2,283,2
GEODE-10176,2,182,2
GEODE-10177,2,620,1
GEODE-10178,2,249,2
GEODE-1018,7,8550,3
GEODE-10182,1,220,1
GEODE-10184,4,1745,3
GEODE-10186,9,4530,1
GEODE-10187,1,516,1
GEODE-10188,7,3482,3
GEODE-1019,7,5272,3
GEODE-10191,1,602,1
GEODE-10192,1,484,1
GEODE-10194,1,83,1
GEODE-10195,1,507,1
GEODE-10197,1,273,1
GEODE-10198,1,359,1
GEODE-10199,1,454,1
GEODE-1020,2,160,2
GEODE-10200,4,1212,3
GEODE-10202,1,0,1
GEODE-10203,1,345,1
GEODE-10205,2,337,2
GEODE-10208,1,0,1
GEODE-10209,10,4875,2
GEODE-1021,4,1067,1
GEODE-10210,1,479,1
GEODE-10211,1,515,1
GEODE-10212,1,0,1
GEODE-10215,6,9569,4
GEODE-10217,8,3032,3
GEODE-10219,2,231,2
GEODE-1022,2,431,2
GEODE-10220,1,0,1
GEODE-10222,1,577,1
GEODE-10223,3,994,3
GEODE-10224,1,480,1
GEODE-10228,40,20119,3
GEODE-10229,6,3145,2
GEODE-1023,1,46,1
GEODE-10230,1,502,1
GEODE-10234,1,240,1
GEODE-10236,2,1223,2
GEODE-10239,3,2424,3
GEODE-1024,1,102,1
GEODE-10240,2,1154,2
GEODE-10241,4,769,2
GEODE-10242,2,1319,1
GEODE-10247,1,109,1
GEODE-10248,5,1770,4
GEODE-10250,1,0,1
GEODE-10254,1,336,1
GEODE-10255,1,0,1
GEODE-10256,1,1025,1
GEODE-10258,3,1672,3
GEODE-1026,3,773,2
GEODE-10260,2,481,1
GEODE-10264,5,1589,3
GEODE-10266,4,2050,3
GEODE-10267,1,307,1
GEODE-10268,2,778,2
GEODE-10271,3,770,3
GEODE-10272,2,831,2
GEODE-10277,2,532,1
