Key,CommentCount,CommentLength,CommentPeopleCount
GROOVY-10024,1,0,1
GROOVY-10124,1,592,1
GROOVY-10132,4,361,2
GROOVY-10152,3,688,3
GROOVY-10159,4,322,4
GROOVY-10219,5,2664,2
GROOVY-1026,10,3763,3
GROOVY-10347,1,233,1
GROOVY-10565,4,457,3
GROOVY-10566,1,369,1
GROOVY-10583,1,80,1
GROOVY-10634,2,146,1
GROOVY-1141,3,906,2
GROOVY-1210,1,15,1
GROOVY-1222,3,211,2
GROOVY-1316,2,1888,2
GROOVY-1321,2,753,1
GROOVY-1334,9,755,3
GROOVY-1344,2,460,2
GROOVY-1386,21,10862,11
GROOVY-1440,2,457,2
GROOVY-1495,3,559,3
GROOVY-1517,3,391,1
GROOVY-1539,1,74,1
GROOVY-1545,10,2468,2
GROOVY-1564,2,242,2
GROOVY-1586,3,922,3
GROOVY-1626,2,53,2
GROOVY-1627,12,3061,5
GROOVY-1645,4,669,3
GROOVY-1663,3,113,2
GROOVY-1667,3,1056,3
GROOVY-1708,1,68,1
GROOVY-1759,5,640,3
GROOVY-1774,1,74,1
GROOVY-1777,1,233,1
GROOVY-1790,3,1082,2
GROOVY-1803,2,1065,1
GROOVY-1812,8,1742,5
GROOVY-1860,3,315,2
GROOVY-1863,9,6748,3
GROOVY-1910,7,1307,3
GROOVY-1959,5,1763,2
GROOVY-199,2,1709,2
GROOVY-1992,1,5,1
GROOVY-1993,2,146,1
GROOVY-1998,1,5,1
GROOVY-2006,5,2323,2
GROOVY-2031,3,87,1
GROOVY-2037,15,3976,7
GROOVY-2048,3,671,2
GROOVY-2063,7,1173,2
GROOVY-2081,10,1900,3
GROOVY-2135,19,12669,5
GROOVY-2137,4,4954,2
GROOVY-2143,3,201,2
GROOVY-2178,6,2099,5
GROOVY-2208,3,416,3
GROOVY-2235,8,1509,3
GROOVY-2236,11,1948,3
GROOVY-2239,8,3042,3
GROOVY-2256,5,14183,2
GROOVY-2276,2,88,2
GROOVY-2287,7,1270,2
GROOVY-2365,3,9215,1
GROOVY-2370,2,378,2
GROOVY-2380,12,2046,5
GROOVY-2398,1,5,1
GROOVY-2424,14,18843,5
GROOVY-2432,1,87,1
GROOVY-2437,8,2048,4
GROOVY-2486,3,233,2
GROOVY-2494,7,967,6
GROOVY-2515,7,1623,3
GROOVY-2553,1,23,1
GROOVY-2556,3,2399,2
GROOVY-2596,17,9449,4
GROOVY-2606,9,1794,2
GROOVY-2696,2,2221,1
GROOVY-2717,7,3646,3
GROOVY-2719,2,287,2
GROOVY-2774,6,1604,3
GROOVY-2787,3,6555,3
GROOVY-2803,7,1901,3
GROOVY-2816,24,3408,6
GROOVY-2828,6,1985,3
GROOVY-2850,2,136,2
GROOVY-2875,16,9624,4
GROOVY-2891,1,21,1
GROOVY-2951,6,1739,2
GROOVY-2958,2,285,2
GROOVY-2966,10,7298,2
GROOVY-2974,2,104,1
GROOVY-2994,8,1492,4
GROOVY-3007,7,6606,2
GROOVY-3033,2,237,1
GROOVY-3043,22,10177,8
GROOVY-3095,3,845,2
GROOVY-3152,3,602,2
GROOVY-3208,7,1126,3
GROOVY-3209,2,120,1
GROOVY-3299,6,905,4
GROOVY-3311,13,3687,3
GROOVY-3330,8,1900,3
GROOVY-3359,8,5945,4
GROOVY-3368,2,298,2
GROOVY-3383,2,498,2
GROOVY-3389,4,1834,2
GROOVY-343,6,869,2
GROOVY-3498,15,3858,4
GROOVY-3501,2,166,1
GROOVY-3513,2,80,2
GROOVY-3523,1,75,1
GROOVY-3528,9,1256,3
GROOVY-3578,3,328,3
GROOVY-3589,3,938,2
GROOVY-3594,3,716,1
GROOVY-362,1,37,1
GROOVY-3623,5,2302,2
GROOVY-3628,5,990,2
GROOVY-3658,2,332,1
GROOVY-3662,8,2388,4
GROOVY-3683,5,618,3
GROOVY-3712,24,10974,5
GROOVY-372,3,2042,3
GROOVY-3726,10,3037,4
GROOVY-373,3,314,2
GROOVY-3732,20,16002,5
GROOVY-3792,26,8030,4
GROOVY-3798,5,1149,5
GROOVY-3819,11,1873,6
GROOVY-3823,5,3026,3
GROOVY-383,1,17,1
GROOVY-385,5,2886,3
GROOVY-387,1,28,1
GROOVY-3871,2,477,2
GROOVY-3877,2,296,2
GROOVY-3885,2,719,1
GROOVY-3888,19,7818,5
GROOVY-3896,11,2946,4
GROOVY-3911,3,305,2
GROOVY-3953,45,13951,4
GROOVY-4021,5,1425,2
GROOVY-4051,16,5308,3
GROOVY-41,2,218,2
GROOVY-4102,7,2188,4
GROOVY-412,5,720,3
GROOVY-4159,2,147,1
GROOVY-4190,8,1283,2
GROOVY-42,1,198,1
GROOVY-4346,8,2662,4
GROOVY-453,1,28,1
GROOVY-4587,2,294,2
GROOVY-461,2,218,2
GROOVY-4612,6,470,2
GROOVY-4619,5,1050,2
GROOVY-4654,6,1398,2
GROOVY-4655,2,994,1
GROOVY-4658,2,468,2
GROOVY-4673,23,8134,6
GROOVY-4720,6,1710,3
GROOVY-4732,2,147,1
GROOVY-4733,4,1159,2
GROOVY-4741,10,2217,3
GROOVY-4756,2,203,1
GROOVY-477,6,1056,4
GROOVY-4813,1,29,1
GROOVY-4851,9,1602,5
GROOVY-4863,1,5,1
GROOVY-487,3,1077,3
GROOVY-4884,9,2316,5
GROOVY-4892,3,154,1
GROOVY-4945,4,1342,2
GROOVY-4970,3,615,2
GROOVY-500,2,363,2
GROOVY-5009,18,8951,4
GROOVY-5101,6,2733,3
GROOVY-5102,1,5,1
GROOVY-5114,1,203,1
GROOVY-5267,6,839,3
GROOVY-5274,3,192,2
GROOVY-5277,2,151,1
GROOVY-5278,3,465,1
GROOVY-5297,1,672,1
GROOVY-5320,6,2818,4
GROOVY-5349,3,261,1
GROOVY-5393,5,2725,3
GROOVY-5411,1,83,1
GROOVY-5439,4,1076,2
GROOVY-5467,7,15123,4
GROOVY-5473,16,21665,4
GROOVY-550,4,869,3
GROOVY-5515,2,270,2
GROOVY-5522,6,1026,2
GROOVY-5534,3,273,2
GROOVY-5572,4,795,3
GROOVY-5593,4,3427,3
GROOVY-5635,7,655,3
GROOVY-5671,2,85,2
GROOVY-5676,1,73,1
GROOVY-5677,2,826,2
GROOVY-569,9,4732,6
GROOVY-5703,8,875,2
GROOVY-5706,5,3593,2
GROOVY-5790,1,25,1
GROOVY-5791,1,0,1
GROOVY-5803,1,45,1
GROOVY-5808,4,1276,3
GROOVY-5919,1,126,1
GROOVY-5959,1,0,1
GROOVY-5988,3,294,2
GROOVY-6007,8,2553,2
GROOVY-6020,5,1095,2
GROOVY-6029,3,462,3
GROOVY-6061,1,0,1
GROOVY-6063,6,750,2
GROOVY-6066,2,1600,2
GROOVY-6068,10,5326,2
GROOVY-6101,3,1255,1
GROOVY-6106,2,105,1
GROOVY-6107,2,6021,2
GROOVY-6122,4,743,2
GROOVY-6127,2,1036,1
GROOVY-6131,3,390,1
GROOVY-6156,26,13411,5
GROOVY-6193,2,795,1
GROOVY-6215,1,186,1
GROOVY-6254,3,712,3
GROOVY-6298,2,78,2
GROOVY-6337,3,1776,1
GROOVY-6396,22,9096,3
GROOVY-6401,4,2211,2
GROOVY-6402,1,0,1
GROOVY-6424,3,315,2
GROOVY-6456,11,2606,4
GROOVY-6491,5,4078,4
GROOVY-6557,5,1476,4
GROOVY-6579,7,1355,3
GROOVY-6617,10,2982,2
GROOVY-6655,7,3637,4
GROOVY-6669,3,2460,2
GROOVY-6743,3,268,3
GROOVY-6762,5,1971,2
GROOVY-6834,3,867,1
GROOVY-6855,9,1612,3
GROOVY-6862,11,1731,6
GROOVY-6864,3,1826,3
GROOVY-6865,4,2111,2
GROOVY-6877,8,3415,3
GROOVY-6878,4,688,3
GROOVY-6879,6,866,4
GROOVY-6896,2,321,2
GROOVY-6939,1,578,1
GROOVY-6958,2,842,1
GROOVY-7018,17,12094,5
GROOVY-7023,9,10295,2
GROOVY-7025,9,2844,4
GROOVY-7075,2,165,2
GROOVY-7083,7,2796,4
GROOVY-7104,2,181,2
GROOVY-7110,4,1130,4
GROOVY-7130,4,610,3
GROOVY-7145,1,0,1
GROOVY-7166,11,2767,5
GROOVY-7174,1,0,1
GROOVY-7209,1,0,1
GROOVY-7218,5,2357,4
GROOVY-7284,6,853,4
GROOVY-7290,2,136,2
GROOVY-7291,25,6237,6
GROOVY-7300,1,0,1
GROOVY-7367,2,738,2
GROOVY-7379,6,2841,3
GROOVY-7380,2,849,2
GROOVY-7382,2,477,2
GROOVY-7387,6,3089,4
GROOVY-7409,5,561,4
GROOVY-7435,7,2684,2
GROOVY-7437,6,6794,3
GROOVY-7497,6,1492,5
GROOVY-7509,22,29526,4
