Key,CommentCount,CommentLength,CommentPeopleCount
GROOVY-100,2,131,2
GROOVY-1000,3,1069,1
GROOVY-10002,1,0,1
GROOVY-10006,1,318,1
GROOVY-10007,1,0,1
GROOVY-10009,1,0,1
GROOVY-10010,1,0,1
GROOVY-10011,1,118,1
GROOVY-10027,1,0,1
GROOVY-1003,1,0,1
GROOVY-10033,10,4783,2
GROOVY-10037,5,1711,2
GROOVY-10039,1,51,1
GROOVY-1004,2,1079,1
GROOVY-10040,1,1087,1
GROOVY-10041,1,0,1
GROOVY-10045,2,446,2
GROOVY-10046,1,231,1
GROOVY-10047,1,255,1
GROOVY-10049,15,5041,2
GROOVY-1005,1,65,1
GROOVY-10051,1,0,1
GROOVY-10053,1,733,1
GROOVY-10054,3,1944,2
GROOVY-10055,8,5200,4
GROOVY-10056,2,553,1
GROOVY-10057,1,0,1
GROOVY-10059,3,275,2
GROOVY-1006,1,189,1
GROOVY-10062,1,0,1
GROOVY-10063,1,0,1
GROOVY-10064,1,0,1
GROOVY-10066,1,0,1
GROOVY-10067,1,0,1
GROOVY-10068,3,293,2
GROOVY-10070,5,249,5
GROOVY-10071,1,0,1
GROOVY-10072,1,0,1
GROOVY-10073,3,834,2
GROOVY-10075,9,5347,2
GROOVY-10076,1,0,1
GROOVY-10079,1,180,1
GROOVY-1008,27,19200,3
GROOVY-10080,1,0,1
GROOVY-10081,1,0,1
GROOVY-10082,1,324,1
GROOVY-10083,1,0,1
GROOVY-10084,3,520,2
GROOVY-10085,2,220,2
GROOVY-10086,1,0,1
GROOVY-10087,1,0,1
GROOVY-10088,1,0,1
GROOVY-10089,1,0,1
GROOVY-10091,1,0,1
GROOVY-10092,2,238,1
GROOVY-10094,1,35,1
GROOVY-10095,1,0,1
GROOVY-10096,1,111,1
GROOVY-10097,1,19,1
GROOVY-10098,1,0,1
GROOVY-10099,11,18472,4
GROOVY-10100,2,145,2
GROOVY-10101,2,457,2
GROOVY-10102,3,1378,2
GROOVY-10103,1,144,1
GROOVY-10104,1,0,1
GROOVY-10105,1,0,1
GROOVY-10106,5,4890,2
GROOVY-10107,1,0,1
GROOVY-10108,3,3382,2
GROOVY-10109,1,0,1
GROOVY-1011,1,320,1
GROOVY-10111,1,0,1
GROOVY-10113,1,0,1
GROOVY-10114,1,80,1
GROOVY-10115,2,131,2
GROOVY-10116,2,131,2
GROOVY-10120,1,0,1
GROOVY-10121,2,277,2
GROOVY-10122,4,1256,3
GROOVY-10125,1,0,1
GROOVY-10127,1,20,1
GROOVY-10128,1,80,1
GROOVY-10129,1,0,1
GROOVY-1013,2,432,1
GROOVY-10130,2,144,2
GROOVY-10131,1,0,1
GROOVY-10133,3,565,2
GROOVY-10134,1,0,1
GROOVY-10136,2,385,2
GROOVY-10139,3,282,2
GROOVY-1014,5,858,3
GROOVY-10140,3,450,2
GROOVY-10141,1,0,1
GROOVY-10142,1,0,1
GROOVY-10143,8,1870,3
GROOVY-10144,1,1271,1
GROOVY-10145,12,4371,6
GROOVY-10147,1,0,1
GROOVY-10149,1,0,1
GROOVY-10153,3,345,2
GROOVY-10157,1,0,1
GROOVY-10158,1,49,1
GROOVY-10162,1,0,1
GROOVY-10163,1,0,1
GROOVY-10164,1,0,1
GROOVY-10165,6,1337,3
GROOVY-10166,8,2509,2
GROOVY-1017,4,746,2
GROOVY-10176,1,0,1
GROOVY-10177,2,612,2
GROOVY-10178,6,935,2
GROOVY-10179,1,0,1
GROOVY-1018,4,957,1
GROOVY-10180,1,80,1
GROOVY-10181,3,178,2
GROOVY-10183,1,0,1
GROOVY-10184,1,0,1
GROOVY-10185,2,156,2
GROOVY-10186,1,90,1
GROOVY-10188,2,313,2
GROOVY-10189,1,0,1
GROOVY-1019,2,1470,2
GROOVY-10190,1,0,1
GROOVY-10191,1,40,1
GROOVY-10194,3,481,2
GROOVY-10196,3,401,3
GROOVY-10197,2,319,2
GROOVY-10198,1,0,1
GROOVY-10199,1,40,1
GROOVY-102,2,278,1
GROOVY-1020,1,12,1
GROOVY-10200,2,47,2
GROOVY-10201,13,2589,5
GROOVY-10209,1,0,1
GROOVY-1021,3,249,2
GROOVY-10214,7,2248,3
GROOVY-10215,5,1036,2
GROOVY-10217,1,176,1
GROOVY-10218,1,0,1
GROOVY-1022,1,0,1
GROOVY-10220,1,0,1
GROOVY-10221,1,0,1
GROOVY-10222,2,446,1
GROOVY-10224,3,1018,2
GROOVY-10225,1,0,1
GROOVY-10226,1,0,1
GROOVY-10227,1,80,1
GROOVY-10228,1,80,1
GROOVY-10229,7,1289,2
GROOVY-1023,8,1337,4
GROOVY-10230,1,80,1
GROOVY-10231,1,20,1
GROOVY-10232,15,3566,5
GROOVY-10234,2,301,1
GROOVY-10235,2,922,1
GROOVY-10236,1,0,1
GROOVY-10238,3,858,2
GROOVY-10239,3,823,2
GROOVY-1024,3,1880,2
GROOVY-10241,2,411,2
GROOVY-10243,1,0,1
GROOVY-10247,1,0,1
GROOVY-10248,2,345,1
GROOVY-10249,1,0,1
GROOVY-1025,1,149,1
GROOVY-10250,3,1200,2
GROOVY-10251,1,0,1
GROOVY-10253,1,0,1
GROOVY-10254,1,0,1
GROOVY-10256,1,0,1
GROOVY-10257,1,0,1
GROOVY-10260,5,1415,3
GROOVY-10261,2,101,2
GROOVY-10262,1,0,1
GROOVY-10264,1,61,1
GROOVY-10265,1,163,1
GROOVY-10266,1,0,1
GROOVY-10267,2,159,2
GROOVY-10268,1,78,1
