Key,CommentCount,CommentLength,CommentPeopleCount
GUACAMOLE-1004,5,3073,2
GUACAMOLE-1016,4,1022,2
GUACAMOLE-1017,9,4004,2
GUACAMOLE-1019,2,406,2
GUACAMOLE-1023,1,0,1
GUACAMOLE-1028,17,10516,5
GUACAMOLE-1030,4,1031,2
GUACAMOLE-1032,11,5271,2
GUACAMOLE-1035,1,252,1
GUACAMOLE-1036,9,30222,3
GUACAMOLE-1038,1,395,1
GUACAMOLE-104,6,958,2
GUACAMOLE-1044,8,2942,3
GUACAMOLE-105,4,5044,2
GUACAMOLE-1053,9,2175,3
GUACAMOLE-1061,3,751,1
GUACAMOLE-1066,3,514,2
GUACAMOLE-1076,6,4360,2
GUACAMOLE-1084,1,0,1
GUACAMOLE-1090,1,844,1
GUACAMOLE-1093,1,501,1
GUACAMOLE-1096,6,1097,2
GUACAMOLE-1098,3,692,3
GUACAMOLE-1107,7,2488,3
GUACAMOLE-1111,1,555,1
GUACAMOLE-1114,4,280,2
GUACAMOLE-1115,7,2787,3
GUACAMOLE-1119,1,405,1
GUACAMOLE-1133,14,6532,6
GUACAMOLE-1135,4,688,2
GUACAMOLE-1137,8,4434,2
GUACAMOLE-1148,7,1280,2
GUACAMOLE-1150,1,0,1
GUACAMOLE-1156,1,221,1
GUACAMOLE-1176,1,0,1
GUACAMOLE-1187,4,2775,3
GUACAMOLE-1189,2,179,1
GUACAMOLE-1198,1,1725,1
GUACAMOLE-1203,14,28120,6
GUACAMOLE-1206,1,2777,1
GUACAMOLE-1213,2,2337,2
GUACAMOLE-1222,9,5240,2
GUACAMOLE-1231,2,512,2
GUACAMOLE-1238,2,535,1
GUACAMOLE-1240,9,1975,3
GUACAMOLE-125,41,28404,6
GUACAMOLE-1250,1,218,1
GUACAMOLE-1253,1,139,1
GUACAMOLE-1255,11,4046,4
GUACAMOLE-1256,5,1023,4
GUACAMOLE-1271,2,2659,2
GUACAMOLE-1275,1,778,1
GUACAMOLE-1283,10,6061,3
GUACAMOLE-1285,3,1962,3
GUACAMOLE-1304,19,8934,3
GUACAMOLE-1308,4,904,2
GUACAMOLE-1311,6,3466,3
GUACAMOLE-1316,1,23,1
GUACAMOLE-1318,10,11789,3
GUACAMOLE-1330,3,619,1
GUACAMOLE-1346,8,4589,2
GUACAMOLE-1350,2,335,1
GUACAMOLE-1354,5,4862,2
GUACAMOLE-1363,3,1182,2
GUACAMOLE-1398,1,372,1
GUACAMOLE-1399,1,373,1
GUACAMOLE-1416,4,777,2
GUACAMOLE-1430,4,2913,3
GUACAMOLE-1444,5,3056,2
GUACAMOLE-1453,3,261,2
GUACAMOLE-1473,1,1097,1
GUACAMOLE-1478,13,6643,4
GUACAMOLE-149,1,0,1
GUACAMOLE-1498,4,719,2
GUACAMOLE-1544,2,338,2
GUACAMOLE-155,2,833,2
GUACAMOLE-1555,1,0,1
GUACAMOLE-1564,4,6486,2
GUACAMOLE-1568,1,0,1
GUACAMOLE-1570,1,0,1
GUACAMOLE-1572,2,486,2
GUACAMOLE-1586,2,529,2
GUACAMOLE-159,4,1629,2
GUACAMOLE-1591,2,1078,2
GUACAMOLE-1596,4,532,2
GUACAMOLE-1597,1,428,1
GUACAMOLE-1613,2,890,2
GUACAMOLE-1615,1,0,1
GUACAMOLE-1620,7,9001,3
GUACAMOLE-1632,1,0,1
GUACAMOLE-1637,4,964,2
GUACAMOLE-164,4,1502,2
GUACAMOLE-165,1,0,1
GUACAMOLE-196,7,1780,3
GUACAMOLE-214,7,1228,2
GUACAMOLE-236,4,2470,2
GUACAMOLE-246,6,1957,4
GUACAMOLE-247,7,1399,4
GUACAMOLE-270,3,900,2
GUACAMOLE-284,7,3627,2
GUACAMOLE-299,11,4285,3
GUACAMOLE-307,7,2693,2
GUACAMOLE-309,6,1542,3
GUACAMOLE-340,21,10675,3
GUACAMOLE-342,1,0,1
GUACAMOLE-349,2,294,2
GUACAMOLE-365,7,4331,2
GUACAMOLE-366,2,101,2
GUACAMOLE-384,11,7455,3
GUACAMOLE-388,2,700,1
GUACAMOLE-424,7,1635,3
GUACAMOLE-429,4,517,2
GUACAMOLE-432,5,3081,3
GUACAMOLE-435,7,2051,2
GUACAMOLE-441,15,5962,3
GUACAMOLE-457,1,0,1
GUACAMOLE-469,7,5433,3
GUACAMOLE-476,11,4299,3
GUACAMOLE-477,3,917,2
GUACAMOLE-478,29,15821,5
GUACAMOLE-483,3,1814,2
GUACAMOLE-484,3,379,2
GUACAMOLE-503,2,782,1
GUACAMOLE-512,3,2774,2
GUACAMOLE-515,3,395,2
GUACAMOLE-517,7,3226,2
GUACAMOLE-520,18,17902,3
GUACAMOLE-521,3,1895,3
GUACAMOLE-535,1,989,1
GUACAMOLE-543,2,419,1
GUACAMOLE-583,4,433,2
GUACAMOLE-587,9,3063,3
GUACAMOLE-590,1,0,1
GUACAMOLE-595,4,1972,3
GUACAMOLE-601,5,608,3
GUACAMOLE-608,7,3256,3
GUACAMOLE-614,1,73,1
GUACAMOLE-615,1,0,1
GUACAMOLE-619,4,1234,3
GUACAMOLE-620,18,51439,3
GUACAMOLE-621,1,0,1
GUACAMOLE-637,6,1618,4
GUACAMOLE-638,2,797,2
GUACAMOLE-657,6,4836,3
GUACAMOLE-663,1,226,1
GUACAMOLE-664,2,772,2
GUACAMOLE-666,7,2890,5
GUACAMOLE-68,2,1532,1
GUACAMOLE-697,2,84,1
GUACAMOLE-703,9,3041,4
GUACAMOLE-720,4,700,3
GUACAMOLE-732,3,402,3
GUACAMOLE-739,1,770,1
GUACAMOLE-751,3,650,2
GUACAMOLE-754,1,1012,1
GUACAMOLE-765,2,1547,2
GUACAMOLE-768,6,2303,3
GUACAMOLE-771,2,774,2
GUACAMOLE-774,20,7556,4
GUACAMOLE-779,4,876,3
GUACAMOLE-780,7,1680,3
GUACAMOLE-791,3,1164,2
GUACAMOLE-803,2,169,2
GUACAMOLE-810,4,3096,3
GUACAMOLE-815,2,241,1
GUACAMOLE-816,6,4052,3
GUACAMOLE-818,17,42212,3
GUACAMOLE-819,1,640,1
GUACAMOLE-820,6,2119,2
GUACAMOLE-827,1,177,1
GUACAMOLE-833,2,347,2
GUACAMOLE-834,1,956,1
GUACAMOLE-840,1,1437,1
GUACAMOLE-85,3,4100,2
GUACAMOLE-850,1,826,1
GUACAMOLE-851,2,647,2
GUACAMOLE-86,17,16029,3
GUACAMOLE-861,1,0,1
GUACAMOLE-862,3,231,2
GUACAMOLE-864,1,715,1
GUACAMOLE-865,3,684,3
GUACAMOLE-867,1,21,1
GUACAMOLE-869,2,329,2
GUACAMOLE-873,4,879,3
GUACAMOLE-876,7,3732,3
GUACAMOLE-883,47,19160,18
GUACAMOLE-885,2,415,2
GUACAMOLE-894,4,2590,2
GUACAMOLE-896,7,3604,3
GUACAMOLE-898,1,0,1
GUACAMOLE-900,3,657,2
GUACAMOLE-902,2,224,2
GUACAMOLE-905,2,1475,2
GUACAMOLE-910,2,516,1
GUACAMOLE-917,3,466,2
GUACAMOLE-918,1,0,1
