Key,CommentCount,CommentLength,CommentPeopleCount
GUACAMOLE-10,1,59,1
GUACAMOLE-1001,1,0,1
GUACAMOLE-1003,13,5247,5
GUACAMOLE-1007,9,1321,2
GUACAMOLE-1008,10,3089,4
GUACAMOLE-1009,6,1682,3
GUACAMOLE-1011,1,76,1
GUACAMOLE-1013,2,318,2
GUACAMOLE-1014,4,2616,2
GUACAMOLE-1015,2,1223,2
GUACAMOLE-1018,1,268,1
GUACAMOLE-1021,4,1320,3
GUACAMOLE-1027,2,836,2
GUACAMOLE-1031,4,1373,1
GUACAMOLE-1034,1,509,1
GUACAMOLE-1037,10,10998,4
GUACAMOLE-1039,4,3472,2
GUACAMOLE-1049,1,0,1
GUACAMOLE-1050,4,272,2
GUACAMOLE-1051,3,1100,3
GUACAMOLE-1057,1,174,1
GUACAMOLE-106,2,851,2
GUACAMOLE-1069,1,601,1
GUACAMOLE-1072,2,601,2
GUACAMOLE-1077,2,380,2
GUACAMOLE-1087,1,298,1
GUACAMOLE-1088,1,1642,1
GUACAMOLE-1089,14,124064,6
GUACAMOLE-1091,1,286,1
GUACAMOLE-1092,3,824,3
GUACAMOLE-11,1,59,1
GUACAMOLE-110,3,852,2
GUACAMOLE-1100,1,0,1
GUACAMOLE-1101,1,42,1
GUACAMOLE-1103,3,316,2
GUACAMOLE-1106,5,2772,3
GUACAMOLE-1108,2,1134,2
GUACAMOLE-111,3,2342,3
GUACAMOLE-1112,1,0,1
GUACAMOLE-1113,1,1352,1
GUACAMOLE-1120,1,0,1
GUACAMOLE-1122,1,0,1
GUACAMOLE-1124,5,1264,2
GUACAMOLE-1125,2,110,2
GUACAMOLE-1127,3,2326,1
GUACAMOLE-1131,2,238,2
GUACAMOLE-1134,2,279,2
GUACAMOLE-1136,1,53,1
GUACAMOLE-1138,1,625,1
GUACAMOLE-1139,1,123,1
GUACAMOLE-114,1,0,1
GUACAMOLE-1140,5,7195,2
GUACAMOLE-1141,3,434,2
GUACAMOLE-1146,1,1600,1
GUACAMOLE-1149,9,1711,3
GUACAMOLE-115,3,1932,1
GUACAMOLE-1152,1,39,1
GUACAMOLE-1153,3,1310,2
GUACAMOLE-1154,2,1901,2
GUACAMOLE-1158,2,485,2
GUACAMOLE-1168,1,0,1
GUACAMOLE-1169,1,0,1
GUACAMOLE-117,1,0,1
GUACAMOLE-1170,7,3487,2
GUACAMOLE-1175,1,0,1
GUACAMOLE-1179,3,524,2
GUACAMOLE-1180,1,92,1
GUACAMOLE-1181,3,1307,1
GUACAMOLE-1182,1,0,1
GUACAMOLE-1183,2,222,1
GUACAMOLE-1184,4,1023,3
GUACAMOLE-1185,1,98,1
GUACAMOLE-1188,1,19,1
GUACAMOLE-119,1,214,1
GUACAMOLE-1190,7,2662,4
GUACAMOLE-1193,1,196,1
GUACAMOLE-1199,6,2297,4
GUACAMOLE-120,1,300,1
GUACAMOLE-1201,13,11247,3
GUACAMOLE-1202,5,2054,3
GUACAMOLE-1211,4,1461,3
GUACAMOLE-1214,11,4959,3
GUACAMOLE-1215,2,274,2
GUACAMOLE-1216,2,247,2
GUACAMOLE-1217,2,768,1
GUACAMOLE-122,1,193,1
GUACAMOLE-1220,9,2647,3
GUACAMOLE-1225,2,82,2
GUACAMOLE-1227,1,0,1
GUACAMOLE-1228,1,14,1
GUACAMOLE-123,2,624,2
GUACAMOLE-1232,1,155,1
GUACAMOLE-1234,3,595,2
