Key,CommentCount,CommentLength,CommentPeopleCount
HBASE-10005,22,13967,7
HBASE-10017,38,29039,6
HBASE-10018,38,25496,8
HBASE-10060,11,5676,4
HBASE-10061,31,12005,8
HBASE-10101,41,40022,5
HBASE-10123,33,19753,9
HBASE-10125,11,4646,7
HBASE-10148,32,17708,7
HBASE-10182,17,5266,6
HBASE-10295,17,3632,7
HBASE-10298,10,2170,3
HBASE-10312,27,9098,7
HBASE-10321,18,9220,7
HBASE-10329,18,6934,9
HBASE-10330,12,3825,6
HBASE-10335,23,10309,7
HBASE-1037,6,440,2
HBASE-10383,31,11069,7
HBASE-10384,20,6252,8
HBASE-10438,14,7917,6
HBASE-10443,21,13217,6
HBASE-10447,35,13475,8
HBASE-10454,15,8613,6
HBASE-10461,12,4678,8
HBASE-10493,24,8972,5
HBASE-10497,14,10611,3
HBASE-10501,38,16078,5
HBASE-10514,69,35786,8
HBASE-10515,6,6358,5
HBASE-10547,13,2967,4
HBASE-10548,20,11614,8
HBASE-10549,49,22318,11
HBASE-1058,40,9503,4
HBASE-10581,29,10266,11
HBASE-10587,10,5172,4
HBASE-10598,39,11873,6
HBASE-10600,15,8870,6
HBASE-1062,21,6649,2
HBASE-10645,10,1523,5
HBASE-10647,3,216,3
HBASE-10666,9,4428,4
HBASE-10736,6,1293,3
HBASE-10757,11,5304,5
HBASE-1076,18,5428,2
HBASE-108,7,2021,4
HBASE-10806,8,3711,6
HBASE-10850,74,49089,12
HBASE-10851,22,11798,7
HBASE-10860,11,4586,6
HBASE-10864,9,2124,5
HBASE-10922,24,23590,5
HBASE-10949,12,4254,7
HBASE-10968,6,539,4
HBASE-10981,5,3089,4
HBASE-110,9,1957,4
HBASE-11012,11,9740,5
HBASE-1107,13,9112,3
HBASE-11118,122,75316,16
HBASE-11145,18,18934,5
HBASE-1115,5,588,2
HBASE-1117,7,1199,2
HBASE-1118,5,1937,3
HBASE-11215,7,3364,6
HBASE-1123,16,5634,2
HBASE-11236,12,4268,10
HBASE-11246,2,216,2
HBASE-11252,6,4150,5
HBASE-11277,35,13473,8
HBASE-11279,10,5043,6
HBASE-11295,30,16091,10
HBASE-11354,41,23589,9
HBASE-11371,9,4232,6
HBASE-11380,30,18858,9
HBASE-11386,22,6612,7
HBASE-11408,5,1194,5
HBASE-11413,12,8523,5
HBASE-11423,38,21573,8
HBASE-11433,12,9950,5
HBASE-11542,56,37146,9
HBASE-11544,134,138956,14
HBASE-11550,38,24844,8
HBASE-11591,70,51741,10
HBASE-11595,3,1253,1
HBASE-11614,20,7399,4
HBASE-11627,27,21257,7
HBASE-11652,11,3424,4
HBASE-11653,5,757,1
HBASE-11678,28,20763,7
HBASE-11687,8,3879,6
HBASE-11695,9,3008,4
HBASE-11705,20,11924,7
HBASE-11717,15,3358,7
HBASE-11728,44,17817,8
HBASE-1177,46,30031,6
HBASE-11772,72,32578,9
HBASE-11787,11,3998,6
HBASE-11816,12,4634,6
HBASE-11823,12,9127,6
HBASE-11831,1,0,1
HBASE-11857,14,12838,6
HBASE-11863,21,6980,6
HBASE-11887,13,3676,4
HBASE-11967,7,1194,3
HBASE-11988,39,15694,7
HBASE-11989,8,1573,3
HBASE-1202,7,1608,2
HBASE-12039,16,2551,5
HBASE-12040,46,25095,7
HBASE-12043,11,4599,5
HBASE-12078,32,15832,9
HBASE-12083,19,8778,7
HBASE-12119,8,4483,5
HBASE-12125,22,21144,10
HBASE-1214,6,2613,3
HBASE-12177,12,3227,4
HBASE-12179,3,6501,1
HBASE-12201,19,7450,6
HBASE-12229,32,19678,8
HBASE-12238,9,9679,4
HBASE-12246,6,2354,3
HBASE-12265,9,4312,5
HBASE-12278,19,7463,6
HBASE-12294,46,15206,11
HBASE-123,38,18681,4
HBASE-12319,32,11237,8
HBASE-1232,11,2434,3
HBASE-12348,29,18771,6
HBASE-12380,5,809,3
HBASE-12384,9,5177,5
HBASE-12419,15,8734,6
HBASE-12420,10,4864,6
HBASE-12422,30,33361,6
HBASE-12431,32,5699,8
HBASE-12435,5,1052,2
HBASE-12448,14,5930,5
HBASE-12454,47,20968,7
HBASE-12478,21,9938,8
HBASE-12530,2,98,1
HBASE-12558,26,103731,3
HBASE-12581,28,19565,6
HBASE-1264,15,3811,4
HBASE-12656,6,752,4
HBASE-12686,29,7067,6
HBASE-12728,145,125034,12
HBASE-12741,5,1003,3
HBASE-12865,34,18702,8
HBASE-12878,12,6136,5
HBASE-12898,25,14089,7
HBASE-12923,3,3628,3
HBASE-12956,22,15083,5
HBASE-12978,26,24487,6
HBASE-12996,21,6670,8
HBASE-13087,33,10958,8
HBASE-13088,5,899,3
HBASE-1311,22,19198,4
HBASE-13143,19,5778,7
HBASE-13149,55,25335,9
HBASE-1315,3,232,2
HBASE-13167,6,4397,4
HBASE-13218,5,4064,4
HBASE-13220,9,5545,3
HBASE-13221,14,3961,6
HBASE-13260,52,59718,7
HBASE-13262,167,127565,14
HBASE-13272,9,4066,4
HBASE-13288,10,9041,4
HBASE-13298,14,5963,7
HBASE-13299,11,4877,6
HBASE-13300,41,66608,9
HBASE-13306,6,4803,5
HBASE-13324,14,5619,5
HBASE-13329,62,31741,13
HBASE-13339,91,39368,11
HBASE-13346,48,93438,9
HBASE-13352,27,5954,5
HBASE-13359,7,6873,4
HBASE-13368,23,9305,7
HBASE-13374,26,10934,7
HBASE-13416,5,860,4
HBASE-13430,29,143405,8
HBASE-13444,9,2631,6
HBASE-13445,5,1296,4
HBASE-13452,18,2512,7
HBASE-13480,42,20695,12
HBASE-13566,2,258,2
HBASE-1359,12,7994,3
HBASE-13605,34,19890,10
HBASE-13630,7,4542,5
HBASE-13647,50,18112,8
HBASE-13676,1,82,1
HBASE-13686,48,29151,6
HBASE-13703,14,4250,5
HBASE-1374,3,170,2
HBASE-13772,2,2909,1
HBASE-13776,26,12902,7
HBASE-13795,1,0,1
HBASE-138,25,14388,6
HBASE-13834,17,9051,8
HBASE-13885,30,10732,6
HBASE-13889,41,27793,6
HBASE-1394,21,28158,1
HBASE-13959,53,25780,10
HBASE-13974,11,4300,4
HBASE-140,7,4399,2
HBASE-1401,9,2935,2
HBASE-14012,18,17655,4
HBASE-141,10,1306,3
HBASE-14155,26,11457,8
HBASE-1416,7,2543,3
HBASE-14177,7,1330,4
HBASE-14178,78,58524,9
HBASE-14190,67,38946,16
HBASE-14205,20,9641,7
HBASE-14219,14,6370,6
HBASE-14224,34,21931,6
HBASE-14225,15,19026,6
HBASE-14233,18,5369,7
HBASE-14241,26,15891,5
HBASE-14242,1,47,1
HBASE-14249,46,12641,5
HBASE-14258,27,7102,7
HBASE-14298,13,9247,3
HBASE-14307,44,24472,10
HBASE-14313,24,20691,5
HBASE-14317,106,99129,6
HBASE-14319,1,68,1
HBASE-14349,20,7768,4
HBASE-14382,24,19902,6
HBASE-1439,14,40700,4
HBASE-14407,28,15844,8
HBASE-14409,1,15,1
HBASE-14442,12,4519,3
HBASE-14498,114,114816,12
HBASE-14501,24,13466,7
HBASE-14506,3,173,1
HBASE-14557,40,22464,7
HBASE-14591,14,6419,5
HBASE-14664,11,6310,3
HBASE-147,5,1344,3
HBASE-14745,14,7905,4
HBASE-148,18,6927,4
HBASE-14804,33,11790,7
HBASE-14811,3,522,3
HBASE-14838,20,8923,7
HBASE-14843,30,15478,7
HBASE-14935,3,98,2
HBASE-14943,13,4189,5
HBASE-14950,7,858,4
HBASE-14953,18,6299,5
HBASE-15,9,79319,4
HBASE-1500,13,20034,4
HBASE-15001,23,9028,5
HBASE-15011,28,11907,6
HBASE-15014,23,12289,7
HBASE-15026,8,4088,4
HBASE-15029,5,1155,2
HBASE-15063,9,5610,4
HBASE-1508,10,2629,4
HBASE-15085,58,34848,9
HBASE-15098,17,11517,6
HBASE-15100,41,17444,7
HBASE-15101,36,37446,6
HBASE-15140,4,6063,3
HBASE-15154,7,1104,5
HBASE-15167,11,6728,5
HBASE-15184,20,9472,8
HBASE-15217,8,7064,5
HBASE-15218,33,21648,6
HBASE-15225,8,14517,3
HBASE-15252,28,21612,6
HBASE-15253,7,5845,4
HBASE-15309,1,95,1
HBASE-15322,46,29782,8
HBASE-15360,33,39911,6
HBASE-15406,110,124184,8
HBASE-15535,16,17585,5
HBASE-15548,17,9385,5
HBASE-15573,3,2225,2
HBASE-15619,23,7409,4
