Key,CommentCount,CommentLength,CommentPeopleCount
HBASE-1,4,864,3
HBASE-10,12,4486,3
HBASE-100,4,1244,3
HBASE-1000,6,4446,2
HBASE-10004,9,4326,5
HBASE-10009,1,0,1
HBASE-10011,11,6951,4
HBASE-10012,12,29986,6
HBASE-10013,9,4265,6
HBASE-10014,17,10184,7
HBASE-10015,127,53540,9
HBASE-10025,7,1192,3
HBASE-10026,11,5115,5
HBASE-10028,1,18,1
HBASE-10029,31,13367,11
HBASE-1003,2,38,1
HBASE-10030,13,4986,6
HBASE-10032,8,5293,5
HBASE-10033,1,137,1
HBASE-10045,7,3968,3
HBASE-10046,16,5230,7
HBASE-10047,21,6058,4
HBASE-10050,13,1671,5
HBASE-10051,11,4798,5
HBASE-10053,12,4991,6
HBASE-10056,7,1230,4
HBASE-10057,8,2936,2
HBASE-1006,1,602,1
HBASE-10064,8,1139,4
HBASE-10067,5,499,3
HBASE-10068,2,167,2
HBASE-10069,14,4659,7
HBASE-1007,2,146,1
HBASE-10072,9,4482,5
HBASE-10073,14,5605,4
HBASE-10076,22,5533,6
HBASE-10078,22,7748,4
HBASE-10079,50,18935,11
HBASE-10080,20,12391,7
HBASE-10081,10,5351,6
HBASE-10084,14,5561,5
HBASE-10085,26,11258,6
HBASE-10087,28,10852,9
HBASE-10089,18,5568,7
HBASE-1009,4,1692,2
HBASE-10090,15,8689,4
HBASE-10097,9,4531,6
HBASE-10098,17,5955,4
HBASE-10099,12,1834,6
HBASE-101,7,3043,3
HBASE-1010,2,1102,1
HBASE-10100,10,3304,6
HBASE-10102,3,890,1
HBASE-10103,22,14980,5
HBASE-10105,7,908,2
HBASE-10107,16,5152,7
HBASE-10108,13,5201,5
HBASE-10111,22,12545,8
HBASE-10112,25,9862,8
HBASE-10114,11,5085,5
HBASE-10115,8,2733,4
HBASE-10117,23,10290,6
HBASE-10118,33,18712,8
HBASE-10120,14,5199,5
HBASE-10121,1,0,1
HBASE-1013,2,657,1
HBASE-10132,4,878,3
HBASE-10133,4,1189,3
HBASE-10135,5,3622,4
HBASE-10136,14,8726,7
HBASE-10137,33,19593,9
HBASE-10138,17,7085,6
HBASE-10139,1,0,1
HBASE-10142,30,10805,7
HBASE-10145,2,87,1
HBASE-10146,9,4206,4
HBASE-10149,9,7595,4
HBASE-10155,23,13074,7
HBASE-1016,1,0,1
HBASE-10160,1,18,1
HBASE-10161,27,11880,7
HBASE-10163,13,5123,4
HBASE-10167,1,29,1
HBASE-10172,2,602,2
HBASE-10176,11,4277,7
