Key,CommentCount,CommentLength,CommentPeopleCount
HDDS-1042,5,700,4
HDDS-1082,12,11335,6
HDDS-1093,3,1028,2
HDDS-1102,6,6237,5
HDDS-1112,1,55,1
HDDS-1127,5,1276,5
HDDS-1128,11,23248,4
HDDS-114,6,6149,4
HDDS-1289,2,106,2
HDDS-1302,5,1085,3
HDDS-1304,1,191,1
HDDS-1310,15,18565,5
HDDS-1313,1,683,1
HDDS-132,1,0,1
HDDS-1326,1,0,1
HDDS-1354,7,1255,4
HDDS-138,4,428,3
HDDS-1401,3,2867,3
HDDS-1417,2,519,2
HDDS-1485,5,948,5
HDDS-1492,2,560,2
HDDS-1493,4,3053,4
HDDS-1494,2,585,2
HDDS-1525,9,7698,4
HDDS-1582,4,686,4
HDDS-1610,5,3462,3
HDDS-1676,1,39,1
HDDS-1678,8,7026,4
HDDS-1717,5,1742,5
HDDS-1725,1,5852,1
HDDS-1760,2,585,2
HDDS-1765,4,792,4
HDDS-1766,2,464,2
HDDS-1799,5,1143,4
HDDS-1811,5,963,3
HDDS-1812,6,1436,5
HDDS-1834,13,5889,5
HDDS-1843,4,3323,3
HDDS-1857,1,2431,1
HDDS-19,21,39655,7
HDDS-1913,1,2744,1
HDDS-1923,3,373,3
HDDS-1933,25,8764,10
HDDS-1939,3,1138,3
HDDS-196,5,1293,4
HDDS-197,1,40,1
HDDS-2026,5,7450,3
HDDS-2043,5,2011,3
HDDS-2076,3,3881,3
HDDS-2124,2,744,2
HDDS-2164,3,1628,3
HDDS-2172,4,9922,3
HDDS-230,16,27426,6
HDDS-2324,7,1509,5
HDDS-2328,6,1713,5
HDDS-2346,1,0,1
HDDS-2355,3,203,2
HDDS-2363,1,0,1
HDDS-2392,4,557,3
HDDS-244,1,0,1
HDDS-246,10,14273,4
HDDS-2465,6,1018,4
HDDS-247,40,87446,6
HDDS-2511,1,0,1
HDDS-2515,1,0,1
HDDS-2542,1,0,1
HDDS-263,19,52772,5
HDDS-268,22,36862,5
HDDS-2702,1,0,1
HDDS-273,10,23683,4
HDDS-277,16,31685,5
HDDS-283,11,8220,8
HDDS-2858,1,50,1
HDDS-2881,1,128,1
HDDS-2882,1,0,1
HDDS-2891,2,351,1
HDDS-2898,2,668,2
HDDS-2919,5,2393,2
HDDS-3004,16,34303,3
HDDS-3011,1,63,1
HDDS-3022,5,10453,4
HDDS-3066,2,116,2
HDDS-3067,3,343,3
HDDS-3072,1,0,1
HDDS-3077,4,2108,3
HDDS-3088,7,2846,3
HDDS-3096,4,456,3
HDDS-3106,1,0,1
HDDS-3116,9,9644,5
HDDS-3118,1,0,1
HDDS-3133,6,1402,5
HDDS-314,7,18667,5
HDDS-318,9,7325,6
HDDS-321,3,4424,2
HDDS-3214,4,1238,4
HDDS-3225,1,77,1
HDDS-3266,1,427,1
HDDS-3272,1,129,1
HDDS-3277,2,585,2
HDDS-3282,1,655,1
HDDS-3285,1,0,1
HDDS-3317,1,547,1
HDDS-3323,6,1153,6
HDDS-334,9,6877,4
HDDS-338,8,4834,6
HDDS-3380,1,0,1
HDDS-3392,1,0,1
HDDS-3402,5,704,5
HDDS-341,10,4220,4
HDDS-344,5,5208,4
HDDS-3465,1,21810,1
HDDS-3481,14,7520,6
HDDS-3512,9,3871,3
HDDS-3554,3,398,3
HDDS-3562,1,0,1
HDDS-3564,1,84,1
HDDS-3600,2,585,2
HDDS-3611,1,90,1
HDDS-3619,5,899,4
HDDS-3632,1,0,1
HDDS-3659,2,585,2
HDDS-368,8,8887,5
HDDS-3765,6,2886,3
HDDS-3777,1,0,1
HDDS-3778,1,212,1
HDDS-3920,1,0,1
HDDS-3930,1,0,1
HDDS-3935,2,95,2
HDDS-3965,8,3367,4
HDDS-399,23,55077,6
HDDS-3999,3,654,2
HDDS-4008,6,1336,3
HDDS-4010,1,0,1
HDDS-4026,1,623,1
HDDS-403,24,33686,5
HDDS-4037,1,0,1
HDDS-4040,2,106,2
HDDS-408,5,5983,4
HDDS-415,10,6250,6
HDDS-4164,8,1467,4
HDDS-4186,1,0,1
HDDS-420,17,22324,6
HDDS-4308,12,4549,4
HDDS-4327,3,602,2
HDDS-4343,1,0,1
HDDS-4408,1,33,1
HDDS-4423,3,689,3
HDDS-4456,1,37,1
HDDS-4497,2,197,1
HDDS-451,22,12406,7
HDDS-4597,1,84,1
HDDS-4607,1,89,1
HDDS-4696,1,33,1
HDDS-4703,6,8704,3
HDDS-4731,1,356,1
HDDS-4774,1,0,1
HDDS-4851,1,0,1
HDDS-497,8,12030,4
HDDS-502,7,11669,4
HDDS-5068,5,950,3
HDDS-510,5,832,4
HDDS-5193,13,15084,4
HDDS-5230,1,286,1
HDDS-5279,1,906,1
HDDS-530,12,1440,6
HDDS-5426,1,80,1
HDDS-544,12,19383,4
HDDS-5500,1,41,1
HDDS-5524,1,0,1
HDDS-5547,4,651,2
HDDS-5619,1,57,1
HDDS-568,13,13229,6
HDDS-5744,1,0,1
HDDS-5756,7,6077,3
HDDS-5804,1,17,1
HDDS-5858,1,0,1
HDDS-5861,1,0,1
HDDS-5865,1,0,1
HDDS-59,6,7801,4
HDDS-600,6,22329,3
HDDS-622,2,251,2
HDDS-6291,1,0,1
HDDS-6369,1,0,1
HDDS-638,12,29673,5
HDDS-6546,5,23817,1
HDDS-6828,1,0,1
HDDS-6868,6,1922,4
HDDS-687,7,22187,5
HDDS-6897,1,0,1
HDDS-7034,1,61,1
HDDS-741,6,2844,4
HDDS-762,5,6697,5
HDDS-939,2,1159,2
HDDS-992,7,4130,5
