Key,CommentCount,CommentLength,CommentPeopleCount
HDDS-1002,7,5254,4
HDDS-1003,1,0,1
HDDS-1004,4,5018,3
HDDS-1006,7,4927,5
HDDS-1009,7,4827,5
HDDS-1011,6,5033,4
HDDS-1013,10,10105,5
HDDS-1014,1,573,1
HDDS-1015,7,5969,3
HDDS-1018,5,4185,4
HDDS-1019,14,15240,4
HDDS-1022,4,4516,3
HDDS-1024,12,24810,4
HDDS-1025,9,14494,4
HDDS-1027,5,11255,3
HDDS-1028,6,10353,4
HDDS-1029,21,37195,5
HDDS-1030,7,5059,4
HDDS-1031,8,4379,4
HDDS-1032,6,4728,5
HDDS-1033,10,11127,5
HDDS-1034,6,5439,5
HDDS-1035,5,4868,4
HDDS-1036,1,48,1
HDDS-1040,6,12172,3
HDDS-1044,11,16810,5
HDDS-1045,1,0,1
HDDS-1047,11,14399,5
HDDS-1056,2,585,2
HDDS-1057,3,1214,3
HDDS-1067,7,8331,5
HDDS-1073,7,9303,5
HDDS-1074,5,4941,4
HDDS-1075,7,5395,5
HDDS-1076,10,19927,5
HDDS-1078,4,4855,3
HDDS-1079,3,643,3
HDDS-108,14,31013,5
HDDS-1081,4,4882,3
HDDS-1083,3,215,2
HDDS-1088,19,56343,4
HDDS-109,11,17552,5
HDDS-1095,21,37060,6
HDDS-1096,4,5377,4
HDDS-1097,4,9689,3
HDDS-1099,8,10836,4
HDDS-11,5,10012,3
HDDS-110,4,709,4
HDDS-1100,6,5139,5
HDDS-1103,3,5684,3
HDDS-1106,6,6435,4
HDDS-1114,3,844,2
HDDS-1121,11,8639,6
HDDS-1122,5,5305,4
HDDS-1124,1,2814,1
HDDS-1125,1,3318,1
HDDS-1126,9,6466,5
HDDS-1129,2,861,2
HDDS-1130,10,19142,4
HDDS-1131,1,82,1
HDDS-1134,4,5427,3
HDDS-1138,7,1876,4
HDDS-1148,9,12189,5
HDDS-1149,4,5255,3
HDDS-1153,7,8098,6
HDDS-1157,4,1187,3
HDDS-1164,8,23482,3
HDDS-1165,5,4975,4
HDDS-1170,3,5584,3
HDDS-1171,14,27013,5
HDDS-1178,1,1375,1
HDDS-1179,8,11971,5
HDDS-118,4,198,2
HDDS-119,24,25427,8
HDDS-1194,2,585,2
HDDS-1195,1,0,1
HDDS-1199,5,942,5
HDDS-1206,2,585,2
HDDS-1208,8,16986,4
HDDS-121,4,787,4
HDDS-1210,15,47341,5
HDDS-1213,5,959,3
HDDS-122,5,330,3
HDDS-1220,4,6573,4
HDDS-1221,1,76,1
HDDS-1226,3,951,2
HDDS-1240,4,851,3
HDDS-1241,5,13447,4
HDDS-1242,2,514,2
HDDS-1244,2,442,1
HDDS-1248,7,1042,6
HDDS-1251,1,69,1
HDDS-1252,2,585,2
HDDS-1256,5,6267,4
HDDS-1257,8,18857,5
HDDS-126,7,11218,4
HDDS-1263,4,1640,3
HDDS-1264,2,433,2
HDDS-1265,6,1221,3
HDDS-127,9,15614,4
HDDS-1281,7,12669,4
HDDS-1282,6,10628,4
HDDS-1283,2,402,2
HDDS-1284,11,1889,4
HDDS-1288,7,11464,4
HDDS-1290,3,721,3
HDDS-1292,1,0,1
HDDS-1293,5,11126,4
HDDS-1294,10,15245,6
HDDS-1295,8,12853,5
HDDS-1297,18,33917,6
HDDS-1298,4,654,3
HDDS-130,14,18144,6
HDDS-1305,4,1324,4
HDDS-1306,13,20443,6
HDDS-1307,2,395,2
HDDS-1308,2,490,2
HDDS-1309,3,544,3
HDDS-131,1,54,1
HDDS-1314,1,0,1
HDDS-1315,2,150,2
HDDS-1320,6,6561,3
HDDS-1321,2,421,2
HDDS-1322,5,6368,4
HDDS-1323,6,5760,4
HDDS-1324,3,483,3
HDDS-1325,2,585,2
HDDS-1327,1,26,1
HDDS-1331,3,462,3
HDDS-1332,8,6986,4
HDDS-1333,8,8009,5
HDDS-1334,5,5878,4
HDDS-1338,1,106,1
HDDS-1341,1,744,1
HDDS-1351,11,24874,5
HDDS-1355,2,664,2
HDDS-1356,4,1026,4
HDDS-1357,2,722,2
HDDS-1360,6,11112,4
HDDS-1361,2,585,2
HDDS-1362,1,0,1
HDDS-1363,5,13772,3
HDDS-1370,2,594,2
HDDS-1372,1,482,1
HDDS-1373,9,17267,4
HDDS-1374,2,440,2
HDDS-1375,2,585,2
HDDS-1376,1,1300,1
HDDS-1377,4,762,3
HDDS-1378,1,0,1
HDDS-1380,4,6405,4
HDDS-1384,8,2789,4
HDDS-1385,2,505,2
HDDS-1386,5,5664,4
HDDS-1387,5,812,4
HDDS-1389,2,376,2
HDDS-1390,4,5663,4
HDDS-1394,2,585,2
HDDS-1395,10,28115,4
HDDS-1397,1,350,1
HDDS-1398,3,152,2
HDDS-1399,2,543,2
HDDS-1403,2,1217,2
HDDS-1404,8,6229,6
HDDS-1405,1,343,1
HDDS-1408,1,52,1
HDDS-141,15,33879,4
HDDS-1413,2,3794,2
HDDS-1414,2,299,2
HDDS-1415,1,39,1
HDDS-1418,2,338,2
HDDS-1419,1,300,1
HDDS-142,12,10122,5
HDDS-1420,1,916,1
HDDS-1421,1,335,1
HDDS-1422,3,917,3
HDDS-1424,2,1260,2
HDDS-1425,7,1697,5
HDDS-1431,2,466,2
HDDS-1432,5,6396,4
HDDS-1433,10,7670,7
HDDS-1434,3,6124,3
HDDS-1436,2,869,2
HDDS-1437,1,107,1
HDDS-1438,1,51,1
HDDS-1445,1,44,1
HDDS-1446,4,3041,4
HDDS-1447,5,6922,5
HDDS-1448,5,1278,5
HDDS-1449,4,2994,4
HDDS-1450,2,539,2
HDDS-1451,4,1033,4
HDDS-1453,2,246,2
HDDS-1454,6,1823,5
HDDS-1456,2,1376,2
HDDS-1457,5,4069,4
HDDS-1459,1,265,1
HDDS-1460,2,5049,2
HDDS-1462,2,1230,2
HDDS-1463,2,585,2
HDDS-1475,1,749,1
HDDS-1476,3,560,3
HDDS-1477,1,77,1
HDDS-1479,1,260,1
HDDS-1481,1,335,1
HDDS-1484,2,585,2
HDDS-1486,2,114,2
HDDS-1489,1,788,1
HDDS-1491,1,857,1
HDDS-1497,7,8717,5
HDDS-1502,2,1042,1
HDDS-1503,1,301,1
HDDS-1504,4,370,4
HDDS-1509,1,486,1
HDDS-1510,4,1271,4
HDDS-1517,8,2200,4
HDDS-1527,6,885,4
HDDS-1530,11,9631,7
HDDS-1531,1,407,1
HDDS-1532,6,2792,6
HDDS-1534,7,7526,5
HDDS-1555,3,1201,2
HDDS-1556,2,585,2
HDDS-1557,2,134,2
HDDS-1558,3,1604,3
HDDS-1560,3,2911,3
HDDS-1561,7,28481,4
HDDS-1562,2,585,2
HDDS-1563,3,644,3
HDDS-1566,2,585,2
HDDS-158,5,5330,4
HDDS-1581,4,688,4
HDDS-1583,3,810,3
HDDS-1584,1,374,1
HDDS-1587,2,581,2
HDDS-1588,3,6105,3
HDDS-1589,1,0,1
HDDS-1591,3,1252,3
HDDS-1592,2,2739,2
HDDS-1593,1,304,1
HDDS-1597,9,4416,4
HDDS-1598,1,538,1
HDDS-1604,3,4551,2
HDDS-1606,2,675,2
HDDS-161,8,15026,4
HDDS-1613,2,512,2
HDDS-1614,1,0,1
HDDS-1615,2,425,2
HDDS-1616,1,362,1
HDDS-162,1,0,1
HDDS-1623,1,0,1
HDDS-1624,1,970,1
HDDS-1625,2,559,2
HDDS-1626,2,585,2
HDDS-1628,3,530,3
HDDS-1636,2,2220,2
HDDS-1641,2,354,2
HDDS-1642,3,1214,3
HDDS-1647,2,386,2
HDDS-1650,2,1081,2
HDDS-1651,1,0,1
HDDS-1652,2,542,2
HDDS-1654,1,520,1
HDDS-1657,5,6866,3
HDDS-1658,1,0,1
HDDS-1661,11,7642,4
HDDS-1664,1,241,1
HDDS-1665,1,0,1
HDDS-1666,2,523,2
HDDS-1669,1,489,1
HDDS-1671,1,35,1
HDDS-1673,2,3213,2
HDDS-1677,1,329,1
HDDS-1679,3,189,2
HDDS-1680,2,704,2
HDDS-1682,1,435,1
HDDS-1684,1,703,1
HDDS-1687,1,215,1
HDDS-1693,2,585,2
HDDS-1694,1,653,1
HDDS-1695,2,585,2
HDDS-1696,1,99,1
HDDS-1697,4,909,4
HDDS-1700,3,671,2
HDDS-1701,3,607,2
HDDS-1703,1,0,1
HDDS-1706,5,6295,4
HDDS-1707,1,76,1
HDDS-1709,2,472,2
HDDS-1711,5,2043,4
HDDS-1712,35,46319,4
HDDS-1714,6,1010,5
HDDS-1715,1,437,1
HDDS-1716,4,4114,3
HDDS-1721,1,350,1
HDDS-1724,2,585,2
HDDS-1728,2,731,2
HDDS-1729,1,69,1
HDDS-1734,13,23664,6
HDDS-1748,2,511,2
HDDS-1749,1,362,1
HDDS-175,30,104079,7
HDDS-1750,2,840,2
HDDS-1751,2,1689,2
HDDS-1752,7,1677,4
HDDS-1753,4,11212,3
HDDS-1754,2,532,2
HDDS-1755,2,585,2
HDDS-1756,3,654,3
HDDS-1758,2,710,2
HDDS-1763,3,441,2
HDDS-1764,1,439,1
HDDS-1767,2,6119,2
HDDS-1769,1,33,1
HDDS-1770,1,99,1
HDDS-1776,2,58,2
HDDS-1777,4,816,4
HDDS-1778,2,2284,2
HDDS-1779,1,486,1
HDDS-1780,1,699,1
HDDS-1782,1,758,1
HDDS-1784,2,504,2
HDDS-1785,3,2226,3
HDDS-1786,1,662,1
HDDS-1789,1,0,1
HDDS-179,34,75702,5
HDDS-1790,1,346,1
HDDS-1792,1,0,1
HDDS-1793,1,447,1
HDDS-1796,4,1171,3
