Key,CommentCount,CommentLength,CommentPeopleCount
HIVE-10100,14,6510,5
HIVE-10215,4,1418,3
HIVE-10230,1,0,1
HIVE-10272,10,18513,4
HIVE-10278,1,0,1
HIVE-1037,5,437,2
HIVE-10437,8,3286,5
HIVE-10529,8,3499,5
HIVE-10538,20,11921,5
HIVE-10597,3,4591,2
HIVE-106,3,413,2
HIVE-10604,5,4102,3
HIVE-10632,28,24165,5
HIVE-10685,13,6646,5
HIVE-10770,1,0,1
HIVE-1088,8,1450,3
HIVE-10880,27,16559,4
HIVE-10892,6,1268,3
HIVE-10983,22,21281,5
HIVE-10996,37,42914,6
HIVE-11031,10,6085,4
HIVE-11091,6,5706,5
HIVE-11095,23,4280,6
HIVE-11113,14,7225,4
HIVE-11117,1,0,1
HIVE-11266,15,4682,10
HIVE-11312,20,4217,5
HIVE-11334,2,811,2
HIVE-11388,28,15467,7
HIVE-11477,6,9797,3
HIVE-11519,7,634,5
HIVE-11554,2,322,2
HIVE-11596,7,5488,3
HIVE-11716,31,15291,4
HIVE-11768,18,5152,5
HIVE-11771,6,1683,3
HIVE-11840,2,61,1
HIVE-11848,5,3840,2
HIVE-11975,6,512,2
HIVE-12064,32,23446,7
HIVE-12174,2,5153,2
HIVE-12233,1,0,1
HIVE-12318,5,298,3
HIVE-12352,14,3467,4
HIVE-12353,21,10516,6
HIVE-12397,3,409,2
HIVE-124,3,50,3
HIVE-12420,6,11498,3
HIVE-12425,2,87,2
HIVE-12435,21,6652,7
HIVE-12450,10,1873,4
HIVE-12462,15,4518,5
HIVE-12465,7,6974,3
HIVE-12473,17,4800,4
HIVE-12479,12,3012,6
HIVE-12532,6,2179,3
HIVE-12534,7,1029,4
HIVE-12537,10,4775,3
HIVE-12547,16,2891,2
HIVE-12569,11,2011,6
HIVE-12572,1,74,1
HIVE-12573,6,2612,3
HIVE-12577,14,19901,4
HIVE-12585,7,2460,3
HIVE-12632,16,24468,5
HIVE-12648,11,3146,3
HIVE-12724,21,15636,4
HIVE-12745,2,541,2
HIVE-12797,16,8217,4
HIVE-12904,12,4303,3
HIVE-12905,7,8822,4
HIVE-12927,12,5304,3
HIVE-1294,4,211,2
HIVE-12943,7,5649,5
HIVE-12945,12,6475,5
HIVE-12974,3,2033,1
HIVE-1298,7,1416,3
HIVE-13021,8,4496,4
HIVE-13032,5,660,3
HIVE-13203,1,0,1
HIVE-13237,5,2308,3
HIVE-13246,5,334,2
HIVE-13282,16,7027,9
HIVE-13311,3,1634,2
HIVE-13370,12,3325,8
HIVE-13382,3,316,2
HIVE-13395,29,15389,6
HIVE-13403,13,12016,4
HIVE-13522,8,1274,4
HIVE-13535,1,0,1
HIVE-13574,1,0,1
HIVE-13599,14,24654,4
HIVE-136,19,7961,4
HIVE-13604,4,25929,2
HIVE-13622,8,28958,3
HIVE-13647,1,144,1
HIVE-13691,4,2359,2
HIVE-13725,20,7179,5
HIVE-1373,10,2204,5
HIVE-13730,18,52503,4
HIVE-1375,3,116,3
HIVE-13755,1,0,1
HIVE-13795,2,243,2
HIVE-13821,6,6378,3
HIVE-13856,6,844,3
HIVE-13858,10,3924,4
HIVE-13869,4,355,3
HIVE-13876,4,2032,3
HIVE-139,1,20,1
HIVE-13928,3,247,3
HIVE-13941,7,2265,4
HIVE-13943,3,416,3
HIVE-13945,21,25138,3
HIVE-13951,1,67,1
HIVE-13955,4,2094,3
HIVE-13961,19,10113,4
HIVE-13963,5,953,2
HIVE-13974,40,85736,6
HIVE-14,3,431,2
HIVE-14044,8,1808,4
HIVE-14083,6,1896,4
HIVE-141,3,1017,2
HIVE-14195,8,3833,3
HIVE-14231,6,2925,3
HIVE-14246,7,9346,4
HIVE-14326,5,4264,4
HIVE-14348,8,5847,3
HIVE-14366,5,3266,4
HIVE-1444,6,2496,4
HIVE-14448,32,19473,6
HIVE-14607,15,4498,4
HIVE-14608,9,5102,4
HIVE-14614,14,4353,4
HIVE-14648,3,1511,3
HIVE-1465,8,968,3
HIVE-14652,14,10644,3
HIVE-14684,1,218,1
HIVE-14706,6,1730,4
HIVE-14749,1,1344,1
HIVE-14863,20,4831,4
HIVE-15035,13,4927,3
HIVE-15077,9,9499,4
HIVE-15082,13,25490,4
HIVE-15083,1,0,1
HIVE-151,9,15393,5
HIVE-15104,64,52934,8
HIVE-15157,14,19018,4
HIVE-15181,15,9451,4
HIVE-15190,19,24173,5
HIVE-15197,2,136,1
HIVE-15268,1,36,1
HIVE-15325,2,1660,2
HIVE-154,2,375,2
HIVE-15504,4,1315,3
HIVE-15552,8,38877,4
HIVE-15693,14,7926,4
HIVE-1571,2,147,2
HIVE-15729,5,9726,2
HIVE-15906,5,2191,3
HIVE-160,8,1053,5
HIVE-16037,2,382,2
HIVE-16044,7,4503,4
HIVE-16077,9,12444,4
HIVE-161,6,481,4
HIVE-1613,4,121,3
HIVE-1615,4,259,3
HIVE-16177,29,42736,5
HIVE-16208,3,886,3
HIVE-16301,26,8395,3
HIVE-16321,19,13361,5
HIVE-16353,4,1429,4
HIVE-16357,17,12188,6
HIVE-16396,10,4639,5
HIVE-16669,6,1395,1
HIVE-16674,9,63157,3
HIVE-16713,1,292,1
HIVE-16952,1,453,1
HIVE-16958,11,4378,7
HIVE-17011,5,4172,3
HIVE-17172,21,12236,7
HIVE-17211,1,0,1
HIVE-1724,2,69,2
HIVE-17280,7,2168,3
HIVE-17321,14,8404,5
HIVE-17404,7,9031,3
HIVE-17591,1,177,1
HIVE-17605,1,0,1
HIVE-17678,1,188,1
HIVE-179,15,4721,3
HIVE-17937,25,55505,5
HIVE-18014,1,0,1
HIVE-18325,5,599,2
HIVE-18334,1,352,1
HIVE-18395,10,5874,2
HIVE-18570,21,51072,4
HIVE-18581,9,15819,4
HIVE-18619,5,1788,2
HIVE-18666,2,171,2
HIVE-1867,6,914,3
HIVE-18774,3,697,1
HIVE-18775,18,59465,4
HIVE-18786,15,7347,8
HIVE-18812,2,142,2
HIVE-18955,20,75203,7
HIVE-1896,7,4628,2
HIVE-1902,9,9302,5
HIVE-19114,2,141,2
HIVE-19130,12,24025,7
HIVE-1922,5,1157,3
HIVE-19248,21,88195,7
HIVE-1925,2,49,2
HIVE-1928,5,191,2
HIVE-19287,13,45712,3
HIVE-19292,1,91,1
HIVE-19296,2,771,2
HIVE-193,5,2726,5
HIVE-19326,57,110081,5
HIVE-19375,5,4393,3
HIVE-19384,12,65274,4
HIVE-1939,5,1785,2
HIVE-19394,11,8659,5
HIVE-19437,1,32,1
HIVE-19448,10,30643,5
HIVE-19497,10,28672,4
HIVE-19498,16,31348,5
HIVE-19530,11,9896,4
HIVE-19535,2,357,2
HIVE-1981,12,2636,4
HIVE-19818,3,222,1
HIVE-19832,1,0,1
HIVE-199,1,271,1
HIVE-19950,4,11411,2
HIVE-19958,1,223,1
HIVE-19959,3,387,2
HIVE-20001,22,28993,6
HIVE-2010,1,19,1
HIVE-20187,13,13800,4
HIVE-20208,9,9690,3
HIVE-20230,1,0,1
HIVE-20325,11,6484,5
HIVE-205,4,409,2
HIVE-2058,1,284,1
HIVE-20606,1,24,1
HIVE-20816,5,636,2
HIVE-20912,1,0,1
HIVE-21082,7,5003,3
HIVE-2117,10,4527,4
HIVE-21367,19,36479,4
HIVE-21370,3,4450,2
HIVE-21531,11,16556,4
HIVE-21574,5,498,5
HIVE-2160,4,4052,3
HIVE-21643,6,729,3
HIVE-218,5,434,3
HIVE-21820,3,1667,3
HIVE-21843,21,31175,3
HIVE-219,6,1804,4
HIVE-21928,15,30264,3
HIVE-22031,12,28258,2
HIVE-22044,1,210,1
HIVE-22098,19,10917,9
HIVE-22576,2,174,1
HIVE-2264,22,5645,9
HIVE-22685,20,18839,4
HIVE-2328,4,1156,3
HIVE-233,4,1618,3
HIVE-2332,25,10916,8
HIVE-2333,5,1593,3
HIVE-2341,1,34,1
HIVE-23615,2,111,2
HIVE-23704,2,247,2
HIVE-23721,1,1384,1
HIVE-2379,31,10095,7
HIVE-23896,3,161,2
HIVE-24066,5,3850,3
HIVE-24069,2,94,2
HIVE-24080,1,0,1
HIVE-24174,1,0,1
HIVE-24200,1,0,1
HIVE-24218,1,62,1
HIVE-24579,11,10176,2
HIVE-24609,1,176,1
HIVE-2466,12,5565,5
HIVE-25,12,3619,2
HIVE-25093,10,3645,4
HIVE-251,11,3038,5
HIVE-25199,1,35,1
HIVE-25261,1,160,1
HIVE-253,11,3297,4
HIVE-25365,1,40,1
HIVE-2544,14,4252,6
HIVE-25487,3,447,2
HIVE-25600,5,414,4
HIVE-25644,1,557,1
HIVE-25662,3,138,3
HIVE-2568,7,7957,5
HIVE-2571,9,3700,4
HIVE-2572,6,1514,5
HIVE-25882,1,0,1
HIVE-25997,1,84,1
HIVE-26082,1,0,1
HIVE-26112,9,3973,4
HIVE-26164,1,0,1
HIVE-262,11,1609,4
HIVE-26330,1,0,1
HIVE-2646,91,61895,8
HIVE-273,7,298,2
HIVE-307,23,3234,9
HIVE-3083,1,0,1
HIVE-3141,19,3598,4
HIVE-3149,5,1916,4
HIVE-318,15,3731,5
HIVE-320,10,1180,6
HIVE-3218,20,8512,4
HIVE-3233,1,0,1
HIVE-324,17,1836,6
HIVE-327,4,154,3
HIVE-3443,31,10316,5
HIVE-3484,14,4252,5
HIVE-3693,14,3169,5
HIVE-3696,9,1290,4
HIVE-379,11,3563,4
HIVE-3832,10,2007,3
HIVE-384,10,2867,3
HIVE-390,4,160,2
HIVE-3953,14,2520,7
HIVE-3991,5,536,3
HIVE-3993,2,1662,2
HIVE-400,2,99,2
HIVE-4003,25,5065,10
HIVE-4070,11,12393,6
HIVE-4106,28,7309,4
HIVE-4119,10,2369,5
HIVE-4149,11,3425,4
HIVE-4167,13,4197,4
HIVE-4179,24,6008,4
HIVE-4257,12,10535,4
HIVE-4293,21,27900,5
HIVE-4317,6,1131,4
HIVE-4329,31,24961,8
HIVE-4342,10,11424,5
HIVE-4433,8,4624,3
HIVE-4498,17,3033,5
HIVE-4501,38,10467,8
HIVE-4515,5,1302,4
HIVE-4527,6,1109,3
HIVE-4561,40,21244,6
HIVE-457,6,2439,3
HIVE-4576,13,3585,7
HIVE-458,10,1842,3
HIVE-4631,1,0,1
HIVE-4730,32,27489,7
HIVE-4798,7,1247,3
HIVE-487,63,27870,10
HIVE-4891,3,2002,3
HIVE-4897,11,5145,4
HIVE-4991,19,6504,7
HIVE-5001,2,439,1
HIVE-5011,11,179599,7
HIVE-5026,15,3613,6
HIVE-5087,55,258617,12
HIVE-5109,1,0,1
HIVE-5149,24,411423,5
HIVE-5185,1,0,1
HIVE-5221,12,13017,4
HIVE-5273,3,2887,2
HIVE-5277,17,6953,5
HIVE-5302,20,13826,7
HIVE-5328,1,96,1
HIVE-5341,11,1259,5
HIVE-5357,12,1211321,6
HIVE-5364,19,8585,8
HIVE-5374,20,5766,6
HIVE-5394,18,7830,5
HIVE-5401,3,273,3
HIVE-5402,22,11785,6
HIVE-5419,13,7853,5
HIVE-5431,16,4764,6
HIVE-5481,6,1555,4
HIVE-5490,11,3065,6
HIVE-5534,4,1291,3
HIVE-5844,8,485,3
HIVE-5851,2,61,2
HIVE-5888,11,13802,6
HIVE-5945,23,16450,3
HIVE-595,3,113,2
HIVE-5964,3,2048,3
HIVE-6042,2,251,2
HIVE-6050,19,10876,14
HIVE-6080,1,47,1
HIVE-6113,36,130139,9
HIVE-6131,37,29545,11
HIVE-6153,12,2366,4
HIVE-6379,5,3138,1
HIVE-6420,3,117,2
HIVE-65,25,16949,4
HIVE-6503,8,2215,2
HIVE-6563,3,118,3
HIVE-6575,11,1514,4
HIVE-6576,4,1929,3
HIVE-6586,61,21531,5
HIVE-6599,4,2062,3
HIVE-66,3,577,2
HIVE-6607,8,1269,5
HIVE-6660,22,16608,5
HIVE-6690,3,47,2
HIVE-67,5,1611,4
HIVE-6715,12,2416,6
HIVE-6757,41,12116,10
HIVE-6787,4,840,3
HIVE-6864,7,1065,4
HIVE-6878,4,87,2
HIVE-690,12,2196,4
HIVE-6912,3,229,2
HIVE-6917,1,27,1
HIVE-6934,37,62587,6
HIVE-6954,4,473,4
HIVE-6985,9,1848,4
HIVE-7045,4,1290,3
HIVE-7067,16,1656,6
HIVE-7141,1,33,1
HIVE-7167,23,16684,6
HIVE-7213,12,2162,6
HIVE-7366,23,12587,7
HIVE-7389,11,9307,5
HIVE-750,12,2546,3
HIVE-752,13,6573,3
HIVE-7576,17,8577,6
HIVE-7633,1,150,1
HIVE-7765,5,11136,3
HIVE-7800,21,6323,6
HIVE-7817,4,515,4
HIVE-7857,11,3772,5
HIVE-7891,5,1355,4
HIVE-7919,5,1528,4
HIVE-7957,8,2337,4
HIVE-7968,1,95,1
HIVE-7985,12,38962,7
HIVE-800,3,222,3
HIVE-8031,1,298,1
HIVE-8044,8,5843,3
HIVE-8090,15,19961,4
HIVE-8102,14,3284,5
HIVE-8115,27,9990,6
HIVE-8147,2,186,1
HIVE-8151,33,18994,7
HIVE-8162,11,8387,5
HIVE-8169,14,6126,4
HIVE-8191,13,5117,4
HIVE-8196,18,12233,5
HIVE-8203,9,5960,4
HIVE-8221,11,3009,5
HIVE-8225,36,25368,5
HIVE-8231,24,13981,3
HIVE-8235,7,684,3
HIVE-8236,5,1234,5
HIVE-8279,7,1640,3
HIVE-8283,6,1225,5
HIVE-8287,9,2981,4
HIVE-8306,1,108,1
HIVE-8308,6,2058,4
HIVE-8313,21,4857,6
HIVE-8314,8,1582,5
HIVE-8318,9,2194,5
HIVE-8323,2,66,2
HIVE-8329,16,138046,4
HIVE-8340,24,5891,7
HIVE-835,1,0,1
HIVE-8386,16,17337,5
HIVE-8387,13,2993,4
HIVE-8392,9,1423,4
HIVE-8448,14,3461,4
HIVE-8459,2,294,1
HIVE-8485,23,41801,9
HIVE-8514,5,1188,3
HIVE-8526,6,22864,5
HIVE-8534,23,8491,5
HIVE-8546,8,2839,5
HIVE-8584,14,2642,5
HIVE-8588,10,1292,4
HIVE-8646,12,3442,7
HIVE-8660,7,1864,4
HIVE-8698,10,2337,4
HIVE-8704,9,2667,6
HIVE-8705,12,2662,5
HIVE-8714,6,1447,5
HIVE-8715,15,2530,6
HIVE-8723,8,2256,4
HIVE-8731,4,1753,2
HIVE-8732,23,8728,6
HIVE-8733,8,1678,4
HIVE-8759,7,1326,4
HIVE-8764,13,5514,5
HIVE-8782,12,2347,7
HIVE-8890,12,5656,6
HIVE-8966,58,124658,9
HIVE-8978,3,1366,3
HIVE-9025,9,2074,6
HIVE-9067,22,7007,6
HIVE-9274,1,541,1
HIVE-9278,11,1922,5
HIVE-9317,8,710,3
HIVE-934,4,515,3
HIVE-9424,6,2278,4
HIVE-9507,8,2222,5
HIVE-9519,9,2450,6
HIVE-9646,7,1427,4
HIVE-9718,14,2571,3
HIVE-9839,35,13076,7
