Key,CommentCount,CommentLength,CommentPeopleCount
HIVE-10,1,190,1
HIVE-100,1,48,1
HIVE-1000,2,73,1
HIVE-10000,8,430,4
HIVE-10001,14,6920,4
HIVE-10005,6,19108,3
HIVE-10009,5,1325,4
HIVE-1001,7,4579,3
HIVE-10010,3,4349,2
HIVE-10017,4,1008,3
HIVE-10018,3,4652,2
HIVE-10021,8,2068,6
HIVE-10022,35,17616,6
HIVE-10023,8,1629,4
HIVE-10030,1,35,1
HIVE-10032,6,1301,5
HIVE-10033,1,71,1
HIVE-10034,2,469,1
HIVE-10041,1,0,1
HIVE-10042,10,4573,4
HIVE-1005,1,332,1
HIVE-10050,10,2928,5
HIVE-10051,1,0,1
HIVE-10056,2,110,1
HIVE-10057,1,88,1
HIVE-10059,9,1975,5
HIVE-1006,4,373,2
HIVE-10061,5,2946,3
HIVE-10062,17,11496,4
HIVE-10065,1,0,1
HIVE-10066,13,3026,6
HIVE-1007,6,3394,2
HIVE-10073,16,7311,5
HIVE-10074,9,2879,3
HIVE-10078,10,128762,5
HIVE-1008,1,0,1
HIVE-10080,1,0,1
HIVE-10082,3,556,2
HIVE-10083,6,1587,5
HIVE-10085,13,3537,4
HIVE-10086,17,5640,8
HIVE-10087,10,4426,4
HIVE-10088,1,0,1
HIVE-10089,4,1359,3
HIVE-1009,3,365,2
HIVE-10093,15,1903,4
HIVE-10095,5,1097,4
HIVE-10096,3,225,3
HIVE-10098,14,5392,5
HIVE-10106,5,2289,4
HIVE-10107,2,123,2
HIVE-10108,10,7192,4
HIVE-10109,1,0,1
HIVE-1011,2,83,1
HIVE-10122,19,27949,6
HIVE-10123,9,2796,4
HIVE-10124,1,0,1
HIVE-10126,1,1136,1
HIVE-10128,27,19500,7
HIVE-10133,1,0,1
HIVE-10136,5,1540,4
HIVE-10140,14,3073,3
HIVE-10143,7,1704,5
HIVE-10144,7,2791,5
HIVE-10145,12,3388,6
HIVE-10147,1,81,1
HIVE-10148,17,24079,5
HIVE-10150,4,1307,4
HIVE-10151,6,1042,4
HIVE-10152,5,1433,4
HIVE-10153,2,30295,2
HIVE-10156,1,0,1
HIVE-10163,9,4605,3
HIVE-10167,4,1491,4
HIVE-1017,3,148,2
HIVE-10171,2,244,2
HIVE-10172,10,3691,5
HIVE-10173,4,1281,3
HIVE-10175,8,2757,3
HIVE-10176,31,86020,6
HIVE-10178,14,8512,6
HIVE-10183,1,20,1
HIVE-10184,3,161,2
HIVE-10186,9,6480,4
HIVE-10187,20,6277,6
HIVE-1019,41,18355,7
HIVE-10190,40,164293,6
HIVE-10191,12,88967,3
HIVE-10192,1,172,1
HIVE-10193,1,0,1
HIVE-10197,2,226,2
HIVE-10198,1,0,1
HIVE-10199,1,0,1
HIVE-10200,2,277,2
HIVE-10201,1,0,1
HIVE-10202,15,5195,5
HIVE-10204,4,179,2
HIVE-10205,1,88,1
HIVE-10208,5,1769,4
HIVE-10209,10,3017,6
HIVE-1021,1,1288,1
HIVE-10210,2,506,2
HIVE-10212,1,253,1
HIVE-10213,6,3688,3
HIVE-10219,2,394,1
HIVE-1022,2,64,1
HIVE-10220,10,4715,4
HIVE-10221,3,1398,3
HIVE-10225,7,1917,4
HIVE-10226,21,14432,6
HIVE-10229,8,1788,4
HIVE-10231,17,7848,7
HIVE-10232,1,2708,1
HIVE-10233,45,35077,8
HIVE-10234,1,78,1
HIVE-10237,1,51,1
HIVE-10240,4,145,2
HIVE-10241,1,42,1
HIVE-10242,15,16002,5
HIVE-10244,21,22987,6
HIVE-10250,5,4254,3
HIVE-10251,23,13665,7
