Key,CommentCount,CommentLength,CommentPeopleCount
HUDI-1079,13,7890,5
HUDI-1087,1,0,1
HUDI-1091,1,72,1
HUDI-1117,3,489,3
HUDI-1129,37,96817,2
HUDI-1177,5,5240,3
HUDI-1200,13,2820,4
HUDI-1243,1,37,1
HUDI-1275,1,141,1
HUDI-1368,1,0,1
HUDI-1380,1,56,1
HUDI-1434,1,0,1
HUDI-1494,2,302,1
HUDI-1589,1,0,1
HUDI-1592,3,124,2
HUDI-1602,14,5388,7
HUDI-1606,1,0,1
HUDI-1608,3,573,2
HUDI-1651,1,0,1
HUDI-1723,8,2574,4
HUDI-1747,5,1400,2
HUDI-1763,11,7898,5
HUDI-1779,3,2580,2
HUDI-1780,1,62,1
HUDI-1816,1,23,1
HUDI-1839,8,2299,4
HUDI-1894,16,17596,3
HUDI-1932,1,92,1
HUDI-2013,1,0,1
HUDI-2016,3,3722,1
HUDI-2017,5,3917,1
HUDI-2033,1,0,1
HUDI-2077,7,1619,4
HUDI-2108,4,460,3
HUDI-2146,4,11257,3
HUDI-2162,3,284,2
HUDI-2183,1,173,1
HUDI-2299,1,0,1
HUDI-2323,5,447,2
HUDI-2404,1,0,1
HUDI-2409,1,0,1
HUDI-2420,1,283,1
HUDI-2426,6,2528,3
HUDI-2427,4,555,3
HUDI-2467,4,360,3
HUDI-2473,1,65,1
HUDI-2480,1,0,1
HUDI-2496,6,520,3
HUDI-2527,1,328,1
HUDI-2611,3,329,2
HUDI-2661,4,617,3
HUDI-2665,1,0,1
HUDI-2682,1,0,1
HUDI-2747,1,0,1
HUDI-2752,8,1207,3
HUDI-2780,1,104,1
HUDI-2800,1,0,1
HUDI-2812,1,167,1
HUDI-2840,1,0,1
HUDI-2844,1,0,1
HUDI-2875,1,40,1
HUDI-2880,2,261,2
HUDI-2893,1,1104,1
HUDI-2899,3,234,3
HUDI-2904,1,26,1
HUDI-2908,1,66,1
HUDI-2910,1,30,1
HUDI-2915,1,80,1
HUDI-2929,1,106,1
HUDI-2947,1,113,1
HUDI-2970,1,0,1
HUDI-2971,3,2321,2
HUDI-2987,1,286,1
HUDI-2989,1,0,1
HUDI-3019,1,0,1
HUDI-3026,2,262,2
HUDI-305,8,2440,6
HUDI-3050,3,576,2
HUDI-3056,1,0,1
HUDI-3057,1,0,1
HUDI-3062,2,709,1
HUDI-3066,38,81759,4
HUDI-3067,1,49,1
HUDI-3093,1,0,1
HUDI-3114,1,0,1
HUDI-3130,1,0,1
HUDI-3135,1,0,1
HUDI-3155,1,0,1
HUDI-3194,1,0,1
HUDI-3195,1,0,1
HUDI-3200,1,0,1
HUDI-3204,8,10427,4
HUDI-3213,1,0,1
HUDI-3242,18,19140,4
HUDI-3253,1,0,1
HUDI-3262,3,7156,1
HUDI-3300,1,1523,1
HUDI-3301,2,1206,2
HUDI-3334,6,631,4
HUDI-3335,14,103681,2
HUDI-3342,1,0,1
HUDI-3348,3,323,2
HUDI-3355,7,1161,4
HUDI-3362,4,786,2
HUDI-3370,1,65,1
HUDI-3410,1,0,1
HUDI-3421,1,0,1
HUDI-3426,1,0,1
HUDI-3427,1,0,1
HUDI-3448,3,348,2
HUDI-3451,2,165,1
HUDI-3453,2,220,2
HUDI-3467,1,482,1
HUDI-3494,1,0,1
HUDI-3495,4,453,2
HUDI-3521,1,0,1
HUDI-3544,6,3103,1
HUDI-3546,2,395,2
HUDI-3548,1,0,1
HUDI-3564,1,0,1
HUDI-3577,3,381,2
HUDI-3578,1,0,1
HUDI-3583,1,0,1
HUDI-3603,1,0,1
HUDI-3609,1,0,1
HUDI-3614,1,0,1
HUDI-3616,2,148,2
HUDI-3622,1,0,1
HUDI-3636,2,333,2
HUDI-3642,1,0,1
HUDI-3643,1,0,1
HUDI-3647,1,0,1
HUDI-3650,1,1812,1
HUDI-3655,2,100,2
HUDI-3660,1,351,1
HUDI-3667,1,39,1
HUDI-3668,1,224,1
HUDI-3670,1,0,1
HUDI-3708,1,0,1
HUDI-3710,1,0,1
HUDI-3719,1,0,1
HUDI-3723,1,0,1
HUDI-3724,1,61,1
HUDI-3733,1,0,1
HUDI-3746,1,0,1
HUDI-3748,1,61,1
HUDI-3783,1,0,1
HUDI-3785,1,57,1
HUDI-3786,1,547,1
HUDI-3817,1,0,1
HUDI-3818,1,0,1
HUDI-3819,5,3988,2
HUDI-3845,1,0,1
HUDI-3855,1,92,1
HUDI-3921,1,0,1
HUDI-3922,1,0,1
HUDI-3962,1,0,1
HUDI-3976,1,29,1
HUDI-3978,1,56,1
HUDI-3983,1,0,1
HUDI-3984,1,0,1
HUDI-3998,1,0,1
HUDI-4001,1,0,1
HUDI-4003,1,149,1
HUDI-4072,1,0,1
HUDI-4118,1,0,1
HUDI-4156,2,2603,1
HUDI-4192,1,774,1
HUDI-4197,1,0,1
HUDI-4200,1,0,1
HUDI-4211,1,0,1
HUDI-4253,1,0,1
HUDI-4303,1,0,1
HUDI-44,3,267,3
HUDI-47,4,728,3
HUDI-525,1,547,1
HUDI-651,9,2700,3
HUDI-662,13,6208,3
HUDI-739,7,5050,4
HUDI-802,1,71,1
HUDI-864,13,84057,6
HUDI-945,9,2655,6
HUDI-979,4,458,3
HUDI-992,1,0,1
