Key,CommentCount,CommentLength,CommentPeopleCount
HUDI-1000,2,218,2
HUDI-1003,1,0,1
HUDI-1005,2,78,2
HUDI-1006,2,108,2
HUDI-1007,16,10592,3
HUDI-101,2,661,2
HUDI-1010,1,94,1
HUDI-1017,1,0,1
HUDI-102,1,134,1
HUDI-1026,1,0,1
HUDI-1028,2,252,2
HUDI-1030,1,0,1
HUDI-1036,3,201,2
HUDI-1049,1,48,1
HUDI-105,3,4958,2
HUDI-1057,1,97,1
HUDI-1061,1,0,1
HUDI-1063,7,1873,2
HUDI-1065,1,0,1
HUDI-1068,2,155,2
HUDI-107,1,0,1
HUDI-1078,1,50,1
HUDI-1080,1,0,1
HUDI-1082,8,6195,3
HUDI-1088,2,230,2
HUDI-1090,1,50,1
HUDI-1098,14,5140,3
HUDI-1107,1,0,1
HUDI-1128,2,91,1
HUDI-113,1,0,1
HUDI-1132,2,102,1
HUDI-114,6,1869,3
HUDI-1140,2,203,2
HUDI-1141,1,0,1
HUDI-1143,1,91,1
HUDI-1145,1,0,1
HUDI-1146,3,2343,2
HUDI-1150,4,2965,3
HUDI-1151,1,65,1
HUDI-1154,3,243,2
HUDI-1158,1,0,1
HUDI-116,23,26904,3
HUDI-1171,1,0,1
HUDI-1175,1,80,1
HUDI-1178,2,180,2
HUDI-1181,1,0,1
HUDI-1184,1,137,1
HUDI-1188,1,0,1
HUDI-1193,3,5742,2
HUDI-1195,1,99,1
HUDI-1196,1,0,1
HUDI-1197,1,0,1
HUDI-1202,1,76,1
HUDI-1204,14,52923,3
HUDI-1205,9,5344,5
HUDI-1211,6,1460,3
HUDI-1215,2,159,2
HUDI-1224,1,169,1
HUDI-1225,1,19,1
HUDI-1230,1,0,1
HUDI-1231,3,322,3
HUDI-1232,1,568,1
HUDI-1234,1,0,1
HUDI-1235,1,0,1
HUDI-1254,1,0,1
HUDI-1268,1,206,1
HUDI-1270,4,526,4
HUDI-1285,1,0,1
HUDI-1286,1,0,1
HUDI-1288,6,981,4
HUDI-1289,5,2378,2
HUDI-1301,1,0,1
HUDI-1306,1,0,1
HUDI-1310,4,239,3
HUDI-1314,1,0,1
HUDI-1330,3,399,2
HUDI-134,1,65,1
HUDI-1340,4,1014,2
HUDI-1347,1,0,1
HUDI-135,1,0,1
HUDI-1358,1,145,1
HUDI-136,1,0,1
HUDI-1365,4,820,2
HUDI-1369,1,0,1
HUDI-1375,1,0,1
HUDI-1376,1,0,1
HUDI-138,1,59,1
HUDI-1382,1,0,1
HUDI-1383,1,0,1
HUDI-139,1,59,1
HUDI-1392,1,0,1
HUDI-1395,1,0,1
HUDI-1396,1,0,1
HUDI-1397,3,487,2
HUDI-14,1,0,1
HUDI-140,1,59,1
HUDI-141,2,87,1
HUDI-142,1,0,1
HUDI-1420,2,116,2
HUDI-1424,1,0,1
HUDI-1427,1,0,1
HUDI-1428,1,0,1
HUDI-1429,1,16,1
HUDI-143,6,1424,4
HUDI-1437,1,0,1
HUDI-1441,6,5275,2
HUDI-1444,3,153,3
HUDI-1452,1,0,1
HUDI-1462,2,86,2
HUDI-147,1,59,1
HUDI-1470,1,0,1
HUDI-148,1,59,1
HUDI-1484,1,0,1
HUDI-1485,1,66,1
HUDI-1487,1,0,1
HUDI-1489,1,0,1
HUDI-1490,1,0,1
HUDI-1493,1,0,1
HUDI-1496,1,169,1
HUDI-1506,1,66,1
HUDI-1507,2,112,2
HUDI-1508,1,0,1
HUDI-1509,5,2859,3
HUDI-1512,1,0,1
HUDI-152,2,2417,2
HUDI-1525,1,0,1
HUDI-1528,3,5839,3
HUDI-1532,1,0,1
HUDI-1535,3,16415,2
HUDI-1536,1,0,1
HUDI-1538,1,0,1
HUDI-1539,1,69,1
HUDI-1540,1,0,1
HUDI-1543,1,0,1
HUDI-1546,1,47,1
HUDI-1547,2,107,2
HUDI-1550,4,1205,2
HUDI-1566,5,444,2
HUDI-1568,2,122,1
HUDI-1572,2,177,2
HUDI-1578,2,111,1
HUDI-1582,1,178,1
HUDI-1583,1,0,1
HUDI-1584,1,66,1
HUDI-1596,1,0,1
HUDI-1597,1,129,1
HUDI-1603,1,0,1
HUDI-1604,2,1501,1
HUDI-1607,1,166,1
HUDI-1612,1,66,1
HUDI-1615,1,48,1
HUDI-1618,1,0,1
HUDI-162,2,490,2
HUDI-1622,1,0,1
HUDI-1627,1,0,1
HUDI-163,1,0,1
HUDI-1639,1,0,1
HUDI-164,1,59,1
HUDI-1641,1,175,1
HUDI-1644,1,0,1
HUDI-1652,2,200,2
HUDI-1657,8,23116,7
HUDI-1660,1,0,1
HUDI-1662,1,0,1
HUDI-1665,1,0,1
HUDI-1667,1,0,1
HUDI-1668,8,2351,3
HUDI-167,1,9,1
HUDI-1672,2,136,2
HUDI-168,1,59,1
HUDI-1683,3,242,2
HUDI-1685,1,175,1
HUDI-1687,1,0,1
HUDI-1688,1,177,1
HUDI-1690,4,822,2
HUDI-1695,1,19,1
HUDI-1696,2,263,2
HUDI-170,1,0,1
HUDI-1702,1,57,1
HUDI-1703,2,1139,1
HUDI-1709,1,0,1
HUDI-171,8,1508,4
HUDI-1711,5,9185,3
HUDI-1716,3,190,2
HUDI-1717,1,21,1
HUDI-1718,1,0,1
HUDI-1719,1,0,1
HUDI-1720,1,0,1
HUDI-1721,1,48,1
HUDI-1722,1,0,1
HUDI-1724,3,170,2
HUDI-1727,1,66,1
HUDI-1728,1,33,1
HUDI-1734,1,0,1
HUDI-1735,1,67,1
HUDI-1736,1,0,1
HUDI-1740,1,7802,1
HUDI-1744,1,0,1
HUDI-1745,1,153,1
HUDI-1748,2,2300,1
HUDI-1749,1,0,1
HUDI-1750,1,0,1
HUDI-1758,2,259,2
HUDI-1760,1,0,1
HUDI-1762,1,10,1
HUDI-1765,3,320,2
HUDI-1770,2,587,1
HUDI-1772,1,40,1
HUDI-1781,1,0,1
HUDI-1783,1,60,1
HUDI-1792,1,40,1
HUDI-1794,8,22440,1
HUDI-1798,1,40,1
HUDI-1799,1,102,1
HUDI-18,3,259,2
HUDI-1800,2,146,2
HUDI-1801,1,40,1
HUDI-1802,1,54,1
HUDI-1804,1,40,1
HUDI-1805,1,0,1
HUDI-1806,1,0,1
HUDI-1807,1,0,1
HUDI-1809,1,40,1
HUDI-1817,1,0,1
HUDI-1835,1,0,1
HUDI-1838,1,0,1
HUDI-1845,1,0,1
HUDI-1854,1,701,1
HUDI-1855,1,0,1
HUDI-1858,3,184,2
HUDI-1866,2,237,2
HUDI-1871,1,40,1
HUDI-1873,2,76,1
HUDI-1879,2,209,2
HUDI-1881,4,908,2
HUDI-1882,1,0,1
HUDI-1888,2,67,1
HUDI-1889,1,0,1
HUDI-1890,1,40,1
HUDI-1892,2,526,1
HUDI-1893,1,0,1
HUDI-1901,1,0,1
HUDI-1915,1,40,1
HUDI-1917,1,70,1
HUDI-1918,1,67,1
HUDI-1919,1,60,1
HUDI-1922,1,70,1
HUDI-1926,3,432,2
HUDI-1942,4,961,2
HUDI-1943,1,0,1
HUDI-1950,1,0,1
HUDI-1953,1,40,1
HUDI-1955,1,65,1
HUDI-1957,2,134,1
HUDI-1967,1,0,1
HUDI-197,1,0,1
HUDI-1977,1,0,1
HUDI-198,1,53,1
HUDI-1987,1,0,1
HUDI-1988,1,0,1
HUDI-1989,43,89514,3
HUDI-1990,1,60,1
HUDI-1995,1,65,1
HUDI-1996,19,57489,2
HUDI-1997,2,102,1
HUDI-1999,1,0,1
HUDI-2001,1,0,1
HUDI-2009,34,147918,1
HUDI-2019,1,40,1
HUDI-2031,1,110,1
HUDI-204,1,0,1
HUDI-2043,1,0,1
HUDI-2046,4,1882,1
HUDI-2048,10,21946,1
HUDI-2049,1,40,1
