Key,CommentCount,CommentLength,CommentPeopleCount
IGNITE-10010,7,1760,6
IGNITE-10011,6,2081,4
IGNITE-10028,8,3678,3
IGNITE-1003,3,3837,3
IGNITE-10042,5,1333,3
IGNITE-10052,8,11588,4
IGNITE-10088,1,0,1
IGNITE-10261,9,1781,3
IGNITE-10263,6,3122,3
IGNITE-10274,1,0,1
IGNITE-10278,7,3735,4
IGNITE-10359,6,1633,4
IGNITE-10385,4,2052,3
IGNITE-10391,1,25,1
IGNITE-10417,8,823,6
IGNITE-10421,11,3713,5
IGNITE-1045,2,182,2
IGNITE-10473,1,0,1
IGNITE-10520,6,838,3
IGNITE-10528,3,908,2
IGNITE-10550,3,750,1
IGNITE-10554,7,1220,5
IGNITE-10561,9,3605,3
IGNITE-10690,15,3911,5
IGNITE-1072,2,261,2
IGNITE-10782,2,174,2
IGNITE-10792,1,0,1
IGNITE-10794,3,786,2
IGNITE-10856,8,1346,4
IGNITE-10860,7,6284,4
IGNITE-10887,3,563,3
IGNITE-10898,3,525,2
IGNITE-10906,1,86,1
IGNITE-10959,29,19443,10
IGNITE-1098,7,904,4
IGNITE-10988,2,1030,1
IGNITE-11030,10,6187,3
IGNITE-11102,1,0,1
IGNITE-11204,4,642,3
IGNITE-1122,1,19,1
IGNITE-11238,1,90,1
IGNITE-11265,6,2644,3
IGNITE-11299,10,2897,4
IGNITE-1151,2,551,2
IGNITE-1152,3,917,3
IGNITE-11524,10,2473,3
IGNITE-11548,8,1495,3
IGNITE-11604,4,1542,3
IGNITE-11614,10,2598,3
IGNITE-11617,3,432,2
IGNITE-11618,2,560,2
IGNITE-11650,3,726,2
IGNITE-11654,1,0,1
IGNITE-11655,1,0,1
IGNITE-11687,4,2011,3
IGNITE-11755,3,363,3
IGNITE-11758,9,2452,4
IGNITE-1178,2,850,1
IGNITE-11832,1,33,1
IGNITE-11852,5,743,3
IGNITE-11862,1,437,1
IGNITE-11868,10,2072,5
IGNITE-11871,1,0,1
IGNITE-11873,1,166,1
IGNITE-1199,1,13,1
IGNITE-11998,6,2933,3
IGNITE-12011,1,0,1
IGNITE-12033,17,21120,7
IGNITE-1205,6,471,3
IGNITE-12068,15,3214,6
IGNITE-12090,7,5166,4
IGNITE-12096,9,6158,4
IGNITE-1215,1,0,1
IGNITE-1221,1,0,1
IGNITE-12227,14,5742,5
IGNITE-12252,14,2826,4
IGNITE-12274,1,0,1
IGNITE-1228,4,265,2
IGNITE-12306,1,0,1
IGNITE-1238,5,726,2
IGNITE-12398,8,3710,5
IGNITE-12428,1,0,1
IGNITE-12456,3,11852,2
IGNITE-12486,3,365,3
IGNITE-12489,17,7887,10
IGNITE-12504,5,1385,3
IGNITE-12530,14,1926,4
IGNITE-12547,3,334,3
IGNITE-12549,22,5366,4
IGNITE-12577,4,501,2
IGNITE-12580,7,966,3
IGNITE-12657,2,133,1
IGNITE-12658,1,87,1
IGNITE-12678,2,88,2
IGNITE-1272,23,17858,4
IGNITE-12734,4,4252,3
IGNITE-12757,2,337,2
IGNITE-12764,12,5012,5
IGNITE-12777,1,0,1
IGNITE-12780,6,2398,5
IGNITE-12800,3,435,2
IGNITE-12805,5,1920,4
IGNITE-12806,5,524,3
IGNITE-12822,2,142,1
IGNITE-12833,4,775,4
IGNITE-12847,3,1622,2
IGNITE-12905,19,2810,4
IGNITE-12911,21,7288,7
IGNITE-12930,8,5572,3
IGNITE-13026,1,41,1
IGNITE-13127,1,0,1
IGNITE-13159,2,154,2
IGNITE-13218,4,572,3
IGNITE-13230,3,347,2
IGNITE-13279,3,73483,2
IGNITE-1333,3,792,2
IGNITE-13339,1,26,1
IGNITE-1338,6,3584,4
IGNITE-13414,5,2721,4
IGNITE-1345,1,0,1
IGNITE-13460,1,0,1
IGNITE-13464,7,1952,4
IGNITE-13522,2,989,2
IGNITE-13540,3,881,3
IGNITE-1355,13,3354,3
IGNITE-13553,12,6252,4
IGNITE-13572,14,4488,5
IGNITE-1358,1,58,1
IGNITE-13600,1,0,1
IGNITE-13601,2,1855,2
IGNITE-13607,1,0,1
IGNITE-13623,13,5157,5
IGNITE-13627,5,5101,4
IGNITE-13633,9,7486,3
IGNITE-13635,1,0,1
IGNITE-13639,12,5194,4
IGNITE-13642,1,102,1
IGNITE-13643,3,1187,2
IGNITE-1365,5,1032,2
IGNITE-1369,4,1176,2
IGNITE-13710,1,481,1
IGNITE-13744,3,410,1
IGNITE-13765,3,1035,3
IGNITE-13839,1,125,1
IGNITE-13912,55,30760,7
IGNITE-13921,3,743,2
IGNITE-13939,2,224,1
IGNITE-13950,1,158,1
IGNITE-13976,10,8740,4
IGNITE-13978,3,905,2
IGNITE-14004,3,2216,2
IGNITE-1403,1,427,1
IGNITE-14033,4,2573,3
IGNITE-14109,1,251,1
IGNITE-14137,1,95,1
IGNITE-14152,3,620,3
IGNITE-14204,11,8423,5
IGNITE-14205,1,410,1
IGNITE-14250,4,1988,3
IGNITE-14338,1,0,1
IGNITE-14482,2,75,2
IGNITE-1450,1,132,1
IGNITE-14541,1,89,1
IGNITE-14553,9,2644,3
IGNITE-14594,2,94,2
IGNITE-14725,9,2523,4
IGNITE-14730,1,21,1
IGNITE-14776,3,977,2
IGNITE-14782,5,1536,3
IGNITE-14792,2,206,2
IGNITE-14831,6,1035,4
IGNITE-14918,1,161,1
IGNITE-1494,4,1002,2
IGNITE-14989,5,673,3
IGNITE-15004,1,259,1
IGNITE-15045,8,2962,3
IGNITE-15066,1,24,1
IGNITE-15098,3,550,3
IGNITE-15146,5,1473,3
IGNITE-15156,2,226,1
IGNITE-15202,5,929,2
IGNITE-1521,3,477,3
IGNITE-15210,1,69,1
IGNITE-15214,6,1417,2
IGNITE-15244,3,520,3
IGNITE-15260,1,121,1
IGNITE-15274,4,769,3
IGNITE-15294,1,0,1
IGNITE-15303,1,0,1
IGNITE-15312,2,292,2
IGNITE-1535,1,152,1
IGNITE-1538,1,0,1
IGNITE-1543,4,5162,2
IGNITE-1544,5,1355,2
IGNITE-15441,3,397,2
IGNITE-15549,4,1932,3
IGNITE-15593,1,6337,1
IGNITE-15609,2,3218,1
IGNITE-15616,1,130,1
IGNITE-15647,5,1693,3
IGNITE-15655,2,21795,2
IGNITE-15682,1,0,1
IGNITE-1575,1,112,1
IGNITE-15769,3,322,2
IGNITE-1577,4,816,3
IGNITE-15820,9,1972,3
IGNITE-15879,1,0,1
IGNITE-15880,1,0,1
IGNITE-15941,3,534,3
IGNITE-15943,2,1250,2
IGNITE-15951,2,38,1
IGNITE-15966,1,0,1
IGNITE-15969,11,2483,5
IGNITE-1598,1,0,1
IGNITE-15993,3,194,2
IGNITE-15995,1,286,1
IGNITE-16000,3,2084,1
IGNITE-16019,4,1177,2
IGNITE-16032,2,8214,2
IGNITE-16089,3,349,2
IGNITE-16090,5,468,2
IGNITE-16118,10,4905,3
IGNITE-16161,2,85,2
IGNITE-16177,5,1445,3
IGNITE-16184,1,0,1
IGNITE-16194,5,1452,3
IGNITE-16253,3,1199,1
IGNITE-16256,1,4,1
IGNITE-16279,1,21,1
IGNITE-16335,1,74,1
IGNITE-16406,1,0,1
IGNITE-16416,4,919,3
IGNITE-16422,1,43,1
IGNITE-16478,3,23599,3
IGNITE-16502,3,814,2
IGNITE-16554,2,83,2
IGNITE-16555,2,485,2
IGNITE-16556,1,21,1
IGNITE-16557,1,54,1
IGNITE-16558,1,52,1
IGNITE-16559,2,1322,1
IGNITE-1656,3,2327,1
IGNITE-16561,3,526,2
IGNITE-16562,1,0,1
IGNITE-16579,2,1757,2
IGNITE-1661,8,5962,4
IGNITE-16679,1,84,1
IGNITE-16694,1,193,1
IGNITE-16718,1,4,1
IGNITE-16802,2,52,2
IGNITE-16876,2,308,1
IGNITE-16918,3,112,2
IGNITE-16936,11,2745,4
IGNITE-16958,4,2013,3
IGNITE-17007,1,0,1
IGNITE-17016,1,0,1
IGNITE-17045,1,2106,1
IGNITE-17051,1,0,1
IGNITE-17063,4,2573,3
IGNITE-17086,1,0,1
IGNITE-17123,3,2182,2
IGNITE-17139,1,209,1
IGNITE-17183,1,66,1
IGNITE-1719,1,32,1
IGNITE-1720,1,0,1
IGNITE-1723,1,77,1
IGNITE-1724,1,0,1
IGNITE-1725,1,0,1
IGNITE-1758,5,4285,1
IGNITE-1760,1,27,1
IGNITE-1772,1,67,1
IGNITE-1823,2,84,2
IGNITE-1864,15,3840,4
IGNITE-1891,1,28,1
IGNITE-19,1,55,1
IGNITE-1903,12,4156,8
IGNITE-1905,9,1913,6
IGNITE-1910,3,1040,2
IGNITE-1924,12,4106,4
IGNITE-1985,5,1869,3
IGNITE-2002,2,206,2
IGNITE-2030,7,2042,5
IGNITE-2096,3,2132,3
IGNITE-2101,3,586,2
IGNITE-2105,3,919,2
IGNITE-2109,1,0,1
IGNITE-2131,1,113,1
IGNITE-2133,1,82,1
IGNITE-2159,6,1586,5
IGNITE-2160,3,681,2
IGNITE-2176,1,27,1
IGNITE-220,1,0,1
IGNITE-2200,5,8789,3
IGNITE-2202,13,1778,5
IGNITE-2216,7,8529,4
IGNITE-2218,10,2663,2
IGNITE-2249,3,932,2
IGNITE-2267,1,0,1
IGNITE-2313,46,8710,10
IGNITE-2332,1,16,1
IGNITE-2339,1,0,1
IGNITE-2406,1,25111,1
IGNITE-2417,3,1122,2
IGNITE-2450,4,859,2
IGNITE-2455,3,2192,2
IGNITE-2552,13,3384,4
IGNITE-2565,7,2287,3
IGNITE-2571,1,0,1
IGNITE-2587,2,475,1
IGNITE-2589,1,113,1
IGNITE-2604,5,1891,3
IGNITE-2656,1,0,1
IGNITE-2659,2,188,2
IGNITE-2671,1,129,1
IGNITE-2722,1,145,1
