Key,CommentCount,CommentLength,CommentPeopleCount
IGNITE-100,1,18,1
IGNITE-1000,3,447,1
IGNITE-10004,3,1002,2
IGNITE-10007,7,2253,5
IGNITE-10008,1,0,1
IGNITE-10009,5,1061,3
IGNITE-1001,5,1866,4
IGNITE-10013,4,1067,2
IGNITE-10015,3,364,3
IGNITE-10016,1,35,1
IGNITE-10017,13,3913,4
IGNITE-1002,4,3027,3
IGNITE-10020,3,1036,2
IGNITE-10021,1,127,1
IGNITE-10022,3,5420,2
IGNITE-10024,5,1373,3
IGNITE-10026,4,931,2
IGNITE-10027,1,33,1
IGNITE-10029,1,0,1
IGNITE-10034,1,0,1
IGNITE-10036,1,396,1
IGNITE-10039,1,76,1
IGNITE-1004,2,103,2
IGNITE-10041,1,0,1
IGNITE-10043,6,4587,5
IGNITE-10044,6,2872,3
IGNITE-10046,1,0,1
IGNITE-10047,8,2796,4
IGNITE-10048,5,3835,3
IGNITE-10053,4,1209,3
IGNITE-10054,2,336,1
IGNITE-10056,1,36,1
IGNITE-10057,1,0,1
IGNITE-10058,12,7016,8
IGNITE-10059,1,0,1
IGNITE-10062,5,1782,3
IGNITE-10063,1,155,1
IGNITE-10064,8,1934,5
IGNITE-10065,2,229,2
IGNITE-10066,1,69,1
IGNITE-10067,1,241,1
IGNITE-10069,6,837,2
IGNITE-1007,1,179,1
IGNITE-10072,1,33,1
IGNITE-10078,26,22988,8
IGNITE-10079,19,4787,6
IGNITE-1008,2,172,2
IGNITE-10082,1,0,1
IGNITE-10087,6,2140,5
IGNITE-1009,1,64,1
IGNITE-10092,4,1301,4
IGNITE-10099,6,1370,3
IGNITE-101,1,22,1
IGNITE-1010,3,417,3
IGNITE-10101,7,687,4
IGNITE-10102,1,35,1
IGNITE-10103,7,1665,5
IGNITE-10104,22,6571,5
IGNITE-10108,11,2785,6
IGNITE-10109,2,880,1
IGNITE-1011,1,207,1
IGNITE-10110,1,327,1
IGNITE-10111,1,0,1
IGNITE-10113,3,1528,2
IGNITE-10114,1,0,1
IGNITE-10117,2,89,1
IGNITE-10118,11,3408,4
IGNITE-1012,3,170,2
IGNITE-10121,1,914,1
IGNITE-10129,2,866,1
IGNITE-1013,1,74,1
IGNITE-10131,1,0,1
IGNITE-10134,9,1756,7
IGNITE-10136,4,820,4
IGNITE-10138,3,306,3
IGNITE-10139,1,0,1
IGNITE-10140,1,21,1
IGNITE-10143,1,0,1
IGNITE-10147,5,1196,3
IGNITE-10148,3,1162,3
IGNITE-10149,3,870,2
IGNITE-1015,2,345,1
IGNITE-10150,13,2949,5
IGNITE-10156,4,1200,3
IGNITE-10158,9,2435,4
IGNITE-10159,7,4293,3
IGNITE-1016,22,12279,6
IGNITE-10162,6,2824,3
IGNITE-10167,14,6257,6
IGNITE-1017,2,18,1
IGNITE-10170,2,118,2
IGNITE-10171,4,2386,2
IGNITE-1018,5,1829,3
IGNITE-10183,7,1414,4
IGNITE-10185,1,0,1
