Key,CommentCount,CommentLength,CommentPeopleCount
IMPALA-10,7,2306,2
IMPALA-10038,1,40,1
IMPALA-10050,5,5966,4
IMPALA-10066,10,2608,8
IMPALA-1011,1,82,1
IMPALA-10120,4,10444,2
IMPALA-10125,6,10517,4
IMPALA-10140,1,1244,1
IMPALA-10156,2,886,2
IMPALA-1019,2,118,2
IMPALA-10216,11,9249,4
IMPALA-10233,3,2476,2
IMPALA-10236,2,1452,2
IMPALA-1024,13,6858,5
IMPALA-10248,2,952,2
IMPALA-10252,5,8306,2
IMPALA-10259,9,28221,4
IMPALA-1026,5,1693,3
IMPALA-10276,7,12873,4
IMPALA-10286,4,5474,3
IMPALA-10290,1,75,1
IMPALA-10291,1,0,1
IMPALA-10301,3,6841,3
IMPALA-10316,13,161553,6
IMPALA-1033,2,835,2
IMPALA-10342,4,2109,2
IMPALA-10371,13,5461,4
IMPALA-10382,5,2232,4
IMPALA-10413,8,5899,3
IMPALA-10415,1,0,1
IMPALA-10417,4,702,2
IMPALA-10426,3,2292,1
IMPALA-10434,3,3772,2
IMPALA-1047,3,1145,3
IMPALA-1048,6,5174,4
IMPALA-10502,6,7740,2
IMPALA-1051,3,1806,2
IMPALA-10529,2,1420,2
IMPALA-10532,10,11307,4
IMPALA-1055,1,48,1
IMPALA-10559,12,18990,5
IMPALA-10567,2,167,2
IMPALA-10575,1,0,1
IMPALA-10644,3,1549,2
IMPALA-1065,2,218,2
IMPALA-1070,5,425,3
IMPALA-10733,4,2634,3
IMPALA-10734,1,267,1
IMPALA-10743,1,0,1
IMPALA-1077,4,380,2
IMPALA-1081,5,1716,4
IMPALA-10829,1,74,1
IMPALA-10896,3,1094,3
IMPALA-10924,1,0,1
IMPALA-10936,4,7652,2
IMPALA-10966,1,0,1
IMPALA-10982,2,796,2
IMPALA-10989,1,1032,1
IMPALA-11012,1,0,1
IMPALA-1102,3,3278,2
IMPALA-11025,1,1015,1
IMPALA-11081,1,43,1
IMPALA-111,2,323,2
IMPALA-1111,3,561,3
IMPALA-1115,3,336,3
IMPALA-11160,11,3302,5
IMPALA-11164,1,0,1
IMPALA-11174,1,3691,1
IMPALA-1118,4,7719,2
IMPALA-11187,2,1477,2
IMPALA-11203,1,614,1
IMPALA-11236,2,3813,2
IMPALA-1127,2,360,2
IMPALA-11291,3,1987,2
IMPALA-11296,8,7498,3
IMPALA-1132,18,6974,3
IMPALA-11402,1,0,1
IMPALA-1151,7,13874,4
IMPALA-1156,3,713,3
IMPALA-1159,4,531,4
IMPALA-1161,1,91,1
IMPALA-1163,3,2029,1
IMPALA-1170,5,2611,3
IMPALA-1172,3,247,3
IMPALA-1180,3,548,3
IMPALA-1184,1,0,1
IMPALA-1189,3,595,3
IMPALA-1194,4,3442,4
IMPALA-1204,1,1006,1
IMPALA-121,2,241,1
IMPALA-1218,6,5655,2
IMPALA-1219,2,280,2
IMPALA-122,2,240,2
IMPALA-1234,5,1550,4
IMPALA-1235,3,575,1
IMPALA-124,3,337,3
IMPALA-1240,15,5645,5
IMPALA-1243,9,6157,3
IMPALA-1248,7,2570,2
IMPALA-125,1,52,1
IMPALA-126,3,207,2
IMPALA-1260,3,952,2
IMPALA-1261,2,728,2
IMPALA-1262,9,4684,5
IMPALA-1266,2,145,1
IMPALA-1268,2,317,2
IMPALA-127,5,544,2
IMPALA-1271,3,855,2
IMPALA-1280,4,914,3
IMPALA-1288,5,3005,2
IMPALA-129,2,236,2
IMPALA-1291,7,2103,6
IMPALA-1292,2,1556,1
IMPALA-1295,1,427,1
IMPALA-13,5,318,3
IMPALA-1313,4,1096,2
IMPALA-1316,4,347,1
IMPALA-1319,2,280,1
IMPALA-1324,3,1672,1
IMPALA-1325,15,4613,7
IMPALA-1327,6,713,4
IMPALA-1343,7,3252,5
IMPALA-1346,13,3224,4
IMPALA-1350,2,770,2
IMPALA-1351,2,2388,2
IMPALA-1359,3,1141,3
IMPALA-1371,5,5282,3
IMPALA-1378,1,855,1
IMPALA-1379,4,420,4
IMPALA-1387,2,410,2
IMPALA-1388,1,0,1
IMPALA-1391,7,1456,4
IMPALA-1393,1,0,1
IMPALA-1396,3,658,3
IMPALA-1400,4,1972,3
IMPALA-1401,12,43115,9
IMPALA-1414,2,1521,2
IMPALA-1415,4,2673,4
IMPALA-1422,7,1790,5
IMPALA-1423,3,444,3
IMPALA-1426,3,1179,2
IMPALA-1428,1,68,1
IMPALA-1433,3,322,1
IMPALA-1440,7,4935,4
IMPALA-145,1,0,1
IMPALA-1459,7,1787,3
IMPALA-1464,3,2356,3
IMPALA-1466,1,91,1
IMPALA-1469,3,731,3
IMPALA-1470,6,1491,3
IMPALA-1473,3,4807,3
IMPALA-1475,1,45,1
IMPALA-1476,1,553,1
IMPALA-1488,4,1441,2
IMPALA-1493,3,2723,2
IMPALA-1501,3,775,2
IMPALA-1502,3,359,2
IMPALA-1503,2,218,2
IMPALA-1506,8,724,2
IMPALA-151,1,194,1
IMPALA-1514,3,306,3
IMPALA-1519,4,2826,2
IMPALA-1522,4,1967,3
IMPALA-1524,2,151,1
IMPALA-1526,3,604,2
IMPALA-1528,3,355,1
IMPALA-1531,4,744,2
IMPALA-1543,3,532,3
IMPALA-1545,1,0,1
IMPALA-155,2,245,1
IMPALA-1553,2,491,2
IMPALA-1557,8,1797,5
IMPALA-1559,1,82,1
IMPALA-1561,2,141,2
IMPALA-1566,5,996,3
IMPALA-1567,6,1213,4
IMPALA-1575,18,15742,5
IMPALA-1578,11,5691,6
IMPALA-1582,4,1624,3
IMPALA-1584,2,1700,2
IMPALA-1590,12,7327,5
IMPALA-1604,4,669,4
IMPALA-1607,3,237,3
IMPALA-1615,2,112,2
IMPALA-1619,22,6326,8
IMPALA-1623,5,532,4
IMPALA-1626,3,229,2
IMPALA-1629,1,545,1
IMPALA-1632,4,1444,2
IMPALA-1634,1,24,1
IMPALA-1637,1,0,1
IMPALA-1639,2,311,2
IMPALA-164,3,891,3
IMPALA-1641,5,2594,2
IMPALA-1642,1,67,1
IMPALA-1650,3,925,3
IMPALA-1652,16,13332,9
IMPALA-1655,3,9827,1
IMPALA-1666,4,1383,3
IMPALA-1670,6,3465,3
IMPALA-1676,2,63,1
IMPALA-1680,2,177,2
IMPALA-1690,16,12741,5
IMPALA-1699,1,91,1
IMPALA-1700,4,334,3
IMPALA-1702,9,4154,6
IMPALA-1705,1,40,1
IMPALA-1706,5,1173,4
IMPALA-1711,2,809,2
IMPALA-1712,4,444,3
IMPALA-1723,2,181,2
IMPALA-1726,4,241,3
IMPALA-173,3,3927,3
IMPALA-1731,2,1222,2
IMPALA-1737,9,1889,4
IMPALA-1746,5,643,3
IMPALA-1751,7,746,4
IMPALA-1752,2,843,1
IMPALA-1753,6,1612,3
IMPALA-1755,17,2655,7
IMPALA-1758,2,858,2
IMPALA-1770,1,0,1
IMPALA-1776,4,2597,3
IMPALA-1779,1,0,1
IMPALA-1780,4,656,4
IMPALA-1781,1,0,1
IMPALA-1783,1,0,1
IMPALA-1789,5,5649,4
IMPALA-1790,2,97,2
IMPALA-1791,7,3008,3
IMPALA-1792,10,1368,5
IMPALA-1794,2,64,2
IMPALA-1796,2,149,1
IMPALA-1797,1,245,1
IMPALA-1798,3,1193,3
IMPALA-1800,9,2292,3
IMPALA-1802,3,426,2
IMPALA-1805,3,1202,2
IMPALA-1810,1,1257,1
IMPALA-1815,2,2706,2
IMPALA-1816,1,0,1
IMPALA-1817,2,1879,1
IMPALA-1818,1,0,1
IMPALA-1820,4,4118,2
IMPALA-1821,4,521,3
IMPALA-1823,2,373,1
IMPALA-1825,4,5114,3
IMPALA-1831,8,2796,3
IMPALA-1832,1,221,1
IMPALA-1833,9,4421,4
IMPALA-1835,2,240,2
IMPALA-1836,1,988,1
IMPALA-1837,1,912,1
IMPALA-1838,3,781,2
IMPALA-1841,6,14465,2
IMPALA-1843,2,111,2
IMPALA-1844,1,151,1
IMPALA-1851,2,1714,1
IMPALA-1854,2,97,1
IMPALA-186,11,1749,5
IMPALA-1862,3,227,2
IMPALA-1863,5,4368,1
IMPALA-1864,1,85,1
IMPALA-1865,2,119,1
IMPALA-1866,2,183,1
IMPALA-1867,22,39306,3
IMPALA-1868,4,678,2
IMPALA-1871,17,4720,12
IMPALA-1872,2,285,1
IMPALA-1873,2,1476,2
IMPALA-1875,2,1095,2
IMPALA-1879,16,10991,8
IMPALA-1880,3,389,3
IMPALA-1882,4,1220,3
IMPALA-1888,1,1195,1
IMPALA-1898,3,1023,2
IMPALA-190,1,198,1
IMPALA-1904,10,2697,5
IMPALA-1906,5,1554,4
IMPALA-1917,5,1246,2
IMPALA-1918,4,350,2
IMPALA-1922,2,173,2
IMPALA-1926,1,94,1
IMPALA-1927,2,139,1
IMPALA-1933,4,1311,3
IMPALA-1938,5,360,3
IMPALA-1941,1,0,1
IMPALA-1943,7,1889,2
IMPALA-1946,1,2114,1
IMPALA-195,2,231,1
IMPALA-1952,4,1086,3
IMPALA-1967,4,1481,3
IMPALA-197,1,208,1
IMPALA-1970,2,1103,1
IMPALA-1972,6,2493,4
IMPALA-1973,1,105,1
IMPALA-1985,1,114,1
IMPALA-1987,7,715,2
IMPALA-1988,1,101,1
IMPALA-20,3,318,2
IMPALA-2005,8,2006,5
IMPALA-2006,6,1404,4
IMPALA-2008,8,1367,3
IMPALA-2011,3,563,2
IMPALA-2014,4,536,3
IMPALA-2018,2,1204,2
IMPALA-2024,1,0,1
IMPALA-2029,9,3787,6
IMPALA-2035,8,2509,4
IMPALA-2038,2,255,2
IMPALA-2040,7,3181,4
IMPALA-2041,29,20989,7
IMPALA-2046,5,794,2
IMPALA-2048,4,2526,3
IMPALA-2056,5,3942,3
IMPALA-2060,9,2840,4
IMPALA-2065,9,3372,4
IMPALA-2069,7,1786,4
IMPALA-2071,2,152,2
IMPALA-2075,3,447,2
IMPALA-2076,2,1684,2
IMPALA-2077,4,11249,1
IMPALA-2078,1,0,1
IMPALA-2085,1,22,1
IMPALA-2086,2,162,2
IMPALA-2088,2,550,1
IMPALA-2089,3,1633,1
IMPALA-2092,4,2065,4
IMPALA-2093,7,705,5
IMPALA-2097,8,2269,6
IMPALA-2099,3,604,2
IMPALA-2102,1,32,1
IMPALA-2104,1,217,1
IMPALA-2109,4,316,4
IMPALA-2111,22,6376,8
IMPALA-2117,3,354,2
IMPALA-212,9,1025,4
IMPALA-2123,1,19,1
IMPALA-2124,3,327,2
IMPALA-2130,1,460,1
IMPALA-2134,1,29,1
IMPALA-2135,1,0,1
IMPALA-2142,4,839,4
IMPALA-2144,3,675,2
IMPALA-2150,9,6922,5
IMPALA-2151,3,313,2
IMPALA-2154,4,1213,2
IMPALA-2162,2,186,1
IMPALA-2163,9,2399,6
IMPALA-2164,5,492,3
IMPALA-2168,18,18474,5
IMPALA-2170,2,320,2
IMPALA-2172,7,2942,5
IMPALA-2176,1,188,1
IMPALA-2178,4,557,3
IMPALA-2182,3,302,2
IMPALA-2184,8,2807,5
IMPALA-219,3,1236,2
IMPALA-2200,15,3306,10
IMPALA-2206,1,93,1
IMPALA-2207,4,3131,3
IMPALA-2213,6,1544,5
IMPALA-2215,7,1181,6
IMPALA-2220,6,1439,3
IMPALA-2221,6,1319,3
IMPALA-2223,1,0,1
IMPALA-2227,9,2575,5
IMPALA-2229,2,1116,2
IMPALA-2231,1,52,1
IMPALA-2234,2,738,1
IMPALA-2236,2,331,2
IMPALA-2238,3,399,2
IMPALA-2241,16,14272,3
IMPALA-2242,1,125,1
IMPALA-2243,6,762,3
IMPALA-2244,4,2196,3
IMPALA-2245,12,8011,5
IMPALA-2246,13,3546,3
IMPALA-2247,4,377,3
IMPALA-225,2,785,2
IMPALA-2252,10,1219,5
IMPALA-2254,7,1458,4
IMPALA-2256,7,3732,2
IMPALA-2258,2,203,2
IMPALA-2260,2,182,1
IMPALA-2263,2,70,2
IMPALA-2264,3,803,2
IMPALA-2265,11,2934,5
IMPALA-2266,3,1819,2
IMPALA-2270,6,1590,3
IMPALA-2271,9,3910,3
IMPALA-2272,3,225,3
IMPALA-2278,5,4259,1
IMPALA-2282,4,8231,2
IMPALA-2283,5,3614,3
IMPALA-2284,3,1575,3
IMPALA-2285,11,2788,4
IMPALA-2286,12,4323,3
IMPALA-2287,3,2527,2
IMPALA-2290,1,759,1
IMPALA-2294,21,8146,9
IMPALA-2296,5,1385,3
IMPALA-2297,1,398,1
IMPALA-2299,6,2016,2
IMPALA-2308,2,1101,2
IMPALA-2312,2,1029,2
IMPALA-2317,1,22,1
IMPALA-2324,1,22,1
IMPALA-2325,1,411,1
IMPALA-2326,6,7092,1
IMPALA-2328,8,1933,4
IMPALA-2330,6,3724,2
IMPALA-2334,4,160,2
IMPALA-2335,5,7326,2
IMPALA-2338,3,160,2
IMPALA-234,2,637,2
IMPALA-2341,1,702,1
IMPALA-2344,14,15029,5
IMPALA-2347,2,2269,2
IMPALA-2349,3,4998,3
IMPALA-2357,8,1257,3
IMPALA-2358,4,1041,3
IMPALA-2363,5,435,4
IMPALA-2364,2,1117,1
IMPALA-2365,6,1461,3
IMPALA-2367,9,1173,4
IMPALA-2369,3,392,2
IMPALA-2371,4,1994,3
IMPALA-2375,31,19944,4
IMPALA-2376,6,3045,3
IMPALA-2378,51,44153,5
IMPALA-2382,3,352,3
IMPALA-2383,1,1054,1
IMPALA-2400,14,17041,5
IMPALA-2401,1,1022,1
IMPALA-2415,3,339,2
IMPALA-2417,3,2935,1
IMPALA-2418,7,4107,5
IMPALA-2423,17,6433,6
IMPALA-2426,6,2477,4
IMPALA-2429,4,1469,4
IMPALA-243,4,1335,3
IMPALA-2430,3,1503,2
IMPALA-2434,1,869,1
IMPALA-2436,3,194,3
IMPALA-2439,10,4490,4
IMPALA-2451,2,238,2
IMPALA-2458,2,705,1
IMPALA-2460,9,1703,3
IMPALA-2461,7,1255,3
IMPALA-2470,31,14073,6
IMPALA-2479,32,14563,9
IMPALA-248,2,313,2
IMPALA-2481,6,3132,3
IMPALA-2486,26,7291,5
IMPALA-249,4,1766,3
IMPALA-2490,5,438,3
IMPALA-2497,1,101,1
IMPALA-2503,1,260,1
IMPALA-2509,4,638,4
IMPALA-2514,2,252,1
IMPALA-2517,4,1808,2
IMPALA-252,4,2316,3
