Key,CommentCount,CommentLength,CommentPeopleCount
IMPALA-10002,1,0,1
IMPALA-10003,2,483,2
IMPALA-10004,4,1755,4
IMPALA-10005,3,3282,2
IMPALA-10006,1,723,1
IMPALA-10009,1,0,1
IMPALA-10011,5,1653,2
IMPALA-10012,3,3117,1
IMPALA-10024,2,1288,2
IMPALA-10026,4,450,2
IMPALA-10031,1,0,1
IMPALA-10032,5,4007,2
IMPALA-10035,1,0,1
IMPALA-10036,5,4899,2
IMPALA-10037,3,1111,3
IMPALA-10039,5,3909,3
IMPALA-1004,3,108,2
IMPALA-10040,2,989,2
IMPALA-10042,5,3788,2
IMPALA-10043,1,877,1
IMPALA-10044,2,1960,1
IMPALA-10047,2,1178,2
IMPALA-1005,1,415,1
IMPALA-10051,3,1671,3
IMPALA-10054,13,3378,6
IMPALA-10055,6,1556,5
IMPALA-10057,7,5117,5
IMPALA-10058,6,1478,4
IMPALA-1006,2,382,1
IMPALA-10062,2,1232,2
IMPALA-10063,1,1857,1
IMPALA-10069,3,2526,2
IMPALA-1007,1,40,1
IMPALA-10070,1,322,1
IMPALA-10071,1,832,1
IMPALA-10072,6,1305,4
IMPALA-10077,3,9769,2
IMPALA-1008,1,53,1
IMPALA-10080,1,953,1
IMPALA-10081,2,339,2
IMPALA-10082,1,956,1
IMPALA-10086,1,0,1
IMPALA-10087,5,2050,3
IMPALA-1009,3,450,3
IMPALA-10092,3,4678,2
IMPALA-10094,7,1788,3
IMPALA-10096,5,4695,3
IMPALA-10097,1,237,1
IMPALA-1010,5,23297,3
IMPALA-10100,1,0,1
IMPALA-10101,7,3547,2
IMPALA-10102,7,5382,4
IMPALA-10104,3,2584,3
IMPALA-10109,4,839,3
IMPALA-10111,3,1228,3
IMPALA-10115,1,1132,1
IMPALA-10119,2,1142,2
IMPALA-10123,1,110,1
IMPALA-10124,3,6696,3
IMPALA-10126,1,24,1
IMPALA-10127,2,3503,1
IMPALA-10128,1,37,1
IMPALA-10129,1,1077,1
IMPALA-1013,4,224,2
IMPALA-10130,2,1058,1
IMPALA-10135,3,982,2
IMPALA-10136,1,0,1
IMPALA-10143,1,896,1
IMPALA-10145,4,1367,3
IMPALA-10146,1,59,1
IMPALA-10148,1,568,1
IMPALA-10154,2,1295,2
IMPALA-10155,1,70,1
IMPALA-10157,1,757,1
IMPALA-10158,4,1052,3
IMPALA-1016,1,282,1
IMPALA-10160,1,0,1
IMPALA-10163,1,27,1
IMPALA-10167,1,536,1
IMPALA-10176,1,1212,1
IMPALA-10177,1,1212,1
IMPALA-10179,2,2281,2
IMPALA-1018,1,0,1
IMPALA-10182,6,3208,4
IMPALA-10183,4,1628,4
IMPALA-10184,1,649,1
IMPALA-10186,6,2727,3
IMPALA-10187,5,2865,3
IMPALA-10192,4,2204,3
IMPALA-10193,5,5698,3
IMPALA-10194,1,0,1
IMPALA-10195,1,0,1
IMPALA-1020,2,394,1
IMPALA-10208,4,654,3
IMPALA-10209,1,23,1
IMPALA-1021,1,404,1
IMPALA-1022,1,82,1
IMPALA-10220,4,1351,3
IMPALA-10229,3,2838,2
