Key,CommentCount,CommentLength,CommentPeopleCount
KAFKA-10017,19,34568,9
KAFKA-10049,16,8233,4
KAFKA-10114,9,3254,5
KAFKA-10119,6,587,4
KAFKA-10134,59,36302,9
KAFKA-10147,2,127,2
KAFKA-10167,2,1884,1
KAFKA-10173,20,17593,5
KAFKA-10220,12,6052,6
KAFKA-10223,3,360,2
KAFKA-10247,1,0,1
KAFKA-10262,2,1175,2
KAFKA-10284,17,6895,6
KAFKA-10285,1,59,1
KAFKA-10287,5,1589,3
KAFKA-10336,7,1941,3
KAFKA-10378,7,3693,4
KAFKA-10381,1,199,1
KAFKA-10387,1,651,1
KAFKA-10401,1,0,1
KAFKA-10417,13,3789,8
KAFKA-1044,14,4544,8
KAFKA-10450,3,2898,3
KAFKA-10455,6,4804,3
KAFKA-10457,2,763,2
KAFKA-10465,4,2676,2
KAFKA-10470,9,3787,3
KAFKA-10493,30,16294,7
KAFKA-10515,7,1456,3
KAFKA-10638,3,819,2
KAFKA-10647,1,0,1
KAFKA-10716,1,1444,1
KAFKA-10755,2,433,1
KAFKA-10758,5,3933,3
KAFKA-10772,21,7311,6
KAFKA-10824,1,510,1
KAFKA-1112,32,24386,9
KAFKA-1119,9,2069,2
KAFKA-1123,14,2845,4
KAFKA-1194,125,182775,44
KAFKA-1196,15,19395,7
KAFKA-12190,14,4281,6
KAFKA-12211,1,84,1
KAFKA-12235,1,41,1
KAFKA-12254,1,0,1
KAFKA-12257,3,1419,2
KAFKA-12272,1,47,1
KAFKA-12279,3,53391,2
KAFKA-12323,7,4417,4
KAFKA-12336,2,37,1
KAFKA-12339,1,236,1
KAFKA-12375,10,6838,3
KAFKA-12435,3,1726,2
KAFKA-12487,8,2131,4
KAFKA-12495,22,14860,8
KAFKA-12508,7,1827,4
KAFKA-12658,1,0,1
KAFKA-12667,2,754,2
KAFKA-12671,10,6329,4
KAFKA-12677,4,3985,3
KAFKA-12682,1,73,1
KAFKA-12718,18,12441,5
KAFKA-12777,3,310,3
KAFKA-12851,7,5965,3
KAFKA-12889,3,134,3
KAFKA-12896,4,535,2
KAFKA-12925,6,2899,4
KAFKA-13003,2,366,1
KAFKA-13008,8,7030,5
KAFKA-13033,1,0,1
KAFKA-13039,1,23,1
KAFKA-1305,40,23552,9
KAFKA-13069,3,412,2
KAFKA-13076,1,0,1
KAFKA-1310,7,4866,5
KAFKA-13100,2,3050,2
KAFKA-1311,3,195,1
KAFKA-13128,8,4972,4
KAFKA-13132,2,189,2
KAFKA-1315,6,518,4
KAFKA-1317,22,2982,4
KAFKA-13173,1,294,1
KAFKA-13216,1,111,1
KAFKA-13219,1,0,1
KAFKA-1323,20,3495,4
KAFKA-13232,1,0,1
KAFKA-13266,1,0,1
KAFKA-13277,2,87,2
KAFKA-13289,24,16381,3
KAFKA-13310,12,14698,3
KAFKA-13331,4,1421,4
KAFKA-13334,1,934,1
KAFKA-13358,1,0,1
KAFKA-13370,6,2152,3
KAFKA-13388,15,6988,4
KAFKA-13390,3,454,2
KAFKA-13394,1,0,1
KAFKA-13396,2,112,2
KAFKA-1342,17,4438,8
KAFKA-13421,1,55,1
KAFKA-13427,1,0,1
KAFKA-13433,2,215,1
KAFKA-13435,23,19681,4
KAFKA-13443,1,0,1
KAFKA-13456,1,0,1
KAFKA-13472,2,261,2
KAFKA-13474,6,3975,4
KAFKA-13488,8,1184,3
KAFKA-1356,20,1877,4
KAFKA-13582,2,537,2
KAFKA-13584,3,404,2
KAFKA-13619,1,0,1
KAFKA-1365,8,3360,4
KAFKA-13672,3,3217,3
KAFKA-13684,2,667,2
KAFKA-13695,1,0,1
KAFKA-13735,1,0,1
KAFKA-13736,1,199,1
KAFKA-13737,1,60,1
KAFKA-13739,8,1228,4
KAFKA-13773,13,8636,3
KAFKA-13805,5,807,2
KAFKA-1387,52,47815,15
KAFKA-13927,1,0,1
KAFKA-13932,1,0,1
KAFKA-13939,8,2815,3
KAFKA-13968,1,84,1
KAFKA-13978,5,906,2
KAFKA-13998,1,0,1
KAFKA-14024,5,435,3
KAFKA-1407,5,16202,4
KAFKA-1409,9,984,2
KAFKA-1447,12,1745,9
KAFKA-1460,10,12797,8
KAFKA-1481,83,61823,8
KAFKA-1487,3,494,2
KAFKA-1548,7,6111,5
KAFKA-1558,45,21262,5
KAFKA-1577,32,10084,6
KAFKA-1580,8,1002,3
KAFKA-160,6,855,3
KAFKA-1600,7,1923,4
KAFKA-1622,2,137,2
KAFKA-1635,3,926,2
KAFKA-1642,44,51216,7
KAFKA-1647,22,5615,5
KAFKA-1663,13,4027,3
KAFKA-1664,24,3987,6
KAFKA-1668,3,150,3
KAFKA-1722,14,6367,3
KAFKA-1738,27,28895,4
KAFKA-1742,7,1845,4
KAFKA-1756,9,2367,6
KAFKA-1781,14,12724,4
KAFKA-1789,7,1403,4
KAFKA-1790,8,3703,4
KAFKA-1799,6,653,2
KAFKA-1804,13,5915,7
KAFKA-1806,16,12768,4
KAFKA-1813,5,479,4
KAFKA-1819,25,8448,3
KAFKA-1843,12,4074,10
KAFKA-1870,19,3869,6
KAFKA-1890,5,1244,3
KAFKA-1904,10,2889,7
KAFKA-1919,9,11020,3
KAFKA-1971,11,2038,4
KAFKA-1984,9,1237,3
KAFKA-1988,19,5269,5
KAFKA-2006,1,231,1
KAFKA-2025,2,302,2
KAFKA-2042,8,1730,3
KAFKA-2087,4,294,4
KAFKA-2129,4,2182,2
KAFKA-2134,5,1177,4
KAFKA-2189,11,2043,7
KAFKA-2254,4,15112,2
KAFKA-2284,5,1558,4
KAFKA-2295,13,1962,5
KAFKA-2311,8,2087,3
KAFKA-2326,1,94,1
KAFKA-2338,16,4627,4
KAFKA-2361,4,2020,1
KAFKA-2412,14,4344,5
KAFKA-2436,5,2310,2
KAFKA-2449,5,1885,3
KAFKA-2454,6,1766,3
KAFKA-2461,13,2282,4
KAFKA-2489,3,2384,2
KAFKA-2517,13,2474,5
KAFKA-2545,6,1159,2
KAFKA-2576,5,1324,2
KAFKA-2617,4,47893,2
KAFKA-2666,3,268,2
KAFKA-2722,4,1646,2
KAFKA-2729,85,73474,54
KAFKA-2730,13,3575,4
KAFKA-2736,2,132,1
KAFKA-2738,5,2226,4
KAFKA-2756,5,3355,3
KAFKA-2766,3,908,2
KAFKA-2770,5,1168,3
KAFKA-2788,9,1741,4
KAFKA-2805,18,7525,5
KAFKA-2807,10,4064,4
KAFKA-2817,4,1423,3
KAFKA-2866,4,1010,3
KAFKA-2875,29,33959,4
KAFKA-2894,5,2502,3
KAFKA-2941,4,1063,3
KAFKA-2960,9,3829,5
KAFKA-3042,58,88775,22
KAFKA-3047,9,3410,5
KAFKA-3054,11,7326,4
KAFKA-3106,6,4437,3
KAFKA-3123,16,6877,5
KAFKA-3135,15,3564,9
KAFKA-3160,13,5714,5
KAFKA-3172,9,5381,5
KAFKA-3177,19,5535,8
KAFKA-3185,9,3360,4
KAFKA-3190,10,5164,10
KAFKA-3197,20,9913,7
KAFKA-3213,1,0,1
KAFKA-3238,3,1012,2
KAFKA-3248,4,1163,2
KAFKA-3285,3,258,2
KAFKA-3310,8,3151,3
KAFKA-3315,3,210,2
KAFKA-3316,3,899,2
KAFKA-3328,6,1673,4
