Key,CommentCount,CommentLength,CommentPeopleCount
KAFKA-10001,1,0,1
KAFKA-10004,1,0,1
KAFKA-10007,4,678,2
KAFKA-10008,4,575,4
KAFKA-10010,6,1862,3
KAFKA-10011,1,0,1
KAFKA-10013,1,0,1
KAFKA-10014,1,0,1
KAFKA-10018,1,0,1
KAFKA-10019,1,0,1
KAFKA-1002,2,246,2
KAFKA-10021,5,1336,3
KAFKA-10025,1,0,1
KAFKA-10029,2,103,2
KAFKA-1003,12,259,2
KAFKA-10030,2,278,2
KAFKA-10031,1,0,1
KAFKA-10032,1,0,1
KAFKA-10037,1,0,1
KAFKA-10039,1,0,1
KAFKA-1004,4,402,3
KAFKA-10041,1,581,1
KAFKA-10043,13,1575,3
KAFKA-10045,2,229,2
KAFKA-10046,2,350,2
KAFKA-10048,1,0,1
KAFKA-1005,1,10,1
KAFKA-10050,2,13343,1
KAFKA-10051,2,247,2
KAFKA-10052,3,980,2
KAFKA-10056,4,292,2
KAFKA-1006,6,1914,5
KAFKA-10060,4,386,2
KAFKA-10061,1,0,1
KAFKA-10063,1,42,1
KAFKA-10065,1,0,1
KAFKA-10066,6,480,2
KAFKA-10069,1,0,1
KAFKA-1007,4,271,2
KAFKA-10072,3,1698,3
KAFKA-10075,1,488,1
KAFKA-10078,1,0,1
KAFKA-10079,1,0,1
KAFKA-1008,35,13735,8
KAFKA-10080,1,191,1
KAFKA-10081,1,0,1
KAFKA-10082,1,0,1
KAFKA-10083,1,0,1
KAFKA-10085,1,0,1
KAFKA-10087,1,0,1
KAFKA-10089,1,0,1
KAFKA-1009,5,905,2
KAFKA-10099,1,0,1
KAFKA-1010,6,804,3
KAFKA-10101,4,962,2
KAFKA-10102,1,0,1
KAFKA-10103,1,0,1
KAFKA-10105,14,4220,7
KAFKA-10107,1,58,1
KAFKA-10108,1,0,1
KAFKA-10109,1,79,1
KAFKA-1011,8,4298,4
KAFKA-10110,1,112,1
KAFKA-10111,1,132,1
KAFKA-10113,1,0,1
KAFKA-10120,1,0,1
KAFKA-10123,1,4489,1
KAFKA-10124,1,0,1
KAFKA-10125,1,0,1
KAFKA-10127,1,142,1
KAFKA-10128,1,212,1
KAFKA-10132,1,116,1
KAFKA-10133,7,2250,2
KAFKA-10136,17,20697,2
KAFKA-10140,9,1800,4
KAFKA-10142,1,0,1
KAFKA-10144,1,0,1
KAFKA-10148,1,0,1
KAFKA-10150,1,0,1
KAFKA-10151,5,1873,2
KAFKA-10152,3,382,2
KAFKA-10154,2,329,2
KAFKA-10155,5,496,3
KAFKA-10156,3,882,2
KAFKA-10157,1,0,1
KAFKA-10158,9,14506,5
KAFKA-10159,2,495,2
KAFKA-1016,3,1044,2
KAFKA-10160,7,1214,4
KAFKA-10165,1,0,1
KAFKA-10166,9,3113,4
KAFKA-10169,1,385,1
KAFKA-1017,4,674,4
KAFKA-10171,1,0,1
KAFKA-10172,9,1028,3
KAFKA-10175,1,52,1
KAFKA-10176,3,1015,2
KAFKA-10179,9,11240,6
KAFKA-1018,5,986,3
KAFKA-10180,3,26206,3
KAFKA-10183,1,115,1
KAFKA-10188,1,156,1
KAFKA-10189,2,58,2
KAFKA-1019,14,5217,8
KAFKA-10190,1,0,1
KAFKA-10192,8,4173,4
KAFKA-10193,2,127,2
KAFKA-10196,2,2952,2
KAFKA-10198,2,226,2
KAFKA-102,4,320,2
KAFKA-1020,2,697,2
KAFKA-10200,4,285,2
KAFKA-10203,1,555,1
KAFKA-10204,1,0,1
KAFKA-10206,3,1568,3
KAFKA-10207,4,910,3
KAFKA-10208,1,25,1
KAFKA-10209,1,0,1
KAFKA-10210,1,0,1
KAFKA-10212,1,0,1
KAFKA-10214,1,79,1
KAFKA-10215,2,153,1
KAFKA-10218,4,2245,2
KAFKA-1022,1,240,1
KAFKA-10221,1,0,1
KAFKA-10222,8,4373,1
KAFKA-10224,1,1014,1
KAFKA-10226,9,3130,3
KAFKA-10227,1,0,1
KAFKA-10229,4,1555,2
KAFKA-10231,1,0,1
KAFKA-10233,5,535,5
KAFKA-10234,1,0,1
KAFKA-10235,1,23,1
KAFKA-10236,1,154,1
KAFKA-10239,1,0,1
KAFKA-1024,10,5213,2
KAFKA-10240,1,130,1
KAFKA-10243,3,181,2
KAFKA-10245,2,126,2
KAFKA-10246,1,178,1
KAFKA-10249,1,47,1
KAFKA-1025,12,3851,5
KAFKA-10250,1,2580,1
KAFKA-10251,12,3580,4
KAFKA-10252,2,220,2
KAFKA-10253,6,221993,3
KAFKA-10254,3,204,2
KAFKA-10257,3,105,2
KAFKA-1026,5,829,3
KAFKA-10264,2,54,2
KAFKA-10266,1,95,1
KAFKA-10267,1,70,1
KAFKA-10268,1,234,1
KAFKA-10269,5,1487,3
KAFKA-10271,2,217,2
KAFKA-10272,1,0,1
KAFKA-10274,5,1944,3
KAFKA-10275,1,199,1
KAFKA-10276,1,0,1
KAFKA-10278,4,608,2
KAFKA-10282,1,114,1
KAFKA-1029,22,49453,8
KAFKA-10293,1,210,1
KAFKA-10296,1,0,1
KAFKA-1030,10,3303,3
KAFKA-10300,1,15,1
KAFKA-10301,3,408,2
KAFKA-10302,2,112,2
KAFKA-10303,1,143,1
KAFKA-10306,1,0,1
KAFKA-10307,11,5462,4
KAFKA-1031,1,39,1
KAFKA-10311,1,68,1
KAFKA-10312,2,127,1
KAFKA-10313,5,451,5
KAFKA-10314,1,235,1
KAFKA-10318,1,19,1
KAFKA-1032,8,1471,4
KAFKA-10320,1,0,1
KAFKA-10321,3,514,1
KAFKA-10322,6,4685,3
KAFKA-10323,6,1663,3
KAFKA-10324,12,3860,3
KAFKA-10326,1,0,1
KAFKA-10328,1,0,1
KAFKA-1033,1,0,1
KAFKA-10330,1,0,1
KAFKA-10332,1,257,1
KAFKA-10334,4,1568,2
KAFKA-10335,1,76,1
KAFKA-10337,1,88,1
KAFKA-1034,5,749,3
KAFKA-10340,10,7912,6
KAFKA-1035,10,1195,3
KAFKA-10352,2,598,2
KAFKA-10353,2,157,2
KAFKA-10354,1,25,1
KAFKA-10359,1,0,1
KAFKA-1036,13,3079,6
KAFKA-10361,1,0,1
KAFKA-10362,11,1482,5
KAFKA-10363,2,333,2
KAFKA-10365,1,0,1
KAFKA-10366,5,3048,3
KAFKA-1037,2,268,2
KAFKA-10371,1,0,1
KAFKA-10372,1,46,1
KAFKA-10373,1,1439,1
KAFKA-10375,1,25,1
KAFKA-1038,5,361,3
KAFKA-10382,1,0,1
KAFKA-10384,1,20,1
KAFKA-10385,1,0,1
KAFKA-10386,1,0,1
KAFKA-10388,1,0,1
KAFKA-10389,1,0,1
KAFKA-1039,5,324,2
KAFKA-10390,1,120,1
KAFKA-10391,1,0,1
KAFKA-10395,3,2524,2
KAFKA-10396,18,7650,4
KAFKA-10398,2,130,2
KAFKA-104,1,140,1
KAFKA-1041,7,425,2
KAFKA-10410,7,4639,3
KAFKA-10413,12,2503,8
KAFKA-10414,1,49,1
KAFKA-10419,1,0,1
KAFKA-10420,1,0,1
KAFKA-10421,5,987,2
KAFKA-10423,1,0,1
KAFKA-10424,6,2259,2
KAFKA-10426,1,84,1
KAFKA-10428,1,136,1
KAFKA-10429,1,1036,1
KAFKA-1043,9,4895,6
KAFKA-10432,1,364,1
KAFKA-10439,1,65,1
KAFKA-10440,1,70,1
KAFKA-10441,2,1563,1
KAFKA-1045,2,319,2
KAFKA-10452,1,0,1
KAFKA-10454,6,1860,3
KAFKA-10460,2,121,2
KAFKA-10463,1,0,1
KAFKA-10464,1,0,1
KAFKA-10467,7,1896,3
KAFKA-10468,1,26,1
KAFKA-10469,1,0,1
KAFKA-1047,1,89,1
KAFKA-10471,6,1516,4
KAFKA-10475,5,1155,5
KAFKA-10476,1,0,1
KAFKA-10477,6,4906,2
KAFKA-10479,1,0,1
KAFKA-1048,1,91,1
KAFKA-10480,2,410,2
KAFKA-10486,1,0,1
KAFKA-10488,1,199,1
KAFKA-10489,1,0,1
KAFKA-10499,1,81,1
KAFKA-10501,3,922,2
KAFKA-10502,1,0,1
KAFKA-10506,1,0,1
KAFKA-10512,1,0,1
KAFKA-10513,4,748,3
KAFKA-10514,2,196,2
KAFKA-10517,1,0,1
KAFKA-10518,2,1392,2
KAFKA-1052,3,161,2
