Key,CommentCount,CommentLength,CommentPeopleCount
LUCENE-10051,4,363,4
LUCENE-10058,3,318,3
LUCENE-10147,11,4082,3
LUCENE-1028,4,667,1
LUCENE-10288,6,1774,3
LUCENE-1041,1,322,1
LUCENE-1042,2,298,1
LUCENE-10430,4,1002,2
LUCENE-10447,12,2969,4
LUCENE-10466,9,2603,5
LUCENE-10495,3,529,2
LUCENE-10538,4,2258,2
LUCENE-1068,17,6430,4
LUCENE-1086,4,276,2
LUCENE-1096,6,2351,1
LUCENE-1140,4,291,2
LUCENE-1152,5,750,2
LUCENE-1189,3,347,2
LUCENE-1224,20,10320,9
LUCENE-1225,4,446,3
LUCENE-124,12,4444,6
LUCENE-1246,5,900,3
LUCENE-1261,3,242,3
LUCENE-1263,6,1049,5
LUCENE-1269,3,1252,3
LUCENE-1271,2,261,2
LUCENE-1327,7,1331,3
LUCENE-1359,2,313,2
LUCENE-1439,9,3440,6
LUCENE-1545,10,3820,6
LUCENE-1764,8,1986,3
LUCENE-1815,8,1645,5
LUCENE-1819,7,2309,3
LUCENE-1859,18,9229,5
LUCENE-1862,14,5599,4
LUCENE-2032,9,1668,4
LUCENE-205,11,2310,4
LUCENE-2103,6,786,2
LUCENE-2104,19,7878,3
LUCENE-218,1,183,1
LUCENE-2222,11,6095,3
LUCENE-2229,14,3922,4
LUCENE-2233,5,1486,2
LUCENE-2249,7,507,4
LUCENE-2263,4,398,4
LUCENE-2458,87,53713,15
LUCENE-2529,28,22116,5
LUCENE-259,6,1448,3
LUCENE-2693,10,1239,5
LUCENE-271,6,1379,4
LUCENE-3000,7,927,5
LUCENE-3042,10,3130,2
LUCENE-3119,3,234,2
LUCENE-314,2,112,2
LUCENE-3144,9,2994,3
LUCENE-320,2,519,2
LUCENE-3229,30,6724,9
LUCENE-329,38,15715,13
LUCENE-3365,4,504,2
LUCENE-3493,13,4540,4
LUCENE-3541,7,965,2
LUCENE-362,9,4436,4
LUCENE-3698,3,289,2
LUCENE-372,5,1822,3
LUCENE-373,5,6939,4
LUCENE-3738,57,23141,4
LUCENE-375,2,248,2
LUCENE-3777,9,2290,4
LUCENE-38,5,1164,4
LUCENE-3834,1,0,1
LUCENE-387,16,3960,4
LUCENE-3937,17,5868,4
LUCENE-3951,19,6156,2
LUCENE-3956,2,315,2
LUCENE-396,6,461,4
LUCENE-3983,5,1950,2
LUCENE-401,3,368,2
LUCENE-4102,4,1268,2
LUCENE-414,6,2250,4
LUCENE-420,6,901,3
LUCENE-4204,9,2874,3
LUCENE-424,4,445,2
LUCENE-4415,41,15720,5
LUCENE-4422,9,2109,5
LUCENE-4547,42,22531,9
LUCENE-459,2,364,2
LUCENE-4630,9,5191,6
LUCENE-4638,17,4298,7
LUCENE-471,3,337,2
LUCENE-472,10,1881,4
LUCENE-4740,29,17688,6
LUCENE-4788,3,196,3
LUCENE-493,5,947,1
LUCENE-4993,5,624,3
LUCENE-508,4,176,2
LUCENE-517,4,753,4
LUCENE-518,3,664,3
LUCENE-5195,3,4651,2
LUCENE-5211,5,2301,3
LUCENE-533,7,2751,4
LUCENE-535,1,42,1
LUCENE-5365,4,967,2
