Key,CommentCount,CommentLength,CommentPeopleCount
LUCENE-1,1,49,1
LUCENE-10,6,1134,3
LUCENE-10006,1,123,1
LUCENE-10007,2,1089,1
LUCENE-10008,13,3809,5
LUCENE-10011,1,186,1
LUCENE-10012,3,490,2
LUCENE-1002,3,642,2
LUCENE-10020,2,1813,1
LUCENE-10026,5,1638,2
LUCENE-1003,6,795,5
LUCENE-10034,5,1287,3
LUCENE-10039,3,1551,2
LUCENE-10042,5,731,4
LUCENE-10046,3,505,2
LUCENE-10047,2,288,2
LUCENE-1005,5,1875,2
LUCENE-10053,7,1756,3
LUCENE-10057,9,4826,4
LUCENE-10059,13,3950,7
LUCENE-1006,2,94,1
LUCENE-10060,13,9313,4
LUCENE-10063,10,2268,4
LUCENE-10069,10,4285,3
LUCENE-10070,11,1513,5
LUCENE-10075,3,811,2
LUCENE-10079,2,1002,2
LUCENE-1008,1,154,1
LUCENE-10081,5,1286,4
LUCENE-10086,1,0,1
LUCENE-1009,1,0,1
LUCENE-10091,4,465,4
LUCENE-10092,9,1840,4
LUCENE-10094,2,662,1
LUCENE-1010,1,0,1
LUCENE-10100,1,109,1
LUCENE-10101,4,396,3
LUCENE-10106,8,2304,2
LUCENE-1011,6,5463,2
LUCENE-10110,5,1621,3
LUCENE-10115,2,516,2
LUCENE-10118,3,831,2
LUCENE-10119,7,2056,2
LUCENE-1012,4,2447,2
LUCENE-10126,19,4458,6
LUCENE-1013,3,273,2
LUCENE-10132,1,31,1
LUCENE-10134,8,1978,4
LUCENE-10138,7,1433,4
LUCENE-1014,2,255,1
LUCENE-10140,9,2601,4
LUCENE-10144,1,0,1
LUCENE-10154,4,2738,2
LUCENE-10156,1,0,1
LUCENE-10170,7,1422,4
LUCENE-10171,3,879,2
LUCENE-10175,1,160,1
LUCENE-10176,3,470,2
LUCENE-10177,4,235,2
LUCENE-1018,2,191,1
LUCENE-10181,1,195,1
LUCENE-10183,5,915,3
LUCENE-10186,7,1085,3
LUCENE-10187,3,615,2
LUCENE-10190,10,4047,4
LUCENE-102,7,1328,2
LUCENE-10208,6,1484,2
LUCENE-1021,2,321,1
LUCENE-10210,2,238,1
LUCENE-1022,1,130,1
LUCENE-10226,3,497,2
LUCENE-10227,10,3846,3
LUCENE-10228,4,2319,2
LUCENE-1023,1,324,1
LUCENE-10232,13,2253,4
LUCENE-10259,10,1693,3
LUCENE-10260,10,3864,4
LUCENE-10261,10,2659,3
LUCENE-10264,3,678,2
LUCENE-10265,2,923,2
LUCENE-1027,4,250,2
LUCENE-10271,11,8040,2
LUCENE-10272,10,4432,3
LUCENE-10279,5,954,2
LUCENE-10287,13,3001,3
LUCENE-1029,20,10573,9
LUCENE-10290,1,0,1
LUCENE-10292,20,18848,5
LUCENE-10295,1,154,1
LUCENE-10298,2,472,2
LUCENE-103,2,250,1
LUCENE-10314,1,366,1
LUCENE-10316,4,1444,2
LUCENE-1033,3,751,3
LUCENE-10331,4,717,3
LUCENE-10335,48,13248,7
LUCENE-10351,3,2073,2
LUCENE-10358,1,0,1
LUCENE-10359,6,1195,3
LUCENE-1036,13,2657,3
LUCENE-10360,1,415,1
LUCENE-10361,1,0,1
LUCENE-10362,1,0,1
LUCENE-10363,1,0,1
LUCENE-10364,11,4980,4
LUCENE-1037,1,383,1
LUCENE-10389,5,933,3
LUCENE-10397,2,663,2
LUCENE-104,7,3041,3
LUCENE-1040,11,4636,4
LUCENE-10401,3,515,2
LUCENE-10402,5,777,3
LUCENE-10405,3,879,2
LUCENE-10406,3,359,2
LUCENE-10407,3,1373,2
LUCENE-10413,3,909,2
LUCENE-10417,5,788,3
LUCENE-10419,31,29218,4
LUCENE-10423,1,0,1
LUCENE-10428,13,2730,4
LUCENE-10431,17,8477,5
LUCENE-10433,1,0,1
LUCENE-1044,52,41347,10
LUCENE-10441,2,711,2
LUCENE-10443,1,0,1
LUCENE-10445,1,0,1
LUCENE-10448,26,18687,3
LUCENE-10449,6,3710,2
LUCENE-1045,25,5191,5
LUCENE-10454,2,761,2
LUCENE-10458,7,1359,4
LUCENE-10459,11,4903,6
LUCENE-1046,4,356,3
LUCENE-10461,15,5544,5
LUCENE-10465,1,0,1
LUCENE-10470,9,5175,4
LUCENE-10477,15,3173,4
LUCENE-1048,2,231,1
LUCENE-10491,4,560,3
LUCENE-105,6,595,3
LUCENE-1050,12,4538,4
LUCENE-10500,3,987,2
LUCENE-10501,1,0,1
LUCENE-10508,11,3361,4
LUCENE-10509,6,3844,4
LUCENE-10514,3,835,2
LUCENE-10515,1,0,1
LUCENE-10518,9,3267,5
LUCENE-10519,3,2314,3
LUCENE-10520,1,0,1
LUCENE-10521,8,2469,4
LUCENE-1053,1,753,1
LUCENE-10530,6,1178,3
LUCENE-10533,3,509,2
LUCENE-10535,2,322,2
LUCENE-1054,2,188,1
LUCENE-10544,12,8559,3
LUCENE-10548,1,94,1
LUCENE-10551,12,2966,5
LUCENE-10552,5,972,4
LUCENE-10562,15,7290,4
LUCENE-10563,7,1917,3
LUCENE-10564,9,2096,4
LUCENE-10568,4,577,3
LUCENE-1057,5,382,2
LUCENE-10574,32,14217,6
LUCENE-10575,3,471,2
LUCENE-10576,2,218,2
LUCENE-10579,5,4971,2
LUCENE-10582,2,780,1
LUCENE-10590,6,2595,4
LUCENE-10591,3,619,2
LUCENE-10594,1,75,1
LUCENE-10595,1,0,1
LUCENE-10598,13,2921,4
LUCENE-106,12,4232,4
LUCENE-10600,12,3166,5
LUCENE-10601,1,229,1
LUCENE-10605,3,1732,2
LUCENE-10607,9,3826,4
LUCENE-10609,1,0,1
LUCENE-10610,23,9797,4
LUCENE-10611,6,4854,3
LUCENE-10616,3,1517,2
LUCENE-10617,4,827,2
LUCENE-1062,9,1394,4
LUCENE-10623,2,518,1
LUCENE-10625,1,0,1
LUCENE-1063,18,9733,4
LUCENE-10630,2,266,2
LUCENE-10637,1,85,1
LUCENE-10642,6,1773,2
LUCENE-10645,1,0,1
LUCENE-10648,1,3383,1
LUCENE-1065,1,243,1
LUCENE-1067,5,932,2
LUCENE-1069,3,255,1
LUCENE-107,2,580,2
LUCENE-1070,7,3481,5
LUCENE-1071,2,45,1
LUCENE-1072,8,3424,3
LUCENE-1075,2,66,1
LUCENE-108,2,526,1
LUCENE-1082,6,1216,2
LUCENE-1087,4,1039,2
LUCENE-109,1,5,1
LUCENE-1091,13,4294,3
LUCENE-1092,1,39,1
LUCENE-1094,1,512,1
LUCENE-1097,5,3582,2
LUCENE-11,7,3143,5
LUCENE-1100,2,1088,2
LUCENE-1101,12,3883,3
LUCENE-111,1,124,1
LUCENE-1112,6,3042,2
LUCENE-1113,2,664,2
LUCENE-1114,3,170,1
LUCENE-1115,3,1548,2
LUCENE-1117,8,2192,2
LUCENE-1125,4,1696,2
LUCENE-1129,2,101,2
LUCENE-113,2,200,2
LUCENE-1130,7,1428,2
LUCENE-1132,2,200,1
LUCENE-1134,10,2319,4
LUCENE-1138,3,247,1
LUCENE-1141,2,1177,2
LUCENE-1143,2,451,1
LUCENE-1144,4,1392,2
LUCENE-115,1,118,1
LUCENE-1150,10,1659,4
LUCENE-1153,3,189,1
LUCENE-1154,6,642,3
LUCENE-1156,5,926,1
LUCENE-1158,1,14,1
LUCENE-1159,1,261,1
LUCENE-1163,6,587,2
LUCENE-1164,1,52,1
LUCENE-1168,2,233,1
LUCENE-1169,10,6008,4
LUCENE-117,4,1507,2
LUCENE-1170,3,403,3
LUCENE-1171,1,15,1
LUCENE-1173,10,2090,2
LUCENE-1174,1,9,1
LUCENE-1175,10,3713,3
LUCENE-1176,3,318,1
LUCENE-1177,2,94,1
LUCENE-1178,5,924,3
LUCENE-1179,2,255,2
LUCENE-118,2,480,2
LUCENE-1180,3,347,3
LUCENE-1182,2,68,2
LUCENE-119,1,156,1
LUCENE-1192,5,1437,2
LUCENE-1193,1,183,1
LUCENE-1196,3,126,2
LUCENE-1197,1,34,1
LUCENE-1198,2,525,2
LUCENE-1199,4,607,3
LUCENE-12,2,321,2
LUCENE-120,1,193,1
LUCENE-1200,2,84,2
LUCENE-1202,7,2720,2
LUCENE-1204,5,1057,3
LUCENE-1205,1,179,1
LUCENE-1208,5,669,4
LUCENE-121,1,93,1
LUCENE-1210,4,342,3
LUCENE-1211,1,0,1
LUCENE-1213,3,527,2
LUCENE-1214,3,780,2
LUCENE-1221,7,1547,3
LUCENE-1222,1,34,1
LUCENE-1223,1,269,1
LUCENE-1226,1,32,1
LUCENE-1228,6,659,3
LUCENE-123,6,4724,3
LUCENE-1230,1,32,1
LUCENE-1234,2,142,1
LUCENE-1237,2,249,2
LUCENE-1238,4,927,1
LUCENE-1239,7,2028,3
LUCENE-1249,1,13,1
LUCENE-1250,3,197,2
LUCENE-1251,1,0,1
LUCENE-1253,11,2489,4
LUCENE-1254,1,72,1
LUCENE-1255,12,3522,6
LUCENE-1262,8,3384,2
LUCENE-1264,2,1160,2
LUCENE-1266,2,117,1
LUCENE-127,2,76,2
LUCENE-1270,2,74,1
LUCENE-1273,1,127,1
LUCENE-1276,3,181,2
LUCENE-1277,1,0,1
LUCENE-128,1,25,1
LUCENE-1280,1,37,1
LUCENE-1281,1,253,1
LUCENE-1282,29,19012,9
LUCENE-1285,6,409,3
LUCENE-129,7,1965,4
LUCENE-1294,2,629,2
LUCENE-1298,2,31,1
LUCENE-1299,2,61,1
LUCENE-13,1,6,1
LUCENE-130,7,2055,3
LUCENE-1300,8,2979,2
LUCENE-1302,11,5586,3
LUCENE-1303,1,308,1
LUCENE-1304,6,704,3
LUCENE-1305,9,2852,2
LUCENE-1309,3,753,3
LUCENE-131,3,1745,3
LUCENE-1310,13,3542,2
LUCENE-1312,17,12082,2
LUCENE-1316,45,17988,8
LUCENE-1318,3,949,2
LUCENE-132,7,2507,4
LUCENE-1321,2,345,2
LUCENE-1323,1,14,1
LUCENE-1324,2,81,2
LUCENE-1326,3,861,3
LUCENE-1328,3,362,2
LUCENE-133,6,889,2
LUCENE-1330,2,342,1
LUCENE-1331,1,49,1
LUCENE-1335,21,16380,3
LUCENE-1338,3,342,2
LUCENE-1342,22,8408,12
LUCENE-1347,5,1273,2
LUCENE-1349,3,449,2
LUCENE-135,2,897,2
LUCENE-1350,16,13881,3
LUCENE-1352,1,39,1
LUCENE-1355,1,0,1
LUCENE-1357,3,775,2
LUCENE-1358,2,325,2
LUCENE-1368,1,54,1
LUCENE-137,2,170,2
LUCENE-1373,10,3902,4
LUCENE-1374,4,1630,2
LUCENE-1376,2,65,1
LUCENE-1379,7,1252,3
LUCENE-138,2,117,2
LUCENE-1381,4,736,3
LUCENE-1383,20,7771,4
LUCENE-1384,2,91,1
LUCENE-1385,15,11903,2
LUCENE-1389,4,823,2
LUCENE-1391,10,2588,4
LUCENE-1393,3,426,2
LUCENE-1394,1,26,1
LUCENE-1397,2,125,1
LUCENE-1399,4,226,2
LUCENE-14,3,497,2
LUCENE-140,37,34629,11
LUCENE-1401,6,3948,2
LUCENE-1402,13,3744,2
LUCENE-1403,3,743,3
LUCENE-1404,3,173,2
LUCENE-1408,2,791,1
LUCENE-1409,9,2998,4
LUCENE-1412,2,187,1
LUCENE-1414,1,0,1
LUCENE-1415,8,1708,4
LUCENE-1416,4,440,2
LUCENE-1418,7,7820,5
LUCENE-1423,1,23,1
LUCENE-1428,1,61,1
LUCENE-1429,4,205,2
LUCENE-143,1,196,1
LUCENE-1430,4,147,1
LUCENE-1431,4,2138,2
LUCENE-1432,7,1498,4
LUCENE-1438,4,2013,4
LUCENE-144,1,253,1
LUCENE-1441,2,68,1
LUCENE-1442,4,140,1
LUCENE-1444,4,705,3
LUCENE-1445,1,64,1
LUCENE-1448,30,16937,4
LUCENE-1449,6,2058,2
LUCENE-1450,4,434,3
LUCENE-1451,21,5967,5
LUCENE-1452,5,1063,3
LUCENE-1453,49,16595,5
LUCENE-1454,6,1501,2
LUCENE-1455,1,0,1
LUCENE-1456,3,1200,2
LUCENE-1457,3,163,1
LUCENE-1459,4,181,2
LUCENE-146,5,940,3
LUCENE-1462,3,444,2
LUCENE-1463,1,102,1
LUCENE-1464,10,3832,3
LUCENE-1465,14,3544,3
LUCENE-1468,4,2180,2
LUCENE-147,4,692,2
LUCENE-1473,60,63425,11
LUCENE-1474,23,8761,4
LUCENE-1479,10,3340,2
LUCENE-1481,6,1018,2
LUCENE-1489,9,10475,6
LUCENE-1490,3,149,2
LUCENE-1491,12,4361,6
LUCENE-1498,2,1166,1
LUCENE-15,3,562,2
LUCENE-1500,44,17591,7
LUCENE-1502,2,101,2
LUCENE-1509,3,91,2
LUCENE-1510,3,461,2
LUCENE-1519,7,392,3
LUCENE-1520,7,709,2
LUCENE-1521,8,2057,2
LUCENE-1524,7,4249,5
LUCENE-1525,1,40,1
LUCENE-1527,2,90,2
LUCENE-1534,10,4028,5
LUCENE-1538,2,76,1
LUCENE-1542,15,7155,5
LUCENE-1544,4,461,2
LUCENE-1547,2,70,1
LUCENE-1548,3,135,2
LUCENE-1552,1,70,1
LUCENE-1553,1,172,1
LUCENE-1554,1,173,1
LUCENE-1555,9,6965,2
LUCENE-1556,2,38,2
LUCENE-1559,16,4615,3
LUCENE-1562,1,0,1
LUCENE-1564,1,49,1
LUCENE-1566,23,5612,3
LUCENE-1568,4,789,1
LUCENE-1569,1,0,1
LUCENE-157,6,755,3
LUCENE-1571,5,699,3
LUCENE-1572,1,77,1
LUCENE-1573,2,303,1
LUCENE-1576,4,237,3
LUCENE-1579,3,404,1
LUCENE-158,2,117,2
LUCENE-1580,1,53,1
LUCENE-1583,8,981,3
LUCENE-1587,1,12,1
LUCENE-159,2,411,2
LUCENE-1590,14,9215,2
LUCENE-1598,2,274,2
LUCENE-1599,13,5017,3
LUCENE-16,6,1285,3
LUCENE-161,4,657,2
LUCENE-1611,4,320,1
LUCENE-1613,9,2244,4
LUCENE-162,1,38,1
LUCENE-1623,4,721,2
LUCENE-1625,5,1226,2
LUCENE-1627,1,52,1
LUCENE-163,2,188,1
LUCENE-1631,5,9897,3
LUCENE-1633,1,10,1
LUCENE-1635,1,169,1
LUCENE-1636,22,8313,4
LUCENE-1638,1,0,1
LUCENE-1639,2,890,2
LUCENE-164,1,58,1
LUCENE-1640,1,117,1
LUCENE-1642,3,769,2
LUCENE-1645,9,3594,2
LUCENE-1647,2,133,1
LUCENE-1648,10,2194,2
