Key,CommentCount,CommentLength,CommentPeopleCount
MESOS-10007,5,1119,2
MESOS-10008,5,2376,2
MESOS-10084,3,12176,1
MESOS-10126,3,9115,1
MESOS-10128,2,2455,1
MESOS-10146,2,663,2
MESOS-10186,8,6147,4
MESOS-10188,6,2997,2
MESOS-10222,8,2863,4
MESOS-1187,21,5949,8
MESOS-1208,6,1215,4
MESOS-1462,4,425,4
MESOS-1539,7,917,4
MESOS-1547,1,0,1
MESOS-1570,7,1777,4
MESOS-1625,6,2225,3
MESOS-1772,1,178,1
MESOS-1802,15,140827,6
MESOS-1821,2,305,1
MESOS-183,36,93146,3
MESOS-184,7,1268,4
MESOS-1871,11,3121,5
MESOS-2021,6,777,5
MESOS-2022,4,657,3
MESOS-2043,22,11796,6
MESOS-2116,6,11118,3
MESOS-2181,4,422,2
MESOS-2201,4,963,3
MESOS-2216,48,28060,7
MESOS-2337,21,3897,8
MESOS-2344,8,5864,4
MESOS-2346,15,3392,9
MESOS-2367,15,12432,5
MESOS-2385,3,1702,3
MESOS-2390,6,2185,4
MESOS-2407,16,46089,8
MESOS-2481,2,534,2
MESOS-2508,4,686,3
MESOS-2548,5,2440,3
MESOS-2554,7,1907,3
MESOS-2557,2,1274,2
MESOS-2558,6,1779,3
MESOS-2559,9,1124,4
MESOS-2603,8,2583,4
MESOS-2690,14,8926,4
MESOS-2712,3,459,2
MESOS-2749,5,1398,2
MESOS-2759,3,231,3
MESOS-2768,12,7602,6
MESOS-2774,4,351,4
MESOS-278,2,954,2
MESOS-2842,9,6227,7
MESOS-2864,11,4560,3
MESOS-2890,2,353,2
MESOS-290,2,491,2
MESOS-2903,4,1357,2
MESOS-2934,3,659,2
MESOS-2996,4,1328,3
MESOS-300,8,2846,3
MESOS-3000,2,2346,1
MESOS-3002,4,787,4
MESOS-3026,4,1545,4
MESOS-3050,25,18974,7
MESOS-3136,37,39795,9
MESOS-3201,5,15428,4
MESOS-328,7,1965,2
MESOS-3282,9,1024,3
MESOS-3321,2,322,1
MESOS-3335,7,8148,4
MESOS-348,3,531,2
MESOS-3498,9,2410,4
MESOS-3573,21,17174,7
MESOS-361,19,4326,7
MESOS-37,18,23130,5
MESOS-372,3,236,3
MESOS-3747,17,21634,7
MESOS-375,5,2873,2
MESOS-3810,6,4354,4
MESOS-3851,19,11979,10
MESOS-3872,2,417,1
MESOS-391,17,16231,2
MESOS-3928,10,2181,5
MESOS-3964,10,2617,4
MESOS-3990,3,587,2
MESOS-3991,3,1157,3
MESOS-4091,1,228,1
MESOS-4102,8,5300,5
MESOS-4113,21,9476,9
MESOS-4143,5,1227,4
MESOS-4154,5,1310,2
MESOS-420,2,774,2
MESOS-4259,2,130,2
MESOS-4279,44,40600,10
MESOS-4282,4,364,2
MESOS-4297,2,3624,2
MESOS-4304,9,1219,5
MESOS-4319,15,4264,3
MESOS-4375,6,691,3
MESOS-4411,4,696,3
MESOS-4416,2,370,2
MESOS-4417,2,292,2
MESOS-4445,7,1800,3
MESOS-4449,5,854,3
MESOS-4463,1,148,1
MESOS-4467,4,990,3
MESOS-4475,1,73,1
MESOS-4515,2,500,2
MESOS-4582,7,2898,3
MESOS-4585,6,1196,3
MESOS-4587,5,620,4
MESOS-4642,17,6160,8
MESOS-4643,2,256,2
MESOS-4671,6,3300,4
MESOS-4824,2,1639,1
MESOS-4827,10,20722,4
MESOS-4831,4,1495,2
MESOS-4833,4,2018,3
MESOS-4878,5,861,3
MESOS-4899,5,962,4
MESOS-4924,3,380,2
MESOS-4996,2,208,2
MESOS-50,6,649,2
MESOS-5023,5,4153,3
MESOS-5063,7,2431,3
MESOS-5064,3,2581,2
MESOS-5172,4,1795,4
MESOS-5189,2,1470,2
MESOS-5208,1,0,1
MESOS-5218,8,1900,4
MESOS-5309,1,8171,1
MESOS-5343,6,2104,3
MESOS-5346,2,803,2
MESOS-5352,2,825,2
MESOS-5354,2,264,2
MESOS-5369,1,538,1
MESOS-5371,4,2202,2
MESOS-5379,6,1586,4
MESOS-5432,2,282,2
MESOS-5482,14,9995,7
MESOS-550,8,2160,2
MESOS-5533,15,2846,6
MESOS-5537,2,1203,2
MESOS-5613,5,1548,4
MESOS-5615,7,4857,3
MESOS-5637,6,2931,1
MESOS-5684,2,759,2
MESOS-5685,3,929,3
MESOS-5686,1,0,1
MESOS-5687,1,0,1
MESOS-5688,1,300,1
MESOS-5689,1,143,1
MESOS-5690,1,0,1
MESOS-5692,5,1087,3
MESOS-5698,4,3836,3
MESOS-5730,5,787,3
MESOS-5757,6,4297,3
MESOS-5763,8,6785,4
MESOS-5840,1,500,1
MESOS-5848,3,1014,1
MESOS-5849,2,1235,2
MESOS-5856,4,2347,2
MESOS-5859,1,6423,1
MESOS-5911,23,8322,8
MESOS-5958,5,27123,3
MESOS-5995,3,140,3
MESOS-6001,4,912,3
MESOS-6010,18,8304,6
MESOS-6012,3,805,3
MESOS-6057,3,510,2
MESOS-6069,1,379,1
MESOS-6118,20,9011,5
MESOS-6119,2,1179,1
MESOS-6142,3,1283,3
MESOS-6157,4,968,2
MESOS-6183,10,2330,5
MESOS-6226,2,1018,2
MESOS-6233,5,77017,2
MESOS-6283,5,2640,3
MESOS-6285,10,2177,5
MESOS-6286,5,5336,2
MESOS-6290,5,1171,4
MESOS-6349,4,1646,3
MESOS-6356,7,114313,4
MESOS-6360,9,5218,4
MESOS-6391,6,987,4
MESOS-6393,4,730,1
MESOS-6400,7,2659,3
MESOS-6420,15,17159,6
MESOS-6422,4,643,3
MESOS-6432,6,3701,4
MESOS-6445,4,2946,2
MESOS-6446,20,6027,6
MESOS-6457,9,3685,4
MESOS-6485,4,1003,2
MESOS-6507,3,892,3
MESOS-6532,3,1195,2
MESOS-6555,8,1128,4
MESOS-658,1,0,1
MESOS-6597,5,2300,3
MESOS-6604,2,378,2
MESOS-6618,2,751,2
MESOS-6621,4,2525,1
MESOS-6653,4,1314,3
MESOS-6654,2,674,2
MESOS-6655,4,783,3
MESOS-6661,3,1343,2
MESOS-6665,6,2119237,4
MESOS-6677,1,665,1
MESOS-6678,1,441,1
