Key,CommentCount,CommentLength,CommentPeopleCount
MESOS-100,2,263,2
MESOS-1000,9,3329,6
MESOS-10000,1,0,1
MESOS-10006,2,927,1
MESOS-1001,1,0,1
MESOS-10011,4,1320,1
MESOS-10014,2,2246,2
MESOS-10015,3,2365,2
MESOS-10018,2,3249,1
MESOS-10019,1,0,1
MESOS-10020,1,0,1
MESOS-10021,1,0,1
MESOS-10022,1,0,1
MESOS-10023,2,289,1
MESOS-10024,1,0,1
MESOS-10025,1,855,1
MESOS-10027,1,0,1
MESOS-10028,2,1247,2
MESOS-10029,1,0,1
MESOS-1003,1,478,1
MESOS-10031,1,584,1
MESOS-10041,2,621,1
MESOS-10042,3,409,2
MESOS-1006,2,275,1
MESOS-10066,9,2036,2
MESOS-10068,9,4508,3
MESOS-1007,6,50388,4
MESOS-10083,1,133,1
MESOS-10085,1,0,1
MESOS-10088,2,978,2
MESOS-10089,1,0,1
MESOS-1009,6,1841,2
MESOS-10090,6,1015,3
MESOS-10091,2,504,1
MESOS-10092,7,7504,2
MESOS-10093,6,2794,3
MESOS-10094,2,446,1
MESOS-10096,2,906,1
MESOS-10097,2,489,1
MESOS-10098,2,1245,1
MESOS-10099,1,0,1
MESOS-1010,29,9772,11
MESOS-10100,2,993,1
MESOS-10102,2,651,2
MESOS-10103,2,748,1
MESOS-10104,1,74,1
MESOS-10107,7,6627,2
MESOS-10109,2,1121,1
MESOS-1011,6,871,2
MESOS-10110,3,1647,2
MESOS-10111,2,840,1
MESOS-10113,2,77,1
MESOS-10114,2,1034,1
MESOS-10116,4,1885,1
MESOS-10118,2,973,1
MESOS-1012,4,855,2
MESOS-10120,1,120,1
MESOS-10122,2,347,1
MESOS-10123,2,779,1
MESOS-10124,2,2063,1
MESOS-10125,2,302,1
MESOS-10127,1,1035,1
MESOS-10129,5,1536,3
MESOS-1013,7,1934,3
MESOS-10131,8,32407,4
MESOS-10132,1,0,1
MESOS-10133,1,207,1
MESOS-10134,1,2536,1
MESOS-10135,1,35,1
MESOS-10136,1,0,1
MESOS-10137,7,4467,5
MESOS-10138,1,0,1
MESOS-10139,2,3265,1
MESOS-1014,2,468,1
MESOS-10140,2,267,2
MESOS-10143,4,3694,3
MESOS-10144,1,0,1
MESOS-10158,1,0,1
MESOS-10159,3,840,2
MESOS-10164,1,97,1
MESOS-10165,1,0,1
MESOS-10167,2,367,1
MESOS-10169,3,13102,1
MESOS-10182,15,7013,4
MESOS-10183,1,112,1
MESOS-10184,1,0,1
MESOS-1019,1,0,1
MESOS-10190,7,3590,4
MESOS-10192,3,935,2
MESOS-10194,8,5747,2
MESOS-10196,6,1810,2
MESOS-10197,1,267,1
MESOS-10199,2,129,1
MESOS-1020,1,0,1
MESOS-10200,3,385,2
MESOS-10201,1,78,1
