Key,CommentCount,CommentLength,CommentPeopleCount
NETBEANS-1004,1,26,1
NETBEANS-1081,5,418,3
NETBEANS-1124,3,789,3
NETBEANS-1129,1,54,1
NETBEANS-1139,2,450,2
NETBEANS-1159,11,2328,5
NETBEANS-1169,3,499,2
NETBEANS-1179,3,332,2
NETBEANS-1191,4,2017,4
NETBEANS-1203,3,505,3
NETBEANS-1217,24,4537,6
NETBEANS-1234,2,135,2
NETBEANS-1308,4,267,3
NETBEANS-1342,7,1354,5
NETBEANS-1343,53,21875,4
NETBEANS-1346,7,930,2
NETBEANS-1349,2,233,2
NETBEANS-1359,35,14155,8
NETBEANS-1367,4,506,3
NETBEANS-1369,5,1108,2
NETBEANS-1370,1,130,1
NETBEANS-1378,4,1817,4
NETBEANS-1386,4,473,2
NETBEANS-1401,7,1521,4
NETBEANS-1404,3,1186,2
NETBEANS-1419,7,1154,3
NETBEANS-1423,14,2066,4
NETBEANS-1438,19,100780,7
NETBEANS-1440,8,1807,4
NETBEANS-1443,4,280,3
NETBEANS-1453,8,2980,3
NETBEANS-147,4,1406,3
NETBEANS-1507,11,3807,2
NETBEANS-1563,9,1088,3
NETBEANS-1595,8,2136,3
NETBEANS-1630,1,185,1
NETBEANS-1654,8,4308,3
NETBEANS-168,79,29185,13
NETBEANS-1697,6,1137,2
NETBEANS-1731,1,196,1
NETBEANS-1765,1,137,1
NETBEANS-1768,2,108,1
NETBEANS-1785,1,0,1
NETBEANS-1794,13,7788,2
NETBEANS-1797,1,0,1
NETBEANS-1803,2,216,2
NETBEANS-1804,2,1324,2
NETBEANS-1818,4,1004,2
NETBEANS-1819,1,267,1
NETBEANS-1824,22,6930,4
NETBEANS-1850,1,146,1
NETBEANS-1859,4,353,3
NETBEANS-1860,1,308,1
NETBEANS-1874,1,108,1
NETBEANS-1922,9,4091,2
NETBEANS-1927,3,469,3
NETBEANS-1931,1,0,1
NETBEANS-1956,3,943,3
NETBEANS-2004,13,6265,4
NETBEANS-2012,3,324,1
NETBEANS-2050,1,117,1
NETBEANS-2082,38,16008,12
NETBEANS-2088,2,10364,2
NETBEANS-2094,2,262,2
NETBEANS-210,4,242,2
NETBEANS-2123,1,10,1
NETBEANS-2160,11,4828,6
NETBEANS-2219,6,2252,5
NETBEANS-2277,7,762,2
NETBEANS-2278,4,421,2
NETBEANS-2283,3,644,1
NETBEANS-2304,12,3144,3
NETBEANS-2306,4,960,3
NETBEANS-2337,1,188,1
NETBEANS-2345,4,1561,3
NETBEANS-236,10,2573,6
NETBEANS-2384,34,16590,3
NETBEANS-2386,2,133,1
NETBEANS-239,13,8000,4
NETBEANS-2406,1,0,1
NETBEANS-2443,10,5647,7
NETBEANS-2446,5,882,2
NETBEANS-2478,4,1137,4
NETBEANS-254,4,494,3
NETBEANS-2543,19,4593,5
NETBEANS-2559,5,1486,2
NETBEANS-2633,3,1882,2
NETBEANS-2637,5,882,3
NETBEANS-2754,1,0,1
NETBEANS-2803,3,741,3
NETBEANS-2807,12,3960,3
NETBEANS-2820,1,0,1
NETBEANS-2824,21,7190,8
NETBEANS-2842,35,14222,9
NETBEANS-2851,1,122,1
NETBEANS-2888,10,2142,5
NETBEANS-2899,1,0,1
NETBEANS-2906,1,42,1
NETBEANS-2929,11,5346,5
NETBEANS-2930,1,0,1
NETBEANS-2938,9,9514,1
NETBEANS-2947,1,382,1
NETBEANS-2969,2,250,1
NETBEANS-2978,2,844,1
NETBEANS-298,1,5096,1
NETBEANS-2986,5,2163,3
NETBEANS-3042,16,6521,9
NETBEANS-305,11,4467,4
NETBEANS-3053,1,0,1
NETBEANS-3087,2,143,1
NETBEANS-3147,5,3420,4
NETBEANS-3151,1,359,1
NETBEANS-3163,1,63,1
NETBEANS-3169,4,305,2
NETBEANS-3172,19,9206,5
NETBEANS-3198,8,1055,5
NETBEANS-3205,9,2656,4
NETBEANS-3234,7,1283,6
NETBEANS-3251,18,3568,7
NETBEANS-3254,5,694,3
NETBEANS-326,3,181,2
NETBEANS-3286,4,563,4
NETBEANS-3290,13,2952,8
NETBEANS-3294,3,728,2
NETBEANS-3322,5,1051,3
NETBEANS-3336,1,90,1
