Key,CommentCount,CommentLength,CommentPeopleCount
NETBEANS-1,2,308,2
NETBEANS-10,1,0,1
NETBEANS-100,1,72,1
NETBEANS-1000,1,54,1
NETBEANS-1003,1,0,1
NETBEANS-1006,1,0,1
NETBEANS-1007,1,164,1
NETBEANS-1008,1,73,1
NETBEANS-101,1,0,1
NETBEANS-1010,1,0,1
NETBEANS-1011,1,62,1
NETBEANS-1012,1,0,1
NETBEANS-1013,1,0,1
NETBEANS-1015,1,158,1
NETBEANS-1017,1,45,1
NETBEANS-1018,1,0,1
NETBEANS-1019,1,97,1
NETBEANS-1020,1,270,1
NETBEANS-1024,5,4626,2
NETBEANS-1025,3,638,2
NETBEANS-1026,3,280,1
NETBEANS-1027,1,0,1
NETBEANS-1028,1,57,1
NETBEANS-103,1,522,1
NETBEANS-1031,7,1990,2
NETBEANS-1032,1,0,1
NETBEANS-1033,1,278,1
NETBEANS-1034,3,821,2
NETBEANS-1037,1,0,1
NETBEANS-1038,4,475,2
NETBEANS-1039,1,757,1
NETBEANS-104,1,0,1
NETBEANS-1040,1,0,1
NETBEANS-1041,1,54,1
NETBEANS-1042,6,1843,3
NETBEANS-1043,4,281,4
NETBEANS-1046,5,2889,5
NETBEANS-1047,1,0,1
NETBEANS-1048,1,57,1
NETBEANS-1049,1,57,1
NETBEANS-105,5,728,3
NETBEANS-1051,2,262,2
NETBEANS-1052,2,140,2
NETBEANS-1054,2,105,1
NETBEANS-1055,10,4155,2
NETBEANS-1056,1,0,1
NETBEANS-1057,3,537,2
NETBEANS-1058,9,1221,2
NETBEANS-1059,1,0,1
NETBEANS-106,9,12225,4
NETBEANS-1061,6,898,3
NETBEANS-1062,2,531,1
NETBEANS-1064,4,980,2
NETBEANS-1065,4,392,3
NETBEANS-1066,1,0,1
NETBEANS-1067,2,85,2
NETBEANS-1068,1,0,1
NETBEANS-1069,1,0,1
NETBEANS-1070,1,42,1
NETBEANS-1071,2,241,1
NETBEANS-1072,1,0,1
NETBEANS-1073,1,82,1
NETBEANS-1075,2,111,1
NETBEANS-1076,1,0,1
NETBEANS-1077,1,0,1
NETBEANS-1078,1,136,1
NETBEANS-1079,1,0,1
NETBEANS-1080,1,0,1
NETBEANS-1082,1,0,1
NETBEANS-1083,6,1322,3
NETBEANS-1084,1,0,1
NETBEANS-1085,6,785,2
NETBEANS-1086,4,505,3
NETBEANS-1087,1,0,1
NETBEANS-1088,2,346,1
NETBEANS-109,8,11530,2
NETBEANS-1091,2,629,1
NETBEANS-1092,1,0,1
NETBEANS-1093,1,0,1
NETBEANS-1094,5,2908,2
NETBEANS-1095,1,0,1
NETBEANS-1096,3,148,3
NETBEANS-1097,16,3050,8
NETBEANS-1098,3,707,2
NETBEANS-1099,1,0,1
NETBEANS-110,3,501,2
NETBEANS-1100,1,348,1
NETBEANS-1103,1,0,1
NETBEANS-1104,3,1064,2
NETBEANS-1105,1,0,1
NETBEANS-1106,3,439,1
NETBEANS-1107,3,318,2
NETBEANS-1109,3,301,2
NETBEANS-111,2,205,2
NETBEANS-1110,1,0,1
NETBEANS-1111,8,3401,2
NETBEANS-1112,4,573,2
NETBEANS-1113,1,7200,1
