Key,CommentCount,CommentLength,CommentPeopleCount
NIFI-10002,1,0,1
NIFI-10011,1,44,1
NIFI-10083,1,109,1
NIFI-10165,1,412,1
NIFI-105,2,545,2
NIFI-1062,13,2918,4
NIFI-1073,14,3777,3
NIFI-1097,20,7628,5
NIFI-1099,12,5351,3
NIFI-1110,3,851,3
NIFI-1183,6,790,1
NIFI-1255,4,1955,1
NIFI-1310,5,937,3
NIFI-134,1,267,1
NIFI-1383,9,2639,4
NIFI-1403,4,1756,3
NIFI-1534,10,4689,4
NIFI-1604,4,3087,2
NIFI-1638,2,546,2
NIFI-1650,12,2847,3
NIFI-1665,7,1685,4
NIFI-1676,7,2600,3
NIFI-1689,10,3884,3
NIFI-1701,18,6099,6
NIFI-1708,1,0,1
NIFI-1726,15,9044,4
NIFI-1756,1,0,1
NIFI-1814,13,14365,4
NIFI-1969,2,505,2
NIFI-1984,5,2035,3
NIFI-1987,10,2813,2
NIFI-1990,1,0,1
NIFI-1991,6,1945,3
NIFI-2032,31,31875,3
NIFI-2056,2,554,1
NIFI-2159,10,3595,4
NIFI-2179,8,2645,2
NIFI-225,20,10705,6
NIFI-2259,9,8012,3
NIFI-2265,4,860,4
NIFI-2344,10,2765,5
NIFI-2366,13,14374,5
NIFI-2395,29,25245,5
NIFI-2409,4,318,2
NIFI-2472,6,1720,3
NIFI-2478,6,1834,3
NIFI-2515,9,3566,4
NIFI-255,10,1437,5
NIFI-256,6,1355,3
NIFI-2562,13,3725,4
NIFI-2608,20,15997,4
NIFI-2686,5,1673,2
NIFI-2751,17,7636,6
NIFI-2753,3,1380,2
NIFI-2838,8,1569,4
NIFI-2920,8,3470,5
NIFI-3036,12,16485,6
NIFI-3055,35,24336,7
NIFI-3066,6,1485,3
NIFI-3069,8,28451,4
NIFI-3104,4,2313,3
NIFI-3125,8,2536,2
NIFI-3132,7,3887,3
NIFI-3205,16,8170,5
NIFI-3242,4,2925,1
NIFI-3248,59,126148,5
NIFI-3301,16,7628,5
NIFI-334,3,865,2
NIFI-3389,17,8623,5
NIFI-3544,3,2837,2
NIFI-3546,5,1641,4
NIFI-3613,6,3416,3
NIFI-3624,3,543,2
NIFI-363,4,922,2
NIFI-3656,2,361,2
NIFI-3671,14,7487,5
NIFI-3689,5,3668,3
NIFI-3761,2,624,2
NIFI-379,2,563,2
NIFI-3872,2,143,2
NIFI-3897,6,5791,4
NIFI-3898,7,6939,2
NIFI-3972,10,4640,4
NIFI-4,18,4542,3
NIFI-4021,5,3377,2
NIFI-4093,5,3277,3
NIFI-4215,27,16147,5
NIFI-4241,3,11207,1
NIFI-4260,5,5549,4
NIFI-4279,12,5884,4
NIFI-4281,3,3401,2
NIFI-4290,10,4840,5
NIFI-4295,7,4526,2
NIFI-4301,4,2960,3
NIFI-4365,1,69,1
NIFI-4464,2,675,2
NIFI-466,3,658,2
NIFI-4686,5,3296,3
NIFI-4734,6,4208,3
NIFI-4747,12,7106,5
NIFI-4765,3,1639,2
NIFI-4801,17,8781,5
NIFI-481,3,579,2
NIFI-4812,1,313,1
NIFI-4859,10,4208,4
NIFI-4864,22,14538,2
NIFI-5200,18,14874,4
NIFI-5369,4,1046,2
NIFI-5439,1,20,1
NIFI-5456,18,11321,4
NIFI-550,3,145,2
NIFI-5522,28,15759,4
NIFI-5647,1,0,1
NIFI-5666,6,4599,1
NIFI-580,2,76,2
NIFI-5822,7,3643,4
NIFI-5828,11,6478,4
NIFI-6016,2,395,2
NIFI-6017,6,1902,4
NIFI-6040,3,648,3
NIFI-6113,6,2311,4
NIFI-638,4,943,3
NIFI-6390,2,689,2
NIFI-6401,1,232,1
NIFI-6409,7,1549,3
NIFI-6414,1,129,1
NIFI-6416,5,1538,3
NIFI-6439,30,23023,8
NIFI-6442,3,743,3
NIFI-6443,3,797,3
NIFI-6557,2,942,2
NIFI-6575,3,830,1
NIFI-6654,7,1672,3
NIFI-6695,1,327,1
NIFI-6699,4,3220,4
NIFI-6737,1,0,1
NIFI-6795,6,1432,4
NIFI-6852,7,4141,5
NIFI-6860,8,3402,4
NIFI-6874,1,0,1
NIFI-695,3,762,2
NIFI-6955,4,757,2
NIFI-6977,1,359,1
NIFI-7061,1,61,1
NIFI-7076,7,4085,5
NIFI-7114,88,32182,6
NIFI-7177,1,1775,1
NIFI-7278,2,326,2
NIFI-7348,3,452,3
NIFI-7366,2,838,1
NIFI-7455,3,572,3
NIFI-7459,1,575,1
NIFI-7469,2,773,2
NIFI-7613,1,0,1
NIFI-7622,8,2258,4
NIFI-7643,1,50,1
NIFI-7730,7,4834,5
NIFI-7732,1,325,1
NIFI-775,3,401,2
NIFI-7772,1,26,1
NIFI-7793,2,456,2
NIFI-7802,2,524,2
NIFI-7804,15,11408,4
NIFI-7870,2,2416,2
NIFI-7910,1,0,1
NIFI-7964,11,4000,3
NIFI-7966,1,84,1
NIFI-7973,2,638,2
NIFI-7979,1,37,1
NIFI-7983,2,465,2
NIFI-7992,2,787,2
NIFI-800,6,2207,5
NIFI-8004,1,87,1
NIFI-8005,1,0,1
NIFI-8034,1,333,1
NIFI-8119,6,3599,4
NIFI-8128,3,3212,2
NIFI-8211,2,2062,2
NIFI-8215,1,288,1
NIFI-8234,2,169,2
NIFI-8237,4,4128,2
NIFI-8253,2,629,1
NIFI-8270,2,653,1
NIFI-8331,5,649,3
NIFI-8334,1,44,1
NIFI-8347,3,1669,2
NIFI-8348,4,1117,2
NIFI-8349,7,2021,3
NIFI-8394,1,308,1
NIFI-8398,13,4619,6
NIFI-8417,5,1959,5
NIFI-8438,1,81,1
NIFI-8453,1,2610,1
NIFI-8541,21,8757,5
NIFI-8555,9,2520,3
NIFI-8614,4,1020,2
NIFI-8636,1,1451,1
NIFI-8727,4,3331,3
NIFI-8742,4,7332,3
NIFI-8749,14,9556,7
NIFI-8750,1,161,1
NIFI-8779,1,589,1
NIFI-8827,2,223,2
NIFI-8947,2,448,2
NIFI-9056,15,12138,6
NIFI-9083,1,898,1
NIFI-9244,1,161,1
NIFI-9307,3,445,3
NIFI-9377,6,1318,4
NIFI-938,11,4368,4
NIFI-9604,2,494,1
NIFI-9622,1,0,1
NIFI-9722,1,501,1
NIFI-9730,1,494,1
NIFI-9740,1,0,1
NIFI-9767,7,3662,2
NIFI-977,5,792,3
NIFI-9801,1,365,1
NIFI-9851,1,0,1
NIFI-9931,4,3041,2
NIFI-9944,10,2931,3
