Key,CommentCount,CommentLength,CommentPeopleCount
NIFI-1,2,323,2
NIFI-1000,25,30312,5
NIFI-10001,8,11853,4
NIFI-10003,7,1430,4
NIFI-10004,3,1356,1
NIFI-10007,1,0,1
NIFI-10008,1,0,1
NIFI-10015,8,1420,3
NIFI-10016,1,1300,1
NIFI-10017,1,0,1
NIFI-10018,2,379,2
NIFI-10019,1,0,1
NIFI-10020,14,8470,3
NIFI-10021,2,549,2
NIFI-10022,1,0,1
NIFI-10023,3,1095,1
NIFI-10026,3,921,1
NIFI-10029,2,929,2
NIFI-10030,1,0,1
NIFI-10031,2,785,1
NIFI-10033,2,328,2
NIFI-10036,3,1442,1
NIFI-10043,1,368,1
NIFI-10045,1,257,1
NIFI-10048,4,1096,4
NIFI-10049,3,1450,1
NIFI-1005,1,456,1
NIFI-10050,1,0,1
NIFI-10059,3,865,1
NIFI-10060,1,528,1
NIFI-10063,3,1105,1
NIFI-10064,1,0,1
NIFI-10070,1,183,1
NIFI-10074,3,898,1
NIFI-10075,2,991,1
NIFI-10076,1,0,1
NIFI-10077,1,0,1
NIFI-10078,4,692,2
NIFI-10080,9,1144,3
NIFI-10081,1,0,1
NIFI-10082,3,530,2
NIFI-10084,1,494,1
NIFI-10091,1,0,1
NIFI-10093,2,499,1
NIFI-10096,4,1187,3
NIFI-10097,1,54,1
NIFI-1010,11,2413,6
NIFI-10102,1,0,1
NIFI-10105,1,285,1
NIFI-10106,1,228,1
NIFI-10114,2,603,1
NIFI-10123,1,0,1
NIFI-10129,2,1016,2
NIFI-10130,1,64,1
NIFI-10132,9,3157,2
NIFI-10133,1,0,1
NIFI-10140,1,310,1
NIFI-10142,1,0,1
NIFI-10143,9,7592,3
NIFI-10144,1,0,1
NIFI-10148,1,750,1
NIFI-10149,1,479,1
NIFI-10154,1,0,1
NIFI-10158,6,828,3
NIFI-10163,1,0,1
NIFI-10164,1,0,1
NIFI-10168,1,91,1
NIFI-10169,1,67,1
NIFI-10170,1,0,1
NIFI-10171,1,0,1
NIFI-10172,1,0,1
NIFI-10177,1,0,1
NIFI-1019,1,73,1
NIFI-1025,7,3672,5
NIFI-1027,3,4003,2
NIFI-1030,3,368,3
NIFI-1031,5,491,3
NIFI-1033,1,67,1
NIFI-1035,6,1946,4
NIFI-1036,1,106,1
NIFI-1038,1,53,1
NIFI-1040,1,0,1
NIFI-1041,1,167,1
NIFI-1047,13,5221,2
NIFI-1049,7,1317,5
NIFI-1050,1,56,1
NIFI-1051,11,3642,5
NIFI-1055,2,429,1
NIFI-1056,3,478,2
NIFI-1057,4,970,4
NIFI-1058,4,345,2
NIFI-1059,7,2074,3
NIFI-1061,24,10294,7
NIFI-1063,5,1683,2
NIFI-1066,1,0,1
NIFI-1068,3,489,3
NIFI-1069,19,9398,6
NIFI-107,1,0,1
NIFI-1076,1,121,1
NIFI-1078,12,2225,5
NIFI-1088,4,484,2
NIFI-1090,5,804,3
NIFI-1091,1,575,1
NIFI-1092,1,408,1
NIFI-1093,29,7238,9
NIFI-1094,2,436,2
NIFI-1098,7,11543,2
NIFI-11,17,6684,3
NIFI-1102,1,0,1
NIFI-1104,2,287,2
NIFI-1105,2,332,2
NIFI-1109,4,2054,4
NIFI-1111,3,421,3
NIFI-1112,2,959,2
NIFI-1114,1,234,1
NIFI-1117,8,1075,3
NIFI-1124,12,2228,5
NIFI-1125,6,3611,4
NIFI-1126,1,29,1
NIFI-1128,1,0,1
NIFI-1132,8,1571,3
NIFI-1133,2,855,2
NIFI-1137,1,0,1
NIFI-1138,2,289,2
NIFI-1139,7,1171,3
NIFI-1141,4,558,3
NIFI-1142,3,545,2
NIFI-1143,8,4435,4
NIFI-1145,15,13621,6
NIFI-1147,1,205,1
NIFI-1152,41,15238,8
NIFI-1153,4,630,4
NIFI-1154,1,0,1
NIFI-1155,10,2961,3
NIFI-1160,5,828,3
NIFI-1162,1,115,1
NIFI-1163,4,732,3
NIFI-1164,25,26899,4
NIFI-1165,36,7830,7
NIFI-1166,2,100,2
NIFI-1168,3,1273,2
NIFI-1169,3,657,2
NIFI-1171,9,13260,3
NIFI-1173,3,515,2
NIFI-1176,4,509,2
NIFI-1179,7,13317,2
NIFI-1181,6,1238,4
NIFI-1182,1,0,1
NIFI-1186,1,0,1
NIFI-1187,5,591,3
NIFI-1189,3,1180,2
NIFI-1190,2,495,2
NIFI-1191,1,216,1
NIFI-1192,39,45483,6
NIFI-1194,1,484,1
NIFI-1195,1,0,1
NIFI-1196,17,3229,4
NIFI-1198,8,1132,5
NIFI-12,1,0,1
NIFI-1200,12,4091,5
NIFI-1203,3,423,2
NIFI-1206,8,2413,4
NIFI-1208,7,1005,4
NIFI-1215,5,1497,4
NIFI-1216,5,735,5
NIFI-122,2,518,2
NIFI-1220,5,1589,3
NIFI-1222,4,1163,3
NIFI-1223,5,925,4
NIFI-1228,1,18,1
NIFI-1229,1,0,1
NIFI-1230,1,94,1
NIFI-1231,10,4519,6
NIFI-1234,26,31197,5
NIFI-1236,6,5256,3
NIFI-1237,3,1010,3
NIFI-1238,3,1092,3
NIFI-1239,3,470,3
NIFI-1240,19,6110,6
NIFI-1241,16,4734,4
NIFI-1242,26,20133,5
NIFI-1243,4,1373,3
NIFI-1244,4,671,3
NIFI-1246,11,3070,5
NIFI-1247,6,838,2
NIFI-1248,3,441,3
NIFI-125,1,68,1
NIFI-1250,3,335,2
NIFI-1252,9,3624,3
NIFI-1254,4,561,3
NIFI-126,2,471,2
NIFI-1260,5,1630,4
NIFI-1261,15,4304,4
NIFI-1263,3,766,3
NIFI-1265,16,4947,7
NIFI-1267,17,7688,5
NIFI-1268,4,1074,2
NIFI-1269,5,823,3
NIFI-127,1,0,1
NIFI-1270,1,843,1
NIFI-1272,3,401,3
NIFI-1278,4,481,3
NIFI-1279,3,713,3
NIFI-1283,6,3265,4
NIFI-1285,3,371,2
NIFI-1286,2,354,2
NIFI-1289,12,4311,4
NIFI-129,1,37,1
NIFI-1294,3,463,2
NIFI-1298,5,1057,3
NIFI-1300,21,6598,6
NIFI-1301,6,906,4
NIFI-1302,10,2188,3
NIFI-1304,1,660,1
NIFI-1309,9,1260,3
NIFI-1311,2,385,2
NIFI-1313,5,769,3
NIFI-1314,2,368,1
NIFI-1315,3,1063,2
NIFI-1317,12,5176,2
NIFI-1318,4,463,3
NIFI-1319,7,947,4
NIFI-132,2,448,1
NIFI-1320,1,0,1
NIFI-1327,8,2454,4
NIFI-1328,5,1851,2
NIFI-1329,2,625,2
NIFI-1330,1,411,1
NIFI-1332,7,1292,5
NIFI-1333,28,8764,6
NIFI-1336,6,4939,3
NIFI-1339,4,1915,3
NIFI-1343,6,972,3
NIFI-1346,3,741,2
NIFI-1347,4,3425,3
NIFI-1349,1,309,1
NIFI-135,1,515,1
NIFI-1350,1,116,1
NIFI-1351,1,46,1
NIFI-1354,8,2226,4
NIFI-1359,1,45,1
NIFI-136,1,55,1
NIFI-1363,3,484,3
NIFI-1368,25,13026,3
NIFI-1375,1,0,1
NIFI-1378,26,13371,5
NIFI-1385,4,878,3
NIFI-1388,5,632,3
NIFI-1394,8,2780,1
NIFI-1395,3,2314,2
NIFI-1396,6,808,4
NIFI-1397,4,544,2
NIFI-14,2,1402,2
NIFI-1400,6,831,4
NIFI-1401,1,87,1
NIFI-1404,3,436,2
NIFI-1406,7,2705,4
NIFI-1408,4,1521,3
NIFI-1409,15,25238,4
NIFI-141,1,0,1
NIFI-1411,7,2143,2
NIFI-1412,7,2093,4
NIFI-1414,8,1503,2
NIFI-1415,8,2473,5
NIFI-1416,5,1447,3
NIFI-1417,9,5128,4
NIFI-1418,1,0,1
NIFI-1419,2,189,2
NIFI-142,2,116,2
NIFI-1421,28,7695,6
NIFI-1429,3,401,2
NIFI-143,4,480,3
NIFI-1433,3,759,2
NIFI-1434,10,5465,3
NIFI-1435,7,1204,3
NIFI-1436,13,6009,4
NIFI-1437,1,194,1
NIFI-1438,5,2304,3
NIFI-144,16,6826,6
NIFI-1442,7,3154,4
NIFI-1443,2,351,2
NIFI-1444,5,1788,4
NIFI-1446,2,603,2
NIFI-1447,7,3703,4
NIFI-1450,2,805,1
NIFI-1451,3,3062,2
NIFI-1452,8,3902,4
NIFI-1453,1,0,1
NIFI-1454,7,3919,4
NIFI-1455,1,83,1
NIFI-1456,7,1708,5
NIFI-1457,2,549,2
NIFI-1459,8,1927,3
NIFI-146,1,108,1
NIFI-1461,45,22998,9
NIFI-1463,4,622,2
NIFI-1482,8,815,4
NIFI-1483,8,2349,4
NIFI-1484,23,12024,7
NIFI-1486,8,2590,2
NIFI-1491,5,1801,2
NIFI-1493,7,2409,4
NIFI-1496,5,1427,2
NIFI-1497,14,3577,4
NIFI-1498,4,917,2
