Key,CommentCount,CommentLength,CommentPeopleCount
OAK-1004,4,1052,3
OAK-1076,14,3450,4
OAK-1077,3,1418,3
OAK-1094,6,1742,3
OAK-1111,16,4753,6
OAK-1137,24,8317,5
OAK-1168,9,1494,4
OAK-1174,13,2366,4
OAK-1178,9,1963,4
OAK-1185,1,705,1
OAK-1200,7,738,3
OAK-1226,4,498,2
OAK-1304,3,747,2
OAK-1317,4,496,2
OAK-1414,4,1504,2
OAK-1415,6,451,4
OAK-1416,7,2741,4
OAK-1465,20,17432,3
OAK-1471,6,7717,3
OAK-1485,1,269,1
OAK-1501,8,345,4
OAK-1566,4,2902,3
OAK-1589,11,2419,4
OAK-1599,1,70,1
OAK-1604,5,2121,3
OAK-1622,10,2260,3
OAK-1624,9,2638,5
OAK-1675,3,171,2
OAK-1689,5,253,2
OAK-1998,6,821,2
OAK-2024,10,2043,4
OAK-2072,2,59,2
OAK-2081,6,3772,3
OAK-2195,9,2130,4
OAK-2250,2,198,2
OAK-2264,3,331,2
OAK-2266,2,258,2
OAK-2294,29,10675,3
OAK-2401,25,8923,7
OAK-2402,6,626,3
OAK-2420,4,186,2
OAK-244,4,739,2
OAK-2557,30,12126,6
OAK-257,2,190,2
OAK-259,5,413,3
OAK-260,9,2967,4
OAK-2656,14,1517,4
OAK-2723,7,626,3
OAK-2751,5,1615,3
OAK-2863,8,1980,4
OAK-2881,4,115,2
OAK-2896,6,1442,2
OAK-2929,16,2383,3
OAK-2934,8,1056,2
OAK-2991,4,1495,2
OAK-3067,3,158,3
OAK-3072,6,6552,5
OAK-3139,4,986,2
OAK-3156,29,10160,5
OAK-3191,10,3208,3
OAK-3275,13,2081,3
OAK-3311,8,1208,4
OAK-3373,14,5997,5
OAK-3396,10,1343,5
OAK-3517,8,1016,3
OAK-3595,6,3713,3
OAK-3629,10,5189,4
OAK-3753,11,2600,2
OAK-3991,12,9634,3
OAK-4009,6,1428,3
OAK-4012,4,513,2
OAK-4054,9,2795,3
OAK-4066,6,3210,4
OAK-4077,7,463,2
OAK-4099,13,7467,4
OAK-4114,5,774,4
OAK-4128,2,80,2
OAK-4170,7,3001,3
OAK-4258,3,123,3
OAK-4302,3,380,2
OAK-4305,3,250,3
OAK-4313,13,13061,4
OAK-4360,1,20,1
OAK-4375,3,125,2
OAK-4507,3,919,3
OAK-4548,5,306,3
OAK-4572,3,226,3
OAK-4679,22,3855,6
OAK-4830,3,273,3
OAK-4896,1,60,1
OAK-4946,1,18,1
OAK-4954,12,3895,3
OAK-4998,4,172,2
OAK-4999,3,151,2
OAK-5007,5,370,3
OAK-5070,8,2399,4
OAK-5091,7,1758,2
OAK-5096,4,515,2
OAK-510,6,856,3
OAK-5125,4,851,3
OAK-5173,6,2591,5
OAK-5229,48,33435,6
OAK-5348,2,62,2
OAK-5446,26,7487,5
OAK-5540,23,11234,3
OAK-5573,12,1972,5
OAK-5636,4,345,3
OAK-5656,13,2108,4
OAK-5915,5,2872,2
OAK-5930,6,1612,3
OAK-5949,7,590,3
OAK-5950,1,0,1
OAK-5955,2,47,2
OAK-6049,3,373,3
OAK-6116,6,355,3
OAK-6150,16,6644,4
OAK-6252,6,576,2
OAK-6254,4,1300,3
OAK-6358,1,368,1
OAK-643,12,5591,3
OAK-6493,4,90,2
OAK-6598,4,448,3
OAK-6641,11,1830,4
OAK-6648,15,2449,5
OAK-6890,3,65,2
OAK-6894,8,2733,4
OAK-6975,4,256,3
OAK-7174,5,194,4
OAK-7261,1,0,1
OAK-7358,12,1044,2
OAK-7638,3,222,1
OAK-7841,1,104,1
OAK-7855,17,2717,3
OAK-7914,11,6097,3
OAK-7975,6,1281,2
OAK-7999,2,1206,1
OAK-8049,2,46,2
OAK-8093,4,96,3
OAK-8139,7,1192,3
OAK-8218,7,926,4
OAK-8278,2,233,2
OAK-8314,10,1497,4
OAK-8512,1,0,1
OAK-8582,3,286,1
OAK-8591,7,1289,2
OAK-8670,1,81,1
OAK-8710,32,14489,3
OAK-8720,2,286,1
OAK-8757,1,27,1
OAK-8763,20,7959,2
OAK-8770,1,0,1
OAK-8800,1,29,1
OAK-8801,1,170,1
OAK-8802,4,855,2
OAK-8803,2,149,1
OAK-8870,2,511,2
OAK-8912,2,575,2
OAK-8948,14,3554,4
OAK-8949,4,625,2
OAK-8984,2,535,2
OAK-9324,5,1710,3
OAK-9456,1,29,1
OAK-9541,3,691,1
OAK-957,6,1545,3
OAK-9582,2,192,1
OAK-9608,1,0,1
OAK-9617,2,224,1
OAK-9781,3,1040,2
