Key,CommentCount,CommentLength,CommentPeopleCount
OAK-1000,12,3578,3
OAK-1002,1,235,1
OAK-1003,4,284,3
OAK-1007,2,176,1
OAK-1009,2,70,2
OAK-101,23,7433,5
OAK-1011,2,55,2
OAK-1016,2,1124,2
OAK-1017,2,108,2
OAK-1019,3,70,3
OAK-1020,7,799,3
OAK-1021,4,225,4
OAK-1022,8,1060,2
OAK-1024,3,167,1
OAK-1026,4,147,3
OAK-1029,2,66,2
OAK-1030,8,917,3
OAK-1034,14,11478,4
OAK-1035,2,63,2
OAK-1038,7,635,3
OAK-1039,4,214,3
OAK-1040,2,132,2
OAK-1041,5,592,2
OAK-1043,2,66,2
OAK-1045,7,1172,4
OAK-1047,2,66,2
OAK-105,1,0,1
OAK-1053,3,422,2
OAK-1054,2,72,2
OAK-1055,9,2199,2
OAK-1067,4,1904,3
OAK-107,2,147,2
OAK-1073,4,138,3
OAK-1074,1,27,1
OAK-1075,5,257,2
OAK-1081,6,1539,3
OAK-1083,10,6256,3
OAK-1085,3,379,2
OAK-1087,3,139,3
OAK-1089,2,118,2
OAK-1090,7,1424,3
OAK-1091,2,62,2
OAK-1092,2,103,1
OAK-1093,4,477,1
OAK-1095,1,31,1
OAK-1096,4,270,2
OAK-1097,2,160,2
OAK-1098,4,852,2
OAK-110,2,228,2
OAK-1104,2,229,2
OAK-1106,2,91,2
OAK-1107,7,742,2
OAK-1108,6,767,2
OAK-1109,4,918,3
OAK-1115,7,6614,3
OAK-1118,4,1567,4
OAK-1122,2,70,2
OAK-1124,8,1088,4
OAK-1125,3,78,2
OAK-1128,1,31,1
OAK-1129,2,70,2
OAK-1130,9,5558,4
OAK-1132,6,1080,3
OAK-1140,2,57,2
OAK-1141,2,57,2
OAK-1143,9,7149,3
OAK-1154,2,206,2
OAK-1155,6,1809,2
OAK-1164,2,57,2
OAK-1165,2,70,2
OAK-1166,2,141,2
OAK-1167,4,1319,2
OAK-1170,4,3245,2
OAK-1171,4,335,2
OAK-1172,4,584,2
OAK-1173,3,378,2
OAK-1175,8,2713,2
OAK-1176,10,1779,4
OAK-1177,5,859,2
OAK-1180,2,58,2
OAK-1182,1,410,1
OAK-1184,3,109,3
OAK-1186,5,1616,2
OAK-1187,2,208,2
OAK-1189,3,492,2
OAK-1191,6,640,3
OAK-1192,2,48,2
OAK-1193,7,3409,3
OAK-1194,2,189,2
OAK-1195,3,92,1
OAK-1196,4,457,2
OAK-1197,8,1482,5
OAK-1199,4,142,2
OAK-1205,6,2454,2
OAK-1206,6,933,4
OAK-1208,2,76,1
OAK-121,3,148,1
OAK-1211,7,909,3
OAK-1213,5,944,3
OAK-1215,16,8187,6
OAK-1216,2,48,2
OAK-1218,2,266,2
OAK-1219,4,461,3
OAK-1220,5,429,3
OAK-1221,5,143,2
OAK-1224,2,48,2
OAK-1225,2,48,2
OAK-1227,2,48,2
OAK-1233,6,4888,3
OAK-1234,1,31,1
OAK-1235,2,179,2
OAK-1242,4,290,2
OAK-1243,2,57,2
OAK-1244,2,70,2
OAK-1245,2,146,2
OAK-1247,16,141521,4
OAK-1250,11,2246,2
OAK-1254,7,2977,2
OAK-1256,4,927,3
OAK-1257,3,144,2
OAK-1258,2,62,2
OAK-1259,3,244,2
OAK-1260,7,1403,4
OAK-1262,6,2681,3
OAK-1267,7,923,4
OAK-1269,2,76,1
OAK-127,6,1096,3
OAK-1270,2,169,1
OAK-1271,1,31,1
OAK-1272,6,1515,3
OAK-1274,6,8913,3
OAK-1276,2,72,2
OAK-1280,2,70,2
OAK-1281,2,70,2
OAK-1283,4,708,2
OAK-1284,3,249,2
OAK-1285,5,2929,3
OAK-1287,3,93,3
OAK-1288,7,2429,3
OAK-1289,2,70,2
OAK-1291,12,1483,4
OAK-1293,4,269,3
OAK-1297,3,122,2
OAK-1299,2,143,2
OAK-130,1,21,1
OAK-1300,2,132,2
OAK-1302,2,70,2
OAK-1303,1,35,1
OAK-1308,2,47,2
OAK-131,2,582,2
OAK-1311,5,989,3
OAK-1313,5,404,3
OAK-1315,2,76,1
OAK-1316,2,58,2
OAK-1318,2,92,2
OAK-1320,2,70,2
OAK-1321,7,2905,4
OAK-1326,2,70,2
OAK-1330,3,494,2
OAK-1334,3,138,2
OAK-1335,13,4881,4
OAK-134,1,25,1
OAK-1344,2,108,2
OAK-1345,2,90,2
OAK-1346,3,133,2
OAK-1348,2,43,2
OAK-135,3,468,2
OAK-1350,2,93,2
OAK-1351,2,192,2
OAK-1353,3,151,3
OAK-1354,4,863,2
OAK-1358,2,70,2
OAK-1359,2,47,2
OAK-136,1,116,1
OAK-1362,11,2977,5
OAK-1363,4,440,3
OAK-1364,2,47,2
OAK-1365,4,383,2
OAK-1369,4,572,2
OAK-1371,2,51,2
OAK-1374,7,653,2
OAK-1375,1,173,1
OAK-1377,2,121,2
OAK-1378,2,57,1
OAK-1379,4,576,1
OAK-1382,5,922,2
OAK-1383,2,72,2
OAK-1384,2,70,2
OAK-1385,2,81,2
OAK-1389,4,127,2
OAK-139,3,41,2
OAK-1394,2,274,2
OAK-1404,3,1761,2
OAK-1405,5,2721,3
OAK-1406,4,372,2
OAK-1408,2,45,2
OAK-1409,2,523,2
OAK-1410,3,157,2
OAK-1417,6,2840,3
OAK-1418,13,7581,4
OAK-1420,4,1206,3
OAK-1422,4,340,3
OAK-1424,9,2835,4
OAK-1425,4,498,4
OAK-1429,5,1192,3
OAK-1432,3,263,2
OAK-1433,2,94,2
OAK-1440,2,72,2
OAK-1441,2,69,2
OAK-1445,2,56,1
OAK-146,1,25,1
OAK-1460,2,70,2
OAK-1462,6,1621,3
OAK-1464,2,54,1
OAK-1466,5,716,3
OAK-1467,3,234,2
OAK-1468,7,1654,3
OAK-1469,2,177,2
OAK-147,1,26,1
OAK-1470,2,70,2
OAK-1472,12,1337,4
OAK-1473,2,57,2
OAK-1476,8,4760,4
OAK-1477,2,68,2
OAK-1479,3,449,3
OAK-1480,2,58,2
OAK-1482,2,406,2
OAK-1483,3,237,3
OAK-1486,2,70,2
OAK-1487,2,61,1
OAK-1488,11,9317,4
OAK-1490,2,48,2
OAK-1491,8,4937,3
OAK-1506,1,0,1
OAK-1516,3,291,1
OAK-1517,1,78,1
OAK-1520,2,48,2
OAK-1523,3,81,3
OAK-1524,3,1306,3
OAK-1525,2,63,2
