Key,CommentCount,CommentLength,CommentPeopleCount
OFBIZ-10012,26,7205,6
OFBIZ-1006,7,571,5
OFBIZ-1011,3,381,3
OFBIZ-10150,11,1795,5
OFBIZ-10211,3,5438,2
OFBIZ-10287,2,436,2
OFBIZ-10304,11,7375,3
OFBIZ-10329,3,838,2
OFBIZ-10383,6,638,2
OFBIZ-1044,1,44,1
OFBIZ-10493,3,279,2
OFBIZ-10510,11,8777,3
OFBIZ-10556,5,750,4
OFBIZ-10573,13,2672,3
OFBIZ-10654,5,817,2
OFBIZ-10661,2,550,2
OFBIZ-10702,2,198,2
OFBIZ-10748,3,686,3
OFBIZ-10792,6,823,5
OFBIZ-10824,3,1454,3
OFBIZ-10858,7,2177,2
OFBIZ-1094,8,1283,6
OFBIZ-10959,12,2007,6
OFBIZ-11029,7,961,5
OFBIZ-1116,22,4788,4
OFBIZ-11307,1,114,1
OFBIZ-11318,11,5369,3
OFBIZ-11403,3,3325,3
OFBIZ-11742,2,456,2
OFBIZ-11978,8,1286,4
OFBIZ-12014,9,53988,3
OFBIZ-12024,2,661,1
OFBIZ-12037,1,539,1
OFBIZ-1210,8,1438,2
OFBIZ-12100,26,5956,7
OFBIZ-12117,2,224,2
OFBIZ-12140,14,20046,3
OFBIZ-12201,2,1621,1
OFBIZ-12204,2,423,2
OFBIZ-12229,4,1517,2
OFBIZ-12303,5,1543,3
OFBIZ-12342,7,4492,3
OFBIZ-12343,1,330,1
OFBIZ-12436,7,2379,3
OFBIZ-12450,9,3334,2
OFBIZ-12472,5,473,2
OFBIZ-1255,11,5414,4
OFBIZ-12550,5,2014,3
OFBIZ-12595,20,9571,4
OFBIZ-12604,2,1881,1
OFBIZ-12607,6,1907,3
OFBIZ-12636,14,21595,3
OFBIZ-12655,1,211,1
OFBIZ-1350,6,338,2
OFBIZ-1370,14,4469,4
OFBIZ-1385,20,5541,3
OFBIZ-1394,8,1427,4
OFBIZ-1456,17,3394,3
OFBIZ-1526,2,159,2
OFBIZ-1532,4,3059,2
OFBIZ-1636,5,1238,5
OFBIZ-169,1,367,1
OFBIZ-1716,13,3436,3
OFBIZ-1745,5,2310,4
OFBIZ-176,4,254,2
OFBIZ-1761,1,51,1
OFBIZ-184,15,13200,7
OFBIZ-2041,8,3471,4
OFBIZ-206,2,123,2
OFBIZ-2135,14,2637,4
OFBIZ-2238,3,562,3
OFBIZ-2268,3,173,3
OFBIZ-2535,4,441,3
OFBIZ-2563,4,650,3
OFBIZ-278,17,3437,4
OFBIZ-2795,10,124869,4
OFBIZ-2807,2,453,1
OFBIZ-2837,8,1208,3
OFBIZ-2863,3,290,2
OFBIZ-293,16,5723,9
OFBIZ-2932,9,1288,3
OFBIZ-2940,4,454,2
OFBIZ-2951,2,82,2
OFBIZ-3000,10,4359,2
OFBIZ-3041,1,101,1
OFBIZ-3187,2,319,2
OFBIZ-3188,3,811,2
OFBIZ-3214,2,183,2
OFBIZ-3300,1,32,1
OFBIZ-3389,2,124,2
OFBIZ-3414,23,5976,4
OFBIZ-3531,3,1296,2
OFBIZ-3557,22,24750,10
OFBIZ-3558,6,1246,3
OFBIZ-3582,25,15602,6
OFBIZ-3638,2,177,2
OFBIZ-3741,2,123,2
OFBIZ-3754,1,45,1
OFBIZ-380,12,3986,4
OFBIZ-3803,4,1691,3
OFBIZ-3833,6,2224,4
OFBIZ-3835,8,1024,4
OFBIZ-386,8,2400,4
OFBIZ-3884,2,475,1
OFBIZ-3912,5,953,4
OFBIZ-4127,15,3530,5
OFBIZ-4130,37,15060,5
OFBIZ-4180,1,147,1
OFBIZ-4212,7,1997,2
OFBIZ-4220,8,2367,3
OFBIZ-4309,1,26,1
OFBIZ-4475,4,367,2
OFBIZ-4478,5,4049,4
OFBIZ-4498,9,5331,4
OFBIZ-4514,12,4280,6
OFBIZ-4556,4,340,1
OFBIZ-4591,5,1567,3
OFBIZ-4639,1,69,1
OFBIZ-4804,4,1572,2
OFBIZ-491,4,440,2
OFBIZ-4940,4,3535,2
OFBIZ-497,5,1118,3
OFBIZ-5035,16,3322,6
OFBIZ-5070,13,6725,4
OFBIZ-5081,2,891,2
OFBIZ-5095,3,367,3
OFBIZ-5130,10,2514,5
OFBIZ-5254,26,18961,2
OFBIZ-5283,9,4954,5
OFBIZ-5284,3,204,3
OFBIZ-5292,1,0,1
OFBIZ-5293,1,0,1
OFBIZ-5332,2,264,1
OFBIZ-5334,2,283,1
OFBIZ-5409,18,8238,4
OFBIZ-5447,3,310,2
OFBIZ-5458,15,6891,5
OFBIZ-5555,9,1453,4
OFBIZ-5637,1,237,1
OFBIZ-5641,20,6187,8
OFBIZ-5649,11,2738,4
OFBIZ-5651,6,1492,2
OFBIZ-567,26,11831,6
OFBIZ-5701,18,5248,5
OFBIZ-5729,18,4370,3
OFBIZ-5853,19,6536,6
OFBIZ-5882,13,2816,3
OFBIZ-5909,1,215,1
OFBIZ-5914,9,1300,2
OFBIZ-5929,10,3957,3
OFBIZ-6022,5,609,2
OFBIZ-6065,7,686,4
OFBIZ-6066,5,593,3
OFBIZ-6111,36,10561,6
OFBIZ-6113,4,2594,3
OFBIZ-6330,21,11094,6
OFBIZ-6535,3,841,2
OFBIZ-6546,7,1423,3
OFBIZ-6557,3,752,3
OFBIZ-6569,3,568,3
OFBIZ-6576,18,10704,6
OFBIZ-6594,6,698,2
OFBIZ-66,5,2291,2
OFBIZ-6625,18,2971,5
OFBIZ-6645,9,1055,4
OFBIZ-672,9,3205,6
OFBIZ-6776,14,3141,3
OFBIZ-6788,2,219,1
OFBIZ-6807,13,3195,4
OFBIZ-6845,4,496,2
OFBIZ-6937,3,246,3
OFBIZ-6957,5,2220,2
OFBIZ-7005,2,78,2
OFBIZ-7011,7,266,3
OFBIZ-7038,5,1056,4
OFBIZ-7042,5,552,3
OFBIZ-7066,2,1791,2
OFBIZ-7082,2,162,2
OFBIZ-7148,3,425,3
OFBIZ-7166,2,368,2
OFBIZ-7186,5,2378,3
OFBIZ-7271,3,217,2
OFBIZ-7346,10,6418,2
OFBIZ-7451,5,4202,3
OFBIZ-7602,1,120,1
OFBIZ-7664,3,107,2
OFBIZ-7757,2,64,1
OFBIZ-7758,11,2133,3
