Key,CommentCount,CommentLength,CommentPeopleCount
OFBIZ-1000,2,49,2
OFBIZ-10003,3,327,3
OFBIZ-10005,2,1583,2
OFBIZ-10006,7,1070,3
OFBIZ-10007,2,330,2
OFBIZ-10009,1,0,1
OFBIZ-10010,2,268,2
OFBIZ-10013,3,720,3
OFBIZ-10014,1,941,1
OFBIZ-10015,4,1051,2
OFBIZ-10017,3,440,3
OFBIZ-10024,3,547,2
OFBIZ-10027,2,121,2
OFBIZ-10030,3,290,2
OFBIZ-10033,3,316,2
OFBIZ-10037,3,356,2
OFBIZ-10039,6,756,4
OFBIZ-1005,2,129,2
OFBIZ-10051,3,772,3
OFBIZ-10053,1,0,1
OFBIZ-10054,5,6460,1
OFBIZ-10057,4,469,2
OFBIZ-10058,8,3861,2
OFBIZ-1008,6,1013,3
OFBIZ-10087,2,2300,1
OFBIZ-1009,18,3619,4
OFBIZ-10096,9,4693,3
OFBIZ-10098,3,194,2
OFBIZ-101,1,51,1
OFBIZ-1010,5,1232,2
OFBIZ-10107,2,196,2
OFBIZ-10109,2,197,2
OFBIZ-10111,4,1241,4
OFBIZ-10112,2,156,1
OFBIZ-10114,3,734,3
OFBIZ-10115,1,61,1
OFBIZ-10120,6,2479,3
OFBIZ-10121,2,418,2
OFBIZ-10122,3,1218,2
OFBIZ-10124,2,1288,2
OFBIZ-10125,4,1107,4
OFBIZ-10129,2,175,2
OFBIZ-1013,5,1613,3
OFBIZ-10133,26,6762,4
OFBIZ-10140,21,2378,3
OFBIZ-10142,2,191,2
OFBIZ-10143,4,914,2
OFBIZ-10148,1,81,1
OFBIZ-10149,1,81,1
OFBIZ-10153,4,721,2
OFBIZ-10154,1,116,1
OFBIZ-10155,1,0,1
OFBIZ-10158,2,394,2
OFBIZ-10159,1,90,1
OFBIZ-10167,3,122,2
OFBIZ-10170,4,217,3
OFBIZ-10173,2,470,2
OFBIZ-10176,4,474,2
OFBIZ-10183,2,553,2
OFBIZ-10184,3,249,2
OFBIZ-10187,37,16860,4
OFBIZ-10193,1,87,1
OFBIZ-10194,1,0,1
OFBIZ-102,2,40,1
OFBIZ-1020,4,1745,2
OFBIZ-10205,6,1226,3
OFBIZ-10206,3,222,1
OFBIZ-10208,4,1019,2
OFBIZ-1021,3,505,3
OFBIZ-10210,4,550,2
OFBIZ-10218,1,58,1
OFBIZ-10219,3,657,2
OFBIZ-10228,9,3051,4
OFBIZ-10232,1,163,1
OFBIZ-10233,1,241,1
OFBIZ-10236,1,66,1
