Key,CommentCount,CommentLength,CommentPeopleCount
QPID-1011,6,2047,4
QPID-1072,2,58,2
QPID-1167,2,226,2
QPID-1186,5,516,3
QPID-1218,3,440,1
QPID-1237,7,473,3
QPID-1243,14,8666,4
QPID-1251,10,5475,5
QPID-1283,2,102,2
QPID-1300,3,3921,3
QPID-1347,2,82,2
QPID-1359,4,320,3
QPID-1375,1,188,1
QPID-1418,3,605,3
QPID-1426,5,948,4
QPID-1427,4,934,2
QPID-1432,2,478,2
QPID-1433,2,233,2
QPID-1441,2,191,2
QPID-1454,3,529,2
QPID-148,3,1195,1
QPID-1494,4,6702,3
QPID-1496,2,279,1
QPID-1499,1,50,1
QPID-1524,4,389,2
QPID-1544,2,149,1
QPID-1562,4,2218,3
QPID-1670,5,1346,3
QPID-1683,1,50,1
QPID-1700,1,50,1
QPID-1725,1,17,1
QPID-1769,10,3693,3
QPID-1789,2,509,2
QPID-1816,4,5022,2
QPID-1951,2,127,1
QPID-1971,1,315,1
QPID-2096,4,283,2
QPID-2137,7,501,2
QPID-2196,1,0,1
QPID-2224,7,5642,3
QPID-2239,2,32,2
QPID-2260,10,4800,3
QPID-2296,3,246,2
QPID-2308,4,350,3
QPID-2316,7,993,5
QPID-2320,7,2773,3
QPID-2349,2,435,1
QPID-2368,3,624,2
QPID-2464,2,243,2
QPID-2526,13,3898,3
QPID-2655,2,223,2
QPID-2693,16,8319,2
QPID-272,4,4750,3
QPID-2733,5,1064,2
QPID-2900,6,2116,2
QPID-3021,4,847,2
QPID-3045,1,500,1
QPID-3157,6,1836,2
QPID-3162,10,4930,3
QPID-3212,7,1245,2
QPID-3318,4,331,3
QPID-3481,15,12053,4
QPID-3536,7,2178,3
QPID-3566,4,1235,3
QPID-3575,9,3602,3
QPID-363,4,344,4
QPID-3743,3,484,2
QPID-3962,1,18,1
QPID-397,5,945,4
QPID-4049,4,458,2
QPID-4080,4,1469,2
QPID-4094,2,29,2
QPID-4303,4,994,2
QPID-431,4,572,3
QPID-4387,2,305,1
QPID-4407,3,324,3
QPID-4424,5,1591,3
QPID-474,1,0,1
QPID-4759,8,1702,3
QPID-4945,2,151,2
QPID-4982,33,48539,6
QPID-4991,6,2091,2
QPID-5074,7,1534,4
QPID-5209,1,0,1
QPID-5407,4,720,2
QPID-5455,10,1696,5
QPID-5637,14,5625,5
QPID-5755,6,1971,3
QPID-577,5,683,4
QPID-5798,4,486,4
QPID-5881,3,415,2
QPID-5905,3,381,2
QPID-5977,2,94,2
QPID-5998,5,455,4
QPID-6055,14,5731,4
QPID-6105,3,305,3
QPID-6176,2,285,2
QPID-6247,7,1782,4
QPID-6268,4,481,3
QPID-6283,4,1054,2
QPID-6365,4,407,3
QPID-6461,1,187,1
QPID-6489,3,369,3
QPID-6568,3,280,3
QPID-6588,5,1223,3
QPID-659,3,995,3
QPID-6784,7,3497,4
QPID-6813,1,198,1
QPID-6823,2,184,2
QPID-6875,3,997,3
QPID-6885,6,830,3
QPID-6904,7,820,4
QPID-6910,4,644,3
QPID-6914,5,651,2
QPID-6930,2,417,1
QPID-6963,1,805,1
QPID-6968,5,1157,4
QPID-6991,1,424,1
QPID-7001,14,5504,3
QPID-7022,4,492,3
QPID-7044,1,756,1
QPID-7060,5,624,3
QPID-7061,5,651,2
QPID-7081,3,307,3
QPID-7091,1,203,1
QPID-7104,4,883,2
QPID-7108,3,388,2
QPID-7125,2,1026,1
QPID-7141,2,370,2
QPID-7155,6,1424,3
QPID-7160,4,1521,3
QPID-717,3,235,3
QPID-7189,6,1396,2
QPID-7257,3,414,2
QPID-7271,3,397,2
QPID-7285,3,1336,2
QPID-7287,4,494,2
QPID-7327,2,943,2
QPID-7328,10,3928,4
QPID-7343,2,237,1
QPID-7363,7,2842,4
QPID-7388,1,31,1
QPID-7396,1,148,1
QPID-7399,3,1586,3
QPID-7408,13,4373,3
QPID-7441,1,12,1
QPID-7442,4,888,3
QPID-7456,4,554,3
QPID-7483,7,1300,2
QPID-7485,9,1577,3
QPID-7487,5,810,3
QPID-7488,3,674,2
QPID-7508,7,2100,3
QPID-7513,3,508,2
QPID-753,3,679,3
QPID-7560,6,2235,3
QPID-7608,3,539,2
QPID-7631,5,807,3
QPID-7632,1,99,1
QPID-7647,8,2057,5
QPID-7652,7,3641,3
QPID-7675,10,1870,4
QPID-7696,5,1429,2
QPID-7707,4,672,2
QPID-7719,13,3444,4
QPID-7729,8,2441,4
QPID-7750,6,696,4
QPID-7751,6,1139,4
QPID-7767,29,23190,3
QPID-7777,6,2031,3
QPID-7811,8,2240,2
QPID-7824,4,2608,3
QPID-7849,2,4004,1
QPID-786,5,973,3
QPID-7860,2,578,2
QPID-7905,2,1497,2
QPID-7906,4,1010,4
QPID-7909,2,1103,1
QPID-7913,8,2700,4
QPID-7951,1,103,1
QPID-7958,6,1975,4
QPID-7962,8,5062,5
QPID-7977,1,0,1
QPID-7981,26,21135,7
QPID-8006,2,1468,1
QPID-8014,3,922,2
QPID-8017,13,7615,4
QPID-8025,3,616,2
QPID-8027,6,1694,3
QPID-8047,5,869,3
QPID-8057,4,1076,3
QPID-8067,7,1540,2
QPID-8079,5,2060,3
QPID-8081,6,1776,2
QPID-8100,3,461,2
QPID-8115,3,559,2
QPID-8117,2,379,1
QPID-8130,4,987,2
QPID-8134,15,22077,2
QPID-8137,4,704,3
QPID-8140,2,310,2
QPID-8152,3,2002,3
QPID-8167,5,1310,2
QPID-8171,3,1121,2
QPID-8194,3,912,2
QPID-8210,8,9711,3
QPID-8213,2,506,2
QPID-8225,3,655,2
QPID-8294,16,10488,2
QPID-8347,1,43,1
QPID-8384,2,749,1
QPID-8401,5,3973,3
QPID-886,3,196,3
QPID-9,12,8565,3
