Key,CommentCount,CommentLength,CommentPeopleCount
QPID-1,1,21,1
QPID-10,2,477,1
QPID-1000,3,257,2
QPID-1001,1,0,1
QPID-1003,3,294,2
QPID-1004,4,1095,3
QPID-1006,1,16,1
QPID-1008,1,79,1
QPID-101,3,359,3
QPID-1010,4,889,4
QPID-1012,1,51,1
QPID-1015,6,834,4
QPID-1016,1,100,1
QPID-1017,2,77,2
QPID-1019,1,256,1
QPID-102,3,296,2
QPID-1022,1,0,1
QPID-1023,1,0,1
QPID-1024,1,216,1
QPID-1025,1,0,1
QPID-1027,6,2503,4
QPID-1028,1,52,1
QPID-1029,1,0,1
QPID-103,2,242,2
QPID-1031,2,70,1
QPID-1032,1,0,1
QPID-1036,1,0,1
QPID-1038,3,259,3
QPID-1042,1,41,1
QPID-1043,2,101,2
QPID-1044,3,633,1
QPID-1045,1,0,1
QPID-1048,1,17,1
QPID-1051,8,1671,3
QPID-1053,1,0,1
QPID-1054,1,19,1
QPID-1055,1,0,1
QPID-1057,1,171,1
QPID-1059,1,31,1
QPID-1060,1,14,1
QPID-1062,2,444,2
QPID-1063,2,52,2
QPID-1064,1,102,1
QPID-1065,2,52,2
QPID-1066,2,121,1
QPID-1068,2,234,1
QPID-1069,3,246,2
QPID-1070,9,2015,5
QPID-1071,1,85,1
QPID-1073,1,0,1
QPID-1076,1,18,1
QPID-1077,1,118,1
QPID-1078,2,72,1
QPID-1080,1,0,1
QPID-1081,1,0,1
QPID-1082,1,0,1
QPID-1084,7,1181,3
QPID-1085,4,472,3
QPID-1086,1,83,1
QPID-1089,1,16,1
QPID-1091,1,73,1
QPID-1092,1,20,1
QPID-1093,1,28,1
QPID-1094,1,0,1
QPID-1095,1,15,1
QPID-1096,1,0,1
QPID-1098,1,17,1
QPID-1100,2,313,1
QPID-1101,10,2075,4
QPID-1107,1,21,1
QPID-1108,2,314,2
QPID-1110,1,15,1
QPID-1111,1,78,1
QPID-1112,1,16,1
QPID-1115,1,0,1
QPID-1116,1,0,1
QPID-1117,3,476,2
QPID-1118,5,1052,2
QPID-1119,13,1200,2
QPID-1120,1,0,1
QPID-1121,1,273,1
QPID-1122,1,89,1
QPID-1123,2,62,2
QPID-1124,1,0,1
QPID-1125,1,0,1
QPID-1126,1,0,1
QPID-1127,1,0,1
QPID-1128,5,1466,3
QPID-1129,1,0,1
QPID-1130,1,0,1
QPID-1135,1,110,1
QPID-1136,3,491,1
QPID-1137,2,444,2
QPID-1138,1,17,1
QPID-1139,1,0,1
QPID-1140,1,12,1
QPID-1141,2,162,2
QPID-1142,1,25,1
QPID-1143,1,40,1
QPID-1144,2,567,1
QPID-1145,1,0,1
QPID-1147,2,85,2
QPID-1148,6,1477,3
QPID-1149,1,150,1
QPID-1150,2,207,2
QPID-1151,1,33,1
QPID-1152,1,0,1
QPID-1153,8,1664,2
QPID-1154,2,45,2
QPID-1155,2,44,2
QPID-1156,2,50,2
QPID-1158,2,715,2
QPID-1159,1,286,1
QPID-1161,1,813,1
QPID-1163,1,51,1
QPID-1164,3,479,3
QPID-1169,2,207,2
QPID-117,2,61,2
QPID-1171,2,274,2
QPID-1172,1,36,1
QPID-1175,1,163,1
QPID-1176,1,211,1
QPID-1178,2,2701,1
QPID-1179,2,170,1
QPID-118,1,17,1
QPID-1180,4,4438,3
QPID-1181,1,57,1
QPID-1182,5,1001,2
QPID-1183,2,91,2
QPID-1184,3,338,2
QPID-1185,1,0,1
QPID-1187,2,258,1
QPID-1188,1,36,1
QPID-1189,2,279,2
QPID-119,1,18,1
QPID-1190,5,391,2
QPID-1200,1,0,1
QPID-1201,5,532,2
QPID-1202,1,14,1
