Key,CommentCount,CommentLength,CommentPeopleCount
SOLR-10033,27,6787,6
SOLR-10063,5,1630,3
SOLR-10095,1,648,1
SOLR-10101,10,2247,4
SOLR-10130,46,21434,12
SOLR-10150,1,41,1
SOLR-10211,8,987,3
SOLR-10215,9,8629,3
SOLR-10237,15,6854,3
SOLR-10412,1,301,1
SOLR-10710,11,2626,6
SOLR-10718,14,5343,5
SOLR-10763,15,6091,4
SOLR-10835,16,7939,5
SOLR-10845,18,4932,5
SOLR-10846,10,2224,4
SOLR-10847,10,2068,4
SOLR-10919,8,3927,4
SOLR-10939,10,3674,4
SOLR-10968,2,3271,2
SOLR-10987,4,738,3
SOLR-11043,13,2899,3
SOLR-11130,17,3503,4
SOLR-11139,1,0,1
SOLR-11146,3,1119,2
SOLR-11183,9,2340,5
SOLR-11196,8,3537,5
SOLR-11248,2,648,2
SOLR-11268,4,780,2
SOLR-11278,53,123378,6
SOLR-11284,2,1698,2
SOLR-11293,36,11593,9
SOLR-11296,15,4450,6
SOLR-11335,5,923,2
SOLR-11348,7,1348,4
SOLR-11406,20,14856,7
SOLR-11407,22,5745,4
SOLR-11459,15,6464,5
SOLR-11505,12,4449,4
SOLR-1159,2,60,2
SOLR-11591,9,1576,5
SOLR-11611,31,9126,13
SOLR-11664,5,1294,2
SOLR-11704,2,1251,2
SOLR-11740,10,12427,5
SOLR-11807,16,10208,4
SOLR-11921,10,14475,6
SOLR-12001,1,280,1
SOLR-12070,11,2278,5
SOLR-12087,22,15325,7
SOLR-12172,8,2851,3
SOLR-12184,4,1644,1
SOLR-12202,6,1513,4
SOLR-12290,46,19966,6
SOLR-12358,14,3466,6
SOLR-12370,2,1182,2
SOLR-12391,16,4116,5
SOLR-12406,1,0,1
SOLR-12413,16,13818,5
SOLR-12436,2,3095,2
SOLR-12523,16,11399,6
SOLR-12526,17,3790,4
SOLR-12541,5,959,3
SOLR-1256,4,548,2
SOLR-12726,6,980,4
SOLR-12738,5,966,2
SOLR-12860,41,17106,9
SOLR-12882,8,2229,4
SOLR-12891,42,19328,9
SOLR-12938,20,8829,6
SOLR-13036,4,739,3
SOLR-13061,2,210,2
SOLR-13110,1,79,1
SOLR-13112,10,1733,5
SOLR-13177,1,409,1
SOLR-13255,20,4656,7
SOLR-13268,77,58069,10
SOLR-13281,13,5281,8
SOLR-13285,38,47001,12
SOLR-13290,3,694,2
SOLR-13293,20,7376,9
SOLR-13414,32,13772,8
SOLR-13562,2,311,2
SOLR-13563,4,792,2
SOLR-13647,5,733,2
SOLR-13665,18,6827,5
SOLR-13725,6,3748,3
SOLR-13785,1,444,1
SOLR-13855,7,3344,3
SOLR-13887,5,658,4
SOLR-13963,27,16147,9
SOLR-13977,15,2924,5
SOLR-1398,10,4500,3
SOLR-14013,41,22616,10
SOLR-14158,13,2774,6
SOLR-14165,8,1708,3
SOLR-14243,3,2648,3
SOLR-1427,16,7692,3
SOLR-14304,1,99,1
SOLR-14346,2,208,2
SOLR-14347,19,6924,6
SOLR-14409,9,2740,4
SOLR-14431,5,770,4
SOLR-14506,4,786,2
SOLR-14575,22,18381,5
SOLR-14580,8,1794,2
SOLR-14757,1,0,1
SOLR-14801,1,143,1
SOLR-14897,8,16828,4
SOLR-14898,10,4116,5
SOLR-14901,11,2948,5
SOLR-15061,2,535,1
SOLR-15083,3,952,1
SOLR-15096,10,12410,3
SOLR-15097,5,688,3
SOLR-15114,17,6414,6
SOLR-15145,12,5636,3
SOLR-15216,6,1381,4
SOLR-15288,23,7307,3
SOLR-15312,8,1886,5
SOLR-15324,13,2145,5
SOLR-15370,2,386,2
SOLR-15412,15,5329,7
SOLR-15573,3,604,2
SOLR-15587,7,1211,3
SOLR-15596,2,333,2
SOLR-15706,8,3386,4
SOLR-15718,8,3135,5
SOLR-15762,44,25212,6
SOLR-15766,4,932,2
SOLR-1580,7,1100,2
SOLR-15830,13,3819,4
SOLR-15842,6,8218,3
SOLR-15844,8,4796,3
SOLR-15849,6,754,3
SOLR-15871,5,704,2
SOLR-15965,24,10359,6
SOLR-16002,5,793,3
SOLR-16022,7,1607,3
SOLR-16074,15,4563,5
SOLR-16142,1,154,1
SOLR-16164,9,6923,4
SOLR-1752,7,2915,5
SOLR-1764,4,1083,3
SOLR-1870,17,11546,4
SOLR-1877,13,3064,5
SOLR-1962,4,140,2
SOLR-1973,6,331,2
SOLR-1976,7,1211,3
SOLR-1989,9,4468,4
SOLR-2007,3,327,3
SOLR-2115,11,2624,4
SOLR-2124,15,4140,6
SOLR-2310,3,131,2
SOLR-2327,3,317,2
SOLR-2427,12,4109,4
SOLR-2463,6,861,5
SOLR-2622,1,63,1
SOLR-2632,11,6404,4
SOLR-2654,35,12743,4
SOLR-2719,15,5874,6
SOLR-2785,5,1519,3
SOLR-2796,7,3305,2
SOLR-2824,8,2044,3
SOLR-2829,19,8027,5
SOLR-2834,22,9231,13
SOLR-2890,9,4316,5
SOLR-2899,3,522,2
SOLR-2983,17,2383,5
SOLR-3029,22,8462,11
SOLR-3035,8,2186,3
SOLR-3204,129,67238,19
SOLR-3216,5,400,2
SOLR-324,14,2292,5
SOLR-3243,16,2028,8
SOLR-3273,8,2421,3
SOLR-3280,10,2775,4
SOLR-3316,14,3247,4
SOLR-3353,3,287,2
SOLR-3377,27,9779,7
SOLR-340,3,344,2
SOLR-3471,6,1580,4
SOLR-3491,8,543,6
SOLR-3527,6,1881,5
SOLR-3564,6,750,4
SOLR-3584,7,5522,2
SOLR-3587,9,2117,4
SOLR-3608,6,9040,2
SOLR-3640,15,2784,5
SOLR-3648,11,5550,3
SOLR-3655,11,1343,4
SOLR-3756,3,1905,3
SOLR-3758,7,3588,3
SOLR-3779,9,1745,6
SOLR-3781,20,7562,8
SOLR-3791,7,1384,4
SOLR-3809,8,1239,5
SOLR-3812,2,1721,2
SOLR-3813,3,1868,3
SOLR-3831,14,3387,6
SOLR-3841,3,321,3
SOLR-3861,23,7912,5
SOLR-3863,1,31,1
SOLR-3867,8,2980,4
SOLR-3875,17,4783,9
SOLR-3878,7,1892,4
SOLR-3879,24,4400,7
SOLR-3933,6,2185,2
