Key,CommentCount,CommentLength,CommentPeopleCount
SOLR-10001,4,1201,2
SOLR-10004,16,3457,4
SOLR-10010,2,828,1
SOLR-10012,1,445,1
SOLR-10013,13,10143,4
SOLR-10016,8,3088,3
SOLR-10019,1,2811,1
SOLR-10022,2,3408,2
SOLR-10025,3,364,3
SOLR-10027,1,0,1
SOLR-10028,13,26884,4
SOLR-10029,1,163,1
SOLR-10030,2,288,2
SOLR-10031,27,7449,3
SOLR-10035,19,5393,4
SOLR-10037,10,1358,4
SOLR-10041,1,88,1
SOLR-10045,6,70298,2
SOLR-10047,28,18848,6
SOLR-10048,4,1736,2
SOLR-1005,2,103,2
SOLR-10050,4,2440,3
SOLR-10052,2,538,1
SOLR-10054,9,5887,3
SOLR-10055,3,724,2
SOLR-10059,8,6669,5
SOLR-10079,33,32254,5
SOLR-1008,4,241,4
SOLR-10080,3,993,3
SOLR-10084,2,606,2
SOLR-10088,3,562,2
SOLR-10089,4,2898,2
SOLR-1009,6,1437,3
SOLR-10090,9,1313,4
SOLR-10092,9,4317,3
SOLR-10094,8,1451,4
SOLR-10096,2,469,1
SOLR-10099,3,248,2
SOLR-1010,5,1596,5
SOLR-10102,6,2988,4
SOLR-10104,7,1156,4
SOLR-10108,12,7567,2
SOLR-1011,4,261,2
SOLR-10110,2,6531,1
SOLR-10112,2,1744,2
SOLR-10113,8,2413,3
SOLR-10114,30,16201,5
SOLR-10115,5,1826,2
SOLR-10118,1,533,1
SOLR-10120,9,2221,2
SOLR-10121,11,4090,3
SOLR-10124,2,1108,1
SOLR-10128,1,0,1
SOLR-10131,1,0,1
SOLR-10134,10,2870,4
SOLR-10137,6,1586,4
SOLR-10138,5,2082,3
SOLR-1014,14,5868,6
SOLR-10140,1,24,1
SOLR-10141,27,12655,3
SOLR-10145,1,270,1
SOLR-10148,2,294,2
SOLR-10149,2,164,2
SOLR-1015,3,422,3
SOLR-10154,3,6076,2
SOLR-10159,6,2723,3
SOLR-1016,3,79,2
