Key,CommentCount,CommentLength,CommentPeopleCount
SPARK-10030,6,431,5
SPARK-10039,6,1630,3
SPARK-10058,2,174,2
SPARK-10086,12,6065,6
SPARK-10116,2,177,2
SPARK-10122,9,2403,4
SPARK-10130,4,339,4
SPARK-10136,4,335,3
SPARK-10172,8,1472,7
SPARK-10173,7,2009,2
SPARK-10175,4,270,2
SPARK-10182,6,1842,3
SPARK-10188,2,181,2
SPARK-10190,1,101,1
SPARK-10215,6,682,5
SPARK-10224,1,99,1
SPARK-10287,3,398,2
SPARK-10294,6,1320,3
SPARK-10304,17,4175,4
SPARK-10310,5,694,3
SPARK-10314,6,732,4
SPARK-10315,2,180,2
SPARK-10317,2,425,2
SPARK-10325,2,180,2
SPARK-10332,7,1118,5
SPARK-10374,9,3630,4
SPARK-10431,1,101,1
SPARK-10432,3,169,3
SPARK-10434,5,859,3
SPARK-10454,2,177,2
SPARK-10474,44,346144,12
SPARK-10495,5,455,3
SPARK-10506,2,185,2
SPARK-10507,2,148,2
SPARK-10528,46,17934,18
SPARK-10545,3,426,2
SPARK-10550,9,2789,2
SPARK-10554,6,2237,3
SPARK-10568,9,2071,3
SPARK-10588,4,458,3
SPARK-10593,2,177,2
SPARK-10594,4,395,3
SPARK-10596,3,1333,2
SPARK-10598,3,334,3
SPARK-10623,4,383,3
SPARK-10633,3,397,2
SPARK-10640,4,970,3
SPARK-10644,20,5797,4
SPARK-10651,3,4693,3
SPARK-10662,4,469,3
SPARK-10671,3,277,2
SPARK-10672,3,273,2
SPARK-10685,9,1337,4
SPARK-10692,4,1356,3
SPARK-10716,2,753,2
SPARK-10718,3,439,2
SPARK-10728,4,605,3
SPARK-1073,1,101,1
SPARK-10740,2,180,2
SPARK-10790,11,5863,4
SPARK-10792,12,5179,5
SPARK-10794,4,826,4
SPARK-10796,6,1997,3
SPARK-10825,1,99,1
SPARK-10829,4,387,2
SPARK-10840,5,745,4
SPARK-10858,10,5467,4
SPARK-10875,2,146,2
SPARK-1089,4,581,2
SPARK-10909,6,981,4
SPARK-10942,11,3173,4
SPARK-10975,6,692,4
SPARK-10986,8,3197,4
SPARK-11008,10,3796,5
SPARK-11009,2,177,2
SPARK-11047,1,102,1
SPARK-11051,3,251,3
SPARK-11052,2,186,2
SPARK-11054,4,969,3
SPARK-11058,10,2832,4
SPARK-11060,2,180,2
SPARK-11065,7,3458,4
SPARK-11103,12,4362,5
SPARK-11110,3,205,3
SPARK-11115,7,1323,4
SPARK-1112,33,21654,12
SPARK-11126,4,327,3
SPARK-1113,1,63,1
SPARK-11152,1,0,1
SPARK-1118,1,183,1
SPARK-11191,20,15571,8
SPARK-11218,4,407,3
SPARK-11242,2,177,2
SPARK-1126,16,9231,5
SPARK-11275,11,1754,5
SPARK-11277,3,261,3
SPARK-11278,13,3563,5
SPARK-11302,12,10642,4
SPARK-11348,3,380,3
SPARK-11376,4,297,3
SPARK-11405,6,1121,3
SPARK-11426,3,494,2
SPARK-11472,11,74964,4
SPARK-11478,7,2933,4
SPARK-11484,4,943,3
SPARK-11497,7,1607,3
SPARK-11518,8,556,4
SPARK-11526,10,1762,2
SPARK-11553,7,2072,4
SPARK-11555,10,2887,3
SPARK-11587,9,1034,4
SPARK-11589,2,379,1
SPARK-11624,2,182,2
SPARK-11626,2,180,2
SPARK-11700,13,5323,6
SPARK-11716,3,276,2
SPARK-11725,15,5793,6
SPARK-11778,5,1411,3
SPARK-11782,8,2732,5
SPARK-11783,4,699,4
SPARK-11785,3,137,2
SPARK-11804,3,216,3
SPARK-11851,1,0,1
SPARK-11855,7,2106,5
SPARK-11866,1,98,1
SPARK-1191,4,537,4
SPARK-11932,2,185,2
SPARK-11972,4,385,4
SPARK-1199,21,4570,10
SPARK-11992,2,583,2
SPARK-11997,4,269,3
SPARK-12000,19,22450,7
SPARK-12030,28,8109,7
SPARK-12031,2,182,2
SPARK-12048,9,905,4
SPARK-12066,9,10252,6
SPARK-12089,14,4815,5
SPARK-12091,2,184,2
SPARK-1210,3,1577,1
SPARK-12101,3,415,2
SPARK-12125,2,142,2
SPARK-1215,5,794,3
SPARK-12153,3,223,2
SPARK-12156,2,256,2
SPARK-12179,19,7529,4
SPARK-12216,29,54971,16
SPARK-12223,6,1477,3
SPARK-12244,1,97,1
SPARK-12313,8,1498,4
SPARK-12324,3,229,3
SPARK-1235,9,2363,4
SPARK-12363,11,5169,5
SPARK-12395,2,180,2
SPARK-12406,1,12,1
SPARK-12422,2,460,2
SPARK-12508,2,183,2
SPARK-1252,1,40,1
