Key,CommentCount,CommentLength,CommentPeopleCount
SPARK-1000,1,124,1
SPARK-10002,4,397,4
SPARK-10003,1,102,1
SPARK-10004,2,156,2
SPARK-10005,2,180,2
SPARK-10006,2,460,2
SPARK-10008,1,98,1
SPARK-1001,4,1605,3
SPARK-1002,1,0,1
SPARK-1003,1,68,1
SPARK-10033,1,0,1
SPARK-10034,2,180,2
SPARK-10036,2,178,2
SPARK-10037,14,6346,2
SPARK-10038,1,98,1
SPARK-10044,2,218,2
SPARK-10046,4,1105,3
SPARK-10053,2,196,2
SPARK-10057,11,4978,10
SPARK-1006,6,3901,6
SPARK-10063,24,5997,10
SPARK-10066,11,1907,7
SPARK-10067,1,103,1
SPARK-10069,2,184,2
SPARK-1007,1,26,1
SPARK-10072,1,96,1
SPARK-10073,3,440,3
SPARK-1008,1,0,1
SPARK-10080,3,218,3
SPARK-10082,3,278,2
SPARK-10083,2,182,2
SPARK-10087,3,261,2
SPARK-10089,2,177,2
SPARK-10090,2,177,2
SPARK-10091,1,62,1
SPARK-10092,3,277,2
SPARK-10093,2,196,1
SPARK-10096,1,96,1
SPARK-10102,1,99,1
SPARK-10103,2,322,1
SPARK-10107,1,98,1
SPARK-10109,14,5328,6
SPARK-1011,7,2249,3
SPARK-10112,7,1606,2
SPARK-10115,3,687,2
SPARK-10119,1,98,1
SPARK-1012,3,414,1
SPARK-10121,3,273,2
SPARK-10124,1,99,1
SPARK-10125,1,99,1
SPARK-10126,2,180,2
SPARK-10128,1,96,1
SPARK-1013,1,0,1
SPARK-10131,1,281,1
SPARK-10132,3,466,3
SPARK-10133,2,336,2
SPARK-10135,1,28,1
SPARK-10138,2,177,2
SPARK-10139,1,129,1
SPARK-10141,9,19978,7
SPARK-10142,1,96,1
SPARK-10143,12,5207,3
SPARK-10144,2,181,2
SPARK-10145,6,1023,3
SPARK-10147,1,101,1
SPARK-10149,3,626,3
SPARK-10150,1,59,1
SPARK-10153,1,0,1
SPARK-10155,6,383,4
SPARK-10156,1,159,1
SPARK-10159,1,175,1
SPARK-1016,2,177,1
SPARK-10162,4,432,3
SPARK-10164,2,180,2
SPARK-10165,4,649,3
SPARK-10166,1,72,1
SPARK-10168,2,205,2
SPARK-10169,4,370,2
SPARK-10170,2,491,2
SPARK-10176,2,201,1
SPARK-10177,7,5433,3
SPARK-1018,8,8373,5
SPARK-10181,11,12369,4
SPARK-10185,4,1063,3
SPARK-10187,1,0,1
SPARK-10189,1,160,1
SPARK-1019,14,10607,3
SPARK-10191,3,250,3
SPARK-10195,1,101,1
SPARK-10196,2,176,2
SPARK-10197,2,176,2
SPARK-10198,2,179,2
SPARK-10210,2,195,1
SPARK-10217,2,1047,2
SPARK-10219,6,1328,3
SPARK-1022,7,2280,4
SPARK-10220,7,742,4
SPARK-10221,3,462,3
SPARK-10225,1,58,1
SPARK-10226,9,1004,4
SPARK-10227,4,668,3
SPARK-10228,1,276,1
SPARK-10229,3,255,2
SPARK-1023,5,1696,3
SPARK-1024,4,196,3
SPARK-10245,2,177,2
SPARK-10246,2,469,2
SPARK-1025,1,1773,1
SPARK-10250,1,99,1
SPARK-10251,12,2466,7
SPARK-1026,1,90,1
SPARK-1027,1,63,1
SPARK-1028,7,310,2
SPARK-1029,3,302,3
SPARK-10290,3,232,3
SPARK-10298,4,586,3
SPARK-1030,2,268,2
SPARK-10301,9,1462,3
SPARK-10302,1,0,1
SPARK-10305,2,177,2
SPARK-10306,7,345739,4
SPARK-10308,3,248,2
SPARK-10309,19,11133,10
SPARK-1031,12,4142,2
SPARK-10311,1,101,1
SPARK-10316,2,180,2
SPARK-10319,5,5872,4
SPARK-1032,2,103,2
SPARK-10321,1,98,1
SPARK-10322,2,128,1
SPARK-10323,3,231,3
SPARK-10326,9,10553,3
SPARK-10327,2,185,2
SPARK-10328,2,150,2
SPARK-10330,3,227,2
SPARK-10334,2,176,2
SPARK-10335,3,2316,3
SPARK-10336,4,480,3
SPARK-10337,7,2194,4
SPARK-10338,2,314,2
SPARK-10339,2,176,2
SPARK-1034,6,4779,3
SPARK-10341,1,98,1
SPARK-10345,1,0,1
SPARK-10346,1,0,1
SPARK-10347,2,672,2
SPARK-1035,1,172,1
SPARK-10350,3,493,3
SPARK-10351,4,402,3
SPARK-10352,4,602,3
SPARK-10353,4,303,2
SPARK-10356,3,1017,2
SPARK-10357,3,1139,2
SPARK-10358,2,118,1
SPARK-1036,7,1118,5
SPARK-10361,5,678,2
SPARK-10362,1,532,1
SPARK-10363,1,286,1
SPARK-10369,1,99,1
SPARK-10370,1,101,1
SPARK-10377,3,458,2
SPARK-10379,1,98,1
SPARK-10381,4,382,2
SPARK-1039,2,303,2
SPARK-10390,8,1600,2
SPARK-10391,1,159,1
SPARK-10392,3,381,3
SPARK-10396,1,206,1
SPARK-1040,7,2166,4
SPARK-10403,2,180,2
SPARK-10404,1,100,1
SPARK-10406,1,0,1
SPARK-10407,1,0,1
SPARK-1041,1,54,1
SPARK-10410,1,300,1
SPARK-10412,2,253,2
SPARK-10414,4,392,3
SPARK-10416,1,142,1
SPARK-10417,3,297,3
SPARK-10418,2,1706,2
SPARK-1042,25,28679,5
SPARK-10421,1,98,1
SPARK-10422,3,260,3
SPARK-10427,3,514,3
SPARK-10428,2,202,1
SPARK-1043,5,955,3
SPARK-10430,1,99,1
SPARK-10433,11,2507,3
SPARK-10435,1,102,1
SPARK-10436,4,616,4
SPARK-10437,2,177,2
SPARK-10438,1,73,1
SPARK-10439,5,1133,3
SPARK-10441,7,893,4
SPARK-10442,6,1053,3
SPARK-10444,1,78,1
SPARK-10448,1,0,1
SPARK-10449,2,178,2
SPARK-1045,1,337,1
SPARK-10452,1,89,1
SPARK-10453,1,458,1
SPARK-10457,1,72,1
SPARK-1046,3,182,3
SPARK-10460,3,807,3
SPARK-10462,4,821,3
SPARK-10466,5,1029,4
SPARK-10467,3,605,2
SPARK-1047,2,136,2
SPARK-10470,2,181,2
SPARK-10472,2,154,2
SPARK-10473,1,104,1
SPARK-10479,7,765,5
SPARK-10480,1,102,1
SPARK-10483,1,209,1
SPARK-10484,3,558,3
SPARK-10485,4,810,3
SPARK-10486,4,322,4
SPARK-10487,5,1736,3
SPARK-10488,5,2180,2
SPARK-1049,3,248,2
SPARK-10493,19,13235,3
SPARK-10494,1,0,1
SPARK-10497,3,397,3
SPARK-10500,15,2738,7
SPARK-10503,3,138,3
SPARK-10504,3,233,3
SPARK-10505,4,2836,2
SPARK-10508,1,757,1
SPARK-10511,2,153,2
SPARK-10514,3,222,2
SPARK-10515,8,1420,3
SPARK-10517,2,178,2
SPARK-1052,4,355,4
SPARK-10522,2,177,2
SPARK-10524,2,217,2
SPARK-10529,3,1380,3
SPARK-10533,3,283,2
SPARK-10534,3,211,3
SPARK-10536,5,2233,2
SPARK-10538,8,2691,2
SPARK-10539,4,390,3
SPARK-10540,5,452,2
SPARK-10542,1,98,1
SPARK-10543,1,100,1
SPARK-10544,2,497,2
SPARK-10548,9,2231,4
SPARK-10549,1,101,1
SPARK-1055,1,31,1
SPARK-10551,3,2040,1
SPARK-10556,2,180,2
SPARK-10558,1,101,1
SPARK-1056,1,0,1
SPARK-10562,6,499,4
SPARK-10563,3,523,2
SPARK-10564,2,204,1
SPARK-10566,4,365,3
SPARK-10567,5,1104,3
SPARK-10569,6,1406,2
SPARK-10571,2,203,2
SPARK-10573,2,177,2
SPARK-10578,3,245,3
SPARK-10581,1,104,1
SPARK-10582,4,402,3
SPARK-10583,1,0,1
SPARK-10584,3,277,2
SPARK-10586,1,101,1
SPARK-10587,2,766,2
SPARK-10589,2,177,2
SPARK-1059,1,39,1
SPARK-10590,14,5111,5
SPARK-10591,4,529,3
SPARK-1060,1,60,1
SPARK-10606,3,236,3
SPARK-10607,1,86,1
SPARK-10611,2,180,2
SPARK-10613,1,102,1
SPARK-10614,5,2478,3
SPARK-10616,3,1504,2
SPARK-10617,9,1480,4
SPARK-10619,2,453,2
SPARK-10622,1,98,1
SPARK-10624,1,102,1
SPARK-10625,20,2613,4
SPARK-10629,1,353,1
SPARK-10632,4,518,3
SPARK-10634,6,4052,3
SPARK-10636,3,1073,2
SPARK-10637,1,104,1
SPARK-10638,2,104,2
SPARK-10639,2,176,2
SPARK-10642,3,388,3
SPARK-10647,3,972,3
SPARK-10648,5,538,2
SPARK-10649,2,192,1
SPARK-1065,14,4947,4
SPARK-10650,2,179,2
SPARK-10653,3,647,3
SPARK-10656,3,277,2
SPARK-10664,2,164,2
SPARK-10666,1,103,1
SPARK-1067,1,0,1
SPARK-10673,2,278,2
SPARK-10675,2,309,2
SPARK-10677,2,342,2
SPARK-10679,1,97,1
SPARK-1068,1,54,1
SPARK-10680,3,320,3
SPARK-10683,6,1485,3
SPARK-10690,2,95,2
SPARK-10694,3,272,3
SPARK-10695,2,159,2
SPARK-10700,2,391,1
SPARK-10702,1,0,1
SPARK-10703,1,339,1
SPARK-10705,2,172,2
SPARK-10707,1,99,1
SPARK-10711,1,98,1
SPARK-10712,3,216,3
SPARK-10713,5,3119,4
SPARK-10719,4,362,3
SPARK-1072,1,74,1
SPARK-10722,10,3709,6
SPARK-10724,1,97,1
SPARK-10725,3,341,3
SPARK-10726,1,105,1
SPARK-10727,2,92,2
SPARK-10730,1,413,1
SPARK-10731,3,423,2
SPARK-10733,11,5725,4
SPARK-10735,11,4986,4
SPARK-10737,2,176,2
SPARK-1074,3,1356,3
SPARK-10741,11,6224,4
SPARK-10744,1,478,1
SPARK-10746,4,706,4
SPARK-1075,2,138,1
SPARK-10750,3,315,3
SPARK-10751,1,0,1
SPARK-10754,9,5040,7
SPARK-10755,2,289,2
SPARK-10756,1,203,1
SPARK-10762,4,1437,1
SPARK-10769,1,99,1
SPARK-1077,5,1148,3
SPARK-10772,2,180,2
SPARK-10773,3,717,3
SPARK-10777,6,950,4
SPARK-10783,1,50,1
SPARK-10786,2,183,2
SPARK-10789,9,4645,4
SPARK-10795,10,7594,7
SPARK-10798,8,1517,3
SPARK-10799,2,149,2
SPARK-1080,5,912,2
SPARK-10800,1,99,1
SPARK-10801,1,224,1
SPARK-10804,9,1383,3
SPARK-10806,1,0,1
SPARK-10812,3,255,2
SPARK-10821,2,764,2
SPARK-10826,1,0,1
SPARK-10827,4,266,3
SPARK-1083,1,197,1
SPARK-10832,1,3195,1
SPARK-10834,1,195,1
SPARK-10837,1,765,1
SPARK-10838,4,492,2
SPARK-10839,2,199,1
SPARK-10845,4,254,3
SPARK-10846,3,1100,2
SPARK-10847,8,2196,4
SPARK-10848,11,5605,8
SPARK-10850,2,184,2
SPARK-10851,4,171,4
SPARK-10852,2,155,2
SPARK-10853,2,330,2
SPARK-10854,3,644,3
SPARK-10856,4,2689,4
SPARK-10857,9,3825,6
SPARK-10859,3,394,3
SPARK-1086,2,269,2
SPARK-10865,7,999,6
SPARK-10866,3,210,3
SPARK-10867,1,26,1
SPARK-10872,17,7861,11
SPARK-10873,17,4338,6
SPARK-10877,12,2534,3
SPARK-10878,12,3620,9
SPARK-10880,4,240,2
SPARK-10881,1,104,1
SPARK-10885,1,99,1
SPARK-10886,2,147,2
SPARK-10890,3,776,2
SPARK-10892,17,4300,10
SPARK-10893,3,1357,2
SPARK-10896,3,508,2
SPARK-10898,2,564,1
SPARK-10900,1,99,1
SPARK-10901,4,756,3
SPARK-10902,2,177,2
SPARK-10904,9,1588,4
SPARK-10907,1,102,1
SPARK-10908,2,227,1
SPARK-1091,1,122,1
SPARK-10910,3,856,3
SPARK-10914,22,11612,5
