Key,CommentCount,CommentLength,CommentPeopleCount
THRIFT-1028,9,5578,3
THRIFT-1104,2,381,2
THRIFT-1131,2,142,2
THRIFT-1264,4,380,3
THRIFT-1310,5,3284,4
THRIFT-1417,2,729,1
THRIFT-1429,3,986,3
THRIFT-1439,2,203,2
THRIFT-1447,6,1474,5
THRIFT-1519,5,741,3
THRIFT-1528,20,11031,9
THRIFT-1538,8,1475,4
THRIFT-1551,3,242,2
THRIFT-158,16,4626,7
THRIFT-1580,4,1096,3
THRIFT-1755,8,1308,5
THRIFT-1845,2,427,2
THRIFT-1910,1,11,1
THRIFT-2004,1,0,1
THRIFT-2073,8,2772,6
THRIFT-2086,1,0,1
THRIFT-2236,2,255,2
THRIFT-2246,6,678,2
THRIFT-2340,2,366,2
THRIFT-2474,11,2837,5
THRIFT-2498,1,1021,1
THRIFT-2518,2,774,1
THRIFT-2714,4,859,2
THRIFT-2800,34,9767,4
THRIFT-2849,12,6056,6
THRIFT-2871,3,322,3
THRIFT-2889,3,244,3
THRIFT-2915,2,290,2
THRIFT-292,15,3225,7
THRIFT-2998,19,7269,4
THRIFT-3003,14,2010,6
THRIFT-3038,32,11952,7
THRIFT-304,4,938,3
THRIFT-3043,11,6796,6
THRIFT-3102,4,1312,3
THRIFT-3108,6,1277,4
THRIFT-315,1,64,1
THRIFT-3178,5,3936,4
THRIFT-3218,2,2288,2
THRIFT-3228,11,3179,3
THRIFT-3237,12,2196,5
THRIFT-3238,11,4066,5
THRIFT-3249,6,1376,3
THRIFT-3268,1,0,1
THRIFT-3277,4,1384,3
THRIFT-3329,13,8117,4
THRIFT-3333,2,296,2
THRIFT-3355,3,438,2
THRIFT-3385,17,7276,5
THRIFT-339,39,10491,6
THRIFT-3476,7,1786,2
THRIFT-3487,7,1759,3
THRIFT-3513,4,995,2
THRIFT-3543,2,389,2
THRIFT-3552,10,3121,4
THRIFT-3558,3,917,2
THRIFT-356,15,3043,5
THRIFT-3595,10,9783,4
THRIFT-360,3,254,3
THRIFT-372,3,103,2
THRIFT-3750,5,1816,3
THRIFT-3768,71,54604,6
THRIFT-378,15,3124,4
THRIFT-3798,6,768,2
THRIFT-381,9,2020,5
THRIFT-3821,22,10978,4
THRIFT-3826,11,2979,3
THRIFT-3832,8,2477,4
THRIFT-3873,51,30923,3
THRIFT-3877,30,20530,6
THRIFT-3896,4,1197,2
THRIFT-39,4,846,2
THRIFT-3916,9,5227,2
THRIFT-3920,2,396,2
THRIFT-3924,4,1565,3
THRIFT-3928,5,1437,3
THRIFT-393,1,70,1
THRIFT-3937,28,12057,4
THRIFT-3947,3,1328,2
THRIFT-396,1,138,1
THRIFT-3964,11,2890,3
THRIFT-3971,3,180,3
THRIFT-3974,4,1106,2
THRIFT-3990,1,0,1
THRIFT-3993,3,344,2
THRIFT-3994,1,74,1
THRIFT-3995,1,74,1
THRIFT-4009,2,1938,1
THRIFT-4026,19,5176,5
THRIFT-4032,10,1420,5
THRIFT-4033,10,5742,2
THRIFT-4062,20,4752,9
THRIFT-4070,3,419,2
THRIFT-4079,9,3430,2
THRIFT-4080,3,809,2
THRIFT-4082,6,2643,3
THRIFT-4106,4,2457,2
THRIFT-4133,3,690,3
THRIFT-4163,1,168,1
THRIFT-4164,4,8028,2
THRIFT-4180,2,326,2
THRIFT-4200,3,690,3
THRIFT-4214,10,6037,2
THRIFT-4260,17,6296,5
THRIFT-427,3,206,2
THRIFT-4271,3,2089,2
THRIFT-4273,24,9463,1
THRIFT-4281,1,136,1
THRIFT-4301,1,82,1
THRIFT-4307,5,1697,1
THRIFT-4312,14,4179,2
THRIFT-4336,4,427,2
THRIFT-4341,1,179,1
THRIFT-4352,8,2174,3
THRIFT-4366,3,306,1
THRIFT-4371,1,0,1
THRIFT-4381,3,2213,2
THRIFT-4384,6,6496,2
THRIFT-4426,1,60,1
THRIFT-4464,7,1582,2
THRIFT-4477,3,954,2
THRIFT-4478,9,15630,2
THRIFT-4482,4,883,2
THRIFT-449,3,319,2
THRIFT-4558,5,3570,3
THRIFT-4565,1,507,1
THRIFT-4581,3,366,3
THRIFT-4607,7,1499,2
THRIFT-4618,20,17052,1
THRIFT-4622,4,2626,3
THRIFT-4623,3,1115,2
THRIFT-4629,5,1351,2
THRIFT-4639,14,7133,5
THRIFT-4641,3,2517,2
THRIFT-4677,8,5591,3
THRIFT-4733,1,75,1
THRIFT-4756,2,164,1
THRIFT-4757,2,234,1
THRIFT-4778,1,0,1
THRIFT-479,7,324,2
THRIFT-4852,1,0,1
THRIFT-4874,7,1434,2
THRIFT-4883,1,127,1
THRIFT-4919,1,0,1
THRIFT-4931,1,0,1
THRIFT-4949,4,309,3
THRIFT-4958,9,4245,3
THRIFT-4970,1,0,1
THRIFT-4984,5,897,3
THRIFT-5024,1,0,1
THRIFT-5039,13,4428,9
THRIFT-5062,1,74,1
THRIFT-5087,10,2158,3
THRIFT-5090,5,508,2
THRIFT-5098,3,504,1
THRIFT-5111,13,3145,4
THRIFT-5119,1,2424,1
THRIFT-5196,2,46,1
THRIFT-5199,1,0,1
THRIFT-5245,2,166,2
THRIFT-5249,1,123,1
THRIFT-5269,5,3478,2
THRIFT-527,3,142,2
THRIFT-5367,4,439,2
THRIFT-5421,1,0,1
THRIFT-5431,1,0,1
THRIFT-544,8,1393,4
THRIFT-5453,1,0,1
THRIFT-554,2,107,2
THRIFT-601,30,6542,8
THRIFT-722,5,440,4
THRIFT-748,6,438,2
THRIFT-813,8,2281,5
THRIFT-815,35,13945,4
THRIFT-836,4,805,2
THRIFT-895,14,3452,5
THRIFT-915,8,1283,2
THRIFT-996,1,56,1
