Key,CommentCount,CommentLength,CommentPeopleCount
THRIFT-1006,1,0,1
THRIFT-1008,1,6,1
THRIFT-1009,1,53,1
THRIFT-1010,1,9,1
THRIFT-1011,5,542,3
THRIFT-1013,4,851,2
THRIFT-1015,1,45,1
THRIFT-1019,1,0,1
THRIFT-1020,3,348,2
THRIFT-1023,41,17364,12
THRIFT-1026,8,2558,5
THRIFT-1027,4,1005,2
THRIFT-1029,1,0,1
THRIFT-103,2,99,2
THRIFT-1032,2,243,2
THRIFT-1036,2,55,2
THRIFT-104,2,50,2
THRIFT-1040,8,2134,3
THRIFT-1041,1,110,1
THRIFT-1042,2,39,2
THRIFT-1043,2,195,2
THRIFT-1044,5,372,3
THRIFT-1045,6,876,3
THRIFT-1047,7,3472,3
THRIFT-1050,2,244,1
THRIFT-1051,2,41,1
THRIFT-1052,1,356,1
THRIFT-1054,4,244,3
THRIFT-1055,2,81,2
THRIFT-1056,2,705,2
THRIFT-1057,2,193,2
THRIFT-1058,4,1960,3
THRIFT-1060,10,1229,7
THRIFT-1062,5,1343,4
THRIFT-1064,3,687,3
THRIFT-1065,6,1278,3
THRIFT-1067,7,3834,5
THRIFT-1070,5,1988,3
THRIFT-1071,8,6160,2
THRIFT-1074,6,2152,4
THRIFT-1075,2,1502,2
THRIFT-1076,6,3406,3
THRIFT-1077,2,666,2
THRIFT-1078,2,93,2
THRIFT-108,1,0,1
THRIFT-1080,7,1336,4
THRIFT-1081,2,108,2
THRIFT-1082,4,572,4
THRIFT-1084,1,36,1
THRIFT-1086,1,151,1
THRIFT-1090,14,2502,4
THRIFT-1092,2,138,2
THRIFT-1093,2,36,2
THRIFT-1094,7,4042,2
THRIFT-1096,3,143,2
THRIFT-1098,3,123,2
THRIFT-11,7,1036,3
THRIFT-1101,1,118,1
THRIFT-1102,2,139,2
THRIFT-1105,2,333,2
THRIFT-1106,6,427,4
THRIFT-1111,3,278,3
THRIFT-1116,7,2833,3
THRIFT-1117,2,256,2
THRIFT-1119,2,229,2
THRIFT-1120,2,231,2
THRIFT-1121,6,2464,6
THRIFT-1124,4,248,2
THRIFT-1127,13,9338,3
THRIFT-1128,4,744,2
THRIFT-1132,3,331,3
THRIFT-1133,7,817,4
THRIFT-1136,3,98,2
THRIFT-1139,4,564,3
THRIFT-1140,3,234,2
THRIFT-1143,5,2174,3
THRIFT-1146,5,306,4
THRIFT-1147,3,177,2
THRIFT-1148,4,2272,2
THRIFT-1149,2,436,2
THRIFT-1150,6,2315,3
THRIFT-1153,3,340,2
THRIFT-1154,2,247,1
THRIFT-1156,2,1233,2
THRIFT-1158,2,154,2
THRIFT-1159,9,2339,4
THRIFT-1160,1,108,1
THRIFT-1161,1,30,1
THRIFT-1164,2,370,2
THRIFT-1165,2,306,2
THRIFT-1166,8,1071,4
THRIFT-1168,3,438,3
THRIFT-1171,3,438,3
THRIFT-1175,1,0,1
THRIFT-1176,2,541,2
THRIFT-1178,3,170,3
THRIFT-1180,2,111,2
THRIFT-1181,2,120,2
THRIFT-1182,8,1692,3
THRIFT-1183,9,1148,4
THRIFT-1184,5,738,4
THRIFT-1185,2,350,2
THRIFT-1186,1,68,1
THRIFT-1187,5,659,3
THRIFT-1190,3,557,3
THRIFT-1191,16,4243,7
THRIFT-1192,2,385,2
THRIFT-1193,3,145,3
THRIFT-1194,2,374,2
THRIFT-1196,2,96,2
THRIFT-1197,2,277,2
THRIFT-1200,6,956,4
THRIFT-1201,5,1967,3
THRIFT-1202,7,791,3
THRIFT-1203,11,3083,6
THRIFT-1205,18,4930,4
THRIFT-1208,3,366,3
THRIFT-1209,5,2873,4
THRIFT-1211,2,152,2
THRIFT-1212,7,2397,4
THRIFT-1214,3,279,3
THRIFT-1215,3,712,2
THRIFT-1218,2,316,2
THRIFT-1220,2,315,2
THRIFT-1222,5,1668,3
THRIFT-1224,10,2285,7
THRIFT-1228,2,486,2
THRIFT-1229,6,2446,5
THRIFT-1230,2,381,2
THRIFT-1232,7,1720,4
THRIFT-1234,2,273,2
THRIFT-1238,9,3056,5
THRIFT-1240,5,537,3
THRIFT-1242,3,252,2
THRIFT-1244,4,533,4
THRIFT-1245,2,343,2
THRIFT-1248,6,1695,3
THRIFT-125,3,190,3
THRIFT-1252,3,354,3
THRIFT-1253,2,368,2
THRIFT-1254,6,772,3
THRIFT-1255,2,398,2
THRIFT-1258,1,22,1
THRIFT-1260,7,1550,5
THRIFT-1263,5,803,4
THRIFT-1265,3,115,2
THRIFT-1266,7,2532,4
THRIFT-1267,13,3932,8
THRIFT-127,7,1437,4
THRIFT-1277,16,4868,7
THRIFT-1279,2,270,2
THRIFT-1285,2,376,2
THRIFT-1291,2,526,1
THRIFT-1296,7,1458,3
THRIFT-1297,6,2317,5
THRIFT-1298,2,707,2
THRIFT-1299,4,496,3
THRIFT-1300,1,85,1
THRIFT-1303,2,293,2
THRIFT-1308,1,170,1
THRIFT-1309,2,84,2
THRIFT-1311,2,154,2
THRIFT-1318,8,1751,3
THRIFT-1319,2,160,2
THRIFT-132,4,150,2
THRIFT-1321,5,3380,2
THRIFT-1322,5,1649,3
THRIFT-1323,3,1079,2
THRIFT-1324,4,1949,3
THRIFT-1325,7,3240,7
THRIFT-1326,13,4630,7
THRIFT-1327,5,1565,3
THRIFT-1328,4,1063,3
THRIFT-133,13,1709,3
THRIFT-1330,27,7605,7
THRIFT-1331,7,1294,5
THRIFT-1338,2,271,1
THRIFT-1341,3,330,3
THRIFT-1342,3,597,3
THRIFT-1346,1,0,1
THRIFT-135,6,1497,4
THRIFT-1350,5,1447,3
THRIFT-1351,11,1358,5
THRIFT-1355,11,2396,3
THRIFT-1356,3,479,3
THRIFT-1357,39,10964,10
THRIFT-1359,3,435,3
THRIFT-1365,2,584,2
THRIFT-1367,6,2369,2
THRIFT-1370,3,641,3
THRIFT-1372,1,254,1
THRIFT-1381,4,476,4
THRIFT-1382,26,4300,8
THRIFT-1383,2,575,2
THRIFT-1384,1,360,1
THRIFT-1389,6,6819,4
THRIFT-1390,3,909,2
THRIFT-1392,5,466,2
THRIFT-1393,3,553,3
THRIFT-1394,5,1681,3
THRIFT-1397,3,752,3
THRIFT-1398,7,1119,5
THRIFT-1399,6,548,3
THRIFT-14,2,194,2
THRIFT-140,2,78,2
THRIFT-1400,2,313,2
THRIFT-1402,3,537,3
THRIFT-1404,7,904,4
THRIFT-1405,4,554,4
THRIFT-1406,3,581,3
THRIFT-1407,3,422,3
THRIFT-1408,4,485,3
THRIFT-1409,4,469,4
THRIFT-1411,3,351,3
THRIFT-1413,4,610,4
THRIFT-1414,7,2188,5
THRIFT-1416,4,467,3
THRIFT-1418,7,1235,4
THRIFT-1419,2,479,2
THRIFT-1420,3,925,2
THRIFT-1421,17,8494,5
THRIFT-1422,2,389,2
THRIFT-1423,2,350,2
THRIFT-1424,4,315,3
THRIFT-1425,5,534,3
THRIFT-1426,3,303,2
THRIFT-1427,5,619,3
THRIFT-1428,3,340,3
THRIFT-1432,2,367,2
THRIFT-1433,7,2056,3
THRIFT-1434,5,765,4
THRIFT-1436,1,58,1
THRIFT-1438,3,948,2
THRIFT-1440,7,1776,5
THRIFT-1446,4,536,4
THRIFT-1448,1,299,1
THRIFT-1449,3,528,3
THRIFT-145,4,643,2
THRIFT-1450,2,711,1
THRIFT-1455,2,243,2
THRIFT-1456,3,320,3
THRIFT-1460,7,3671,4
THRIFT-1461,6,2293,4
THRIFT-1464,2,515,2
THRIFT-1467,3,271,3
THRIFT-1468,22,7059,6
THRIFT-1470,1,445,1
THRIFT-1471,1,0,1
THRIFT-1472,3,226,2
THRIFT-1473,5,537,4
THRIFT-1474,12,3040,6
THRIFT-1475,5,1813,3
THRIFT-1479,2,404,2
THRIFT-1481,6,832,4
THRIFT-1483,4,575,3
THRIFT-1486,4,736,3
THRIFT-1487,1,53,1
THRIFT-1488,10,5920,3
THRIFT-1490,3,372,3
THRIFT-1491,3,304,3
THRIFT-1492,5,1004,3
THRIFT-1493,1,526,1
THRIFT-1494,4,513,3
THRIFT-1495,3,300,3
THRIFT-1496,3,315,3
THRIFT-1497,3,344,3
THRIFT-1499,1,34,1
THRIFT-15,4,1034,2
THRIFT-150,2,680,1
THRIFT-1501,2,99,1
THRIFT-1502,4,321,4
THRIFT-1504,3,468,3
THRIFT-1505,2,390,2
THRIFT-1506,2,588,2
THRIFT-1507,6,1572,5
THRIFT-1508,1,22,1
THRIFT-1509,1,0,1
THRIFT-1511,1,24,1
THRIFT-1512,6,1988,3
THRIFT-1513,1,37,1
THRIFT-1514,6,1879,4
THRIFT-1515,5,534,5
THRIFT-1516,4,398,3
THRIFT-1517,2,357,2
THRIFT-1518,10,1810,5
THRIFT-152,1,46,1
THRIFT-1522,10,2510,5
THRIFT-1523,4,1746,3
THRIFT-1524,3,336,1
THRIFT-1525,3,399,2
THRIFT-1526,1,379,1
THRIFT-1527,2,532,2
THRIFT-1529,2,624,2
THRIFT-153,18,5178,6
THRIFT-1530,2,484,2
THRIFT-1531,5,587,3
THRIFT-1537,2,577,2
THRIFT-154,9,1076,3
THRIFT-1540,1,0,1
THRIFT-1543,1,619,1
THRIFT-1545,1,93,1
THRIFT-1547,1,0,1
THRIFT-1548,5,1365,4
THRIFT-1549,2,371,2
THRIFT-1553,5,680,4
THRIFT-1554,4,493,4
THRIFT-1557,8,2905,2
THRIFT-156,6,331,4
THRIFT-157,5,435,3
THRIFT-1571,2,213,2
THRIFT-1572,1,43,1
THRIFT-1573,3,511,2
THRIFT-1575,1,18,1
THRIFT-1576,4,508,3
THRIFT-1577,2,409,2
THRIFT-1578,4,1117,3
THRIFT-1579,4,1266,3
THRIFT-1581,1,0,1
THRIFT-1582,4,1089,3
THRIFT-1583,7,1568,3
THRIFT-1584,4,532,3
THRIFT-1585,6,1138,4
THRIFT-1586,2,342,2
THRIFT-1587,3,414,2
THRIFT-1588,6,1537,3
THRIFT-159,2,119,2
THRIFT-1591,2,453,2
THRIFT-1597,2,319,2
THRIFT-1599,4,563,4
THRIFT-16,3,232,3
THRIFT-1600,25,13577,8
THRIFT-1601,2,218,2
THRIFT-1602,2,62,2
THRIFT-1603,8,3771,4
THRIFT-1604,6,1416,4
THRIFT-1606,3,506,3
THRIFT-1607,2,412,2
THRIFT-1609,4,521,3
THRIFT-161,8,1531,6
THRIFT-1610,1,31,1
THRIFT-1612,2,686,2
THRIFT-1614,12,4334,8
THRIFT-1616,1,164,1
THRIFT-1617,1,0,1
THRIFT-1618,15,3883,4
THRIFT-162,41,15004,12
THRIFT-1621,2,369,2
THRIFT-1622,2,419,2
THRIFT-1624,8,1228,4
THRIFT-1625,2,442,1
THRIFT-1626,3,548,3
THRIFT-1627,2,579,2
THRIFT-1631,2,502,2
THRIFT-1632,8,2948,3
THRIFT-1635,2,330,2
THRIFT-1637,8,1064,4
THRIFT-1638,3,1322,2
THRIFT-1639,5,895,5
THRIFT-1640,14,3224,6
THRIFT-1641,4,261,3
THRIFT-1642,12,4583,7
THRIFT-1643,15,3913,6
THRIFT-1646,2,175,1
THRIFT-1647,8,2319,6
THRIFT-1648,1,22,1
THRIFT-1649,3,427,2
THRIFT-1652,3,656,3
THRIFT-1653,8,3615,7
THRIFT-1654,3,706,2
THRIFT-1655,3,762,2
THRIFT-1656,3,487,3
THRIFT-1657,4,282,3
THRIFT-1658,8,2455,4
THRIFT-1660,6,2901,2
THRIFT-1662,2,466,2
THRIFT-1663,3,563,3
THRIFT-1664,2,324,2
THRIFT-1665,3,346,2
THRIFT-1666,2,167,2
THRIFT-1668,3,278,2
THRIFT-1669,1,187,1
THRIFT-1670,4,1433,3
THRIFT-1671,2,311,2
THRIFT-1673,10,6392,3
THRIFT-1674,3,719,3
THRIFT-1677,1,94,1
THRIFT-1679,3,638,3
THRIFT-168,6,941,3
THRIFT-1680,6,1915,3
THRIFT-1682,6,1075,4
THRIFT-1686,3,411,3
