Key,CommentCount,CommentLength,CommentPeopleCount
TS-1007,32,16570,7
TS-1119,4,363,4
TS-1203,4,261,2
TS-1276,10,810,8
TS-1330,26,30570,7
TS-1392,8,3412,3
TS-1411,33,25234,7
TS-1434,4,735,2
TS-1574,3,1638,3
TS-1577,13,3818,3
TS-1590,7,1401,4
TS-165,6,4593,2
TS-1666,17,2336,6
TS-170,4,1177,2
TS-171,2,19,2
TS-172,2,33,2
TS-173,2,19,2
TS-174,2,41,2
TS-1770,7,1438,4
TS-1776,17,3640,4
TS-181,1,66,1
TS-1825,4,780,3
TS-1869,3,780,3
TS-1881,2,283,2
TS-192,2,44,2
TS-1932,3,333,3
TS-1956,11,1886,4
TS-2019,16,7321,5
TS-2021,4,364,3
TS-2031,10,4008,6
TS-2051,15,6856,6
TS-2052,6,5615,4
TS-2053,3,854,2
TS-2054,19,3963,6
TS-2066,6,1508,3
TS-2098,7,928,4
TS-2161,9,3121,5
TS-219,4,400,1
TS-2205,4,417,3
TS-224,1,0,1
TS-2251,12,2845,4
TS-228,12,17566,3
TS-2351,23,16552,6
TS-2434,3,635,2
TS-2494,6,4203,4
TS-2532,9,1312,4
TS-2564,33,29893,9
TS-2629,1,0,1
TS-2654,20,19566,5
TS-2660,4,2137,3
TS-2679,2,469,1
TS-277,1,35,1
TS-2776,23,19514,4
TS-278,3,96,2
TS-2792,12,17244,5
TS-2825,8,2208,5
TS-2836,2,772,2
TS-2845,3,1182,2
TS-2846,1,19,1
TS-2848,5,630,3
TS-2884,4,602,4
TS-2886,8,26701,5
TS-2914,4,765,4
TS-2983,27,15562,6
TS-3014,3,164,2
TS-3022,12,3925,5
TS-3045,2,459,1
TS-3046,1,31,1
TS-3074,2,285,2
TS-3082,3,359,2
TS-3083,18,10454,7
TS-3096,5,1242,3
TS-3132,3,1767,2
TS-3217,2,259,2
TS-3248,21,6962,5
TS-3257,11,8079,4
TS-3261,23,15518,4
TS-327,3,977,3
TS-3274,4,732,2
TS-3276,5,906,2
TS-3281,2,526,2
TS-343,5,555,2
TS-348,12,4030,7
TS-3522,9,3740,5
TS-3529,5,778,3
TS-3595,9,3035,3
TS-3640,11,3393,4
TS-3675,1,85,1
TS-3710,24,10188,7
TS-3748,4,698,3
TS-3749,12,5859,5
TS-3754,6,1682,4
TS-3769,3,632,3
TS-380,4,460,3
TS-3802,3,926,1
TS-3804,6,4033,3
TS-3805,6,2302,2
TS-3866,16,21063,3
TS-3896,3,761,2
TS-390,2,1077,2
TS-3917,16,5110,4
TS-394,16,4328,2
TS-395,3,307,2
TS-3959,26,17926,9
TS-396,6,1217,4
TS-4048,10,6591,3
TS-4070,15,5867,5
TS-4071,5,1464,3
TS-4093,4,946,3
TS-4131,9,3193,5
TS-4159,3,828,3
TS-4161,12,4582,3
TS-4163,17,4610,4
TS-4192,4,2637,2
TS-4193,3,979,2
TS-4195,5,8302,4
TS-4206,9,2230,4
TS-4207,28,12532,6
TS-4223,2,410,2
TS-4282,6,1854,2
TS-431,2,259,2
TS-4317,7,1271,4
TS-4327,11,2791,4
TS-4461,18,6933,5
TS-4462,8,1769,4
TS-4541,3,3618,2
TS-4547,2,402,2
TS-4585,1,47,1
TS-4608,4,1706,2
TS-4633,11,3291,3
TS-4637,5,2108,2
TS-4732,6,5315,3
TS-475,20,4880,9
TS-4769,2,136,2
TS-4788,1,0,1
TS-4813,13,6603,4
TS-4833,1,7283,1
TS-4844,1,0,1
TS-4868,1,33,1
TS-4876,1,102,1
TS-489,25,9895,5
TS-4897,2,104,2
TS-4902,2,2377,1
TS-4905,5,2306,4
TS-4912,2,1038,1
TS-4913,4,3291,2
TS-4915,12,19722,3
TS-4916,6,6533,3
TS-4947,6,949,2
TS-4988,1,60,1
TS-5047,2,618,2
TS-505,3,744,1
TS-506,2,461,1
TS-5062,1,0,1
TS-515,1,192,1
TS-588,1,0,1
TS-63,1,184,1
TS-651,1,0,1
TS-702,16,7128,4
TS-716,14,4586,3
TS-808,7,994,2
TS-817,14,2534,4
TS-852,12,6090,7
TS-859,8,1260,4
TS-882,4,1351,3
