Key,CommentCount,CommentLength,CommentPeopleCount
TS-1,2,95,1
TS-10,2,161,2
TS-100,4,658,3
TS-1004,13,3258,4
TS-1008,3,289,2
TS-101,1,81,1
TS-1010,1,24,1
TS-1011,2,155,2
TS-1014,2,107,2
TS-1015,15,2772,5
TS-1020,1,452,1
TS-1021,2,209,1
TS-1022,2,208,1
TS-1024,4,1804,3
TS-1027,9,1488,4
TS-1028,3,366,2
TS-1029,2,185,2
TS-103,3,950,1
TS-1030,2,217,2
TS-1032,1,6,1
TS-1035,11,2943,3
TS-1037,2,83,1
TS-1038,3,334,3
TS-104,1,69,1
TS-1042,3,573,3
TS-1044,1,54,1
TS-1047,1,0,1
TS-1049,6,1107,4
TS-105,2,63,2
TS-1050,3,166,1
TS-1051,4,454,2
TS-1052,1,69,1
TS-1053,22,6527,4
TS-1054,6,380,2
TS-1055,2,117,2
TS-1056,1,0,1
TS-1057,2,918,2
TS-1058,12,2800,5
TS-1060,2,166,2
TS-1061,4,229,3
TS-1063,4,213,2
TS-1065,4,157,4
TS-1071,1,0,1
TS-1072,3,498,2
TS-1073,8,1364,2
TS-1074,5,323,3
TS-1075,8,7548,3
TS-1078,6,643,2
TS-108,4,560,3
TS-1080,5,827,2
TS-1082,7,851,2
TS-1085,9,1207,4
TS-1086,9,1875,6
TS-1087,6,1567,3
TS-109,2,1132,2
TS-1091,4,2563,2
TS-1094,14,4168,3
TS-1095,2,93,2
TS-1100,4,575,3
TS-1101,1,28,1
TS-1102,29,8635,2
TS-1103,6,548,3
TS-1104,3,2006,2
TS-1105,2,256,2
TS-1106,6,2367,2
TS-1109,5,1211,4
TS-111,2,88,2
TS-1110,3,197,2
TS-1111,4,432,3
TS-1112,3,260,3
TS-1114,11,2850,6
TS-1115,2,155,1
TS-1117,2,190,1
TS-112,4,447,2
TS-1121,3,177,1
TS-1123,1,0,1
TS-1125,46,18261,9
TS-1126,1,60,1
TS-1127,4,610,1
TS-1131,2,181,2
TS-1134,2,272,1
TS-1138,1,136,1
TS-1143,1,276,1
TS-1144,1,73,1
TS-1145,1,79,1
TS-1150,1,277,1
TS-1151,4,427,3
TS-1152,8,1278,3
TS-1154,6,723,3
TS-1155,4,996,3
TS-1156,2,174,1
TS-1158,7,1987,4
TS-1160,4,588,3
TS-1161,8,1515,4
TS-1162,6,1313,2
TS-1163,3,645,2
TS-1164,1,55,1
TS-1165,1,164,1
TS-1166,1,91,1
TS-1167,1,87,1
TS-1168,1,76,1
TS-1169,5,632,2
TS-117,2,78,1
TS-1171,1,43,1
TS-1173,1,0,1
TS-1178,4,15441,1
TS-1179,4,339,4
TS-118,7,1301,3
TS-1181,3,931,2
TS-1183,3,330,1
TS-1184,4,750,3
TS-1185,12,2397,5
TS-1186,1,208,1
TS-1187,6,964,4
TS-1188,1,218,1
TS-1189,2,69,1
TS-1194,1,0,1
TS-1195,3,845,2
TS-1197,5,660,2
TS-1198,1,90,1
TS-1199,1,51,1
TS-12,3,63,2
TS-1200,9,3210,2
TS-1201,7,426,1
TS-1204,7,1537,3
TS-1205,3,858,1
TS-1206,4,208,2
TS-1208,6,1252,3
TS-1209,8,1704,2
TS-1210,2,248,1
TS-1211,3,837,1
TS-1212,3,3309,2
TS-1213,2,253,1
TS-1214,1,67,1
TS-1216,1,37,1
TS-1219,10,2041,5
TS-122,2,174,1
TS-1220,1,43,1
TS-1221,3,509,2
TS-1223,9,5700,4
TS-1225,3,95,2
TS-1226,1,204,1
TS-1227,1,224,1
TS-123,5,499,2
TS-1230,5,1114,3
TS-1231,1,91,1
TS-1233,9,2098,4
TS-1234,4,272,2
TS-1235,19,7008,5
TS-1236,4,1062,4
TS-1238,9,13169,3
TS-1239,1,0,1
TS-124,1,0,1
TS-1240,10,5510,3
TS-1241,3,322,2
TS-1242,1,290,1
TS-1244,7,463,2
TS-1245,1,0,1
TS-1246,10,17163,5
TS-1247,3,3682,3
TS-1249,23,8124,4
TS-125,9,2907,4
TS-1250,11,2991,5
TS-1251,2,431,1
TS-1252,5,994,3
TS-1253,3,219,2
TS-1254,4,672,2
TS-126,1,0,1
TS-1263,4,396,2
TS-1264,8,1005,3
TS-1265,1,95,1
TS-1266,3,1240,1
TS-1269,1,48,1
TS-1272,1,376,1
TS-1273,3,534,3
TS-1274,2,139,1
TS-1275,1,331,1
TS-1277,2,376,2
TS-1278,4,2159,1
TS-1279,2,346,1
TS-1281,1,43,1
TS-1282,7,1560,3
TS-1283,1,51,1
TS-1284,2,92,2
TS-1285,2,264,1
TS-1287,1,211,1
TS-1288,5,371,4
TS-1289,2,1372,2
TS-1292,1,20,1
TS-1293,3,505,3
TS-1294,1,363,1
TS-1296,3,1495,2
TS-1297,3,1658,2
TS-1298,7,1407,2
TS-1299,2,87,1
TS-1300,7,1514,3
TS-1303,4,1162,2
TS-1305,6,401,3
TS-1306,1,0,1
TS-1309,1,89,1
TS-1310,9,1344,3
TS-1311,10,775,3
TS-1313,2,250,2
TS-1314,13,6365,3
TS-1315,1,48,1
TS-1316,7,2040,3
TS-1317,4,2288,2
TS-1318,3,181,2
TS-1319,12,7545,2
TS-1320,5,2887,3
TS-1322,7,1676,3
TS-1327,10,1916,3
TS-1328,1,50,1
TS-1329,7,7961,3
TS-1331,3,201,3
TS-1332,3,387,1
TS-1334,8,964,4
TS-1335,2,1955,1
TS-1336,18,7061,6
TS-1338,3,210,1
TS-1339,12,3025,3
TS-134,1,148,1
TS-1341,7,511,3
TS-1343,2,134,1
TS-1344,10,866,3
TS-1346,2,147,1
TS-1349,1,40,1
TS-1351,6,3229,2
TS-1352,1,208,1
TS-1354,1,69,1
TS-1357,1,81,1
TS-1358,1,40,1
TS-1360,1,81,1
TS-1361,1,81,1
TS-1363,2,195,2
TS-1364,4,493,3
TS-1365,15,2467,3
TS-1366,8,984,4
TS-1367,1,81,1
TS-1368,1,46,1
TS-1369,4,2252,2
TS-1370,2,176,2
TS-1373,1,40,1
TS-1374,1,40,1
TS-1375,15,21976,7
TS-1376,1,129,1
TS-1377,2,133,2
TS-1378,17,3897,5
TS-138,4,367,2
TS-1380,3,449,2
TS-1382,4,1886,3
TS-1383,1,40,1
TS-1384,3,553,3
TS-1390,2,538,2
TS-1391,4,218,2
TS-1393,1,0,1
TS-1394,1,0,1
TS-1395,1,0,1
TS-1396,1,0,1
TS-1397,1,0,1
TS-1398,1,0,1
TS-1399,1,0,1
TS-14,6,2321,2
TS-140,3,1102,3
TS-1400,1,0,1
TS-1401,1,0,1
TS-1402,1,0,1
TS-1403,7,633,3
TS-1406,1,88,1
TS-1407,1,202,1
TS-1409,13,1523,4
TS-141,3,1026,2
TS-1410,6,769,3
TS-1412,2,53,2
TS-1413,3,195,2
TS-1415,4,341,3
TS-1416,6,1770,3
TS-1417,2,200,2
TS-1419,11,2067,4
TS-1420,1,0,1
TS-1421,4,231,2
TS-1422,1,47,1
TS-1424,30,18820,6
TS-1425,1,52,1
TS-1426,1,52,1
TS-1427,2,295,2
TS-1428,1,40,1
TS-1429,6,543,1
TS-143,3,1598,2
TS-1430,4,2178,1
TS-1433,35,15919,4
TS-1435,11,1584,5
TS-1436,3,494,3
TS-1437,1,50,1
TS-1438,5,470,3
TS-144,1,27,1
TS-1441,1,52,1
TS-1442,1,87,1
TS-1444,3,503,3
TS-1445,1,52,1
TS-1446,1,47,1
TS-1448,5,460,2
TS-1451,5,2904,3
TS-1452,8,1078,3
TS-1454,2,3429,2
TS-1455,3,181,2
TS-1456,2,115,1
TS-1457,13,8581,5
TS-1458,1,78,1
TS-1459,2,177,2
TS-146,1,43,1
TS-1463,5,1756,3
