Key,CommentCount,CommentLength,CommentPeopleCount
WICKET-1048,3,183,2
WICKET-1120,6,1687,5
WICKET-1146,2,112,2
WICKET-1205,14,6063,7
WICKET-1216,2,856,2
WICKET-1256,10,1277,4
WICKET-1287,3,482,2
WICKET-1374,3,757,3
WICKET-1403,10,2501,4
WICKET-1412,4,384,3
WICKET-1449,10,2842,5
WICKET-1451,3,104,3
WICKET-153,4,167,4
WICKET-16,3,145,1
WICKET-1653,7,1857,4
WICKET-1757,3,1223,2
WICKET-1809,1,136,1
WICKET-1817,3,650,3
WICKET-1872,9,2957,2
WICKET-201,21,11057,3
WICKET-2147,3,895,2
WICKET-216,1,26,1
WICKET-2182,5,705,2
WICKET-2198,2,132,2
WICKET-2215,10,1209,3
WICKET-2279,4,2360,2
WICKET-2325,1,0,1
WICKET-2397,7,1206,4
WICKET-2400,2,98,2
WICKET-2407,1,0,1
WICKET-2416,17,28464,4
WICKET-2418,6,1908,2
WICKET-2429,3,287,2
WICKET-2436,6,1299,4
WICKET-2455,3,424,2
WICKET-2465,2,652,2
WICKET-2479,5,908,3
WICKET-254,12,3019,5
WICKET-2567,30,10121,4
WICKET-260,6,507,3
WICKET-2616,2,113,1
WICKET-2640,1,220,1
WICKET-2657,1,325,1
WICKET-2662,6,834,3
WICKET-2695,4,1232,3
WICKET-2763,10,2853,4
WICKET-2766,2,251,2
WICKET-2774,10,3105,2
WICKET-2843,2,92,1
WICKET-2853,6,1748,4
WICKET-2859,6,3086,4
WICKET-2902,8,5265,7
WICKET-2914,5,790,3
WICKET-2915,2,67,2
WICKET-2917,4,346,3
WICKET-2957,7,1472,5
WICKET-3023,4,619,2
WICKET-3030,8,5503,2
WICKET-3040,5,1080,3
WICKET-3050,7,2101,4
WICKET-3088,14,6794,5
WICKET-3095,6,1150,4
WICKET-3098,11,1495,5
WICKET-3173,6,612,5
WICKET-319,2,1467,1
WICKET-3196,1,117,1
WICKET-3201,1,6,1
WICKET-3360,13,2274,4
WICKET-3365,15,5356,6
WICKET-3444,4,381,3
WICKET-3451,11,898,2
WICKET-35,3,245,1
WICKET-3507,1,436,1
WICKET-3514,12,2562,5
WICKET-3593,3,622,2
WICKET-3602,10,4909,4
WICKET-3604,4,866,3
WICKET-3605,7,1116,4
WICKET-3633,7,461,4
WICKET-3671,3,155,2
WICKET-3675,4,360,2
WICKET-3697,2,600,1
WICKET-3702,10,3815,3
WICKET-3768,4,481,3
WICKET-3773,18,2766,5
WICKET-38,5,519,3
WICKET-3808,10,2890,3
WICKET-3836,3,730,2
WICKET-3837,9,1619,4
WICKET-386,1,0,1
WICKET-3939,13,8319,4
WICKET-3998,2,47,2
WICKET-4,19,7344,5
WICKET-40,16,4380,5
WICKET-4045,5,762,3
