Key,CommentCount,CommentLength,CommentPeopleCount
WICKET-1001,1,0,1
WICKET-1003,24,15207,12
WICKET-1007,1,0,1
WICKET-1008,2,397,2
WICKET-101,1,129,1
WICKET-1010,10,2700,7
WICKET-1011,2,39,2
WICKET-1013,12,13626,2
WICKET-1014,4,4341,2
WICKET-1015,1,125,1
WICKET-1016,4,2581,2
WICKET-1017,7,3069,4
WICKET-1019,3,1213,2
WICKET-102,5,838,3
WICKET-1021,2,212,2
WICKET-1027,1,77,1
WICKET-1028,1,125,1
WICKET-1029,5,734,3
WICKET-103,1,0,1
WICKET-1032,4,862,4
WICKET-1035,4,586,2
WICKET-1036,1,0,1
WICKET-1037,3,260,2
WICKET-1038,2,209,2
WICKET-1039,2,40,2
WICKET-1040,2,201,2
WICKET-1042,1,0,1
WICKET-1046,1,0,1
WICKET-1047,2,690,2
WICKET-1049,3,267,2
WICKET-1050,1,110,1
WICKET-1051,1,6,1
WICKET-1058,3,305,2
WICKET-1061,3,312,2
WICKET-1062,2,220,2
WICKET-1065,1,6,1
WICKET-1066,3,237,3
WICKET-1068,6,1130,2
WICKET-1071,2,140,2
WICKET-1072,1,0,1
WICKET-1073,3,428,2
WICKET-1074,1,60,1
WICKET-1075,2,319,2
WICKET-1076,2,326,2
WICKET-1077,4,842,4
WICKET-1079,2,196,2
WICKET-108,2,462,1
WICKET-1080,2,318,2
WICKET-1081,2,202,2
WICKET-1087,4,1199,2
WICKET-109,1,144,1
WICKET-1090,16,5592,4
WICKET-1091,2,165,2
WICKET-1092,1,63,1
WICKET-1093,1,0,1
WICKET-1094,4,1722,3
WICKET-1095,4,967,3
WICKET-1101,2,172,1
WICKET-1104,2,185,2
WICKET-1105,10,3374,5
WICKET-1107,1,0,1
WICKET-1109,1,219,1
WICKET-1112,1,0,1
WICKET-1114,1,48,1
WICKET-1116,2,563,1
WICKET-1118,3,182,2
WICKET-1119,1,0,1
WICKET-112,1,471,1
WICKET-1123,9,5450,2
WICKET-1124,6,1374,3
WICKET-1125,1,46,1
WICKET-1127,1,260,1
WICKET-1129,2,315,2
WICKET-1130,21,13729,9
WICKET-1131,1,34,1
WICKET-1132,17,19253,4
WICKET-1133,3,653,2
WICKET-1135,1,40,1
WICKET-1137,6,887,2
WICKET-1139,11,4168,4
WICKET-1140,5,3151,4
WICKET-1141,1,0,1
WICKET-1148,1,0,1
WICKET-1149,16,6434,3
WICKET-1151,1,188,1
WICKET-1152,5,1256,2
WICKET-1153,4,572,2
WICKET-1154,2,447,2
WICKET-1155,1,5,1
WICKET-1156,5,533,3
WICKET-1158,4,719,2
WICKET-116,2,571,2
WICKET-1160,2,21,2
WICKET-1161,1,178,1
WICKET-1162,2,536,2
WICKET-1165,3,110,2
WICKET-117,7,1274,5
WICKET-1172,3,923,2
WICKET-1173,4,2363,2
WICKET-1174,1,0,1
WICKET-1176,2,91,2
WICKET-1178,1,171,1
WICKET-1179,1,0,1
WICKET-1180,4,242,4
WICKET-1181,1,88,1
WICKET-1182,1,99,1
WICKET-1183,6,9659,2
WICKET-1184,8,2231,6
WICKET-1185,11,1950,5
WICKET-1186,4,1036,4
WICKET-1187,3,158,2
WICKET-1188,7,1807,4
WICKET-1189,1,138,1
WICKET-1190,2,261,2
WICKET-1191,1,7,1
WICKET-1194,1,177,1
WICKET-1196,1,0,1
WICKET-1198,1,5,1
WICKET-1199,1,276,1
WICKET-1200,4,1272,3
WICKET-1201,2,173,2
WICKET-1202,2,216,2
WICKET-1209,1,0,1
WICKET-1211,2,255,2
WICKET-1217,1,56,1
WICKET-1220,4,1221,3
WICKET-1223,1,0,1
WICKET-1224,5,1091,3
WICKET-1225,5,863,2
WICKET-1226,3,138,3
WICKET-1229,1,112,1
WICKET-1230,4,125,3
WICKET-1231,6,2535,4
WICKET-1232,3,834,2
WICKET-1233,2,348,2
WICKET-1234,6,1492,2
WICKET-1235,11,4615,4
WICKET-1236,1,244,1
WICKET-1239,15,11386,9
WICKET-1241,2,182,2
WICKET-1243,6,2140,3
WICKET-1245,1,28,1
WICKET-1249,2,228,2
WICKET-1251,3,604,3
WICKET-1253,1,0,1
WICKET-1254,3,1332,3
WICKET-1255,4,382,4
WICKET-1257,3,480,2
WICKET-1258,2,450,2
WICKET-1259,8,2065,4
WICKET-1260,1,0,1
WICKET-1262,1,200,1
WICKET-1263,2,109,2
WICKET-1264,6,716,3
WICKET-1265,6,1297,4
WICKET-1268,2,735,2
WICKET-127,2,239,2
WICKET-1270,1,63,1
WICKET-1271,2,772,2
WICKET-1273,1,750,1
WICKET-1274,1,154,1
WICKET-1275,2,551,2
WICKET-1276,1,227,1
WICKET-1277,1,0,1
WICKET-1278,1,0,1
WICKET-128,2,1108,2
WICKET-1280,3,545,2
WICKET-1282,1,0,1
WICKET-1285,1,69,1
WICKET-1290,1,0,1
WICKET-1291,1,182,1
WICKET-1292,1,923,1
WICKET-1294,1,0,1
WICKET-1296,2,183,2
WICKET-130,1,0,1
WICKET-1300,1,293,1
WICKET-1301,4,579,4
WICKET-1304,1,38,1
WICKET-1305,1,62,1
WICKET-1307,9,1125,5
WICKET-1308,1,35,1
WICKET-131,3,310,2
WICKET-1311,2,202,2
WICKET-1314,7,917,4
WICKET-1319,7,2289,3
WICKET-1320,4,418,2
WICKET-1321,1,34,1
WICKET-1323,2,212,2
WICKET-1329,4,390,2
WICKET-1330,1,4,1
WICKET-1331,17,7928,4
WICKET-1332,7,3031,3
WICKET-1337,2,281,2
WICKET-1339,1,154,1
WICKET-134,3,203,2
WICKET-1340,10,3688,2
WICKET-1342,1,0,1
WICKET-1343,2,1589,2
WICKET-1345,2,510,2
WICKET-1346,3,563,3
WICKET-1347,1,43,1
WICKET-1349,7,3298,6
WICKET-1350,3,334,2
WICKET-1352,1,28,1
WICKET-1353,1,0,1
WICKET-1354,1,38,1
WICKET-1355,21,4625,8
WICKET-1356,1,0,1
WICKET-1360,1,6,1
WICKET-1361,4,619,2
WICKET-1362,4,1181,2
WICKET-1364,1,0,1
WICKET-1365,8,1828,2
WICKET-1366,2,698,2
WICKET-1368,2,95,2
WICKET-1369,5,867,3
WICKET-137,1,41,1
WICKET-1370,2,900,1
WICKET-1371,4,637,2
WICKET-1372,2,37,2
WICKET-1375,1,229,1
WICKET-1376,7,2935,5
WICKET-1377,1,6,1
WICKET-1383,1,70,1
WICKET-1385,2,94,2
WICKET-1387,1,553,1
WICKET-1388,1,283,1
WICKET-1389,6,3328,4
WICKET-139,1,206,1
WICKET-1391,5,1435,2
WICKET-1393,3,211,3
WICKET-1395,1,56,1
WICKET-1397,2,58,2
WICKET-1398,1,6,1
WICKET-1399,3,83,3
WICKET-1400,1,0,1
WICKET-1401,1,6,1
WICKET-1402,1,978,1
WICKET-1405,2,410,1
WICKET-1407,7,920,3
WICKET-1408,1,218,1
WICKET-1409,5,550,2
WICKET-141,1,5,1
WICKET-1411,1,70,1
WICKET-1413,1,530,1
WICKET-1414,11,7382,3
WICKET-1415,1,0,1
WICKET-1416,1,17,1
WICKET-1417,1,11,1
WICKET-1418,8,1903,3
WICKET-1419,2,83,1
WICKET-142,8,3641,5
