Key,CommentCount,CommentLength,CommentPeopleCount
HADOOP-10000,14,10337,4
HADOOP-10012,15,22724,7
HADOOP-10015,30,16376,10
HADOOP-10022,5,11706,2
HADOOP-10058,12,4593,5
HADOOP-10062,31,15156,6
HADOOP-10085,31,21222,6
HADOOP-10121,10,5612,5
HADOOP-10158,44,25272,8
HADOOP-10191,12,6667,5
HADOOP-10204,4,1109,3
HADOOP-10219,35,39974,10
HADOOP-10255,39,33993,8
HADOOP-10346,13,6914,6
HADOOP-10361,9,4857,5
HADOOP-10372,9,3129,5
HADOOP-10395,8,3243,4
HADOOP-10422,8,4321,4
HADOOP-10441,14,5767,6
HADOOP-10453,10,2095,7
HADOOP-10468,28,16798,7
HADOOP-10533,8,2077,3
HADOOP-10584,22,13583,11
HADOOP-1060,9,3222,5
HADOOP-1062,7,2539,5
HADOOP-1070,11,17326,4
HADOOP-10717,43,32519,7
HADOOP-10730,2,759,2
HADOOP-10759,32,13861,7
HADOOP-1077,5,2291,4
HADOOP-10786,55,23361,18
HADOOP-1084,6,907,4
HADOOP-10846,33,18942,6
HADOOP-1085,12,5569,6
HADOOP-10895,97,65113,10
HADOOP-1093,27,12243,8
HADOOP-10957,11,7079,4
HADOOP-10986,2,1949,2
HADOOP-11027,6,1919,2
HADOOP-11048,12,6507,4
HADOOP-1106,2,201,2
HADOOP-11066,2,574,2
HADOOP-11133,12,5068,5
HADOOP-11148,6,980,3
HADOOP-1117,12,1040,7
HADOOP-11201,16,7524,4
HADOOP-11218,27,13572,9
HADOOP-1124,3,492,2
HADOOP-11243,20,13050,7
HADOOP-11252,50,33969,16
HADOOP-11274,32,25018,10
HADOOP-11286,18,12082,5
HADOOP-11296,28,9887,6
HADOOP-1130,13,4861,7
HADOOP-11316,15,5905,5
HADOOP-11343,46,38196,9
HADOOP-11371,5,3140,3
HADOOP-11402,25,11616,4
HADOOP-11445,13,6986,4
HADOOP-11450,21,9681,4
HADOOP-11484,13,8272,5
HADOOP-11491,17,9041,5
HADOOP-11500,17,7764,6
HADOOP-11505,115,144027,15
HADOOP-11545,37,20736,5
HADOOP-1160,5,524,4
HADOOP-11602,91,292594,6
HADOOP-11628,24,12905,7
HADOOP-11665,20,18789,7
HADOOP-11691,27,16961,6
HADOOP-117,4,558,3
HADOOP-11736,11,12120,3
HADOOP-11742,18,37100,5
HADOOP-11743,16,11327,5
HADOOP-11761,14,8016,4
HADOOP-11763,1,1468,1
HADOOP-11790,18,4025,8
HADOOP-11811,14,4844,4
HADOOP-11815,30,13162,7
HADOOP-11819,11,4617,4
HADOOP-11823,23,70080,5
HADOOP-11844,20,4687,5
HADOOP-1188,11,2875,5
HADOOP-11886,4,8635,3
HADOOP-11888,4,1550,3
HADOOP-1193,11,3050,5
HADOOP-11932,27,14860,8
HADOOP-11934,73,61898,6
HADOOP-11946,5,593,2
HADOOP-11955,14,4288,6
HADOOP-1196,1,25,1
HADOOP-1200,10,2539,6
HADOOP-12001,20,14414,6
HADOOP-12002,13,6544,5
HADOOP-12014,16,4402,4
HADOOP-1205,16,2607,6
HADOOP-12053,24,28934,7
HADOOP-12058,13,5075,4
HADOOP-12071,12,18129,6
HADOOP-12074,13,6253,5
HADOOP-12086,1,0,1
HADOOP-12088,12,5854,4
HADOOP-12107,47,31397,10
HADOOP-12117,21,13109,5
HADOOP-12154,10,5273,4
HADOOP-12192,15,6715,4
HADOOP-12209,13,9308,5
HADOOP-12245,10,4038,3
HADOOP-12252,20,11291,5
HADOOP-12258,27,39027,5
HADOOP-12313,33,19362,11
HADOOP-12345,35,21336,11
HADOOP-12364,24,12710,5
HADOOP-12374,37,20125,7
HADOOP-124,21,8437,5
HADOOP-12412,8,2424,4
HADOOP-1242,23,7585,7
HADOOP-12424,4,2507,2
HADOOP-12445,7,5331,2
HADOOP-12473,13,19025,6
HADOOP-12476,11,3835,4
HADOOP-12508,29,47515,5
HADOOP-12515,12,6270,4
HADOOP-12533,28,32936,5
HADOOP-1255,11,1930,7
HADOOP-12577,22,12467,10
HADOOP-12593,9,6381,4
HADOOP-12594,4,4130,1
HADOOP-12622,26,67583,5
HADOOP-12687,39,30672,10
HADOOP-12689,16,13247,6
HADOOP-12700,14,7591,5
HADOOP-12717,19,29468,7
HADOOP-12718,56,53452,6
HADOOP-12760,48,69797,10
HADOOP-12766,8,13503,5
HADOOP-12801,12,10371,5
HADOOP-1281,16,4196,6
HADOOP-12837,10,4505,3
HADOOP-12869,10,13138,5
HADOOP-12892,75,88026,9
HADOOP-12906,11,11026,5
HADOOP-13001,4,1354,4
HADOOP-13022,6,441,2
HADOOP-13026,8,11501,5
HADOOP-13060,5,1838,3
HADOOP-13083,10,11052,5
HADOOP-13116,5,6759,4
HADOOP-1312,10,1723,5
HADOOP-13163,4,4894,4
HADOOP-13164,20,25858,4
HADOOP-13192,34,31359,10
HADOOP-13196,5,5278,3
HADOOP-13213,10,6015,6
HADOOP-13250,6,1099,5
HADOOP-13270,20,35235,6
HADOOP-13297,24,27332,7
HADOOP-1332,21,3810,6
HADOOP-13320,17,4446,5
HADOOP-13362,20,12836,3
HADOOP-13387,7,7203,4
HADOOP-13388,16,22075,5
HADOOP-13512,5,15085,4
HADOOP-13545,16,14710,6
HADOOP-1355,5,658,3
HADOOP-1357,6,605,4
HADOOP-13572,1,144,1
HADOOP-13586,9,3379,4
HADOOP-1359,8,918,4
HADOOP-1360,2,75,1
HADOOP-13617,18,9172,8
HADOOP-13619,1,1246,1
HADOOP-13622,8,2112,2
HADOOP-1364,6,766,3
HADOOP-1365,3,307,2
HADOOP-1366,2,311,2
HADOOP-1367,3,314,2
HADOOP-1373,30,8610,5
HADOOP-13770,12,23757,5
HADOOP-13795,7,4890,5
HADOOP-13805,49,57965,8
HADOOP-13818,24,25610,4
HADOOP-13826,43,43836,7
HADOOP-13833,6,4721,4
HADOOP-13837,21,30866,5
HADOOP-13888,3,1007,2
HADOOP-13903,27,37792,6
HADOOP-13952,19,16826,5
HADOOP-1396,13,2739,4
HADOOP-1400,17,3470,4
HADOOP-14058,12,0,1
HADOOP-14060,17,0,1
HADOOP-14114,11,0,1
HADOOP-14140,5,0,1
HADOOP-14142,3,0,1
HADOOP-14143,3,0,1
HADOOP-14161,7,0,1
HADOOP-14229,13,0,1
HADOOP-14235,5,0,1
HADOOP-1427,8,978,5
HADOOP-1431,28,13386,7
HADOOP-14350,8,0,1
HADOOP-14356,16,0,1
HADOOP-14364,24,0,1
HADOOP-14371,5,0,1
HADOOP-14420,4,0,1
HADOOP-14429,38,0,1
HADOOP-1443,13,2224,4
HADOOP-14431,20,0,1
HADOOP-14435,8,0,1
HADOOP-14451,23,0,1
HADOOP-14459,18,0,1
HADOOP-14469,23,0,1
HADOOP-14473,7,0,1
HADOOP-14479,18,0,1
HADOOP-14498,17,0,1
HADOOP-14519,17,0,1
HADOOP-1452,4,621,3
HADOOP-14533,14,0,1
HADOOP-14586,35,0,1
HADOOP-1459,20,3777,6
HADOOP-14598,24,0,1
HADOOP-1461,2,98,2
HADOOP-14616,9,0,1
HADOOP-14620,9,0,1
HADOOP-14626,3,0,1
HADOOP-1463,31,12200,8
HADOOP-14646,5,0,1
HADOOP-14683,15,0,1
HADOOP-14770,7,1661,2
HADOOP-14835,20,28310,5
HADOOP-1486,20,6092,6
HADOOP-14873,13,12374,5
HADOOP-14878,2,895,1
HADOOP-14879,4,464,3
HADOOP-14897,15,6712,6
HADOOP-14919,21,14734,7
HADOOP-14977,4,3155,3
HADOOP-14980,13,6449,5
HADOOP-14985,9,10593,5
HADOOP-14990,9,2185,3
HADOOP-15009,14,10721,7
HADOOP-15010,8,1111,4
HADOOP-15031,6,10466,4
HADOOP-1504,4,799,4
HADOOP-15053,1,0,1
HADOOP-15122,7,9642,5
HADOOP-15159,3,260,2
HADOOP-15171,13,5987,4
HADOOP-15172,4,5146,3
HADOOP-15188,3,599,2
HADOOP-1520,10,1783,5
HADOOP-15248,1,811,1
HADOOP-15273,15,21957,4
HADOOP-1529,2,79,1
HADOOP-15292,18,20724,7
HADOOP-15359,9,22350,4
HADOOP-1536,8,803,6
HADOOP-15385,15,10760,6
HADOOP-15390,14,18554,5
HADOOP-15397,7,4432,4
HADOOP-1541,16,5233,4
HADOOP-15411,5,5584,3
HADOOP-15415,3,5009,3
HADOOP-1542,7,2014,3
HADOOP-1545,5,461,3
HADOOP-15450,13,13733,7
HADOOP-15473,28,40243,8
HADOOP-15502,3,313,1
HADOOP-1551,4,961,4
HADOOP-1553,14,4730,4
HADOOP-15593,40,34455,8
HADOOP-15610,36,37805,8
HADOOP-15675,7,2372,3
HADOOP-15681,12,10591,6
HADOOP-15708,19,10669,5
HADOOP-15718,1,313,1
HADOOP-1576,7,918,3
HADOOP-1578,8,1524,4
HADOOP-15814,8,9344,5
HADOOP-15820,10,5407,6
HADOOP-15824,6,1953,3
HADOOP-15850,32,31162,6
HADOOP-15857,10,4856,6
HADOOP-15858,2,215,2
HADOOP-15873,12,8373,5
HADOOP-15880,2,492,2
HADOOP-15916,10,17193,5
HADOOP-15939,11,6175,6
HADOOP-15958,25,38626,6
HADOOP-15960,19,43892,4
HADOOP-15973,22,29364,5
HADOOP-15997,13,11822,6
HADOOP-16001,3,9935,2
HADOOP-16021,6,3614,3
HADOOP-16153,6,6007,3
HADOOP-1623,9,976,5
HADOOP-1625,5,905,4
HADOOP-16302,6,857,3
HADOOP-16335,1,518,1
HADOOP-16378,6,1189,2
HADOOP-16435,12,12552,5
HADOOP-16457,10,11104,4
HADOOP-1647,16,1496,3
HADOOP-16577,13,2760,6
HADOOP-1659,3,393,3
HADOOP-16603,2,673,1
HADOOP-16669,3,2449,2
HADOOP-16731,2,364,2
HADOOP-1675,4,1190,2
HADOOP-16754,19,10826,7
HADOOP-16761,1,301,1
HADOOP-16768,8,1311,3
HADOOP-16789,5,5656,3
HADOOP-16810,5,1913,4
HADOOP-16932,7,1451,3
HADOOP-1695,6,1384,4
HADOOP-16979,4,447,4
HADOOP-17018,5,13223,4
HADOOP-17088,5,3035,3
HADOOP-17089,5,995,2
HADOOP-17097,1,29,1
HADOOP-17157,1,1802,1
HADOOP-17190,5,5444,2
HADOOP-17223,15,13821,7
HADOOP-17224,20,11417,5
HADOOP-17255,14,10299,5
HADOOP-17294,1,53,1
HADOOP-17324,7,4577,3
HADOOP-1733,4,1424,3
HADOOP-17333,1,0,1
HADOOP-1739,18,3681,4
HADOOP-1740,6,1276,4
HADOOP-17419,1,0,1
HADOOP-17560,2,104,1
HADOOP-17592,4,7161,3
HADOOP-17600,2,1543,2
HADOOP-1765,10,10471,2
HADOOP-17664,1,14,1
HADOOP-17694,5,1589,3
HADOOP-17702,5,944,3
HADOOP-17706,2,297,2
HADOOP-1771,17,3727,8
HADOOP-1773,14,45021,5
HADOOP-17742,8,7642,3
HADOOP-17783,2,118,2
HADOOP-17785,4,772,2
HADOOP-17812,11,10397,2
HADOOP-17838,1,14,1
HADOOP-17842,1,785,1
HADOOP-17847,8,14966,4
HADOOP-17870,1,0,1
HADOOP-17877,1,0,1
HADOOP-1788,14,6225,5
HADOOP-17924,2,3171,2
HADOOP-17953,1,41,1
HADOOP-17984,2,1180,1
HADOOP-18085,6,10746,2
HADOOP-18086,7,1561,3
HADOOP-18109,2,90,1
HADOOP-18116,1,70,1
HADOOP-18124,1,0,1
HADOOP-18157,4,399,2
HADOOP-18160,4,826,2
HADOOP-18161,2,529,2
HADOOP-18192,1,155,1
HADOOP-182,2,392,1
HADOOP-18216,3,219,3
HADOOP-18222,1,38,1
HADOOP-18330,3,878,2
HADOOP-18340,7,4373,2
HADOOP-1838,7,894,3
HADOOP-1864,4,462,2
HADOOP-1875,9,2568,6
HADOOP-1911,10,3681,5
HADOOP-1930,7,2289,5
HADOOP-1932,8,2395,5
HADOOP-1935,10,2995,4
HADOOP-1946,15,2541,6
HADOOP-1948,7,1581,4
HADOOP-1973,12,3853,8
HADOOP-1999,5,1849,2
HADOOP-2001,14,5451,6
HADOOP-2016,8,3211,4
HADOOP-2020,3,276,3
HADOOP-2033,10,2781,5
HADOOP-2036,7,1465,5
HADOOP-2043,3,228,2
HADOOP-2044,8,2678,4
HADOOP-2048,13,4541,4
HADOOP-2053,6,1362,4
HADOOP-2073,16,6672,7
HADOOP-2080,12,2069,6
HADOOP-2092,35,11703,9
HADOOP-2102,13,2410,7
HADOOP-2103,6,743,4
HADOOP-2104,7,2451,5
HADOOP-2119,65,55813,12
HADOOP-2189,8,1982,6
HADOOP-2220,5,305,4
HADOOP-2247,17,13481,6
HADOOP-2294,7,2159,4
HADOOP-2323,21,8635,5
HADOOP-2360,1,0,1
HADOOP-2365,13,3395,4
HADOOP-2368,8,1768,6
HADOOP-2393,24,11956,5
HADOOP-2403,21,10659,7
HADOOP-2420,14,3464,5
HADOOP-2422,7,1867,5
HADOOP-2434,13,15790,6
HADOOP-2486,5,3389,4
HADOOP-2494,6,1729,4
HADOOP-2509,15,4883,4
HADOOP-2512,15,6894,4
HADOOP-2523,3,464,2
HADOOP-2535,9,1854,3
HADOOP-2538,2,86,2
HADOOP-2540,9,2733,6
HADOOP-2569,5,6462,2
HADOOP-2570,24,6987,11
HADOOP-2576,32,11317,7
HADOOP-2639,24,10147,7
HADOOP-2640,7,1733,5
HADOOP-2646,13,2739,5
HADOOP-2649,10,3045,5
HADOOP-2652,12,5403,6
HADOOP-2723,9,2686,6
HADOOP-2727,36,11405,10
HADOOP-2732,7,1588,7
HADOOP-2738,5,1311,4
HADOOP-2755,21,7319,7
HADOOP-2793,10,3138,5
HADOOP-2811,6,1629,4
HADOOP-285,2,168,2
HADOOP-2855,10,5514,3
HADOOP-2880,7,1372,4
HADOOP-2883,13,4453,5
HADOOP-2915,26,9603,9
HADOOP-2924,9,2881,5
HADOOP-2928,7,1600,6
HADOOP-2932,2,315,2
HADOOP-2982,7,2019,5
HADOOP-2983,9,2525,6
HADOOP-3002,9,4611,5
HADOOP-3017,2,340,2
HADOOP-3018,9,2475,6
HADOOP-3047,1,25,1
HADOOP-3049,14,5866,5
HADOOP-3056,8,1783,5
HADOOP-3065,7,1882,4
HADOOP-3067,8,2737,4
HADOOP-3069,7,1824,4
HADOOP-3070,7,681,4
HADOOP-3073,14,3549,4
HADOOP-3076,11,3835,5
HADOOP-3080,3,1470,3
HADOOP-3083,18,8235,6
HADOOP-3084,8,2009,4
HADOOP-309,6,4912,5
HADOOP-3107,6,431,5
HADOOP-3108,13,2876,4
HADOOP-3109,11,2484,5
HADOOP-3118,12,5172,6
HADOOP-3129,2,61,2
HADOOP-3132,7,5840,2
HADOOP-3135,47,20589,9
HADOOP-3138,15,4599,6
HADOOP-3139,13,6286,6
HADOOP-3146,12,3796,6
HADOOP-3154,7,3484,4
HADOOP-3155,54,28622,16
HADOOP-3157,10,3390,6
HADOOP-3159,11,4140,8
HADOOP-3165,6,1877,4
HADOOP-3173,13,9942,7
HADOOP-3175,20,3589,5
HADOOP-3182,29,13354,7
HADOOP-3183,8,3069,4
HADOOP-3186,19,4460,6
HADOOP-3204,14,5122,5
HADOOP-3208,7,1903,6
HADOOP-3217,14,4366,7
HADOOP-3223,5,1543,3
HADOOP-3224,7,2007,6
HADOOP-3225,14,5730,6
HADOOP-3234,3,1038,1
HADOOP-3240,7,1462,5
HADOOP-3285,17,4468,9
HADOOP-3294,21,5639,9
HADOOP-3296,18,7052,7
HADOOP-3304,10,4461,6
HADOOP-3320,8,1911,7
HADOOP-3322,13,2044,7
HADOOP-3333,46,19786,10
HADOOP-3363,9,3912,6
HADOOP-3372,8,2141,5
HADOOP-3375,18,5370,5
HADOOP-3382,16,5248,5
HADOOP-3391,6,1580,5
HADOOP-3418,11,2284,6
HADOOP-3442,42,21520,11
HADOOP-3480,17,5715,6
HADOOP-3487,7,2100,4
HADOOP-3505,12,4493,6
HADOOP-3520,7,3262,4
HADOOP-3521,10,2079,5
HADOOP-3522,8,2634,5
HADOOP-3526,9,1796,5
HADOOP-3528,7,2457,5
HADOOP-3537,8,1907,6
HADOOP-3544,4,1549,4
HADOOP-3552,12,4418,8
HADOOP-3564,9,2594,6
HADOOP-3576,6,1507,4
HADOOP-3580,7,3375,5
HADOOP-3586,12,4986,5
HADOOP-3588,17,5733,4
HADOOP-3604,31,22282,8
HADOOP-3614,15,4938,5
HADOOP-3633,22,10655,9
HADOOP-3635,15,5169,5
HADOOP-3639,22,4731,6
HADOOP-3649,8,4397,4
HADOOP-3657,10,2612,3
HADOOP-3670,23,9966,9
HADOOP-3673,46,11638,9
HADOOP-3677,17,6821,5
HADOOP-3678,21,5901,7
HADOOP-3681,24,8014,8
HADOOP-3685,9,2020,5
HADOOP-3707,17,8355,5
HADOOP-3711,8,1956,5
HADOOP-3713,6,961,4
HADOOP-3724,25,8239,6
HADOOP-3756,8,2188,4
HADOOP-3758,10,3431,5
HADOOP-3776,14,3206,5
HADOOP-3778,13,3002,5
HADOOP-3786,14,3354,8
HADOOP-3842,6,2999,3
HADOOP-3859,8,2178,6
HADOOP-3865,16,7164,7
HADOOP-3874,8,769,4
HADOOP-3883,16,6118,7
HADOOP-3901,9,1878,4
HADOOP-3904,7,2076,5
HADOOP-3907,12,9683,6
HADOOP-3911,9,2515,6
HADOOP-3914,24,8564,7
HADOOP-3951,9,1152,3
HADOOP-3995,6,1522,4
HADOOP-3998,36,12814,7
HADOOP-4014,20,8065,7
HADOOP-4026,11,16151,3
HADOOP-4027,4,825,3
HADOOP-4035,70,59095,14
HADOOP-4040,6,1275,5
HADOOP-4045,17,9311,7
HADOOP-4077,9,2350,6
HADOOP-4099,10,2922,5
HADOOP-4116,27,8564,8
HADOOP-4149,18,7358,5
HADOOP-4163,19,6877,8
HADOOP-4171,6,685,4
HADOOP-4190,21,5747,7
HADOOP-4202,13,5467,3
HADOOP-4204,13,4899,5
HADOOP-4209,21,7214,7
HADOOP-4211,6,4609,4
HADOOP-4220,18,5676,8
HADOOP-4228,19,5663,7
HADOOP-4238,12,3208,6
