Key,CommentCount,CommentLength,CommentPeopleCount
HADOOP-10,1,80,1
HADOOP-100,2,382,2
HADOOP-1000,3,553,3
HADOOP-10001,1,0,1
HADOOP-10002,2,204,2
HADOOP-10003,20,10574,6
HADOOP-10004,3,1582,2
HADOOP-10006,11,4476,4
HADOOP-10007,6,3091,2
HADOOP-10009,4,189,2
HADOOP-1001,22,6811,7
HADOOP-10011,5,595,3
HADOOP-10013,1,212,1
HADOOP-10018,6,3800,4
HADOOP-10027,40,34469,7
HADOOP-10028,8,3396,4
HADOOP-10029,23,15752,4
HADOOP-10030,8,3996,4
HADOOP-10031,10,5510,4
HADOOP-10037,9,12650,4
HADOOP-10039,7,3716,4
HADOOP-10040,25,35478,5
HADOOP-10041,3,190,2
HADOOP-10042,5,663,2
HADOOP-10045,1,55,1
HADOOP-10049,2,225,2
HADOOP-1005,1,0,1
HADOOP-10050,18,8109,6
HADOOP-10051,16,3886,8
HADOOP-10055,10,3525,4
HADOOP-10059,14,7268,6
HADOOP-1006,13,2146,3
HADOOP-10061,2,85,2
HADOOP-10063,1,0,1
HADOOP-10065,11,4510,3
HADOOP-10066,2,273,2
HADOOP-10069,1,0,1
HADOOP-10070,20,11490,6
HADOOP-10072,8,3913,4
HADOOP-10073,2,8,1
HADOOP-10074,1,0,1
HADOOP-10077,8,2442,4
HADOOP-10078,11,4374,6
HADOOP-1008,2,72,2
HADOOP-10080,4,1013,3
HADOOP-10081,14,7185,5
HADOOP-10087,12,8668,5
HADOOP-10088,7,3278,4
HADOOP-1009,4,382,4
HADOOP-10090,34,19312,5
HADOOP-10091,6,5189,4
HADOOP-10092,4,1641,4
HADOOP-10093,9,6240,4
HADOOP-10094,12,6181,4
HADOOP-10096,1,15,1
HADOOP-1010,9,1755,5
HADOOP-10100,15,13363,6
HADOOP-10106,15,6593,6
HADOOP-1011,6,993,5
HADOOP-10110,20,3542,11
HADOOP-10112,24,6473,7
HADOOP-10113,1,372,1
HADOOP-10114,4,3240,3
HADOOP-10116,2,101,2
HADOOP-10117,6,2918,3
HADOOP-10118,1,0,1
HADOOP-10119,5,2811,3
HADOOP-1012,3,1432,2
HADOOP-10125,14,4914,5
HADOOP-10126,9,3447,4
HADOOP-10127,19,11991,5
HADOOP-10128,19,3299,4
HADOOP-10129,11,6965,5
HADOOP-1013,7,7731,4
HADOOP-10130,14,6137,4
HADOOP-10131,15,7798,4
HADOOP-10133,6,1439,6
HADOOP-10134,24,25074,6
HADOOP-10135,13,6099,4
HADOOP-1014,19,6572,9
HADOOP-10141,23,16019,6
HADOOP-10142,32,14319,7
HADOOP-10144,7,996,4
HADOOP-10145,1,79,1
HADOOP-10146,19,7349,6
HADOOP-10147,9,10647,4
HADOOP-10149,5,2571,2
HADOOP-1015,1,343,1
HADOOP-10157,1,0,1
HADOOP-10159,1,0,1
HADOOP-10162,5,1202,3
HADOOP-10165,1,32,1
HADOOP-10166,2,258,2
HADOOP-10168,7,3442,3
HADOOP-10170,2,312,2
HADOOP-10171,11,5433,4
HADOOP-10175,11,5466,4
HADOOP-10176,4,1548,2
HADOOP-10177,20,11534,5
HADOOP-10178,31,19484,8
