Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Yusaku Sako,363,6,0.01652892561983471,406,6,0.014778325123152709,2279,43,0.018867924528301886,34,9
Andrew Onischuk,1530,8,0.00522875816993464,1532,8,0.005221932114882507,1717,2,0.0011648223645894002,2,0
Aleksandr Kovalenko,469,1,0.0021321961620469083,473,1,0.0021141649048625794,1420,4,0.0028169014084507044,4,0
Sumit Mohanty,391,2,0.005115089514066497,415,4,0.00963855421686747,1389,24,0.017278617710583154,23,1
Andriy Babiichuk,717,8,0.011157601115760111,722,8,0.0110803324099723,1324,5,0.0037764350453172208,5,0
Antonenko Alexander,874,6,0.006864988558352402,877,6,0.0068415051311288486,1292,3,0.0023219814241486067,2,1
Andrii Tkach,675,2,0.002962962962962963,677,2,0.0029542097488921715,1249,2,0.0016012810248198558,2,0
Oleg Nechiporenko,672,12,0.017857142857142856,682,12,0.017595307917888565,1155,10,0.008658008658008658,7,3
Jaimin Jetly,545,13,0.023853211009174313,572,13,0.022727272727272728,1034,27,0.02611218568665377,26,1
Mahadev Konar,216,1,0.004629629629629629,219,1,0.0045662100456621,1017,3,0.0029498525073746312,3,0
Siddharth Wagle,377,3,0.007957559681697613,379,3,0.0079155672823219,874,2,0.002288329519450801,2,0
Srimanth Gunturi,342,6,0.017543859649122806,346,6,0.017341040462427744,788,4,0.005076142131979695,4,0
Dmitry Lysnichenko,451,6,0.013303769401330377,454,6,0.013215859030837005,777,3,0.003861003861003861,1,2
Jayush Luniya,194,4,0.020618556701030927,226,4,0.017699115044247787,711,32,0.0450070323488045,30,2
Dmytro Sen,535,1,0.001869158878504673,536,1,0.0018656716417910447,688,1,0.0014534883720930232,1,0
Vitaly Brodetskyi,477,1,0.0020964360587002098,478,1,0.0020920502092050207,547,1,0.0018281535648994515,1,0
Robert Levas,343,5,0.014577259475218658,349,5,0.014326647564469915,546,6,0.01098901098901099,6,0
Oliver Szabo,339,5,0.014749262536873156,345,5,0.014492753623188406,514,6,0.011673151750972763,6,0
Jonathan Hurley,381,4,0.010498687664041995,385,4,0.01038961038961039,489,4,0.0081799591002045,4,0
Alejandro Fernandez,243,2,0.00823045267489712,244,2,0.00819672131147541,476,1,0.0021008403361344537,0,1
Aravindan Vijayan,212,5,0.02358490566037736,225,5,0.022222222222222223,423,13,0.030732860520094562,12,1
Nate Cole,224,1,0.004464285714285714,225,1,0.0044444444444444444,384,1,0.0026041666666666665,1,0
Vinod Kumar Vavilapalli,27,1,0.037037037037037035,28,1,0.03571428571428571,375,1,0.0026666666666666666,1,0
Papirkovskyy Myroslav,286,2,0.006993006993006993,290,2,0.006896551724137931,358,4,0.0111731843575419,4,0
Dmytro Grinenko,172,2,0.011627906976744186,175,2,0.011428571428571429,298,3,0.010067114093959731,2,1
Xi Wang,253,1,0.003952569169960474,254,1,0.003937007874015748,297,1,0.003367003367003367,1,0
Attila Doroszlai,132,1,0.007575757575757576,135,1,0.007407407407407408,271,3,0.01107011070110701,2,1
Bob Nettleton,91,0,0,91,0,0,255,0,0,0,0
Swapan Shridhar,148,8,0.05405405405405406,153,8,0.05228758169934641,251,5,0.0199203187250996,5,0
Tom Beerbower,192,0,0,192,0,0,247,0,0,0,0
Vikram Dixit K,50,1,0.02,52,1,0.019230769230769232,239,2,0.008368200836820083,2,0
Richard Zang,179,2,0.0111731843575419,179,2,0.0111731843575419,215,0,0,0,0
DIPAYAN BHOWMICK,108,1,0.009259259259259259,108,1,0.009259259259259259,209,0,0,0,0
Pallav Kulshreshtha,114,0,0,117,0,0,207,3,0.014492753623188406,3,0
Gaurav Nagar,73,2,0.0273972602739726,74,2,0.02702702702702703,183,1,0.00546448087431694,1,0
Di Li,131,3,0.022900763358778626,132,3,0.022727272727272728,171,1,0.005847953216374269,1,0
Ishan Bhatt,95,0,0,95,0,0,167,0,0,0,0
Jeff Sposetti,30,0,0,30,0,0,157,0,0,0,0
Hitesh Shah,100,6,0.06,104,6,0.057692307692307696,148,4,0.02702702702702703,0,4
vitthal (Suhas) Gogate,92,0,0,92,0,0,145,0,0,0,0
Gautam Borad,104,4,0.038461538461538464,106,4,0.03773584905660377,139,2,0.014388489208633094,2,0
Nitiraj Singh Rathore,93,4,0.043010752688172046,93,4,0.043010752688172046,135,0,0,0,0
Eugene Chekanskiy,101,0,0,101,0,0,133,0,0,0,0
