Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Timothy A. Bish,137,3,0.021897810218978103,174,6,0.034482758620689655,1855,37,0.019946091644204852,4,33
Gary Tully,332,3,0.009036144578313253,343,3,0.008746355685131196,1441,11,0.007633587786259542,2,9
Robert Davies,44,1,0.022727272727272728,81,1,0.012345679012345678,890,37,0.04157303370786517,1,36
Christopher L. Shannon,75,1,0.013333333333333334,78,1,0.01282051282051282,636,3,0.0047169811320754715,2,1
Dejan Bosanac,155,0,0,155,0,0,587,0,0,0,0
Hiram R. Chirino,181,5,0.027624309392265192,188,5,0.026595744680851064,445,7,0.015730337078651686,1,6
James Strachan,55,1,0.01818181818181818,60,1,0.016666666666666666,390,5,0.01282051282051282,1,4
Jean-Baptiste Onofré,59,0,0,59,0,0,295,0,0,0,0
Bruce Snyder,10,0,0,11,0,0,281,1,0.0035587188612099642,1,0
Claus Ibsen,23,2,0.08695652173913043,53,2,0.03773584905660377,233,30,0.12875536480686695,0,30
Kevin Anthony Earls,100,2,0.02,100,2,0.02,119,0,0,0,0
Arthur Naseef,24,2,0.08333333333333333,29,3,0.10344827586206896,77,5,0.06493506493506493,3,2
Adrian T. Co,12,0,0,12,0,0,65,0,0,0,0
Torsten Mielke,37,1,0.02702702702702703,39,1,0.02564102564102564,59,2,0.03389830508474576,1,1
Christian Posta,20,0,0,20,0,0,58,0,0,0,0
Robbie Gemmell,16,1,0.0625,17,1,0.058823529411764705,54,1,0.018518518518518517,0,1
Jonas B. Lim,11,1,0.09090909090909091,11,1,0.09090909090909091,53,0,0,0,0
David Jencks,25,0,0,25,0,0,49,0,0,0,0
Tim Bain,11,0,0,11,0,0,35,0,0,0,0
SuoNayi,12,1,0.08333333333333333,12,1,0.08333333333333333,35,0,0,0,0
Daniel Kulp,12,0,0,12,0,0,33,0,0,0,0
Dennis Cook,32,0,0,32,0,0,33,0,0,0,0
Stirling Chow,22,1,0.045454545454545456,23,1,0.043478260869565216,26,1,0.038461538461538464,1,0
Lionel Cons,21,0,0,21,0,0,26,0,0,0,0
Martin Lichtin,18,1,0.05555555555555555,18,1,0.05555555555555555,25,0,0,0,0
Kevin Yaussy,18,0,0,18,0,0,24,0,0,0,0
ying,13,3,0.23076923076923078,13,3,0.23076923076923078,24,0,0,0,0
Bhanu,17,1,0.058823529411764705,17,1,0.058823529411764705,19,0,0,0,0
Joe Francis,11,0,0,11,0,0,18,0,0,0,0
Guillaume Nodet,14,0,0,14,0,0,18,0,0,0,0
james,14,0,0,14,0,0,17,0,0,0,0
Christian Schneider,14,0,0,14,0,0,17,0,0,0,0
Anuj Khandelwal,11,2,0.18181818181818182,13,2,0.15384615384615385,17,2,0.11764705882352941,1,1
Marc Schöchlin,10,1,0.1,10,1,0.1,16,0,0,0,0
James Green,10,0,0,10,0,0,15,0,0,0,0
Dhiraj Sureshkumar Bokde,12,0,0,12,0,0,15,0,0,0,0
Manuel Teira Paz,12,0,0,12,0,0,14,0,0,0,0
Denis Abramov,12,0,0,12,0,0,14,0,0,0,0
Frederick G. Oconer,10,0,0,10,0,0,13,0,0,0,0
Vadim Pesochinskiy,11,2,0.18181818181818182,11,2,0.18181818181818182,13,0,0,0,0
Colin MacNaughton,11,0,0,11,0,0,13,0,0,0,0
Pat Fox,12,1,0.08333333333333333,12,1,0.08333333333333333,13,0,0,0,0
tao,12,0,0,12,0,0,12,0,0,0,0
Michael Gaffney,10,1,0.1,10,1,0.1,12,0,0,0,0
Endre Stølsvik,10,0,0,10,0,0,12,0,0,0,0
Albert Baker,11,0,0,11,0,0,11,0,0,0,0
Adrian Trenaman,11,0,0,11,0,0,11,0,0,0,0
vik dhawan,10,0,0,10,0,0,11,0,0,0,0
Jason Sherman,10,0,0,10,0,0,11,0,0,0,0
Sebb,10,1,0.1,11,1,0.09090909090909091,11,1,0.09090909090909091,1,0
Robert Liguori,8,2,0.25,10,2,0.2,10,2,0.2,0,2
Erik,10,1,0.1,10,1,0.1,10,0,0,0,0
Jakub Korab,10,0,0,10,0,0,10,0,0,0,0
