Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Wes McKinney,591,19,0.032148900169204735,630,23,0.03650793650793651,2244,39,0.017379679144385027,27,12
Antoine Pitrou,458,15,0.03275109170305677,545,19,0.03486238532110092,1572,87,0.05534351145038168,31,56
Neal Richardson,178,7,0.03932584269662921,226,11,0.048672566371681415,755,48,0.06357615894039735,26,22
Joris Van den Bossche,161,7,0.043478260869565216,173,7,0.04046242774566474,742,12,0.016172506738544475,7,5
Krisztian Szucs,192,5,0.026041666666666668,200,5,0.025,677,8,0.011816838995568686,5,3
Kouhei Sutou,105,2,0.01904761904761905,109,2,0.01834862385321101,624,4,0.00641025641025641,1,3
Uwe Korn,188,7,0.03723404255319149,196,7,0.03571428571428571,618,8,0.012944983818770227,3,5
David Li,130,8,0.06153846153846154,135,7,0.05185185185185185,443,5,0.011286681715575621,4,1
Micah Kornfield,70,7,0.1,74,7,0.0945945945945946,224,4,0.017857142857142856,1,3
Weston Pace,74,1,0.013513513513513514,75,1,0.013333333333333334,220,1,0.004545454545454545,0,1
Francois Saint-Jacques,37,3,0.08108108108108109,48,3,0.0625,210,11,0.05238095238095238,9,2
Jonathan Keane,97,7,0.07216494845360824,102,8,0.0784313725490196,203,5,0.024630541871921183,4,1
Ben Kietzman,51,1,0.0196078431372549,52,1,0.019230769230769232,202,1,0.0049504950495049506,0,1
Andy Grove,94,6,0.06382978723404255,98,6,0.061224489795918366,176,4,0.022727272727272728,2,2
Andrew Lamb,52,2,0.038461538461538464,55,2,0.03636363636363636,157,3,0.01910828025477707,1,2
Nicola Crane,36,1,0.027777777777777776,38,1,0.02631578947368421,138,2,0.014492753623188406,1,1
Jorge Leitão,68,3,0.04411764705882353,69,3,0.043478260869565216,111,1,0.009009009009009009,1,0
Julien Le Dem,28,0,0,29,0,0,106,1,0.009433962264150943,0,1
Phillip Cloud,51,0,0,51,0,0,95,0,0,0,0
Alessandro Molina,17,1,0.058823529411764705,24,2,0.08333333333333333,92,7,0.07608695652173914,6,1
Neville Dipale,18,1,0.05555555555555555,20,1,0.05,88,2,0.022727272727272728,1,1
Ian Cook,37,3,0.08108108108108109,42,4,0.09523809523809523,87,5,0.05747126436781609,4,1
Bryan Cutler,31,2,0.06451612903225806,34,1,0.029411764705882353,83,3,0.03614457831325301,2,1
Pindikura Ravindra,30,0,0,30,0,0,83,0,0,0,0
Yibo Cai,44,3,0.06818181818181818,45,2,0.044444444444444446,83,1,0.012048192771084338,0,1
Liya Fan,35,0,0,36,0,0,74,1,0.013513513513513514,1,0
Paul Taylor,24,1,0.041666666666666664,24,1,0.041666666666666664,63,0,0,0,0
Philipp Moritz,30,1,0.03333333333333333,30,1,0.03333333333333333,63,0,0,0,0
Raúl Cumplido,26,0,0,26,0,0,58,0,0,0,0
Will Jones,15,0,0,17,2,0.11764705882352941,57,2,0.03508771929824561,2,0
Matthew Topol,15,0,0,15,0,0,55,0,0,0,0
Brian Hulette,24,0,0,24,0,0,53,0,0,0,0
Dominik Moritz,22,0,0,22,0,0,48,0,0,0,0
Ji Liu,26,1,0.038461538461538464,26,1,0.038461538461538464,40,0,0,0,0
Alenka Frim,10,0,0,10,0,0,39,0,0,0,0
Robert Nishihara,19,0,0,19,0,0,37,0,0,0,0
Paddy Horan,17,0,0,17,0,0,36,0,0,0,0
Steven Phillips,27,0,0,27,0,0,32,0,0,0,0
Dragoș Moldovan-Grünfeld,11,3,0.2727272727272727,15,3,0.2,32,4,0.125,3,1
Projjal Chanda,26,0,0,26,0,0,30,0,0,0,0
Siddharth Teotia,18,0,0,18,0,0,29,0,0,0,0
Mauricio 'Pachá' Vargas Sepúlveda,17,2,0.11764705882352941,17,2,0.11764705882352941,28,0,0,0,0
