Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Davanum Srinivas,149,16,0.10738255033557047,288,39,0.13541666666666666,1365,139,0.10183150183150183,91,48
Deepal Jayasinghe,40,3,0.075,152,20,0.13157894736842105,1179,112,0.09499575911789652,81,31
Andreas Veithen,41,1,0.024390243902439025,78,1,0.01282051282051282,794,37,0.04659949622166247,4,33
Amila Chinthaka Suriarachchi,17,0,0,38,4,0.10526315789473684,631,21,0.03328050713153724,13,8
Sagara Gunathunga,29,0,0,40,0,0,322,11,0.034161490683229816,0,11
Rich Scheuerle,158,1,0.006329113924050633,158,1,0.006329113924050633,262,0,0,0,0
Eran Chinthaka,24,2,0.08333333333333333,44,5,0.11363636363636363,242,20,0.08264462809917356,15,5
Ajith Ranabahu,15,1,0.06666666666666667,16,1,0.0625,173,1,0.005780346820809248,0,1
Charitha Kankanambe,157,16,0.10191082802547771,159,14,0.0880503144654088,172,2,0.011627906976744186,1,1
Nanayakkara Kuruppuge Thilina Gunarathne,46,5,0.10869565217391304,51,4,0.0784313725490196,162,5,0.030864197530864196,0,5
Robert Lazarski,19,0,0,19,0,0,121,0,0,0,0
Keith Godwin Chapman,38,2,0.05263157894736842,41,2,0.04878048780487805,107,3,0.028037383177570093,2,1
Glen Daniels,13,6,0.46153846153846156,19,7,0.3684210526315789,99,6,0.06060606060606061,5,1
Hemapani Srinath Perera,13,1,0.07692307692307693,40,5,0.125,95,27,0.28421052631578947,21,6
Pileththuwasan Sandakith,19,0,0,19,0,0,89,0,0,0,0
Afkham Azeez,8,0,0,12,0,0,84,4,0.047619047619047616,2,2
Nikhil Thaker,70,0,0,70,0,0,79,0,0,0,0
Jeffrey Lee Barrett,31,0,0,31,0,0,77,0,0,0,0
Ruwan Linton,9,2,0.2222222222222222,14,2,0.14285714285714285,73,5,0.0684931506849315,1,4
Michele Mazzucco,59,16,0.2711864406779661,62,14,0.22580645161290322,69,3,0.043478260869565216,3,0
Dennis M. Sosnoski,42,10,0.23809523809523808,44,9,0.20454545454545456,68,2,0.029411764705882353,2,0
Hettige Don Ignatious Nywan Sanka Samaranayake,16,0,0,16,0,0,67,0,0,0,0
Nick Gallardo,21,0,0,22,0,0,65,1,0.015384615384615385,1,0
Ruchith B. Gunaratne,16,1,0.0625,16,1,0.0625,64,0,0,0,0
Nandana Mihindukulasooriya,15,0,0,15,0,0,63,0,0,0,0
David Illsley,16,2,0.125,16,2,0.125,62,0,0,0,0
Martin Gainty,32,0,0,32,0,0,58,0,0,0,0
Jarek Gawor,31,0,0,31,0,0,56,0,0,0,0
Isuru Suriarachchi,19,2,0.10526315789473684,20,2,0.1,53,1,0.018867924528301886,0,1
Saminda Wishwajith Abeyruwan,27,3,0.1111111111111111,27,3,0.1111111111111111,52,0,0,0,0
Brian DePradine,20,1,0.05,22,1,0.045454545454545456,51,2,0.0392156862745098,1,1
Michael Rheinheimer,38,2,0.05263157894736842,38,2,0.05263157894736842,46,0,0,0,0
Dustin J. Mitchell,38,0,0,38,0,0,46,0,0,0,0
Evanthika Shiromali Amarasiri,43,6,0.13953488372093023,43,5,0.11627906976744186,43,0,0,0,0
Asankha Chamath Perera,12,1,0.08333333333333333,12,0,0,38,0,0,0,0
Roy Wood,26,0,0,26,0,0,33,0,0,0,0
Kent Tong,28,0,0,28,0,0,32,0,0,0,0
Thilo Frotscher,28,8,0.2857142857142857,28,5,0.17857142857142858,29,0,0,0,0
Detelin Yordanov,19,0,0,19,0,0,25,0,0,0,0
Lin Sun,15,0,0,15,0,0,19,0,0,0,0
Haihong Xu,19,0,0,19,0,0,19,0,0,0,0
Thorsten Schöning,15,4,0.26666666666666666,15,4,0.26666666666666666,18,0,0,0,0
Paul Fremantle,18,2,0.1111111111111111,18,1,0.05555555555555555,18,0,0,0,0
Jorge Fernández,17,6,0.35294117647058826,20,6,0.3,17,3,0.17647058823529413,2,1
Kinichiro Inoguchi,12,2,0.16666666666666666,12,2,0.16666666666666666,17,0,0,0,0
Katherine Sanders,14,0,0,14,0,0,16,0,0,0,0
Fabian Christ,15,3,0.2,15,3,0.2,16,0,0,0,0
Ali Sadik Kumlali,11,0,0,11,0,0,16,0,0,0,0
Simon Fell,15,1,0.06666666666666667,15,1,0.06666666666666667,16,0,0,0,0
Derek Foster,11,4,0.36363636363636365,11,3,0.2727272727272727,15,0,0,0,0
Jeff Thomas,12,2,0.16666666666666666,12,2,0.16666666666666666,14,0,0,0,0
Samuel Isokpunwu,14,0,0,14,0,0,14,0,0,0,0
Federica Ciotti,12,3,0.25,12,3,0.25,14,0,0,0,0
Gul Onural,14,6,0.42857142857142855,14,5,0.35714285714285715,14,0,0,0,0
Thomas Poetter,13,0,0,13,0,0,13,0,0,0,0
rnell,12,0,0,12,0,0,12,0,0,0,0
Hans G Knudsen,12,2,0.16666666666666666,12,2,0.16666666666666666,12,0,0,0,0
Frank Cornelis,10,0,0,10,0,0,11,0,0,0,0
Zhaohui Feng,10,0,0,10,0,0,11,0,0,0,0
Tony Dean,11,0,0,11,0,0,11,0,0,0,0
Jaliya Ekanayake,0,0,NaN,10,2,0.2,10,10,1,10,0
Todd Doolittle,10,3,0.3,10,3,0.3,10,0,0,0,0
Ben Reif,10,1,0.1,10,1,0.1,10,0,0,0,0
