Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Claus Ibsen,822,31,0.037712895377128956,1529,52,0.034009156311314584,4321,707,0.1636195325156214,30,677
Willem Jiang,268,4,0.014925373134328358,274,4,0.014598540145985401,952,6,0.0063025210084033615,1,5
Andrea Cosentino,95,0,0,148,10,0.06756756756756757,684,53,0.07748538011695906,0,53
Hadrian Zbarcea,46,3,0.06521739130434782,49,3,0.061224489795918366,399,3,0.007518796992481203,2,1
Daniel Kulp,16,2,0.125,16,2,0.125,199,0,0,0,0
Christian Müller,70,3,0.04285714285714286,78,4,0.05128205128205128,169,8,0.047337278106508875,1,7
Zoran Regvart,66,1,0.015151515151515152,66,1,0.015151515151515152,128,0,0,0,0
Luca Burgazzoli,66,0,0,67,0,0,110,1,0.00909090909090909,0,1
Jonathan Anstey,64,1,0.015625,64,1,0.015625,102,0,0,0,0
James Strachan,28,1,0.03571428571428571,29,1,0.034482758620689655,81,1,0.012345679012345678,1,0
Freeman Yue Fang,54,3,0.05555555555555555,54,3,0.05555555555555555,81,0,0,0,0
Dmitry Volodin,9,1,0.1111111111111111,10,1,0.1,80,1,0.0125,0,1
Babak Vahdat,21,3,0.14285714285714285,23,3,0.13043478260869565,74,2,0.02702702702702703,0,2
Thomas Diesler,68,14,0.20588235294117646,68,14,0.20588235294117646,74,0,0,0,0
Moulliard Charles,64,7,0.109375,64,7,0.109375,72,0,0,0,0
William Tam,40,1,0.025,40,1,0.025,56,0,0,0,0
Guillaume Nodet,26,2,0.07692307692307693,26,2,0.07692307692307693,54,0,0,0,0
James Netherton,45,6,0.13333333333333333,45,6,0.13333333333333333,54,0,0,0,0
Onder Sezgin,8,0,0,12,0,0,54,4,0.07407407407407407,0,4
Dhiraj Sureshkumar Bokde,35,4,0.11428571428571428,36,4,0.1111111111111111,48,1,0.020833333333333332,1,0
Christian Schneider,32,2,0.0625,32,2,0.0625,48,0,0,0,0
Otavio Rodolfo Piske,39,2,0.05128205128205128,40,2,0.05,48,1,0.020833333333333332,0,1
Grzegorz Grzybek,19,1,0.05263157894736842,20,1,0.05,45,1,0.022222222222222223,1,0
Raúl Kripalani,29,4,0.13793103448275862,29,4,0.13793103448275862,44,0,0,0,0
Jean-Baptiste Onofré,22,4,0.18181818181818182,22,4,0.18181818181818182,44,0,0,0,0
Omar Al-Safi,21,1,0.047619047619047616,23,2,0.08695652173913043,38,2,0.05263157894736842,0,2
Pascal Schumacher,27,4,0.14814814814814814,28,3,0.10714285714285714,38,1,0.02631578947368421,1,0
Jeremy Ross,23,3,0.13043478260869565,24,3,0.125,37,1,0.02702702702702703,0,1
Stephan Siano,35,2,0.05714285714285714,38,2,0.05263157894736842,37,3,0.08108108108108109,0,3
Tadayoshi Sato,25,2,0.08,26,2,0.07692307692307693,35,1,0.02857142857142857,1,0
Akitoshi Yoshida,19,0,0,19,0,0,34,0,0,0,0
Jiri Ondrusek,27,2,0.07407407407407407,28,2,0.07142857142857142,34,1,0.029411764705882353,0,1
Gert Vanthienen,19,1,0.05263157894736842,20,1,0.05,33,1,0.030303030303030304,0,1
Nicola Ferraro,27,2,0.07407407407407407,27,2,0.07407407407407407,31,0,0,0,0
Alex Dettinger,17,1,0.058823529411764705,18,1,0.05555555555555555,30,1,0.03333333333333333,1,0
Aurélien Pupier,25,8,0.32,25,8,0.32,28,0,0,0,0
Roman Kalukiewicz,21,1,0.047619047619047616,21,1,0.047619047619047616,25,0,0,0,0
Franz Forsthofer,21,2,0.09523809523809523,21,2,0.09523809523809523,24,0,0,0,0
Henryk Konsek,14,0,0,14,0,0,24,0,0,0,0
Xilai Dai,22,7,0.3181818181818182,22,6,0.2727272727272727,23,0,0,0,0
michael elbaz,16,7,0.4375,20,8,0.4,20,4,0.2,3,1
Benjamin Graf,17,6,0.35294117647058826,17,6,0.35294117647058826,19,0,0,0,0
John Poth,16,1,0.0625,16,1,0.0625,19,0,0,0,0
Antoine DESSAIGNE,13,3,0.23076923076923078,13,3,0.23076923076923078,19,0,0,0,0
Ralf Steppacher,18,6,0.3333333333333333,20,6,0.3,19,2,0.10526315789473684,2,0
Alexey Markevich,15,2,0.13333333333333333,15,2,0.13333333333333333,18,0,0,0,0
Martin Krasser,10,0,0,10,0,0,18,0,0,0,0
Andrea Tarocchi,17,2,0.11764705882352941,17,2,0.11764705882352941,18,0,0,0,0
Zheng Feng,9,1,0.1111111111111111,10,1,0.1,17,1,0.058823529411764705,0,1
Sergey Zhemzhitsky,15,4,0.26666666666666666,16,4,0.25,16,1,0.0625,0,1
Joe Luo,16,3,0.1875,16,3,0.1875,16,0,0,0,0
Tomohisa Igarashi,12,2,0.16666666666666666,12,2,0.16666666666666666,16,0,0,0,0
Quinn Stevenson,16,2,0.125,16,2,0.125,16,0,0,0,0
Tomas Rohovsky,12,2,0.16666666666666666,12,2,0.16666666666666666,15,0,0,0,0
Peter Palaga,13,0,0,13,0,0,15,0,0,0,0
Paolo Antinori,12,0,0,12,0,0,14,0,0,0,0
Henrik Karlsson,13,4,0.3076923076923077,13,4,0.3076923076923077,13,0,0,0,0
Aurelien Pupier,11,4,0.36363636363636365,11,4,0.36363636363636365,12,0,0,0,0
Kamil,11,6,0.5454545454545454,11,6,0.5454545454545454,12,0,0,0,0
Bob Paulin,11,1,0.09090909090909091,11,1,0.09090909090909091,12,0,0,0,0
Fabrizio Spataro,11,5,0.45454545454545453,12,4,0.3333333333333333,11,1,0.09090909090909091,1,0
Saravanakumar Selvaraj,11,2,0.18181818181818182,11,2,0.18181818181818182,11,0,0,0,0
Alan Foster,10,3,0.3,10,3,0.3,11,0,0,0,0
Paul Richardson,10,0,0,10,0,0,10,0,0,0,0
Karl Palsson,10,2,0.2,10,2,0.2,10,0,0,0,0
John Yin,10,2,0.2,10,2,0.2,10,0,0,0,0
Marco Crivellaro,10,3,0.3,10,3,0.3,10,0,0,0,0
