Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Shazron Abdullah,649,27,0.04160246533127889,771,32,0.041504539559014265,6315,122,0.01931908155186065,40,82
Joey Robert Bowser,151,17,0.11258278145695365,433,57,0.13163972286374134,1319,282,0.2137983320697498,35,247
jcesarmobile,56,1,0.017857142857142856,113,2,0.017699115044247787,1169,57,0.04875962360992301,3,54
Andrew Grieve,291,3,0.010309278350515464,303,3,0.009900990099009901,987,12,0.0121580547112462,2,10
Nikhil Khandelwal,23,0,0,143,9,0.06293706293706294,926,120,0.12958963282937366,13,107
Jesse MacFadyen,159,6,0.03773584905660377,173,7,0.04046242774566474,899,14,0.01557285873192436,8,6
Filip Maj,132,5,0.03787878787878788,154,7,0.045454545454545456,625,22,0.0352,6,16
Vladimir Kotikov,117,3,0.02564102564102564,155,4,0.025806451612903226,462,38,0.08225108225108226,14,24
Sergey Grebnov,96,1,0.010416666666666666,137,2,0.014598540145985401,332,41,0.12349397590361445,4,37
Steve Gill,109,1,0.009174311926605505,112,3,0.026785714285714284,326,3,0.009202453987730062,1,2
Jan Piotrowski (janpio),81,1,0.012345679012345678,83,1,0.012048192771084338,292,2,0.00684931506849315,1,1
Sergey Shakhnazarov,71,2,0.028169014084507043,76,2,0.02631578947368421,290,5,0.017241379310344827,0,5
Simon MacDonald,88,3,0.03409090909090909,89,3,0.033707865168539325,244,1,0.004098360655737705,1,0
Josh Soref,152,2,0.013157894736842105,152,2,0.013157894736842105,212,0,0,0,0
Ian Clelland,48,1,0.020833333333333332,52,1,0.019230769230769232,210,4,0.01904761904761905,2,2
Richard B Knoll,46,8,0.17391304347826086,69,13,0.18840579710144928,199,23,0.11557788944723618,11,12
Bryan Higgins,93,3,0.03225806451612903,97,3,0.030927835051546393,182,4,0.02197802197802198,3,1
Michael William Brooks,59,0,0,59,0,0,175,0,0,0,0
Marcel Kinard,72,3,0.041666666666666664,74,2,0.02702702702702703,167,2,0.011976047904191617,0,2
Alexander Sorokin,112,9,0.08035714285714286,112,8,0.07142857142857142,164,0,0,0,0
Darryl Pogue,24,4,0.16666666666666666,25,3,0.12,145,1,0.006896551724137931,0,1
Lorin Beer,72,5,0.06944444444444445,78,5,0.0641025641025641,138,6,0.043478260869565216,2,4
Dmitry Blotsky,59,4,0.06779661016949153,62,5,0.08064516129032258,123,3,0.024390243902439025,2,1
Suraj Pindoria,17,1,0.058823529411764705,17,1,0.058823529411764705,111,0,0,0,0
Patrick Mueller,32,1,0.03125,35,1,0.02857142857142857,96,3,0.03125,1,2
Andrey Kurdyumov,23,0,0,26,0,0,92,3,0.03260869565217391,0,3
Carlos Santana,58,2,0.034482758620689655,60,2,0.03333333333333333,89,2,0.02247191011235955,1,1
Omar Mefire,31,8,0.25806451612903225,36,9,0.25,88,5,0.056818181818181816,3,2
Audrey So,11,0,0,12,0,0,79,1,0.012658227848101266,0,1
Michal Mocny,42,1,0.023809523809523808,44,1,0.022727272727272728,77,2,0.025974025974025976,0,2
Anis Kadri,19,1,0.05263157894736842,19,1,0.05263157894736842,72,0,0,0,0
Becky Gibson,26,0,0,26,0,0,71,0,0,0,0
Jason Ginchereau,3,0,0,12,1,0.08333333333333333,69,9,0.13043478260869565,4,5
Michael Billau,26,3,0.11538461538461539,27,2,0.07407407407407407,68,1,0.014705882352941176,0,1
Jeffrey Heifetz,19,1,0.05263157894736842,20,1,0.05,67,1,0.014925373134328358,0,1
Jacob Weber,48,2,0.041666666666666664,48,2,0.041666666666666664,65,0,0,0,0
Peter,58,5,0.08620689655172414,58,5,0.08620689655172414,63,0,0,0,0
Raymond Camden,49,3,0.061224489795918366,49,3,0.061224489795918366,59,0,0,0,0
Tobias Bocanegra,27,0,0,28,0,0,57,1,0.017543859649122806,0,1
Colin Bau,45,3,0.06666666666666667,45,3,0.06666666666666667,55,0,0,0,0
Murat Sutunc,30,0,0,30,0,0,54,0,0,0,0
James Jong,21,0,0,21,0,0,53,0,0,0,0
Raghav Katyal,12,0,0,15,0,0,52,3,0.057692307692307696,0,3
Tim Kim,16,2,0.125,16,2,0.125,51,0,0,0,0
Michael Sierra,22,2,0.09090909090909091,23,2,0.08695652173913043,50,1,0.02,0,1
Tim Barham,33,0,0,33,0,0,49,0,0,0,0
Michael Schmidt,26,7,0.2692307692307692,27,7,0.25925925925925924,43,1,0.023255813953488372,0,1
Jenny Gee,39,2,0.05128205128205128,40,2,0.05,41,1,0.024390243902439025,1,0
David Kemp,27,0,0,27,0,0,41,0,0,0,0
Angela Fowler,32,1,0.03125,32,1,0.03125,39,0,0,0,0
Sarangan Rajamanickam,19,2,0.10526315789473684,19,2,0.10526315789473684,39,0,0,0,0
Chris Brody,27,0,0,27,0,0,37,0,0,0,0
Olivier Louvignes,33,5,0.15151515151515152,33,4,0.12121212121212122,36,0,0,0,0
Martin Gonzalez,27,0,0,27,0,0,36,0,0,0,0
Edna Morales,20,1,0.05,20,1,0.05,34,0,0,0,0
Lisa Seacat DeLuca,20,0,0,20,0,0,34,0,0,0,0
Rob Paveza,25,2,0.08,26,2,0.07692307692307693,33,1,0.030303030303030304,1,0
John M. Wargo,31,3,0.0967741935483871,32,3,0.09375,32,1,0.03125,1,0
Frederico Costa Galvão,11,2,0.18181818181818182,12,2,0.16666666666666666,32,1,0.03125,1,0
Brian James LeRoux,15,0,0,15,0,0,31,0,0,0,0
Connor Pearson,21,0,0,21,0,0,31,0,0,0,0
Shingo Toda,29,6,0.20689655172413793,29,6,0.20689655172413793,30,0,0,0,0
Archana Naik,12,0,0,12,0,0,30,0,0,0,0
Tony Homer,13,0,0,13,0,0,29,0,0,0,0
zalun,10,0,0,10,0,0,28,0,0,0,0
Tommy-Carlos Williams,18,0,0,18,0,0,28,0,0,0,0
Drew Walters,22,0,0,22,0,0,27,0,0,0,0
Dan Polivy,10,4,0.4,10,4,0.4,21,0,0,0,0
Kelvin Dart,19,1,0.05263157894736842,19,1,0.05263157894736842,20,0,0,0,0
puchen,17,1,0.058823529411764705,17,0,0,19,0,0,0,0
lmnbeyond,18,3,0.16666666666666666,18,3,0.16666666666666666,19,0,0,0,0
