Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Animesh Chaturvedi,2,0,0,65,14,0.2153846153846154,1301,63,0.04842428900845504,13,50
Abhinandan Prateek,57,8,0.14035087719298245,169,28,0.16568047337278108,940,112,0.11914893617021277,80,32
Rohit Yadav,186,11,0.05913978494623656,210,11,0.05238095238095238,778,24,0.030848329048843187,12,12
Chip Childers,84,4,0.047619047619047616,110,5,0.045454545454545456,674,26,0.03857566765578635,25,1
Rajani Karuturi,48,4,0.08333333333333333,69,5,0.07246376811594203,591,21,0.03553299492385787,17,4
Sudhap,3,0,0,84,16,0.19047619047619047,534,81,0.15168539325842698,66,15
Rayees Namathponnan,334,70,0.20958083832335328,373,65,0.1742627345844504,420,39,0.09285714285714286,25,14
Jessica Wang,137,3,0.021897810218978103,142,3,0.02112676056338028,418,5,0.011961722488038277,5,0
Alena Prokharchyk,98,3,0.030612244897959183,109,3,0.027522935779816515,404,11,0.027227722772277228,4,7
Prasanna,112,15,0.13392857142857142,140,15,0.10714285714285714,379,28,0.07387862796833773,24,4
Min Chen,103,3,0.02912621359223301,110,5,0.045454545454545456,370,7,0.01891891891891892,4,3
Disheng Su,13,0,0,14,1,0.07142857142857142,362,1,0.0027624309392265192,0,1
Kishan,49,8,0.16326530612244897,71,10,0.14084507042253522,340,22,0.06470588235294118,2,20
Daan,57,4,0.07017543859649122,79,8,0.10126582278481013,322,22,0.06832298136645963,2,20
Sangeetha Hariharan,305,50,0.16393442622950818,341,50,0.1466275659824047,317,36,0.11356466876971609,27,9
Chandan Purushothama,255,32,0.12549019607843137,267,24,0.0898876404494382,307,12,0.03908794788273615,5,7
Jayapal,113,11,0.09734513274336283,121,10,0.08264462809917356,288,8,0.027777777777777776,6,2
Wei Zhou,69,3,0.043478260869565216,74,3,0.04054054054054054,280,5,0.017857142857142856,3,2
Sailaja Mada,246,41,0.16666666666666666,267,37,0.13857677902621723,279,21,0.07526881720430108,15,6
Likitha Shetty,116,4,0.034482758620689655,119,4,0.03361344537815126,252,3,0.011904761904761904,1,2
Nitin Mehta,117,18,0.15384615384615385,139,17,0.1223021582733813,243,22,0.09053497942386832,13,9
Koushik Das,65,8,0.12307692307692308,74,9,0.12162162162162163,241,9,0.03734439834024896,4,5
Sanjeev N,199,16,0.08040201005025126,205,14,0.06829268292682927,237,6,0.02531645569620253,6,0
Sheng Yang,59,2,0.03389830508474576,66,3,0.045454545454545456,235,7,0.029787234042553193,4,3
Murali Reddy,72,9,0.125,78,10,0.1282051282051282,223,6,0.026905829596412557,1,5
shweta agarwal,173,27,0.15606936416184972,184,24,0.13043478260869565,221,11,0.049773755656108594,10,1
Pierre-Luc Dion,33,7,0.21212121212121213,37,7,0.1891891891891892,217,4,0.018433179723502304,2,2
Rajesh Battala,54,6,0.1111111111111111,64,7,0.109375,202,10,0.04950495049504951,7,3
Brian Federle,17,1,0.058823529411764705,21,1,0.047619047619047616,199,4,0.020100502512562814,1,3
Marcus Sorensen,88,6,0.06818181818181818,93,5,0.053763440860215055,197,5,0.025380710659898477,4,1
Sateesh Chodapuneedi,57,7,0.12280701754385964,75,8,0.10666666666666667,197,18,0.09137055837563451,9,9
Srikanteswararao Talluri,153,20,0.13071895424836602,167,19,0.11377245508982035,192,14,0.07291666666666667,11,3
prashant kumar mishra,158,24,0.1518987341772152,171,24,0.14035087719298245,185,13,0.07027027027027027,9,4
Abhinav Roy,145,26,0.1793103448275862,158,22,0.13924050632911392,184,13,0.07065217391304347,9,4
Harikrishna Patnala,62,6,0.0967741935483871,70,6,0.08571428571428572,180,8,0.044444444444444446,6,2
Prachi Damle,46,4,0.08695652173913043,51,4,0.0784313725490196,178,5,0.028089887640449437,3,2
manasaveloori,124,17,0.13709677419354838,130,16,0.12307692307692308,173,6,0.03468208092485549,6,0
Sanjay Tripathi,62,4,0.06451612903225806,72,6,0.08333333333333333,171,10,0.05847953216374269,6,4
Bharat Kumar,70,11,0.15714285714285714,71,10,0.14084507042253522,152,1,0.006578947368421052,1,0
angeline shen,116,17,0.14655172413793102,130,15,0.11538461538461539,151,14,0.09271523178807947,13,1
Devdeep Singh,24,1,0.041666666666666664,31,2,0.06451612903225806,150,7,0.04666666666666667,4,3
Venkata Swamy,140,25,0.17857142857142858,150,24,0.16,150,10,0.06666666666666667,10,0
Parth Brahmbhatt,116,12,0.10344827586206896,127,12,0.09448818897637795,143,11,0.07692307692307693,7,4
David Nalley,60,2,0.03333333333333333,84,4,0.047619047619047616,140,24,0.17142857142857143,22,2
Kelven Yang,29,2,0.06896551724137931,31,3,0.0967741935483871,140,2,0.014285714285714285,1,1
Anshul Gangwar,98,3,0.030612244897959183,101,3,0.0297029702970297,137,3,0.021897810218978103,2,1
Rafael Weingärtner,23,1,0.043478260869565216,23,0,0,137,0,0,0,0
sadhu suresh,89,14,0.15730337078651685,103,12,0.11650485436893204,127,14,0.11023622047244094,9,5
