Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Jacques Nadeau,142,12,0.08450704225352113,355,29,0.08169014084507042,2358,213,0.09033078880407125,88,125
Parth Chandra,67,5,0.07462686567164178,110,10,0.09090909090909091,778,43,0.055269922879177376,20,23
Arina Ielchiieva,83,8,0.0963855421686747,123,10,0.08130081300813008,676,40,0.05917159763313609,31,9
Aman Sinha,130,10,0.07692307692307693,133,8,0.06015037593984962,548,3,0.005474452554744526,1,2
Rahul Kumar Challapalli,399,62,0.15538847117794485,418,53,0.12679425837320574,527,19,0.036053130929791274,16,3
Steven Phillips,142,8,0.056338028169014086,146,9,0.06164383561643835,472,4,0.00847457627118644,3,1
Khurram Faraaz,328,46,0.1402439024390244,356,45,0.12640449438202248,471,28,0.059447983014861996,21,7
Mehant Baid,127,5,0.03937007874015748,133,5,0.03759398496240601,462,6,0.012987012987012988,1,5
Jason Altekruse,71,6,0.08450704225352113,87,8,0.09195402298850575,459,16,0.034858387799564274,14,2
Paul Rogers,242,4,0.01652892561983471,247,4,0.016194331983805668,458,5,0.010917030567685589,2,3
Jinfeng Ni,111,4,0.036036036036036036,118,5,0.0423728813559322,415,7,0.016867469879518072,5,2
Vova Vysotskyi,100,8,0.08,104,8,0.07692307692307693,384,4,0.010416666666666666,3,1
Victoria Markman,209,39,0.18660287081339713,238,38,0.15966386554621848,359,29,0.0807799442896936,27,2
Daniel Barclay,227,33,0.14537444933920704,240,32,0.13333333333333333,355,13,0.036619718309859155,10,3
Chris Westin,53,8,0.1509433962264151,65,9,0.13846153846153847,341,12,0.03519061583577713,2,10
Sudheesh Katkam,36,2,0.05555555555555555,39,2,0.05128205128205128,338,3,0.008875739644970414,2,1
Venki Korukanti,54,1,0.018518518518518517,56,2,0.03571428571428571,334,2,0.005988023952095809,1,1
Abdel Hakim Deneche,71,4,0.056338028169014086,88,4,0.045454545454545456,318,17,0.05345911949685535,7,10
Krystal,190,28,0.14736842105263157,192,26,0.13541666666666666,300,2,0.006666666666666667,1,1
Chun Chang,172,47,0.27325581395348836,194,40,0.20618556701030927,286,22,0.07692307692307693,19,3
Kunal Khatua,44,3,0.06818181818181818,48,3,0.0625,283,4,0.014134275618374558,2,2
Vitalii Diravka,48,5,0.10416666666666667,54,5,0.09259259259259259,272,6,0.022058823529411766,1,5
Sean Hsuan-Yi Chu,47,5,0.10638297872340426,55,3,0.05454545454545454,231,8,0.03463203463203463,2,6
Abhishek Girish,145,31,0.21379310344827587,163,31,0.1901840490797546,220,18,0.08181818181818182,14,4
Hanifi Gunes,66,9,0.13636363636363635,77,9,0.11688311688311688,208,11,0.052884615384615384,1,10
Aditya Kishore,69,1,0.014492753623188406,73,1,0.0136986301369863,178,4,0.02247191011235955,3,1
Sorabh Hamirwasia,45,0,0,48,0,0,158,3,0.0189873417721519,1,2
Ramana Inukonda Nagaraj,104,17,0.16346153846153846,111,17,0.15315315315315314,139,7,0.050359712230215826,6,1
