Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Robert Metzger,429,98,0.22843822843822845,565,110,0.19469026548672566,2226,136,0.061096136567834684,111,25
Chesnay Schepler,434,94,0.21658986175115208,530,103,0.19433962264150945,2214,96,0.04336043360433604,47,49
Till Rohrmann,571,98,0.17162872154115585,942,139,0.1475583864118896,1993,371,0.18615153035624687,282,89
Stephan Ewen,361,26,0.07202216066481995,438,39,0.08904109589041095,1226,77,0.06280587275693311,72,5
Aljoscha Krettek,152,17,0.1118421052631579,313,57,0.18210862619808307,1119,161,0.14387846291331546,144,17
Jark Wu,102,24,0.23529411764705882,174,33,0.1896551724137931,1031,72,0.06983511154219205,48,24
Dawid Wysakowicz,254,103,0.40551181102362205,357,107,0.29971988795518206,836,103,0.12320574162679426,79,24
Flink Jira Bot,0,0,NaN,515,129,0.2504854368932039,716,515,0.7192737430167597,0,515
GitHub Import,649,4,0.0061633281972265025,649,3,0.004622496147919877,649,0,0,0,0
Piotr Nowojski,155,35,0.22580645161290322,274,53,0.19343065693430658,594,119,0.20033670033670034,85,34
Xintong Song,172,40,0.23255813953488372,251,57,0.22709163346613545,566,79,0.13957597173144876,68,11
Timo Walther,121,23,0.19008264462809918,141,21,0.14893617021276595,530,20,0.03773584905660377,17,3
Dian Fu,178,61,0.34269662921348315,219,56,0.2557077625570776,511,41,0.08023483365949119,33,8
Yun Gao,191,99,0.518324607329843,222,93,0.4189189189189189,511,31,0.060665362035225046,31,0
Fabian Hueske,140,14,0.1,167,12,0.0718562874251497,493,27,0.05476673427991886,22,5
Jingsong Lee,112,28,0.25,162,33,0.2037037037037037,482,50,0.1037344398340249,36,14
Ufuk Celebi,135,16,0.11851851851851852,143,15,0.1048951048951049,450,8,0.017777777777777778,6,2
Tzu-Li (Gordon) Tai,85,12,0.1411764705882353,104,10,0.09615384615384616,382,19,0.049738219895287955,16,3
Martijn Visser,29,3,0.10344827586206896,100,10,0.1,349,71,0.2034383954154728,20,51
Roman Khachatryan,104,29,0.27884615384615385,119,25,0.21008403361344538,321,15,0.04672897196261682,9,6
Maximilian Michels,90,6,0.06666666666666667,95,5,0.05263157894736842,318,5,0.015723270440251572,2,3
Kurt Young,20,6,0.3,52,8,0.15384615384615385,311,32,0.10289389067524116,28,4
Matthias Pohl,108,36,0.3333333333333333,122,30,0.2459016393442623,304,14,0.046052631578947366,6,8
Yun Tang,64,15,0.234375,74,16,0.21621621621621623,301,10,0.03322259136212625,6,4
Gary Yao,101,22,0.21782178217821782,132,24,0.18181818181818182,275,31,0.11272727272727273,22,9
Nico Kruber,164,42,0.25609756097560976,174,37,0.21264367816091953,267,10,0.03745318352059925,8,2
Arvid Heise,32,7,0.21875,40,5,0.125,254,8,0.031496062992125984,4,4
Kostas Kloudas,82,10,0.12195121951219512,96,11,0.11458333333333333,237,14,0.05907172995780591,12,2
Huang Xingbo,115,32,0.2782608695652174,132,26,0.19696969696969696,234,17,0.07264957264957266,14,3
Yu Li,46,14,0.30434782608695654,62,16,0.25806451612903225,218,16,0.07339449541284404,10,6
Yang Wang,48,12,0.25,56,11,0.19642857142857142,216,8,0.037037037037037035,2,6
godfrey he,43,15,0.3488372093023256,46,13,0.2826086956521739,213,3,0.014084507042253521,3,0
Leonard Xu,47,4,0.0851063829787234,51,2,0.0392156862745098,210,4,0.01904761904761905,0,4
Guowei Ma,104,47,0.4519230769230769,105,26,0.24761904761904763,208,1,0.004807692307692308,1,0
Thomas Weise,14,1,0.07142857142857142,15,1,0.06666666666666667,189,1,0.005291005291005291,0,1
Zhu Zhu,38,11,0.2894736842105263,52,13,0.25,183,14,0.07650273224043716,8,6
Rui Li,84,16,0.19047619047619047,93,15,0.16129032258064516,174,9,0.05172413793103448,9,0
Stefan Richter,47,8,0.1702127659574468,52,8,0.15384615384615385,169,5,0.029585798816568046,4,1
Ted Yu,155,7,0.04516129032258064,156,4,0.02564102564102564,164,1,0.006097560975609756,0,1
Gyula Fora,78,7,0.08974358974358974,84,8,0.09523809523809523,162,6,0.037037037037037035,4,2
Andrey Zagrebin,22,6,0.2727272727272727,29,7,0.2413793103448276,158,7,0.04430379746835443,5,2
Greg Hogan,54,9,0.16666666666666666,56,9,0.16071428571428573,150,2,0.013333333333333334,0,2
Fabian Paul,30,4,0.13333333333333333,41,5,0.12195121951219512,149,11,0.0738255033557047,6,5
vinoyang,36,9,0.25,36,9,0.25,139,0,0,0,0
Zhijiang,30,8,0.26666666666666666,38,8,0.21052631578947367,134,8,0.05970149253731343,5,3
Caizhi Weng,68,13,0.19117647058823528,72,11,0.1527777777777778,125,4,0.032,1,3
Hequn Cheng,31,4,0.12903225806451613,37,4,0.10810810810810811,124,6,0.04838709677419355,5,1
BL,57,16,0.2807017543859649,64,15,0.234375,124,7,0.056451612903225805,5,2
sunjincheng,37,5,0.13513513513513514,38,5,0.13157894736842105,109,1,0.009174311926605505,1,0
Konstantin Knauf,15,1,0.06666666666666667,32,6,0.1875,108,17,0.1574074074074074,12,5
Zili Chen,25,4,0.16,26,2,0.07692307692307693,107,1,0.009345794392523364,1,0
Jiangjie Qin,16,9,0.5625,17,5,0.29411764705882354,102,1,0.00980392156862745,0,1
Yangze Guo,27,7,0.25925925925925924,30,7,0.23333333333333334,89,3,0.033707865168539325,2,1
Márton Balassi,30,3,0.1,31,2,0.06451612903225806,85,1,0.011764705882352941,0,1
Danny Chen,16,5,0.3125,20,5,0.25,83,4,0.04819277108433735,4,0
Congxian Qiu,15,5,0.3333333333333333,16,4,0.25,78,1,0.01282051282051282,1,0
David Morávek,14,3,0.21428571428571427,25,3,0.12,77,11,0.14285714285714285,7,4
Anton Kalashnikov,17,0,0,17,0,0,72,0,0,0,0
Shengkai Fang,27,5,0.18518518518518517,29,3,0.10344827586206896,72,2,0.027777777777777776,1,1
Seth Wiesman,26,3,0.11538461538461539,30,3,0.1,65,4,0.06153846153846154,1,3
