Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Anthony Baker,47,4,0.0851063829787234,51,4,0.0784313725490196,2105,4,0.0019002375296912114,0,4
Kirk Lund,413,26,0.06295399515738499,460,28,0.06086956521739131,872,47,0.05389908256880734,2,45
Dan Smith,272,3,0.011029411764705883,272,3,0.011029411764705883,786,0,0,0,0
Owen Nichols,64,0,0,64,0,0,759,0,0,0,0
Nabarun Nag,210,1,0.004761904761904762,210,1,0.004761904761904762,710,0,0,0,0
Bruce J Schuchardt,309,6,0.019417475728155338,315,5,0.015873015873015872,637,6,0.009419152276295133,1,5
Darrel Schneider,344,7,0.020348837209302327,354,7,0.01977401129943503,622,10,0.01607717041800643,2,8
Swapnil Bawaskar,52,1,0.019230769230769232,53,1,0.018867924528301886,559,1,0.0017889087656529517,0,1
Jens Deppe,218,4,0.01834862385321101,219,4,0.0182648401826484,436,1,0.0022935779816513763,0,1
Mark Hanson,123,1,0.008130081300813009,127,2,0.015748031496062992,356,4,0.011235955056179775,2,2
Jinmei Liao,151,1,0.006622516556291391,151,1,0.006622516556291391,348,0,0,0,0
Barrett Oglesby,246,4,0.016260162601626018,246,4,0.016260162601626018,342,0,0,0,0
Hitesh Khamesra,115,2,0.017391304347826087,115,2,0.017391304347826087,334,0,0,0,0
Anilkumar Gingade,86,0,0,86,0,0,331,0,0,0,0
Eric Shu,242,4,0.01652892561983471,242,4,0.01652892561983471,318,0,0,0,0
Xiaojian Zhou,160,0,0,160,0,0,274,0,0,0,0
Jason Huynh,160,2,0.0125,162,2,0.012345679012345678,250,2,0.008,1,1
Dave Barnes,77,1,0.012987012987012988,78,1,0.01282051282051282,247,1,0.004048582995951417,0,1
Ernest Burghardt,33,0,0,33,0,0,240,0,0,0,0
Donal Evans,81,1,0.012345679012345678,81,1,0.012345679012345678,211,0,0,0,0
Jacob Barrett,89,1,0.011235955056179775,92,1,0.010869565217391304,195,3,0.015384615384615385,0,3
Bill Burcham,85,1,0.011764705882352941,85,0,0,182,0,0,0,0
Hale Bales,51,0,0,51,0,0,176,0,0,0,0
Sai Boorlagadda,87,2,0.022988505747126436,87,2,0.022988505747126436,166,0,0,0,0
William Markito,22,0,0,22,0,0,162,0,0,0,0
Jianxia Chen,73,1,0.0136986301369863,73,1,0.0136986301369863,158,0,0,0,0
