Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Paul King,152,1,0.006578947368421052,228,5,0.021929824561403508,4564,76,0.016652059596844872,14,62
Jochen Theodorou,130,3,0.023076923076923078,213,10,0.046948356807511735,2449,83,0.03389138423846468,43,40
Guillaume Sauthier,94,0,0,153,4,0.026143790849673203,1481,59,0.039837947332883185,51,8
Eric Milles,229,7,0.03056768558951965,239,7,0.029288702928870293,1109,10,0.009017132551848512,3,7
Cédric Champeau,179,2,0.0111731843575419,206,3,0.014563106796116505,864,27,0.03125,23,4
Pascal Schumacher,16,0,0,42,1,0.023809523809523808,850,26,0.03058823529411765,1,25
Roshan Dawrani,79,1,0.012658227848101266,80,1,0.0125,475,1,0.002105263157894737,1,0
Daniel Sun,80,5,0.0625,95,4,0.042105263157894736,433,15,0.03464203233256351,13,2
James Strachan,58,2,0.034482758620689655,61,2,0.03278688524590164,235,3,0.01276595744680851,1,2
John Wagenleitner,21,2,0.09523809523809523,23,2,0.08695652173913043,234,2,0.008547008547008548,0,2
Graeme Rocher,149,7,0.04697986577181208,155,8,0.05161290322580645,196,6,0.030612244897959183,6,0
Dr. Russel Winder,92,12,0.13043478260869565,106,14,0.1320754716981132,160,14,0.0875,9,5
Andres Almiray,35,2,0.05714285714285714,36,2,0.05555555555555555,146,1,0.00684931506849315,1,0
Peter Niederwieser,109,6,0.05504587155963303,109,6,0.05504587155963303,129,0,0,0,0
John Wilson,74,2,0.02702702702702703,74,2,0.02702702702702703,122,0,0,0,0
Daniil Ovchinnikov,100,2,0.02,101,2,0.019801980198019802,109,1,0.009174311926605505,1,0
Thodoris Sotiropoulos,95,0,0,95,0,0,96,0,0,0,0
Shil Sinha,24,0,0,24,0,0,92,0,0,0,0
Daniel Ferrin,19,0,0,21,0,0,89,2,0.02247191011235955,0,2
Chris Poirier,11,3,0.2727272727272727,15,4,0.26666666666666666,83,4,0.04819277108433735,1,3
"Kim, Pilho",18,0,0,18,0,0,80,0,0,0,0
Tim Yates,54,1,0.018518518518518517,54,1,0.018518518518518517,78,0,0,0,0
Dierk König,55,0,0,57,0,0,71,2,0.028169014084507043,1,1
Jeff Brown,54,5,0.09259259259259259,55,3,0.05454545454545454,68,1,0.014705882352941176,1,0
Scott Hickey,10,1,0.1,10,1,0.1,64,0,0,0,0
Christopher Smith,56,1,0.017857142857142856,57,1,0.017543859649122806,63,1,0.015873015873015872,0,1
Sam Pullara,13,0,0,13,0,0,57,0,0,0,0
James P. White,27,0,0,27,0,0,56,0,0,0,0
Martin C. Martin,48,1,0.020833333333333332,48,1,0.020833333333333332,54,0,0,0,0
Alexander Veit,50,1,0.02,50,1,0.02,54,0,0,0,0
UEHARA Junji,43,1,0.023255813953488372,43,1,0.023255813953488372,45,0,0,0,0
Hamlet D'Arcy,30,0,0,30,0,0,45,0,0,0,0
Bing Ran,21,3,0.14285714285714285,24,2,0.08333333333333333,45,3,0.06666666666666667,0,3
Lari Hotari,25,2,0.08,25,2,0.08,44,0,0,0,0
Mauro Molinari,30,1,0.03333333333333333,31,1,0.03225806451612903,42,1,0.023809523809523808,1,0
Andrew Eisenberg,31,2,0.06451612903225806,31,2,0.06451612903225806,40,0,0,0,0
