Name,CreateCount,CreateCountC,CreatePercent,AssigneeCount,AssigneeCountC,AssigneePercent,Involvement,ModifyCount,ModifyPercent,IncModifyCount,DecModifyCount
Michael Stack,1610,141,0.08757763975155279,1986,174,0.08761329305135952,7139,376,0.05266844095811738,287,89
Andrew Kyle Purtell,472,70,0.1483050847457627,603,77,0.12769485903814262,4912,131,0.026669381107491858,64,67
Ted Yu,529,56,0.10586011342155009,593,51,0.08600337268128162,2886,64,0.022176022176022176,42,22
Enis Soztutar,226,24,0.10619469026548672,249,24,0.0963855421686747,1622,23,0.014180024660912454,17,6
Lars Hofhansl,211,19,0.09004739336492891,259,22,0.08494208494208494,1584,48,0.030303030303030304,28,20
Sean Busbey,194,10,0.05154639175257732,294,13,0.04421768707482993,1374,100,0.07278020378457059,76,24
Lars Francke,12,0,0,12,0,0,1324,0,0,0,0
Duo Zhang,309,24,0.07766990291262135,360,27,0.075,1164,51,0.04381443298969072,39,12
Nick Dimiduk,132,9,0.06818181818181818,154,12,0.07792207792207792,913,22,0.024096385542168676,13,9
ramkrishna.s.vasudevan,208,18,0.08653846153846154,228,19,0.08333333333333333,906,20,0.02207505518763797,13,7
Anoop Sam John,89,11,0.12359550561797752,131,16,0.12213740458015267,880,42,0.04772727272727273,29,13
Jean-Daniel Cryans,293,24,0.08191126279863481,312,22,0.07051282051282051,784,19,0.02423469387755102,13,6
Jim Kellerman,113,14,0.12389380530973451,158,17,0.10759493670886076,586,45,0.07679180887372014,27,18
Elliott Neil Clark,241,19,0.07883817427385892,260,18,0.06923076923076923,525,19,0.03619047619047619,17,2
Matteo Bertozzi,137,5,0.0364963503649635,140,4,0.02857142857142857,475,3,0.00631578947368421,2,1
Jonathan Hsieh,115,6,0.05217391304347826,122,6,0.04918032786885246,468,7,0.014957264957264958,5,2
Guanghao Zhang,105,9,0.08571428571428572,109,8,0.07339449541284404,395,4,0.010126582278481013,2,2
Jimmy Xiang,175,19,0.10857142857142857,194,19,0.0979381443298969,390,19,0.04871794871794872,5,14
Josh Elser,92,7,0.07608695652173914,100,7,0.07,387,8,0.020671834625323,3,5
Nicolas Liochon,192,9,0.046875,200,9,0.045,369,8,0.02168021680216802,6,2
Todd Lipcon,156,17,0.10897435897435898,161,17,0.10559006211180125,363,5,0.013774104683195593,3,2
Chia-Ping Tsai,100,18,0.18,108,17,0.1574074074074074,350,8,0.022857142857142857,6,2
Jonathan Gray,106,7,0.0660377358490566,113,7,0.061946902654867256,347,7,0.020172910662824207,4,3
Mike Drob,69,9,0.13043478260869565,78,9,0.11538461538461539,333,9,0.02702702702702703,3,6
Sergey Shelukhin,119,16,0.13445378151260504,126,15,0.11904761904761904,307,7,0.02280130293159609,5,2
ryan rawson,145,7,0.04827586206896552,149,6,0.040268456375838924,287,4,0.013937282229965157,2,2
Peter Somogyi,100,5,0.05,106,5,0.04716981132075472,283,6,0.02120141342756184,4,2
Jean-Marc Spaggiari,95,8,0.08421052631578947,98,7,0.07142857142857142,271,3,0.01107011070110701,0,3
Mikhail Antonov,35,4,0.11428571428571428,42,4,0.09523809523809523,229,7,0.03056768558951965,4,3
Apekshit Sharma,74,4,0.05405405405405406,76,3,0.039473684210526314,195,2,0.010256410256410256,0,2
Jerry He,50,4,0.08,51,3,0.058823529411764705,185,1,0.005405405405405406,1,0
Ashish Singhi,56,5,0.08928571428571429,62,4,0.06451612903225806,180,6,0.03333333333333333,4,2
Lars George,99,16,0.16161616161616163,99,16,0.16161616161616163,178,0,0,0,0
Viraj Jasani,22,2,0.09090909090909091,25,1,0.04,170,3,0.01764705882352941,3,0
Gary Helmling,49,6,0.12244897959183673,53,6,0.11320754716981132,168,4,0.023809523809523808,3,1
Pankaj Kumar,64,5,0.078125,69,7,0.10144927536231885,164,5,0.03048780487804878,3,2
Jeffrey Zhong,73,3,0.0410958904109589,75,3,0.04,158,2,0.012658227848101266,1,1
Stephen Yuan Jiang,54,3,0.05555555555555555,54,3,0.05555555555555555,157,0,0,0,0
M Linville,77,1,0.012987012987012988,77,1,0.012987012987012988,155,0,0,0,0
Yu Li,48,2,0.041666666666666664,49,1,0.02040816326530612,151,1,0.006622516556291391,1,0
Vladimir Rodionov,74,12,0.16216216216216217,79,11,0.13924050632911392,146,5,0.03424657534246575,2,3
Devaraj Das,50,8,0.16,54,6,0.1111111111111111,143,4,0.027972027972027972,3,1
Chunhui Shen,60,9,0.15,60,9,0.15,136,0,0,0,0
Esteban Gutierrez,63,4,0.06349206349206349,64,4,0.0625,136,1,0.007352941176470588,0,1
Allan Yang,42,4,0.09523809523809523,44,4,0.09090909090909091,133,2,0.015037593984962405,2,0
Biju Nair,20,3,0.15,21,3,0.14285714285714285,127,1,0.007874015748031496,0,1
rajeshbabu,48,6,0.125,49,5,0.10204081632653061,125,1,0.008,0,1
